CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	1141160	1042936	1100644	1108975	1052998	1132109	949901	972979	978808	858073	808361	808854	719718	720679	805344	851492	740414	790734	791527	840233	890846	852988	825498	825084	777155	745934	601980	582107	582416	534871	535400	495149	457619	459970	514738	554785	552158	600572	602157	535094	525647	508809	583947	584178	481428	528706	563857	525670	554095	536055	503765	428147	450549	450549	336063	289139	241448	265183	265186	272239	229872	186687	162394	162394	117641	105684	89518	89518	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	19937	58709	61326	61326	55350	95566	21455	79683	79683	82081	82025	121794	48710	48710	35494	102190	35027	38290	38291	31583	46602	41936	45716	45716	24224	33163	17916	28785	28785	14130	17641	16639	8575	8575	13213	4991	10176	9991	9991	29969	13065	12685	31541	31541	17661	41941	9922	42358	32358	9385	6317	6659	63657	63657	5397	8456	4036	17265	17265	1210	4114	5178	1232	1232	594	3152	1223	1223	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1530	1530	1530	11530	1530	0	0	35878	35878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	223233	190306	263838	271359	229979	373984	360470	363485	369298	315644	291554	273152	284376	285015	331398	319132	270974	233524	233524	262588	264307	276537	290849	291444	285451	289331	253557	229129	229437	192433	208970	237359	230048	232400	224977	225258	212880	227745	229303	223290	227653	205955	284929	285159	230994	248790	243631	255092	285092	302624	313448	298899	231703	231703	206559	217840	179842	183594	183597	224163	161728	126203	126134	126134	85724	67048	52432	52432	0
Hàng tồn kho###Inventory	834112	720748	706496	707302	700721	590464	495852	462228	462244	395892	370022	347339	325221	325221	376527	372777	378535	462801	463730	494657	531350	492444	449918	448891	427293	389090	308750	297528	297528	297927	283124	221978	194454	194454	248811	298064	308348	345652	345673	267241	272954	278451	259248	259248	226221	226023	296909	217293	215718	217964	181393	117027	112694	112694	84889	59183	54403	62032	62032	44524	62128	47881	27145	27145	23941	28212	32001	32001	0
Tài sản ngắn hạn khác###Other Current Assets	63878	73173	68983	68987	66948	72094	72124	67583	67583	64455	64760	66569	61411	61733	61925	57394	55877	56118	55981	51405	48587	42072	39015	39034	40187	34350	21757	26665	26665	30380	25664	19173	24542	24542	27737	26472	20754	17185	17190	14595	11975	11718	8229	8229	6553	10423	11864	9397	9397	4552	2608	5562	6617	6617	39218	3659	3167	2292	2292	2342	1902	7426	7883	7883	7383	7270	3862	3862	0
Tài sản dài hạn###Non-current Assets	343351	354374	360544	360577	345060	350787	359826	370399	370376	363253	357371	368942	379916	380049	370345	378457	383090	394328	394459	403521	393104	387370	384227	386235	379188	363919	247451	255234	255234	255342	259054	254965	261337	262315	261669	249302	237186	231180	227715	205536	204029	205804	209430	211532	208625	206524	196254	200415	160708	152258	161052	162172	163395	163395	153283	135939	125609	108272	108272	100371	88329	57982	54228	54092	51424	50925	48204	48204	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	249	249	250	250	250	250	250	245	245	247	247	247	240	240	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	323979	334467	344912	344912	328936	337987	347088	356903	356903	348105	342448	353006	349566	349566	346081	356344	366080	376427	376427	386966	349044	339118	344841	344841	334675	342659	232354	245668	238977	234748	238081	239140	251664	251664	250212	239760	229332	173752	219709	197190	196202	197429	178567	200435	198709	199309	188760	180818	152892	145376	145817	146841	147944	147944	136772	119227	112504	87325	87325	80283	71987	49239	45698	45692	43001	42479	39712	39712	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-351113	-340769	-330280	-330280	-320531	-310109	-299714	-289281	-289281	-278937	-269005	-258956	-248921	-248921	-239052	-228944	-218824	-208619	-208619	-198327	-187821	-178083	-168712	-168712	-159727	-150522	-99534	-93230	-93230	-87154	-81198	-82894	-77159	-77159	-71361	-67483	-62532	-58552	-58552	-54840	-51348	-47838	-44337	-44337	-41077	-37521	-34008	-30537	-30304	-27075	-24267	-21491	-18737	-18737	-16658	-15422	0	-12922	-12922	-11768	-10602	-9439	-8312	-8312	-7145	0	0	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-20113	-19615	-19117	-19117	-18619	-18121	-17622	-17124	-17124	-16626	-16131	-15623	-15114	-15114	-14606	-14097	-13588	-13080	-13080	-12571	-12063	-11554	-11046	-11046	-10539	-10036	-9532	-9029	-9029	-8526	-8023	-7520	-7017	-7017	-6514	-6011	-5514	-5022	-5502	-5012	-4522	-3973	-3425	-3425	-3065	-2424	-1783	-1235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1740	1858	1918	1977	1977	2036	2096	2155	2214	0	0	0	0	2214	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1680	1680	1680	1680	1680	1680	1680	1680	1680	0	0	1596	1596	1596	1596	1596	1596	1596	1596	1596	1622	1622	1622	2622	2622	2622	2622	2622	2622	2622	2622	2622	2622	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	12000	12000	12000	12000	3600	3600	3600	12108	12108	11393	7393	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	7993	8643	7857	7890	8107	5022	4898	5621	5557	6652	7603	7997	9200	9332	9221	8021	6865	7757	7887	8577	7718	3960	3743	3724	5201	4812	5499	6944	6944	10985	11387	13203	7052	7051	1400	5942	4254	4433	4406	4746	4227	4774	5396	5757	4517	1757	1976	2239	2239	1246	1139	1176	1237	1237	10637	10779	9505	8838	8838	8695	8949	8743	8530	8400	8423	8446	8492	8492	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1484511	1397310	1461188	1469552	1398058	1482895	1309727	1343378	1349184	1221326	1165732	1177796	1099634	1100727	1175688	1229949	1123504	1185063	1185986	1243754	1283950	1240358	1209725	1211319	1156344	1109853	849431	837341	837649	790213	794453	750114	718957	722285	776408	804087	789344	831753	829872	740630	729676	714613	793378	795709	690054	735230	760110	726085	714803	688313	664817	590318	613944	613944	489347	425078	367057	373455	373458	372610	318201	244669	216622	216486	169066	156609	137722	137722	107146
Nợ phải trả ###Liabilities	813146	729980	794912	800681	707383	811468	696415	784615	784654	699993	740698	797926	725672	725776	802078	864169	768890	832678	833150	897556	944842	950105	909403	909709	859625	825750	576899	556952	557187	507655	517205	479309	449962	449761	514081	542511	521674	556528	554498	461584	452793	452834	495283	499544	372338	446579	522562	497773	486492	444677	425683	392617	442785	436728	328110	271452	201271	234004	235817	224732	178735	128579	87512	85864	52353	49994	85630	85630	83151
Nợ ngắn hạn###Short term Liabilities	813146	729980	794912	800681	707383	811468	696415	784615	784654	689819	730524	779043	689288	683893	750170	798375	706763	770551	768272	822414	884201	851174	821173	821524	752878	728425	558553	545256	545491	483244	492793	455241	425894	425692	476319	510686	493982	539710	545051	454804	446006	445637	488076	492333	352758	426996	502969	478174	466892	411639	392638	360239	410399	404342	280470	226287	159070	193935	195748	189818	150990	120413	79345	72139	38281	35945	71620	71620	63537
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	10174	10174	18883	36383	41883	51908	65793	62127	62127	64877	75142	60642	98930	88230	88186	106747	97325	18346	11697	11697	24411	24411	24068	24068	24068	37762	31825	27691	16818	9447	6780	6787	7197	7207	7211	19580	19583	19593	19599	19599	33038	33046	32378	32386	32386	47639	45165	42201	40069	40069	34915	27745	8166	8167	13725	14072	14049	14010	14010	0
