CAN DOI KE TOAN	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	4208	4208	8925	9924	99756	54817	54684	58578	60137	35651	56342	150277	156465	168200	214553	246467	253028	281914	281413	291102	306656	303675	274870	260239	244478	252075	255703	233146	233183	220428	221270	252599	205896	195100	198245	201060	202082	192006	187304	185564	183986	183311	190177	190019	151148	122593	118735	103937	79815	73494	63960	83878	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	70	70	4050	2289	85470	36713	1788	2453	3487	5256	4146	2225	1520	243	30449	8576	8076	12898	5840	2348	4327	4318	4706	14164	17276	7486	23382	9545	10545	25889	15300	38407	15143	10143	4911	13192	13203	5742	31402	23526	11395	17407	19028	17055	40379	26193	26213	18647	10538	15033	2162	910	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	58867	58867	58867	59178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	209	209	105	2008	2701	5123	37649	36817	38412	1420	26525	25725	26976	30160	38491	151992	159053	55227	51920	68944	87016	80043	57044	39463	18197	46755	32719	23525	21993	42805	69026	79753	69564	62467	75773	69843	71255	73858	49487	56275	70899	64131	53577	67950	48990	65959	62387	51801	36663	24556	36537	15126	37490
Hàng tồn kho###Inventory	551	551	1134	1998	7991	9397	12335	15226	14161	22909	21911	58902	65680	75667	83416	82978	82978	209213	219182	217015	212585	213408	206541	202366	202723	189913	189913	190594	190243	144214	131546	129810	119671	121120	115994	117244	116912	111939	105914	104706	98307	98277	112597	101549	55900	30300	29521	32632	32092	32508	24872	66918	0
Tài sản ngắn hạn khác###Other Current Assets	3378	3378	3636	3629	3594	3585	2912	4082	4078	6066	3760	4558	3422	3262	3020	2922	2921	4577	4471	2796	2728	5905	6579	4246	6283	7921	9689	9482	10402	7519	5312	4543	1432	1282	1480	781	712	467	502	1057	3384	3495	4975	3466	5879	140	614	858	522	1396	389	924	0
Tài sản dài hạn###Non-current Assets	5840	5840	73992	73609	79191	80043	92196	106692	106907	118489	120077	45770	45829	34436	34693	39297	39808	39331	38188	43207	44244	46565	51770	66675	71450	74333	74464	78494	80759	108938	117660	117548	100833	94035	101926	98282	98390	93162	97851	96183	101697	101943	88876	80061	75387	67022	68215	63698	72290	80221	82731	63431	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	5	0	177	0	0	0	0	3786	3793	0	0	0	0	0	150	0	1420	2005	0	1212	0	1212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	5794	5794	13926	13521	18925	19767	19701	33425	34547	45551	47026	29637	29808	32217	34143	38759	38759	38229	37353	42363	41867	42131	49352	64201	68782	71447	71540	74649	76857	104701	112849	112751	95778	89586	99580	95402	95487	89843	94182	92278	96639	97000	85107	76129	71094	62644	63918	59349	67257	76016	78632	59714	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3904	-3904	-10169	-9282	-12975	-12925	-13350	-15657	-14957	-15124	-26688	-31358	-32019	-33815	-32252	-36200	-36200	-35927	-35791	-39611	-39384	-40650	-43350	-44839	-45440	-43848	-43782	-43759	-42014	-55355	-54090	-54149	-49757	-46201	-48700	-46637	-46538	-42993	-42169	-40725	-36064	-34871	-32068	-29140	-27286	-25777	-25898	-25179	-25553	-24597	-22390	-19578	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	-10571	-10095	-9619	-9143	-8668	-8668	-8192	-7716	-7080	-6763	-6763	-6287	-5812	-6380	-5846	-5846	-5312	-4969	-3839	-4322	-4362	-2543	-2162	-1906	-1650	-1650	-1311	-917	-523	-4512	-6411	-5258	-6469	-5851	-5300	-5723	-5315	-4924	-4294	-3986	-6593	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-2115	-2115	-2071	-2027	-1983	-1939	-1939	-1897	-1851	-1807	-1763	-1763	-1733	-1689	-1631	-2871	-2871	-2806	-2741	-2662	-2611	-2611	-2547	-4201	-4014	-3826	-3826	-3638	-3451	-3248	-3075	-3075	-2027	-1962	-1898	-1833	-1833	-1768	-1704	-1640	-1577	-868	-1513	-1449	-1385	-1321	-1321	-1257	-1193	-1093	-1065	-618	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
