CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q2 2017	 2016	Q2 2016	 2015	 2014
Giá vốn hàng bán###Cost of goods sold	10892165	17620481	77089285	19868429	20227144	20705966	16346875	58463766	13648699	8847086	17836442	12991979	57235850	36562219	47998669	65046507
Lợi nhuận gộp###Gross profit	763011	64124	2771702	625398	594349	952775	599458	2707476	610547	472395	792367	703689	2506099	2701125	2911825	1259671
Doanh thu hoạt động tài chính###Financial activities Revenues	100915	103265	372017	100453	96673	86810	88382	297178	78896	54144	72661	68816	315537	296065	209512	144462
Chi phí tài chính###Financial Expenses	52655	67155	266513	93764	53895	73296	50649	186609	41990	40276	45165	43498	141916	272157	231478	351893
Chi phí bán hàng###Selling Expenses	375387	430286	1690370	425314	393552	475888	392878	1566388	410171	252881	426185	367915	1521127	1452288	1445026	1513026
Chi phí quản lý doanh nghiệp###Managing Expenses	178143	185676	808179	164971	221035	226021	206790	710711	189603	187663	190040	159109	640988	725976	702032	750895
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	258229	-530795	364480	37074	19270	263941	30355	523107	35802	37718	192512	202093	522651	562602	709359	-1317040
Thu nhập khác###Other incomes	11753	9538	61056	5637	26062	19634	9074	117138	25117	6501	17234	8403	55952	79122	122948	210853
Chi phí khác###Other Expenses	45577	9294	13244	-5130	10626	6074	1057	51447	5022	7516	35012	2659	39332	15689	43168	94255
Lợi nhuận khác###Other profits	-33824	244	47812	10766	15436	13559	8017	65692	20095	-1014	-17779	5744	16620	63433	79780	116597
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	224405	-530551	412292	47840	34706	277500	38372	588798	55897	36704	174733	207837	539271	626034	789139	-1200442
Chi phí thuế TNDN###Corporate Income Tax Expenses	37108	7162	65270	14034	9925	44641	177	189367	29722	41936	37736	13640	50789	60967	114887	171561
Chi phí thuế TNDN###Corporate Income Tax Expenses	3424	3906	64495	13778	5934	43916	1313	165724	9526	3138	35346	18456	41248	56176	76194	71819
Chi phí thuế TNDN###Corporate Income Tax Expenses	33684	3256	775	256	3991	725	-1137	23643	20197	38798	2390	-4816	9542	4791	38694	99742
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	193037	-652456	463525	53459	41150	303220	44767	417435	34964	1421	156869	204509	549283	631639	730450	-1350626
---Cac Chi So Tai Chinh---																
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	8.00	6.00	8.30	8.30	11.10	11.80	13.50	15.10	15.10	16.70	16.50	20.50	0.00	0.00	0.00	0.00
