CAN DOI KE TOAN	 2019	 2018	 2017	Q2 2017	 2016	Q4 2016	 2015	Q4 2015	Q2 2015	 2014	Q2 2014	 2013	Q4 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	496	431	689	740	5527	5527	9046	9046	8623	10941	11399	11114	11114	23738	23493	23617	25618	25912	31766	29422	28996	29952	20290	24356	25877	50168	59469	55471	59684	96904	64857	91662
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	177	112	371	111	3745	3745	6699	6699	4154	6083	1866	1782	1782	2654	2513	2487	2415	2827	3115	1493	1495	420	959	1014	2684	2646	2581	2630	4134	3565	3710	12920
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	290	290	290	413	1566	1566	1903	1903	2371	4383	4195	8414	8414	18001	19362	19459	21598	21562	21730	21547	21119	21173	11068	11323	14229	38406	7080	38264	42373	43342	5143	12798
Hàng tồn kho###Inventory	0	0	0	187	187	187	415	415	2057	271	3988	738	738	2348	1227	979	1009	1009	368	44	44	1225	663	4349	1678	1829	43189	7689	5986	43641	48360	58452
Tài sản ngắn hạn khác###Other Current Assets	29	29	29	29	29	29	29	29	40	204	351	180	180	735	391	692	596	515	6553	6338	6338	7134	7599	7570	7286	7286	6619	6888	7192	6356	7644	7492
Tài sản dài hạn###Non-current Assets	18316	18715	19009	22042	22358	22358	178073	178073	178075	178140	177719	178188	178188	178048	178159	178283	178429	178567	177707	175927	176329	174347	191706	189862	187149	170715	185049	183839	183920	182877	217751	151365
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	27	47	47	47	27	27	174	222	195	195	0	0
Tài sản cố định ###Fixed assets	0	133	161	2927	3074	3074	3378	3378	2445	2782	78187	176591	78647	79203	177259	79315	177414	177552	176980	77228	175172	173170	171800	169811	76724	167935	164275	162235	162343	161540	214099	149459
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-112	-314	-286	-1566	-1419	-1419	-1115	-1115	-984	-867	-3565	-3106	-3106	-2683	-2537	-2537	-2390	-2243	-2097	-1951	-1951	-1805	-1659	-1513	-1382	-1382	-1258	-1138	-1017	-896	-10174	-7398
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1660	-1300
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	18316	18582	18848	18981	19114	19114	174587	174587	174957	175327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	1549	1549	1549	900	900	1015	1015	1015	728	728	1130	1130	19532	19532	19532	1915	19915	20500	20500	20500	2500	783
Tài sản dài hạn khác###Other long term assets	0	0	0	134	169	169	108	108	38	31	39	48	48	0	0	0	0	0	0	0	0	0	327	473	327	838	685	883	883	642	1152	1123
