CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-157	-157	-150	-150	-142	-135	-128	-121	-121	-113	-106	-99	-92	-92	-84	-77	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-69	-66	-66	-63	-60	-57	-54	-54	-52	-49	-46	-43	-43	-40	-37	-34	-31	-31	-28	-25	-22	-19	-19	-17	-14	0	-9	-8	0	0	0	0	-188	-112
Lợi thế thương mại	0	0	0	0	0	0	1590	1590	1590	2385	2385	3179	3179	3179	3974	3974	4769	4769	4769	5564	5564	6359	6359	6359	7154	7154	7949	7949	7949	8744	8744	9538	0	9538	10333	10333	10333	11128	11128	11128	11923	11923	12718	12718	12718	13513	14308	14308	14308	14705	15103	0	21478	22353	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	7508	18688	18688	18688	18688	18688	19427	19427	19427	13508	14948	13869	15309	15309	16388	22388	16388	16388	16388	17388	17487	17487	32142	32142	33174	33174	33804	34464	34464	36758	38791	38791	39199	39199	38199	38173	36734	36734	36734	36734	38934	38934	49453	49453	49453	53763	52513	54013	54013	63678	64078	105059	67072	67072	63842	94302	114128	107700	83163	1482
Tài sản dài hạn khác###Other long term assets	0	0	0	0	23197	23197	24786	24786	24786	25581	25581	26376	26376	26376	27171	27171	27966	34416	34416	28765	28765	42730	48407	42048	23201	23200	23324	31273	23324	23428	23324	23324	23324	23324	33779	33779	33764	36585	33825	33192	30762	29286	29177	8366	8756	14984	678	683	683	15756	1081	392	2235	2235	536	668	1469	1075	4905	383
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	389374	428746	439798	442756	507857	523835	560676	568543	568543	624305	649658	660493	679376	679376	737198	803432	813804	866072	879069	803117	788876	663625	733902	733902	871594	869694	725381	727404	727404	673628	720464	754891	828061	828061	798735	746118	710536	670099	667339	696020	681877	735964	826869	828069	723909	712702	699888	607149	607149	653641	916959	941180	772070	772944	706545	623112	644915	567003	250897	69917
Nợ phải trả ###Liabilities	347030	383535	392343	392197	430408	445665	437195	444279	444279	492874	517277	526663	542035	542035	592088	659802	658408	708071	721068	646393	633594	510634	581158	581158	724840	716581	567279	570494	570494	520248	568188	597129	671247	671247	644437	591709	559152	517663	520637	549971	533280	581245	675621	678333	570974	599427	576710	482821	482821	531888	798881	856700	682853	682848	628036	550653	574960	493847	178037	54962
Nợ ngắn hạn###Short term Liabilities	347029	383533	392341	391381	429493	443849	428893	435077	435077	482658	489109	495595	507977	507977	555049	606844	598059	646923	659920	585445	572747	447884	512926	512926	655732	645260	508862	512550	509041	468640	519175	551307	622131	622131	593458	534248	500366	455874	458613	483505	460790	504733	585151	587926	483373	514140	497010	409591	409591	465383	728927	789630	619375	619371	583306	484863	499241	418459	177539	52780
Nợ dài hạn###Long term Liabilities	2	2	2	815	915	1815	8302	9202	9202	10216	28168	31068	34058	34058	37038	52958	60348	61148	61148	60948	60847	62750	68232	68232	69108	71321	58417	57943	61453	51608	49013	45822	49117	49117	50979	57462	58787	61789	62024	66466	72489	76512	90470	90407	87601	85287	79700	73230	73230	66505	69954	67070	63477	63477	44730	65789	75719	75389	498	2182
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	8	0	0	0
Vốn chủ sở hữu ###Owners equity	42343	45211	47456	50559	77449	78170	123480	124265	124265	131430	132381	133830	137340	137340	145110	143630	155396	158001	158001	156724	155282	152991	152744	152744	146754	153114	158102	156910	156910	153380	152276	157761	156814	156814	154298	154409	151383	152436	146702	146049	148597	154719	151248	149736	152935	113274	123179	124327	124327	121753	118077	84480	88440	82397	78509	72459	69955	73156	72860	0
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	22	174	174	0	0	0
Vốn chủ sở hữu ###Owners equity	42343	45211	47456	50559	77449	78170	123480	124265	124265	131430	132381	133830	137340	137340	145110	143630	155396	158001	158001	156724	155282	152991	152744	152744	146754	153114	158102	156910	156910	153380	152276	157761	156814	156814	154298	154409	151383	152436	146702	146049	148597	154719	151248	149736	152935	113274	123179	124327	124327	121753	118077	0	88440	82392	78487	72285	69780	73156	72860	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	777	7699	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	720464	754891	828061	779118	798735	746118	710536	670099	667339	696020	681877	735964	826869	828069	723909	0	699888	607149	607149	653641	916959	941180	772070	772944	706545	623112	644915	567003	250897	69917



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	8367	903	153546	18294	20172	89020	60586	320901	107210	62525	71524	79642	284830	102586	65851	74403	41990	467317	194623	102068	97559	72177	711910	176509	171348	201040	163649	578843	244368	117980	90889	125606	860117	269413	191975	187248	177848	800024	206215	158049	223439	212321	873406	284749	326756	171155	97890	954780	237382	403634	174096	130215	456700	186347	125551	74642	65245	162968	76132	76131
Các khoản giảm trừ doanh thu###Deduction revenues	16	0	252	0	0	34602	252	7824	0	0	7824	0	1977	291	1169	440	77	946	388	90	282	187	1473	222	27	856	368	18008	7877	10067	0	64	5754	256	196	5202	101	10690	1124	0	9590	0	1299	137	859	1134	0	1038	154	884	0	0	1995	1955	1	39	0	21	0	0
Doanh thu thuần###Net Sales	8350	903	153293	18294	20172	54418	60334	313077	107210	62525	63700	79642	282854	102295	64683	73962	41914	466370	194235	101978	97277	71990	710436	176287	171320	200184	163281	560835	236490	107913	90889	125542	854363	269157	191780	182047	177747	789334	205091	158049	213849	212321	872107	284612	325898	170021	97890	953742	237228	402750	174096	130215	454705	184391	125551	74603	65245	152388	76132	76131
Giá vốn hàng bán###Cost of goods sold	8486	529	165467	40546	18612	50080	56591	297413	104380	57050	59074	76910	255589	101237	54266	68115	31931	414753	173333	92431	86874	61185	649288	153438	161912	182201	152373	493417	217333	94633	69635	111816	782139	249839	172494	163354	163142	714566	184477	142376	193768	193945	796927	261062	296562	154560	90728	897493	219732	387174	157549	121953	411142	167350	113973	67113	57997	137780	67075	67074
Lợi nhuận gộp###Gross profit	-136	374	-12174	-22251	1560	4337	3743	15664	2830	5475	4626	2732	27265	1058	10417	5848	9982	51617	20902	9548	10403	10805	61149	22849	9408	17983	10908	67418	19157	13281	21254	13727	72224	19319	19285	18693	14604	74768	20614	15673	20081	18376	75180	23550	29336	15461	7162	56249	17496	15576	16546	8262	43562	17041	11578	7491	7248	14608	9057	9057
Doanh thu hoạt động tài chính###Financial activities Revenues	0	252	3421	1020	2124	73	205	1767	623	344	392	407	2317	789	454	568	507	1062	578	366	39	78	1099	476	289	263	72	702	71	282	27	285	1218	2455	404	48	134	4670	230	594	1746	3927	7762	359	2088	3450	2329	11987	1625	8072	6733	1517	6231	591	5309	257	72	6525	2142	2142
Chi phí tài chính###Financial Expenses	1933	2136	9259	1666	2188	2471	2479	1607	-9354	3250	3806	3953	20157	5343	4262	5217	5336	20839	7401	5187	3605	4645	23445	4681	8592	5639	4534	23554	5906	4781	6520	6310	25017	6903	7756	7136	6416	38270	8859	9263	11070	10835	31709	13825	5976	9384	2919	16947	4120	10610	5548	2286	7226	3214	1607	718	1687	5139	3698	3698
Chi phí bán hàng###Selling Expenses	0	0	290	0	0	283	7	1111	144	499	280	187	4136	497	1102	1711	825	7923	2840	1508	835	2740	14583	3093	3611	6137	1742	10175	4171	1702	2122	2181	18197	5949	8636	2782	779	10690	3120	2499	2689	2383	9604	2703	4786	926	1189	11068	3885	1370	3291	1829	10224	3741	2805	1549	2130	3850	1309	1309
Chi phí quản lý doanh nghiệp###Managing Expenses	1143	879	12996	3938	2250	1468	2255	13936	5161	2811	3459	2504	15685	5061	3628	2935	3306	19532	7808	3934	4637	3193	18243	6083	3835	5160	3165	17199	5185	3602	4603	3808	19894	3225	3185	5927	5574	26071	6673	6376	7153	5868	31402	9181	10454	6869	5492	25168	7217	6054	8946	4443	17321	6013	5416	2408	3086	8802	5160	5160
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-3211	-2390	-31298	-26836	-754	188	-794	777	7502	-741	-2527	-3505	-10397	-9054	1878	-3448	1022	4385	3432	-716	1364	305	5976	9468	-6341	1310	1539	17192	3966	3477	8036	1712	10336	5697	111	2896	1969	4406	2192	-1872	915	3216	10226	-1800	10208	1732	-108	15054	3898	5614	5494	1221	15023	4664	7059	3072	418	3343	1032	1031
Thu nhập khác###Other incomes	913	182	48	0	32	0	16	1653	720	934	0	0	32770	8452	15226	5012	0	5377	909	2767	8592	916	8518	2770	1	5739	8	27819	2853	13	22163	2791	1414	7	801	336	270	2745	1080	668	607	278	7482	418	999	3703	2465	8930	472	1337	5508	835	2036	869	796	289	74	4055	347	-662
Chi phí khác###Other Expenses	570	37	129	54	0	68	6	1184	34	1144	0	6	32191	7167	15624	1693	3627	2452	2109	341	6946	864	10521	5698	5	4810	8	35084	1508	2111	28320	3145	1773	391	860	440	81	2644	922	783	610	309	7064	457	720	3900	1947	5657	760	1250	3204	443	1424	694	337	366	27	1171	1009	0
Lợi nhuận khác###Other profits	344	145	-81	-54	32	-68	10	470	686	-210	0	-6	579	1284	-397	3319	-3627	2925	-1200	2426	1646	53	-2003	-2928	-4	929	0	-7265	1344	-2098	-6157	-354	-359	-384	-59	-104	188	101	158	-115	-3	-31	419	-39	279	-197	518	3273	-288	87	2305	392	612	175	459	-77	48	2885	-662	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-2867	-2245	-31379	-26890	-722	120	-784	1247	8188	-951	-2527	-3510	-9818	-7770	1481	-129	-2605	7310	2232	1711	3010	358	3973	6540	-6345	2239	1539	9927	5311	1379	1880	1358	9976	5313	52	2792	2157	4507	2350	-1987	912	3185	10645	-1838	10488	1535	410	18327	3610	5701	7799	1613	15635	4839	7518	2995	466	6228	370	369
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2053	954	269	759	71	1557	565	0	645	347	3093	1781	275	627	411	2838	0	162	490	0	-1539	0	0	0	1291	3432	738	2520	1343	292	6671	944	2025	3032	669	2764	934	1316	491	23	859	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2053	954	269	759	71	1557	565	0	645	347	3093	1781	275	627	411	2838	1769	162	490	450	1221	1697	562	599	1291	3432	738	2520	1154	292	6671	944	2025	3032	669	2764	934	1316	491	23	859	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-2867	-2245	-31379	-26890	-722	120	-784	1247	8188	-951	-2527	-3510	-9818	-7770	1481	-129	-2605	5257	1277	1442	2251	287	2416	5975	-6345	1593	1192	6834	3530	1104	1253	947	7138	3544	-110	2302	1707	6045	653	-2548	313	1894	7212	-2577	7967	381	118	11656	2667	3676	4766	944	12871	3905	6202	2505	443	5369	370	369
---Cac Chi So Tai Chinh---																																																												
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	1.20	1.00	1.40	1.40	1.40	1.70	1.70	1.60	1.60	1.60	2.20	2.70	3.30	3.30	4.50	5.40	6.90	4.10	4.10	5.60	4.00	5.00	4.60	4.60	5.75	7.39	9.30	9.94	9.94	6.29	5.51	6.87	5.26	5.26	3.14	3.05	3.22	3.22	3.22	2.63	4.40	4.48	3.17	3.17	5.10	5.87	8.03	12.65	12.65	18.39	21.77	20.80	16.97	16.97	14.89	10.05	0.00	0.00	0.00	0.00
