CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008
Tài sản ngắn hạn###Current Assets	631121	662087	537781	537781	657321	674091	691464	613432	612591	605654	633155	646799	501621	505156	710265	715264	710458	570281	556767	696518	586608	637014	613583	643431	811099	529688	778381	612545	613552	630564	676949	594991	675624	675213	677449	690160	726833	713280	713260	672513	674182	585736	599412	604300	590832	578056	607487	528364	535901	554851	529794	448749	525283	523820	543842	534218	523613	465530
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	41647	68045	39854	39854	60501	32043	30055	129160	129160	7202	7097	25184	54721	54721	26365	20086	26848	97378	97379	76687	38318	17830	202912	143412	179408	72750	131817	117862	117862	37497	80878	32930	209425	209425	35937	83184	33772	101498	101498	20659	102064	18166	142720	142661	7333	31988	120903	32954	32954	49642	104759	46436	174263	174282	179656	139477	35844	45738
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71000	71000	0	0	0	0	59500	0	0	0	24893	24893	39561	24916	19998	5220	5220	27355	27355	27355	27355	27355	30355	30355	30355	30355	30355	30000	30000	15000	15000	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	277050	279948	199380	199380	285722	308093	325596	199658	199133	405243	415543	398341	189452	189467	408061	419214	354437	193860	180137	404595	360199	331179	174338	174085	313215	299081	252002	118249	117611	248155	257554	243649	129235	128825	244713	222399	236939	157140	157577	209750	177047	189307	73659	78391	184456	166772	136988	150530	172999	157731	129432	125143	99484	99394	97867	94171	160036	108258
Hàng tồn kho###Inventory	278829	295095	273596	273596	274843	275299	312444	256667	256310	162704	164047	219322	249533	249533	258227	251741	322199	201807	201807	214983	187404	287112	234714	264769	318051	152117	393440	342932	343094	295784	295676	278795	326714	326714	349501	342234	423612	422437	422116	394791	342982	330345	350014	350014	362821	343676	330437	327226	327226	335665	291328	272949	248251	248265	263142	298016	323084	308372
Tài sản ngắn hạn khác###Other Current Assets	33595	18998	24950	24950	36255	58656	23369	27947	27988	30505	46468	3953	7914	11435	17612	24223	6975	6235	6443	254	686	893	1619	1665	425	5741	1123	8609	10091	9566	17926	19617	5030	5030	19944	14988	5156	4851	4714	16957	21735	17563	2663	2879	6221	5619	4158	2655	2723	11813	4275	4222	3284	1879	3177	2553	4648	3162
Tài sản dài hạn###Non-current Assets	954695	971495	992261	992261	1022488	1068735	1060012	1067495	1067890	1081494	1112984	1122644	1142170	1138649	1152378	1196486	1180449	1184006	1184006	1193392	1222240	1216753	1249154	1219099	1240905	1422075	1222074	1243215	1244017	1265137	1300705	1330532	1330920	1329556	1374535	1400834	1403050	1431553	1432330	1451699	1476206	1505467	1522088	1519326	1519934	1562931	1590280	1611477	1611826	1644424	1634246	1680889	1724181	1724181	1805192	1832204	1877747	1924319
Các khoản phải thu dài hạn###Long term Account Receivable	11295	11295	10292	10292	10292	5743	5743	5648	5648	5648	5648	5648	1061	1061	1061	1061	1061	974	974	974	974	974	890	890	890	890	890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	663235	695443	727297	727297	758082	791035	760203	768900	768900	793987	825342	857771	890992	890992	887601	910565	938235	969016	969016	998117	1022108	1053387	1083887	1083887	1105244	1140402	1139208	1192556	1168728	1186646	1214003	1277793	1273748	1273746	1327258	1350436	1350219	1370312	1376939	1408801	1434497	1462911	1474598	1476154	1519217	1560785	1587625	1606917	1609359	1642451	1633307	1679180	1721276	1721276	1802685	1830960	1875554	1922133
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-2325394	-2292668	-2258619	-2258619	-2227336	-2193203	-2159597	-2126378	-2126378	-2092390	-2058489	-2032799	-1999631	-1999631	-1962904	-1930500	-1898605	-1867133	-1867133	-1831366	-1799120	-1769311	-1738794	-1738794	-1708909	-1686756	-1660587	-1630942	-1630942	-1600848	-1570564	-1539827	-1509423	-1509423	-1478908	-1448561	-1420226	-1390725	-1390725	-1362154	-1332581	-1307581	-1272244	-1272206	-1258020	-1223228	-1188257	-1153208	-1152858	-1123120	-1131862	-1084807	-1038315	-1038315	0	0	-883560	-837034
