CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-4913	-4869	-4825	-4825	-4672	-4519	-4309	-4098	-4098	-3887	-3674	-3461	-3248	-3248	-3052	-2856	-2660	-2464	-2464	-2268	-2072	-1876	-1680	-1678	-1485	-1291	-1098	-905	-905	-711	-518	-401	-344	-344	-287	-229	-204	-147	-147	-88	-30	-29	-27	-27	-26	-24	-21	-19	-19	-16	-13	-11	-8	-8	-6	-5	-2	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	107190	107190	107190	107190	107190	107190	107190	107190	103000	103000	103000	103000	103000	103000	103000	103000	103000	103000	103000	103000	103000	103000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	31841	31327	29011	27690	30420	32281	32871	29639	29953	30082	32645	31272	31384	34642	31594	36517	40475	44415	44724	49718	54711	61614	37219	39819	36952	37877	39263	39148	40013	39493	38300	37846	38197	35137	35637	37454	38019	40163	44538	44582	46765	49067	51716	50205	49506	47763	41028	42844	42844	40397	36426	37415	27336	27336	27932	28624	24434	14948
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	450173	393933	386952	382183	470253	433940	403525	446985	447489	501547	578029	589065	569328	569193	580306	537208	529641	494444	494583	491034	447194	454834	399907	402536	353878	360131	310871	347017	347173	291973	287087	230434	240985	238152	239863	243842	212024	220261	224669	213180	220671	239273	226313	225954	190286	182903	160720	159236	158988	144535	157073	148224	162810	162810	150676	142663	101640	65023
Nợ phải trả ###Liabilities	103427	81860	94431	89632	104180	90798	90071	113978	113923	112327	94275	88495	100376	99577	90163	91664	84379	87448	89280	80924	78286	134399	114500	117799	101533	103295	77826	96812	97166	67769	61176	54832	54954	52067	66184	62641	30697	52728	55488	54732	59846	57361	57390	57177	41961	32304	34041	35535	35287	37360	40590	43306	34993	32995	35593	17063	15497	16932
Nợ ngắn hạn###Short term Liabilities	96988	75191	88249	83450	97923	84580	83873	107993	107938	106910	89063	83166	95412	94617	83331	85136	78103	82258	82545	73715	71233	123185	108451	109151	97245	99343	77370	96607	96939	67486	60961	54270	54592	51655	64479	61563	30096	52583	55350	54592	59670	57144	57173	57100	41959	32302	34039	35527	35279	37360	40621	43311	34993	32995	35593	17063	15460	16924
Nợ dài hạn###Long term Liabilities	6439	6669	6182	6182	6257	6218	6198	5985	5985	5417	5212	5329	4964	4960	6832	6528	6275	5190	6735	7209	7053	11214	6049	8648	4288	3951	455	205	227	283	215	561	362	412	1706	1078	601	145	138	140	176	217	217	77	2	2	2	8	8	0	-31	-6	0	0	0	0	37	7
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	346747	312073	292521	292551	366074	343142	313454	333007	333566	389220	483754	500570	468952	469617	490143	445544	445263	406996	405303	410110	368908	320435	285407	284737	252345	256836	233045	250205	250007	224203	225911	175602	186030	186085	173678	181200	181327	167532	169181	158447	160824	181912	168923	168778	148325	150599	126679	123701	123701	107175	116483	104918	127816	129815	115084	125600	86143	48091
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1999	3195	2955	1831	0
Vốn chủ sở hữu ###Owners equity	346747	312073	292521	292551	366074	343142	313454	333007	333566	389220	483754	500570	468952	469617	490143	445544	445263	406996	405303	410110	368908	320435	285407	284737	252345	256836	233045	250205	250007	224203	225911	175602	186030	186085	173678	181200	181327	167532	169181	158447	160824	181912	168923	168778	148325	150599	126679	123701	123701	107175	116483	104918	127816	127816	111888	122646	84312	48091
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287087	230434	240985	238152	239863	243842	212024	220261	224669	213180	220671	239273	226313	225954	190286	182903	160720	159236	158988	144535	157448	148224	162810	0	150676	142663	101640	65023



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	Q3 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	120959	98259	516457	134251	130696	140885	110625	577127	139645	157961	159577	119945	581906	155847	141296	157364	127499	583753	169706	148226	149404	116417	507859	158268	133030	127756	88805	392192	108281	97638	104585	81688	323250	89297	78948	92876	62129	280084	88902	66103	70534	54545	279806	73586	75005	75023	56191	258038	70449	67677	69813	50100	214822	64476	49038	167939	40840	130830
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	120959	98259	516457	134251	130696	140885	110625	577127	139645	157961	159577	119945	581906	155847	141296	157364	127499	583753	169706	148226	149404	116417	507859	158268	133030	127756	88805	392192	108281	97638	104585	81688	323250	89297	78948	92876	62129	280084	88902	66103	70534	54545	279806	73586	75005	75023	56191	258038	70449	67677	69813	50100	214822	64476	49038	167939	40840	130830
Giá vốn hàng bán###Cost of goods sold	70594	69094	361761	91756	96389	97936	75670	380170	96670	105714	100663	77814	340048	89107	85834	87149	77552	338010	107505	88185	82717	67139	321948	103061	82688	80466	56766	251630	69187	62615	64408	54387	225766	70378	53053	60602	42035	187925	57895	44644	47588	37557	165093	43995	44038	41119	36464	152371	43124	39075	42445	27728	120785	35526	26885	101760	22253	97310
Lợi nhuận gộp###Gross profit	50365	29165	154696	42494	34307	42949	34956	196957	42975	52247	58914	42131	241858	66741	55462	70214	49947	245743	62200	60040	66687	49279	185911	55207	50343	47290	32039	140562	39095	35023	40176	27301	97484	18919	25895	32274	20094	92159	31007	21459	22946	16988	114713	29591	30967	33904	19728	105667	27325	28602	27368	22372	94038	28950	22153	66179	18587	33519
Doanh thu hoạt động tài chính###Financial activities Revenues	416	242	10574	9015	734	295	529	20299	6563	1925	9174	2637	15379	2431	8100	2358	2472	6981	1860	1690	1377	2054	7319	2011	1950	1567	1790	7286	1978	1809	1673	1925	10541	2752	3059	2208	2522	11674	2630	2387	3205	3424	11443	2999	3566	2784	2078	7090	1858	2009	1354	1869	4452	1491	1258	3922	1901	473
Chi phí tài chính###Financial Expenses	0	0	0	0	0	0	0	272	16	0	257	0	289	0	60	229	1	506	19	17	266	210	682	93	166	139	284	188	188	0	0	0	1107	473	613	20	0	118	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí bán hàng###Selling Expenses	652	619	4679	1436	1125	799	1319	4363	1810	1431	553	550	3897	1539	500	83	1064	3959	959	1566	445	990	3030	610	727	740	612	2607	1056	530	674	347	2585	1059	375	605	618	2183	683	510	697	294	2467	1176	469	296	526	3235	786	670	1321	333	2835	770	654	2471	497	1500
Chi phí quản lý doanh nghiệp###Managing Expenses	2787	1708	10410	5737	1540	1895	1210	11991	5085	2940	2528	1357	15734	6982	3638	3687	359	18991	2987	4174	1486	2541	10375	3937	2620	2294	1862	11028	4273	2025	2449	1778	7360	2501	1555	1486	2003	6673	2221	1386	1519	1279	6750	2555	1764	1349	1074	5661	1792	1261	1644	978	4349	1799	962	5241	1201	4919
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	47342	27081	150179	44337	32376	40550	32955	200630	42627	49801	64751	42861	237317	60651	59363	68575	50996	229267	60095	55974	65868	47592	179143	52578	48779	45683	31071	134024	35556	34276	38727	27102	96973	17637	26410	32371	19995	94858	30733	21950	23817	18839	116938	28860	32300	35043	20207	103861	26606	28680	25758	22930	91306	27872	21795	62389	18788	27573
Thu nhập khác###Other incomes	0	0	3601	3601	0	0	0	37787	0	37787	0	0	1468	0	0	0	0	2569	0	0	0	0	0	0	0	0	0	1923	0	0	0	11	0	0	0	0	0	1	0	0	1	0	760	0	53	1	706	17	8	2	1	5	4659	37	1679	5564	0	1190
Chi phí khác###Other Expenses	281	415	2087	683	1224	166	14	8769	320	7553	0	0	981	8	52	910	10	106	100	0	0	0	18418	7917	2	11255	0	2141	0	0	2139	2	133	75	56	0	2	6	0	0	6	0	27	0	0	22	4	331	328	1	0	2	276	81	109	625	0	2141
Lợi nhuận khác###Other profits	-281	-415	1514	2918	-1224	-166	-14	29018	-320	30234	0	0	488	-8	-52	-910	-10	2463	-100	0	0	0	-18418	-7917	-2	-11255	0	-218	0	0	-2139	10	-133	-75	-56	0	-2	-5	0	0	-5	0	733	0	53	-22	702	-314	-320	1	1	3	4383	-43	1570	4939	0	-951
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	47061	26666	151694	47254	31152	40384	32942	229648	42307	80035	64751	42861	237805	60643	59311	67665	50986	231730	59995	55973	65868	47592	160724	44661	48777	34428	31071	133807	35555	34276	36587	27111	96840	17562	26354	32371	19993	94853	30733	21950	23813	18839	117672	28860	32352	35022	20909	103547	26286	28681	25759	22933	95689	27828	23365	67328	18788	26622
Chi phí thuế TNDN###Corporate Income Tax Expenses	9358	5416	28964	8039	6231	8110	6591	43839	7497	16007	11550	8532	47169	12581	10834	13715	10199	46849	12500	11195	13174	9518	37278	10044	10771	8568	6836	29557	7941	7541	8049	5965	24819	4514	6603	0	0	17202	0	0	0	4727	28799	7134	7940	8660	5002	24925	6403	6901	6145	5476	16614	0	2299	0	0	453
Chi phí thuế TNDN###Corporate Income Tax Expenses	9353	5400	30160	8114	6192	8090	6596	44359	8578	15803	11872	8167	46805	13225	10529	13463	9752	40615	12975	11039	7150	9299	41569	12115	10835	11287	7147	32233	8876	7976	9307	6456	27528	5219	6676	7113	4799	17977	1735	3881	6040	4727	28773	-344	7940	8567	5002	24925	6403	6901	6173	5476	16614	10023	2299	0	0	453
Chi phí thuế TNDN###Corporate Income Tax Expenses	5	17	-1197	-75	39	20	-5	-520	-1081	204	-322	366	364	-644	304	252	448	6233	-474	156	6024	219	-4291	-2070	-64	-2719	-311	-2676	-935	-435	-1258	-491	-2709	-705	-73	980	200	-775	112	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	37703	21250	122730	39215	24921	32274	26351	185809	34810	64028	53201	34328	190636	48062	48477	53950	40787	184881	47495	44778	52694	38073	123446	34616	38006	25860	24235	104250	27614	26735	28538	21146	72021	13049	19752	24279	14994	77651	28885	18068	17772	14112	88873	29205	24412	26454	15907	78622	19883	21780	19586	17457	79074	17805	21065	67328	18788	26170
---Cac Chi So Tai Chinh---																																																										
EBITDA	0.56	0.47	0.42	0.42	0.21	0.21	0.12	0.04	0.04	0.01	0.04	0.19	0.22	0.22	0.74	0.26	0.41	0.48	0.48	0.33	0.21	0.24	0.22	0.22	0.23	0.26	0.42	0.43	0.43	0.50	0.46	0.51	0.59	0.59	0.54	0.60	0.62	0.65	0.65	0.59	0.51	0.62	0.67	0.67	0.75	0.82	0.64	0.61	0.61	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	45.60	42.30	48.60	48.60	45.44	48.34	45.53	41.42	41.42	41.22	36.61	33.27	34.48	34.48	37.08	39.81	35.43	33.38	33.38	43.04	30.86	23.80	20.42	20.42	18.29	16.90	17.07	15.16	15.16	13.05	11.45	11.85	9.06	9.06	8.30	8.50	8.33	6.00	6.00	5.39	5.04	4.97	4.01	4.01	3.79	3.54	4.04	4.71	4.71	4.94	6.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00
