CAN DOI KE TOAN	 2019	 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	 2010	 2009
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-201	-207	-30	-25	-197	-161	-161	-137	-113	-89	-109	-65	-41	0	0	0	0	0	0	0	0	0	0	0	0	-11	-11	-10	-10	-9	-16	-13	-10	-7	-7	-7	-4	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	40000	40000	70000	70000	70000	0	0	0	0	0	0	0	0	0	0	70000	70000	70000	70000	0	70000	70000	70000	70000	70000	70000	70000	0	0	0	0	626	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	50	0	4	4	0	0	0	36	47	68	39	51	70	63	71	71	74	20	28	42	42	43	83	63	68	61	51	145	305	454	336	626	872	1053	1044	1044	1348	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	115593	117841	121656	117623	111261	135229	117357	139629	169390	143010	146871	126525	123819	121845	126736	127132	141556	141131	139671	130978	130978	144330	119998	159805	120324	120324	132340	117416	47637	59874	59808	43043	53483	53205	53458	53458	32081	29048
Nợ phải trả ###Liabilities	11699	14051	28307	24300	7602	30330	12795	35037	64838	38505	42616	22377	20005	17265	22892	23164	38075	38021	36930	28304	28304	41734	18217	58056	18782	18585	30588	15900	15896	28323	28229	11545	22073	21867	22215	22215	13734	0
Nợ ngắn hạn###Short term Liabilities	11699	14051	28307	24300	7602	30330	12795	35037	64838	38505	42363	22124	19751	17011	22638	22910	37356	37303	36212	27585	27055	41056	17883	57722	18249	18052	30054	15367	15363	27790	27596	10862	21339	21134	21482	21482	12484	10817
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	254	254	254	254	254	254	719	719	719	719	1249	678	334	334	534	534	534	534	534	534	633	683	733	733	733	733	1250	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	103894	103789	93349	93324	103660	104899	104562	104592	104552	104505	104255	104148	103815	104580	103844	103968	103481	103110	102741	102675	102675	102595	101781	101749	101542	101739	101752	101516	31740	31551	31578	31498	31410	31338	31243	31243	18347	0
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	103894	103789	93349	93324	103660	104899	104562	104592	104552	104505	104255	104148	103815	104580	103844	103968	103481	103110	102741	102675	102675	102595	101781	101749	101542	101739	101752	101516	31740	31551	31578	31498	31410	31338	31243	31243	18347	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119998	159805	120324	120324	132340	117416	47637	59874	59808	43043	53483	53205	53458	0	32081	0



KET QUA KINH DOANH	 2019	Q2 2019	 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	115036	2153	61555	1779	13360	71766	16756	7580	22240	24393	151168	29782	24681	38109	59662	198973	45428	52944	61716	39145	177222	33967	42661	55772	44822	321732	84910	75353	85816	75653	125248	55698	24956	22389	22205	106279	40173	32543
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	6	13	0	116	80	29	47	2	0	11	1	10	0	0	13	0	0	0	13	108	0	217	0	0	0	0	0	0	0	17	246	0
Doanh thu thuần###Net Sales	115036	2153	61555	1779	13360	71766	16750	7567	22240	24277	151088	29753	24634	38107	59662	198962	45428	52934	61716	39145	177209	33967	42661	55772	44809	321624	84910	75136	85816	75653	125248	55698	24956	22389	22205	106261	39927	32543
Giá vốn hàng bán###Cost of goods sold	114330	2362	60858	1663	13078	70051	16503	7048	21597	23651	146880	29002	23750	37200	58049	194962	44242	51871	60600	38562	173944	33360	41372	55124	44088	317933	83960	74348	84841	74786	122123	54908	24157	21331	21752	102570	34993	28911
Lợi nhuận gộp###Gross profit	706	-209	697	116	282	1716	247	518	643	626	4208	751	883	907	1613	4000	1186	1063	1116	583	3265	607	1289	647	721	3691	951	789	976	867	3125	790	799	1058	453	3692	4934	3631
Doanh thu hoạt động tài chính###Financial activities Revenues	300	0	4	0	1	237	0	176	203	0	5	0	1	1	2	5	1	2	1	1	4	1	1	2	1	10	2	2	3	3	8	1	2	3	2	6	6	11
Chi phí tài chính###Financial Expenses	0	0	0	0	0	70	3	29	15	24	162	31	33	41	56	244	60	59	57	68	247	76	60	62	48	238	80	99	40	47	270	46	48	55	60	113	84	915
Chi phí bán hàng###Selling Expenses	0	0	0	72	32	511	6	154	149	171	768	172	209	18	369	486	201	129	64	86	556	92	133	178	152	977	286	157	166	260	943	230	301	278	139	939	1305	119
Chi phí quản lý doanh nghiệp###Managing Expenses	884	82	297	13	70	1054	8	330	264	195	958	424	323	328	246	1593	331	442	273	375	967	364	97	220	287	1659	361	230	496	311	1382	415	335	498	130	1436	694	2229
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	122	-291	404	32	180	317	230	182	419	237	2326	125	320	521	943	1682	594	434	723	55	1498	75	999	189	235	827	256	305	276	252	538	101	117	230	126	1211	2859	380
Thu nhập khác###Other incomes	11	0	13	0	48	106	39	1001	-532	532	169	60	97	64	0	120	30	30	30	30	253	30	160	30	33	80	70	10	0	0	14	14	0	0	0	18	22	0
Chi phí khác###Other Expenses	2	0	204	0	40	802	339	805	-378	710	201	52	0	201	0	3	0	0	0	0	131	5	116	7	3	343	343	0	0	0	7	7	0	0	0	14	21	0
Lợi nhuận khác###Other profits	9	0	-190	0	8	-695	-300	196	-154	-179	-31	8	97	-138	0	117	30	30	30	30	123	25	44	23	30	-263	-273	10	0	0	7	7	0	0	0	5	1	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	131	-291	213	32	188	-378	-70	379	265	58	2295	133	417	383	943	1799	624	464	753	85	1621	100	1043	212	265	564	-17	315	277	252	545	108	117	230	126	1215	2860	380
Chi phí thuế TNDN###Corporate Income Tax Expenses	26	0	83	6	38	467	0	97	44	12	493	27	83	99	206	412	137	93	166	19	355	21	229	47	58	141	0	79	0	0	136	0	0	0	32	213	715	66
Chi phí thuế TNDN###Corporate Income Tax Expenses	26	0	83	6	38	467	0	97	44	12	493	27	83	99	206	412	137	93	166	19	355	21	229	47	58	141	0	79	69	63	136	27	29	57	32	213	715	66
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	104	-291	130	26	151	-846	-70	282	221	46	1803	107	333	284	737	1387	487	371	587	66	1266	79	815	165	207	423	-17	236	207	189	409	81	88	172	95	1003	2145	313
---Cac Chi So Tai Chinh---																																						
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	1.40	1.00	0.70	1.70	3.00	3.00	3.00	2.90	2.30	2.20	1.80	1.80	2.20	3.10	3.10	2.90	2.90	3.48	4.73	5.02	7.25	7.25	19.42	16.91	16.62	16.52	16.52	16.52	17.10	14.10	13.62	13.62	13.82	14.10	12.46	0.00	0.00	0.00
