CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-26	-26	-26	0	-101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1936	1900	1900	1963	1910	2179	2179	1910	1910	1910	1910	1910	10	10	10	10	10	10	0
Tài sản dài hạn khác###Other long term assets	1262	1476	1176	1176	1593	2152	2758	2802	2802	3514	4752	5340	6317	6317	5292	5533	5642	6485	6485	4560	6203	2195	1733	1733	2345	2907	4985	2938	2938	2944	3097	216	489	489	614	835	882	984	984	1132	1703	2141	2669	2669	622	786	649	666	666	688	685	822	795	795	1038	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	694875	726876	792415	792415	744856	605680	651361	653755	653755	599053	549725	501671	554368	554368	495570	520791	492515	491379	491379	424951	392568	381773	397805	397805	360418	329145	353130	341105	341105	323312	321273	293989	274489	274489	244627	237148	229002	225416	225380	215266	219381	191731	198007	198007	185314	195649	173179	172189	172189	147097	138139	132819	133098	133096	108603	99513
Nợ phải trả ###Liabilities	215944	215313	298154	298154	273576	155149	221777	204952	204952	178850	171998	169852	206468	206468	167821	210782	199880	189619	189619	145179	129909	135519	139784	139784	118980	103757	139561	117414	117414	113389	149990	131757	102865	102865	86405	88779	89900	76929	76968	103602	115324	95468	94907	94907	87730	102637	74571	77459	77459	56682	51673	49806	53303	51331	35153	55838
Nợ ngắn hạn###Short term Liabilities	215944	215313	298154	298154	273576	155149	221777	204952	204952	178850	171998	169852	202468	202468	164821	196737	198880	172619	189619	145179	129909	135519	139784	139784	118980	98757	134561	112414	112414	108389	124990	118907	102865	102865	86405	86130	86639	74280	73503	86002	97329	82122	74952	74952	73356	87264	58327	62250	62250	38406	44147	42069	45443	43472	27079	31394
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	4000	4000	3000	14045	1000	17000	0	0	0	0	0	0	0	5000	5000	5000	5000	5000	25000	12849	0	0	0	2650	3261	2650	3465	17600	17996	13347	19954	19954	14373	15373	16244	15209	15209	18276	7526	7737	7859	7859	8075	24444
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	478931	511563	494261	494261	471280	450530	429584	448803	448803	420203	377727	331818	347900	347900	327749	310009	292635	301760	301760	279771	262659	246254	258021	258021	241438	225389	213569	223691	223691	209923	171283	162232	171625	171625	158222	148369	139102	148487	148412	111664	104057	96263	103100	103100	97584	93011	98608	94730	94730	90414	86466	83013	79795	81765	73450	0
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1971	1162	0
Vốn chủ sở hữu ###Owners equity	478931	511563	494261	494261	471280	450530	429584	448803	448803	420203	377727	331818	347900	347900	327749	310009	292635	301760	301760	279771	262659	246254	258021	258021	241438	225389	213569	223691	223691	209923	171283	162232	171625	171625	158222	148369	139102	148487	148412	111664	104057	96263	103100	103100	97584	93011	98608	94730	94730	90414	86466	83013	79795	79793	72288	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321273	293989	274489	274489	244627	237148	229002	225416	225380	215266	219381	191731	198007	198007	185314	195649	173179	172189	172189	147097	138139	132819	133098	0	108603	99513



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	230258	251646	1310017	399710	344832	275188	290287	1164935	356248	285533	264380	258774	978332	308437	237061	216578	216255	883288	260657	233754	181183	207694	763175	234609	189188	151662	185880	628455	178860	164720	139955	145022	562716	175414	135011	131213	120606	417108	116342	99647	101805	99313	325242	98984	88887	75953	66716	228180	67826	63704	51100	45550	156944	45103	115307	0
Các khoản giảm trừ doanh thu###Deduction revenues	361	12	488	168	194	89	38	334	202	43	73	16	179	60	46	30	43	543	101	280	137	25	198	0	0	72	126	932	154	332	402	44	2016	1067	87	256	617	164	93	44	17	11	524	32	168	274	50	250	132	3	9	106	40	5	128	0
Doanh thu thuần###Net Sales	229897	251633	1309529	399542	344639	275099	290249	1164601	356046	285490	264306	258758	978153	308377	237016	216549	216212	882745	260555	233475	181045	207669	762977	234609	189188	151590	185754	627524	178706	164388	139553	144978	560700	174348	134924	130957	119989	416943	116248	99604	101789	99303	324719	98952	88720	75173	66665	227930	67694	63701	51091	45444	156905	45098	115178	74456
Giá vốn hàng bán###Cost of goods sold	196761	204211	1073852	326674	286151	221513	239513	976249	303546	236542	217470	218691	804222	260511	192028	175503	176180	714851	212863	192528	140717	168710	629962	197755	153983	122335	153878	519131	148126	136591	112436	121487	464002	143132	111650	108001	100774	340331	92133	81474	84021	82703	277394	85124	76315	63795	56951	191002	56456	53736	43550	37258	128249	37790	94506	60955
Lợi nhuận gộp###Gross profit	33137	47422	235677	72868	58487	53586	50736	188352	52500	48948	46837	40067	173931	47866	44988	41046	40031	167894	47693	40947	40328	38959	133015	36853	35205	29255	31876	108392	30579	27797	27117	23491	96698	31216	23274	22956	19215	76612	24115	18130	17767	16600	47324	13827	12405	11378	9714	36929	11238	9965	7541	8185	28655	7309	20672	13501
Doanh thu hoạt động tài chính###Financial activities Revenues	1415	478	3243	729	870	1129	427	1573	1277	51	61	184	1036	380	50	309	297	619	186	77	204	119	429	168	36	75	150	419	80	76	-1421	1684	664	141	25	96	426	603	62	178	226	217	2770	508	756	752	754	893	221	44	281	347	666	277	510	109
Chi phí tài chính###Financial Expenses	1264	1727	3935	1297	996	634	921	4079	806	1153	904	1217	4612	963	1325	1074	1249	3450	1488	231	1413	317	3152	1105	403	1288	356	3861	1135	722	1558	446	1526	19	403	678	429	5849	737	1793	1667	1778	9509	2545	2905	2179	1880	4055	1475	1321	633	625	2435	694	3742	1968
Chi phí bán hàng###Selling Expenses	7550	8395	40886	15219	9749	7442	8476	31744	10167	7235	6747	7595	23349	9298	5133	4359	4559	9494	4386	2348	1293	1467	6991	2792	1597	1052	1550	4743	1514	1311	993	924	3667	1398	758	610	949	3058	1139	583	835	500	1843	609	394	476	363	1111	437	221	218	235	949	296	606	316
Chi phí quản lý doanh nghiệp###Managing Expenses	15769	15477	90195	29215	23360	21279	16340	58688	15547	13283	17850	12009	51545	11593	13351	13378	13222	69166	14436	18799	17918	18012	48527	11743	12717	11557	12684	42155	10625	10498	10638	10985	35713	9873	9040	9462	7305	30026	9110	6643	6735	7538	16370	5798	3754	3682	3136	12188	3258	3196	2359	3375	7772	2600	4754	3556
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	9969	22301	103904	27866	25252	25360	25426	95414	27258	27329	21396	19431	95460	26392	25227	22543	21298	86403	27568	19644	19908	19282	74774	21382	20524	15433	17436	58054	17385	15342	12507	12820	56457	20067	13098	12302	10959	38617	13191	9288	8756	7000	22642	5384	6109	5792	5088	20467	6288	5271	4612	4297	18166	3996	12080	7770
Thu nhập khác###Other incomes	-53	145	3449	969	1029	1078	373	5768	235	1586	639	5236	46578	118	20002	26337	121	2794	245	1857	638	54	810	59	77	69	605	1229	408	304	-1668	2186	863	768	41	32	22	599	190	13	7	390	202	24	25	28	126	41	18	8	6	9	407	107	39	20
Chi phí khác###Other Expenses	-100	348	0	0	0	0	0	5259	0	2521	0	4666	51125	1036	22967	27122	0	72	68	0	4	0	0	0	0	0	0	0	0	0	-1696	1696	800	720	0	85	0	372	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	57	0
Lợi nhuận khác###Other profits	47	-203	3449	969	1029	1078	373	509	235	-935	639	570	-4547	-917	-2965	-785	121	2722	177	1857	634	54	810	59	77	69	605	1229	408	304	28	489	64	48	41	-52	22	227	190	13	7	18	202	24	25	28	126	41	18	8	6	9	407	107	-18	20
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	10016	22098	107353	28835	26281	26439	25799	95923	27493	26394	22036	20001	90913	25475	22262	21757	21419	89125	27746	21501	20542	19336	75584	21441	20600	15502	18041	59283	17792	15646	12536	13309	56520	20115	13139	12250	10980	38844	13381	9301	8826	7018	22844	5407	6134	5820	5215	20509	6306	5279	4618	4306	18573	4103	12062	7790
Chi phí thuế TNDN###Corporate Income Tax Expenses	2003	4420	21471	5767	5256	5288	5160	19185	5499	5279	4407	4000	18183	5095	4452	4351	4284	17842	5565	4300	4110	3867	16584	4704	4524	3398	3958	12999	3901	3433	2401	3264	14093	5010	3269	0	0	6488	0	0	0	1776	4218	1712	1533	1455	1304	5127	1577	1320	1154	1077	1625	0	1531	571
Chi phí thuế TNDN###Corporate Income Tax Expenses	2003	4420	21471	5767	5256	5288	5160	19185	5499	5279	4407	4000	18183	5095	4452	4351	4284	17842	5565	4300	4110	3867	16584	4704	4524	3398	3958	12999	3901	3433	2401	3264	14093	5010	3269	2967	2752	6488	2083	1602	1018	1776	4218	1712	1533	1455	1304	5127	1577	1320	1154	1077	1625	359	1531	571
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	8013	17678	85883	23068	21025	21151	20639	76738	21994	21115	17629	16000	72730	20380	17810	17406	17135	71283	22181	17201	16433	15469	58999	16737	16076	12104	14082	46284	13891	12213	10135	10045	42427	15105	9870	9282	8229	32357	11298	7699	7807	5242	18626	3696	4600	4365	3911	15382	4730	3959	3463	3230	16948	3744	10531	7219
---Cac Chi So Tai Chinh---																																																								
EBITDA	0.38	0.45	-0.19	-0.19	0.09	-0.10	0.12	0.16	0.16	0.11	0.28	0.26	0.53	0.53	1.00	0.28	0.13	-0.01	-0.01	-0.23	0.38	0.32	0.26	0.26	0.22	0.05	-0.11	-0.06	-0.06	-0.13	-0.09	0.28	0.74	0.74	0.55	0.27	0.37	0.00	0.00	0.06	0.16	0.16	0.38	0.38	0.53	0.60	0.82	0.85	0.85	0.92	1.08	-0.40	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	23.06	21.22	27.03	27.03	29.80	32.29	26.09	26.01	26.01	29.23	29.84	34.92	37.91	37.91	37.63	33.62	34.72	35.54	35.54	32.64	25.92	22.31	18.63	18.63	19.68	19.58	16.38	16.78	16.78	16.28	13.11	12.61	10.84	10.84	7.88	7.88	6.50	4.92	4.92	3.87	3.63	4.34	4.17	4.17	3.18	3.09	3.45	3.51	3.51	4.02	4.71	3.96	0.00	0.00	0.00	0.00
