CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	 2013	 2012
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	52197	52636	52636	53076	53516	53955	54395	54708	54323	54933	55543	56154	56154	56764	57374	57985	58595	58595	59205	59816	60426	61037	61037	63478	65920	68361
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	869	869	869	869	3123	3123	3123	3123	3123	5451	6920	5451	5451	5451	6920	6920	6920	8801	8801	8801	8801	28663	46238
Tài sản dài hạn khác###Other long term assets	58	58	58	58	58	58	68	68	77	87	97	107	107	117	127	137	147	147	159	170	615	714	714	2157	2800	3491
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	620018	620814	622632	623263	624514	627277	626884	629321	627515	634074	633080	641014	652784	648103	657580	652509	657399	658083	652641	652739	649741	653982	653974	663809	511064	638150
Nợ phải trả ###Liabilities	496495	497511	497480	495300	496114	496967	495805	495836	496303	502405	501228	508297	514978	519581	521262	515853	519695	518115	515158	515283	511021	515397	515402	536953	500840	446461
Nợ ngắn hạn###Short term Liabilities	96662	97556	97525	95225	95918	95170	97184	95341	405715	101383	97129	104077	110759	110048	110014	107507	110947	129100	105650	105581	98048	99130	119349	95629	171540	179492
Nợ dài hạn###Long term Liabilities	399832	399955	399955	400075	400196	401798	398621	400494	90587	401022	404099	404219	404219	409533	411248	408346	408748	389015	409508	409702	412974	416267	396053	441324	329299	266970
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	123523	123303	125153	127963	128401	130309	131080	133485	131212	131669	131852	132718	137806	128523	136318	136657	137705	139967	137482	137456	138720	138585	138571	126856	10224	191688
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	123523	123303	125153	127963	128401	130309	131080	133485	131212	131669	131852	132718	137806	128523	136318	136657	137705	139967	137482	137456	138720	138585	138571	126856	10224	191688
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	464	40736	16186	11005	7596	5948	34310	8624	18055	6353	1279	122744	33708	75361	5606	8069	44817	11376	9791	15489	8619	51885	12872	59774	30057	135157
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	26	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	464	40736	16186	11005	7596	5948	34310	8624	18055	6353	1279	122744	33708	75361	5606	8069	44791	11376	9765	15489	8619	51885	12872	59774	30057	135156
Giá vốn hàng bán###Cost of goods sold	808	40342	15533	10119	7179	5660	26876	3088	16920	5541	1383	109659	20311	85654	5588	7354	37421	7468	8817	12629	6807	41614	11502	53344	59242	153812
Lợi nhuận gộp###Gross profit	-344	394	654	886	417	288	7434	5536	1135	812	-104	13085	13396	-10293	18	715	7370	3908	948	2860	1813	10271	1370	6430	-29185	-18655
Doanh thu hoạt động tài chính###Financial activities Revenues	2650	2462	81	864	847	670	3181	824	757	783	817	1376	888	439	18	32	62	48	11	-173	2	25	16	29	1820	8748
Chi phí tài chính###Financial Expenses	538	3027	1430	532	532	532	4415	883	4	575	698	4895	0	0	0	0	4043	0	0	0	0	2727	-10557	-5398	133018	7318
Chi phí bán hàng###Selling Expenses	0	0	0	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1546	7574	2105	0	2497	1119	7013	3284	1985	1130	581	6590	2354	2140	402	1695	7211	2391	917	2123	1780	-3966	-9609	7686	21698	10976
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	221	-7745	-2801	-638	-1764	-692	-812	2193	-98	-110	-566	2975	11931	-11994	-367	-949	-3822	1566	41	564	34	11536	21552	4171	-182082	-28201
Thu nhập khác###Other incomes	0	229	0	200	20	9	364	277	0	4	336	3183	0	3054	79	50	5390	334	150	100	0	195	0	344	664	178
Chi phí khác###Other Expenses	1	261	9	0	164	87	1045	163	167	124	590	1657	338	1118	98	102	533	107	145	106	0	2	2	162	47	194
Lợi nhuận khác###Other profits	-1	-32	-9	200	-144	-78	-681	113	-167	-120	-253	1526	-338	1936	-19	-52	4856	227	5	-6	0	193	-2	182	617	-15
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	221	-7777	-2810	-438	-1909	-771	-1494	2306	-265	-230	-819	4502	11593	-10058	-386	-1001	1034	1792	46	558	34	11729	21550	4353	-181464	-28217
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	9488	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	9488	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	221	-7777	-2810	-438	-1909	-771	-1494	2306	-265	-230	-819	-4987	11593	-10058	-386	-1001	1034	1792	46	558	34	11729	21550	4353	-181464	-28222
---Cac Chi So Tai Chinh---																										
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.60	0.90	0.90	0.60	1.00	1.20	1.50	1.50	2.10	2.10	1.20	1.40	1.40	2.00	1.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
