CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010	 2009
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	0	0
Tài sản dài hạn khác###Other long term assets	112	147	147	147	200	277	147	241	224	249	546	554	751	200	130	471	26	572	35	44	403	45	558	0	0	432	159	198	28	170	170	246	331	331	254	309	0	0	673	243	23	47	57
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	84428	87344	91101	91110	96668	92702	95119	93149	97183	102670	93806	97153	96247	94830	97881	103903	112572	109086	110410	89100	80501	71561	67068	68446	72557	69389	72692	63364	65184	66663	61195	43349	43184	43184	45209	44888	42155	42393	41978	41358	47839	7821	5797
Nợ phải trả ###Liabilities	13594	15158	17254	17264	19524	15393	17848	15882	17651	22478	16438	18627	17241	16181	18069	25722	32585	30236	31302	28600	17647	11504	9228	10037	11951	10716	15727	7708	9044	11305	5969	5700	5747	5794	7973	7324	4576	5054	4593	4004	10884	5299	3923
Nợ ngắn hạn###Short term Liabilities	13594	15158	17254	17264	19524	15253	17848	15670	17651	22478	15916	17913	16527	16181	18069	24555	32585	29068	31302	28600	16375	11504	9228	10037	11951	10716	15727	7708	9044	11305	5969	5700	5747	5794	4973	7324	4576	5054	4593	4004	10884	4464	3788
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	140	0	211	0	0	523	714	714	0	0	1168	0	1168	0	0	1272	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	836	135
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	70834	72186	73847	73846	77144	77308	77271	77268	79532	80192	77368	78527	79007	78649	79812	78181	79987	78850	79109	60500	62853	60056	57840	58409	60607	58673	56965	55656	56140	55358	55226	37649	37437	37391	37236	37565	37579	37339	37385	37354	36955	2522	1874
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	70834	72186	73847	73846	77144	77308	77271	77268	79532	80192	77368	78527	79007	78649	79812	78181	79987	78850	79109	60500	62853	60056	57840	58409	60607	58673	56965	55656	56140	55358	55226	37649	37437	37391	37236	37565	37579	37339	37385	37354	36955	2522	1874
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61195	43349	43184	43184	0	44888	42155	42393	41978	41358	47839	7821	5797



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	7	127	11238	2648	4898	303	3346	161925	641	136435	7444	17200	38916	4632	4159	17261	13251	89977	23683	14059	19885	30182	74471	27442	20086	18409	9202	20787	4490	6948	4636	4713	38871	12083	9157	9455	8176	25051	9634	7349	44828	12556	8695
Các khoản giảm trừ doanh thu###Deduction revenues	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	-151	127	11238	2648	4898	303	3346	161925	641	136435	7444	17200	38916	4632	4159	17261	13251	89977	23683	14059	19885	30182	74471	27442	20086	18409	9202	20787	4490	6948	4636	4713	38871	12083	9157	9455	8176	25051	9634	7349	44828	12556	8695
Giá vốn hàng bán###Cost of goods sold	-194	51	10767	2671	4482	276	3297	156060	564	131841	7253	16131	33726	3585	2870	16758	10495	76408	20862	11931	13278	26268	63435	25570	16477	12792	7195	16524	2092	6099	3583	3919	29143	8868	7725	5895	6793	20485	8297	5695	36540	11665	8207
Lợi nhuận gộp###Gross profit	43	76	470	-23	416	28	49	5865	77	4594	191	1069	5189	1047	1289	502	2756	13569	2822	2128	6607	3915	11036	1871	3609	5617	2007	4264	2398	849	1053	794	9728	3215	1432	3559	1383	4566	1337	1655	8288	891	488
Doanh thu hoạt động tài chính###Financial activities Revenues	0	0	520	0	260	260	0	63	0	21	21	21	2313	161	687	1373	1	109	1	0	0	0	3	2	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	78	0	0
Chi phí tài chính###Financial Expenses	360	93	279	79	81	109	14	380	100	104	73	103	457	169	117	129	81	404	142	51	117	36	0	0	0	0	0	0	0	0	0	0	6	3	0	3	0	2	0	0	371	234	106
Chi phí bán hàng###Selling Expenses	21	137	603	155	137	137	174	1525	114	139	303	41	1023	127	202	339	314	3043	661	648	1264	469	3009	1578	466	826	67	1459	719	277	382	74	6758	2089	914	2922	693	1836	634	960	4728	494	256
Chi phí quản lý doanh nghiệp###Managing Expenses	39	449	3546	1546	627	649	724	1952	1298	690	-76	183	2955	709	444	367	1163	5236	2391	607	1345	639	4951	3110	916	2352	435	1804	677	379	540	438	2769	897	847	653	371	1787	666	431	985	126	116
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-378	-604	-3438	-1802	-169	-608	-863	2071	-1434	3683	-88	764	3067	203	1213	1040	1199	4996	-371	822	3881	2770	3079	-2815	2228	2439	1506	1002	1002	193	131	283	197	226	-329	-19	319	943	38	264	2282	37	10
Thu nhập khác###Other incomes	0	0	1544	491	0	-230	2000	807	930	0	-318	318	33	32	27	-222	222	4034	54	2554	54	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	323	283	0	0	30	0
Chi phí khác###Other Expenses	605	1057	1455	2088	0	-965	1049	2605	1487	96	-306	628	2232	58	26	2401	0	4443	-1703	5571	386	0	255	0	0	-2	177	0	0	0	0	0	0	0	0	0	0	800	288	0	0	55	0
Lợi nhuận khác###Other profits	-605	-1057	88	-1597	0	735	951	-1798	-557	-96	-12	-310	-2199	-26	1	-2623	222	-409	1757	-3017	-332	0	-255	0	0	2	-77	0	0	0	0	0	0	0	0	0	0	-476	-5	0	0	-25	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-983	-1661	-3350	-3400	-169	126	88	273	-1992	3587	-100	454	868	177	1214	-1584	1421	4587	1385	-2195	3549	2770	2824	-2815	2228	2440	1428	1002	1002	193	131	283	197	226	-329	-19	319	466	33	264	2282	12	10
Chi phí thuế TNDN###Corporate Income Tax Expenses	477	0	72	-102	0	89	85	97	0	763	-13	91	711	3	252	222	284	1078	277	158	752	554	640	0	490	537	314	283	220	61	53	71	100	56	0	-5	0	82	0	0	399	8	3
Chi phí thuế TNDN###Corporate Income Tax Expenses	477	0	72	-102	0	89	85	97	0	763	-13	91	739	3	252	216	284	1180	277	158	752	554	657	0	490	537	314	283	220	61	53	71	100	56	0	-5	80	82	2	46	399	8	3
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	-28	0	0	6	0	-102	0	0	0	0	-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-1460	-1661	-3421	-3298	-169	37	3	176	-1992	2824	-87	363	157	174	962	-1806	1137	3510	1108	-2353	2797	2216	2185	-2815	1738	1903	1114	719	782	132	77	212	97	169	-329	-14	239	385	31	217	1883	4	8
---Cac Chi So Tai Chinh---																																											
EBITDA	0.11	0.11	0.25	0.25	0.05	0.34	0.36	0.17	0.17	0.69	0.66	1.21	1.63	1.63	1.11	1.77	1.57	1.17	1.17	1.24	0.70	1.33	1.26	1.26	1.10	1.37	1.37	2.33	2.33	2.84	3.45	4.05	0.59	0.59	0.05	-1.22	-1.92	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.60	1.80	2.50	2.50	7.90	8.30	8.30	8.50	8.50	7.80	7.62	5.62	4.16	4.16	2.83	3.36	2.74	2.48	2.48	4.25	4.25	3.89	5.66	5.66	5.66	5.48	4.16	4.42	4.42	4.42	4.33	6.63	3.36	3.36	3.27	26.53	19.81	0.00	0.00	0.00	0.00	0.00	0.00
