CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-297359	-279951	-269539	-269539	-253431	-237383	-221625	-207116	-207206	-192313	-178143	-167254	-157342	-157342	-137488	-129517	-124269	-119131	-119131	-114036	-109218	-104178	-99668	-99668	-96068	-82504	-86087	-71131	-55866
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	26034	27422	27422	28810	30198	31586	32974	32974	34362	0	37139	38527	38527	39915	0	0	10393	11779
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	7352	7352	10705	10705	11065	11065	6000
Tài sản dài hạn khác###Other long term assets	1480948	1500797	1445148	1445148	1295174	919998	563740	522027	522027	491456	457103	447691	455870	455870	454666	455328	472972	501036	507121	475860	462958	511134	461305	532256	410699	225378	227465	175765	163136
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	13139499	13311005	13330955	13334263	12412061	11492081	10697084	11723841	11723842	10906196	9885916	8543089	8217725	8217725	8026855	8556490	8657588	8528158	8553426	7922388	8351289	8136356	7945404	7963812	6623229	5141837	3244623	2538866	2418597
Nợ phải trả ###Liabilities	7896160	8179622	8308254	8311563	7635019	7013062	6313226	7602614	7602615	6761516	6029864	4972051	4916041	4916041	4399861	5026647	5238359	5477205	5351650	4744952	5429315	5253621	5189439	5207847	3974381	2775653	1582494	1060514	1235283
Nợ ngắn hạn###Short term Liabilities	7464619	7879820	7967680	7970989	7179804	6769445	6087691	7388207	7388209	6621958	5876405	4853351	4763337	4763337	4187802	4624744	4801544	4978235	4852680	4134250	4784399	4572537	4685024	4703431	3529680	2716637	1094860	1060423	1233700
Nợ dài hạn###Long term Liabilities	431540	299802	340574	340574	455215	243617	225535	214406	214406	139558	153459	118699	152703	152703	212059	401903	436815	498970	498970	610702	644916	681084	504415	504415	444701	59016	487634	91	1582
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	5243339	5131383	5022700	5022700	4777042	4479018	4383858	4121227	4121227	4144680	3856052	3571038	3301684	3301684	3626994	3529842	3419229	3050953	3201777	3177436	2921974	2882734	2755965	2755965	2648848	2366185	1536487	1478352	1183314
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	5243339	5131383	5022700	5022700	4777042	4479018	4383858	4121227	4121227	4144680	3856052	3571038	3301684	3301684	3626994	3529842	3419229	3050953	3201777	3177436	2921974	2882734	2755965	2755965	2648848	2366185	1536487	1478352	1183314
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125642	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	2787543	2682425	10471611	2872534	2670328	2548195	2380555	8854833	2359225	2295221	2184773	2015826	7677901	2072092	1959895	1891048	1754866	6693694	1751888	1750836	1638824	1552146	5580401	1514233	1457299	4835688	4312514	4568302	3500166
Các khoản giảm trừ doanh thu###Deduction revenues	16866	14405	73184	26165	33350	8155	5514	33310	15598	7908	4833	4971	26541	10742	7732	3817	4251	27226	7325	6784	3807	9311	12660	5177	3753	10607	10627	5519	10885
Doanh thu thuần###Net Sales	2770678	2668021	10398427	2846369	2636978	2540039	2375041	8821523	2343627	2287313	2179941	2010855	7651360	2061351	1952163	1887231	1750615	6666468	1744564	1744053	1635017	1542835	5567741	1509056	1453546	4825080	4301887	4562783	3489281
Giá vốn hàng bán###Cost of goods sold	1424402	1374009	5342393	1445476	1354403	1297439	1245075	4603932	1280744	1193842	1103211	1026347	3937312	994798	992451	995863	954200	3555107	855989	903750	867248	928119	2919474	810136	743073	2597161	2182438	2777896	1917909
Lợi nhuận gộp###Gross profit	1346275	1294012	5056034	1400892	1282575	1242601	1129966	4217591	1062883	1093470	1076730	984508	3714048	1066553	959712	891368	796414	3111361	888574	840302	767769	614716	2648266	698920	710473	2227920	2119448	1784887	1571373
Doanh thu hoạt động tài chính###Financial activities Revenues	88522	78994	266886	96962	53781	68715	47429	211038	80343	62353	42264	26078	149686	35185	36085	43720	34696	162661	107964	25387	29693	45036	65549	27771	13883	57447	23997	54277	76440
Chi phí tài chính###Financial Expenses	60969	75870	215487	67112	57165	46154	45056	145705	46672	43162	33163	22707	121508	18313	26038	39494	37664	154892	86265	50911	58136	4998	84874	47908	11625	18856	5652	3007	25225
Chi phí bán hàng###Selling Expenses	309588	346277	1138257	357934	269852	268239	242231	959987	304185	225521	212150	218131	683625	198345	172946	154098	158236	593915	169630	142633	140913	140739	530325	167758	131693	364040	302255	223071	175149
Chi phí quản lý doanh nghiệp###Managing Expenses	574199	505980	2166672	562092	548534	532376	523669	1868791	433303	491933	511794	431761	1819953	592241	473423	411027	343261	1335791	398025	353007	318192	266567	1063831	281363	310280	983048	867131	718659	646222
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	490041	444879	1802505	510716	460804	464546	366439	1454146	359067	395207	361886	337987	1238648	292838	323391	330469	291949	1189425	342618	319138	280221	247448	1034785	229663	270757	916130	968407	894427	801216
Thu nhập khác###Other incomes	2585	2639	10871	4233	2202	2595	1842	8523	3563	2648	-18129	21272	17561	3603	11044	246	2668	7610	1229	1966	2422	1994	8685	1854	613	23105	17780	3475	9293
Chi phí khác###Other Expenses	953	984	5223	1104	2694	699	726	5137	1633	1396	-18491	21432	39287	12490	22128	3977	692	4279	-451	2380	1266	1084	3123	1631	573	8843	17575	3443	9769
Lợi nhuận khác###Other profits	1632	1655	5648	3129	-492	1895	1116	3385	1930	1252	362	-159	-21726	-8887	-11084	-3731	1976	3331	1680	-414	1156	910	5561	223	39	14262	204	32	-476
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	491673	446534	1808153	513845	460312	466441	367555	1457531	360997	396459	362248	337827	1216922	283951	312307	326738	293925	1192756	344298	318724	281377	248358	1040347	229886	270797	930392	968612	894459	800740
Chi phí thuế TNDN###Corporate Income Tax Expenses	98933	88964	344936	96980	98183	93225	56548	297935	68079	84422	77105	68329	242297	51740	52833	65538	72187	215893	52769	51051	1883	76475	158274	29069	44955	167357	199172	154418	134028
Chi phí thuế TNDN###Corporate Income Tax Expenses	98933	88964	344936	96980	98183	93225	56548	276203	68079	84422	77105	46597	218099	44088	50771	53135	70105	199184	56622	39142	27376	42328	125559	85897	54601	188947	228278	163121	143984
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	21732	0	0	0	21732	24198	7652	2062	12402	2082	16709	-3853	11908	-25494	34147	32715	-56828	-9645	-21590	-29106	-8703	-9956
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	413021	373830	1575076	454218	384134	407516	329206	1269845	331959	338977	285143	286423	1076903	273729	285992	283160	234022	1069350	291529	267673	279494	171883	936444	200816	225841	789633	769440	740040	666712
---Cac Chi So Tai Chinh---																													
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	48.30	35.86	37.35	37.35	38.46	33.76	36.35	38.55	38.55	38.65	38.28	38.60	36.92	36.92	34.73	34.96	40.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
