CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	 2012	 2011	 2010	 2009
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-19949	-19244	-18516	-18516	-17784	-17031	-16277	-15545	-16125	-14873	-96	-96	-52	-52	-7711	-7344	-7021	-6698	-6255	-6036	-5824	-5723	-5400	-5400	-5077	-4754	-4431	-4109	-4109	-3721	-3515	-3307	-3105	-3105	-2917	-2720	-2295	-1564	-971	-415
Lợi thế thương mại	4550	4687	4825	4825	4963	5101	5239	5377	2993	2993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	439282	439282	439282	439282	490878	465747	443571	429168	420737	396356	348885	352175	317417	362915	201568	138607	109594	99230	98764	92548	92408	109008	109008	109008	117357	94398	112153	18254	18254	18254
Tài sản dài hạn khác###Other long term assets	151346	100840	103661	103691	104479	108636	110509	89257	108495	106158	29866	29498	29728	29728	73504	73798	46559	49270	52478	52591	51420	51675	48013	49080	37786	36265	33719	35189	48368	34039	34217	2372	2760	2760	3398	2934	445	1403	1633	2504
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	5499552	4934197	4721857	4721365	4550290	4540082	4651341	4729996	4744094	4549047	743505	751663	886431	887321	2229788	2082130	1924835	2004713	1991639	1992462	1815988	1818573	1834537	1809580	1773464	1619368	1528267	1677175	1679482	1667693	1520666	1406305	1412472	1412472	1282583	1175675	1037435	559310	351114	238783
Nợ phải trả ###Liabilities	1675457	1283086	1270297	1270278	1143949	1255975	1473726	1564573	1562922	1628256	61105	74736	220237	117386	674458	603057	516966	640752	632786	689262	592581	620770	640531	583001	632913	604812	545973	743187	731216	780477	690826	609703	639480	639480	473741	454495	452343	293786	168214	102088
Nợ ngắn hạn###Short term Liabilities	1675357	1282986	1270197	1270278	1143949	1255975	1473726	1564573	1562922	1628256	61105	74736	220237	117386	674458	603057	516966	640752	632786	689262	592581	620770	640531	583001	632913	604812	545973	743187	731216	780477	690826	609703	639480	639480	473741	454495	452313	293755	168137	101974
Nợ dài hạn###Long term Liabilities	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	30	77	114
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	3824095	3651110	3451559	3451087	3406341	3284107	3177615	3165423	3181172	2920791	682400	676927	666194	769936	1555330	1479074	1407869	1363961	1358853	1303201	1223406	1197804	1194005	1226578	1140551	1014556	982294	933988	948266	887216	829840	796582	625385	625385	592484	537361	585091	265525	182900	103618
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	0
Vốn chủ sở hữu ###Owners equity	3824095	3651110	3451559	3451087	3406341	3284107	3177615	3165423	3181172	2920791	682400	676927	666194	769936	1555330	1479074	1407869	1363961	1358853	1303201	1223406	1197804	1194005	1226578	1140551	0	982294	933988	948266	887216	829840	796582	625385	625385	592484	537361	585091	265525	181946	103618
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316723	0	308989	292548	272726	169836	147607	147607	216358	183820	129401	68433	38048	33077
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q3 2013	 2012	Q3 2012	Q2 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1575970	1520435	5091912	1449696	1154742	1322558	1165180	6091509	1735119	1502626	125632	164410	626134	275931	950114	963660	822332	2622430	796871	636922	590049	598495	2437747	653397	561180	575973	647656	2036683	584033	555889	486695	475979	1926868	499284	2046752	539079	528437	1259524	726029	235198
Các khoản giảm trừ doanh thu###Deduction revenues	0	5	1293	208	292	139	655	1369	9	214	202	153	543	131	196	149	68	273	181	0	92	0	81	0	0	-17418	17418	114	13102	15659	17945	19244	79627	21626	82472	22282	21482	39906	131	0
Doanh thu thuần###Net Sales	1575970	1520431	5090618	1449488	1154450	1322419	1164525	6090140	1735110	1502412	125430	164257	625591	275800	949918	963511	822265	2622156	796689	636922	589957	598495	2437666	653397	561180	593391	630238	2036569	570930	540230	468750	456735	1847241	477658	1964281	516797	506955	1219618	725899	235198
Giá vốn hàng bán###Cost of goods sold	1139700	1214481	4084186	1131557	965275	1076724	967328	4727808	1272664	1149224	100213	135692	509441	235135	839617	836613	747871	2203186	705090	537116	471920	488579	1966180	525727	443370	484370	509383	1673859	476968	448215	398960	359084	1438383	359447	1498628	398199	395573	980812	581706	211704
Lợi nhuận gộp###Gross profit	436270	305949	1006432	317931	189175	245695	197197	1362332	462446	353188	25218	28565	116150	40665	110301	126898	74394	418971	91599	99807	118038	109916	471487	127670	117810	109021	120855	362710	93962	92015	69790	97651	408858	118211	465653	118598	111382	238806	144193	23493
Doanh thu hoạt động tài chính###Financial activities Revenues	35659	23059	61661	22075	18248	13562	11879	47452	10984	16267	1178	931	90282	85191	7455	5220	7315	31214	9111	6536	7912	7780	96286	6624	9181	6452	4238	36845	8655	8256	10773	6945	38761	8762	15696	6418	3254	17811	4265	5119
Chi phí tài chính###Financial Expenses	36392	9429	57475	16674	8603	25485	10426	56130	19332	14238	108	236	551	207	1403	3636	2574	18840	10089	1633	4778	2486	30605	12055	6307	7608	4400	22054	5499	4630	8301	1815	16566	3069	5640	1334	1922	12306	12242	2822
Chi phí bán hàng###Selling Expenses	110500	80531	313808	104312	54282	44710	50434	341857	148948	76529	8721	11910	50965	20697	53232	48675	38989	133244	39502	32171	31880	27262	130472	37434	30073	32462	35194	95360	24063	22087	16503	19934	84398	22673	95610	26123	24814	62781	31321	1868
Chi phí quản lý doanh nghiệp###Managing Expenses	32015	27109	100738	33044	23026	23031	21672	81391	31656	23914	3952	3886	14714	4111	5205	13290	7178	44019	12112	11811	10091	8973	43936	9099	10152	12356	12372	27766	7174	7457	8344	5339	23957	4117	19863	5817	4296	19117	14525	7874
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	293022	211939	596072	185976	121512	166031	126543	928279	273493	254774	13614	13463	140201	100841	83047	88693	47372	341833	63387	84199	99912	89734	412760	92175	120111	92060	83491	259722	72097	66237	45939	77508	322699	97114	360929	91742	83604	162413	90370	16049
Thu nhập khác###Other incomes	1286	549	13899	3923	1316	5647	580	2736	618	1675	0	0	235	0	424	-1314	2811	2409	287	1955	65	0	296	0	174	-83	206	10004	9943	0	0	61	15285	0	590	2	5	1739	929	5495
Chi phí khác###Other Expenses	10851	2364	10901	6963	963	2906	1671	24406	2090	2807	0	0	297	0	880	-1259	2676	1920	535	1339	0	0	334	120	52	49	29	9918	9695	46	60	116	1650	170	2547	473	1025	556	591	642
Lợi nhuận khác###Other profits	-9565	-1815	2998	-3040	352	2742	-1092	-21670	-1472	-1132	0	0	-62	0	-455	-55	135	489	-248	615	65	0	-38	-120	122	-132	177	86	247	-46	-60	-56	13635	-170	-1956	-471	-1020	1183	338	4853
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	283456	210124	599070	182936	121864	168772	125452	906609	272021	253642	13614	13463	140139	100841	82591	88638	47507	342322	63140	84814	99977	89734	412721	92055	120233	91928	83668	259808	72344	66191	45879	77452	336414	96988	358973	91271	82583	163596	90707	20901
Chi phí thuế TNDN###Corporate Income Tax Expenses	13673	10571	27512	8926	5275	8379	5457	33802	9440	9137	3054	2731	11742	3576	6335	7273	2015	22793	7580	5015	5580	5161	22335	6027	7922	9605	9618	38384	11248	8816	6172	11449	39102	8238	24128	12924	15461	19749	10763	4383
Chi phí thuế TNDN###Corporate Income Tax Expenses	13673	10571	27512	8926	5275	8379	5457	33802	9440	9137	3054	2731	11742	3576	6433	7368	1970	22748	7580	4990	5604	5118	22307	6018	7926	-9612	9636	38807	11248	8816	6172	11449	39101	8237	24129	12924	15461	19749	10763	4456
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-98	-95	45	45	0	26	-23	42	28	8	-4	19217	-18	-423	0	0	0	0	1	1	-1	0	0	0	0	-73
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	284328	209545	576436	179625	114950	162223	119028	875831	265650	242920	10560	10733	128397	97264	90773	99023	55966	397267	55560	79799	94397	84573	500783	86028	112311	82324	74050	293721	61095	57375	39707	66003	297312	88750	334845	78347	67123	143847	79944	16519
---Cac Chi So Tai Chinh---																																								
EBITDA	0.65	0.35	0.32	0.32	0.59	0.66	0.40	0.33	0.33	0.20	0.14	0.15	0.19	0.19	0.25	0.46	0.68	0.93	0.93	0.61	0.29	0.23	-0.10	-0.10	-0.06	-0.09	-0.22	0.09	0.09	1.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	33.89	16.65	20.94	20.94	22.07	23.55	29.93	31.88	31.88	30.22	22.04	21.69	21.73	21.73	22.72	21.46	25.17	27.49	27.49	37.96	28.01	24.44	27.75	27.75	18.68	14.95	16.18	14.57	14.57	15.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
