CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	 2017	Q2 2017	 2016	Q2 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	1365992	1484395	1479356	1471548	1631129	1550278	1781100	1918686	2034147	1956101	2000177	2198663	2195861	2573594	2543425	2115474	2966993
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	81702	80812	111600	111606	225238	126313	111785	224766	224443	262046	411916	400930	512986	399122	516058	260811	294379
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	315300	354382	185090	185090	151770	212706	300745	283041	283041	110300	102350	111000	197182	397800	97147	172036	394618
Các khoản phải thu ngắn hạn###Short term Account Receivables	898035	963410	1074347	1077338	1106220	1068583	1214021	1184850	1299128	1354591	1278538	1474791	1240671	1560778	1602568	1310149	1482462
Hàng tồn kho###Inventory	37355	52186	72075	55733	110116	113103	127113	199936	200576	199234	177289	190673	170332	144054	246041	309083	634268
Tài sản ngắn hạn khác###Other Current Assets	33599	33604	36244	41782	37785	29573	27436	26092	26959	29930	30084	21270	74690	71839	81611	63396	161265
Tài sản dài hạn###Non-current Assets	1873608	1876014	1911214	1925874	2237805	2215918	2280631	2264481	2260803	2455804	2227457	1788247	2345921	2278592	2490182	1968053	1948300
Các khoản phải thu dài hạn###Long term Account Receivable	11412	16042	15517	15878	14474	14397	14683	16723	16723	24618	16211	19247	310195	301776	293270	298019	5685
Tài sản cố định ###Fixed assets	572146	578163	576155	576155	736558	746348	791628	796954	796485	804731	828388	579816	663878	631254	900074	704844	1145079
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-200344	-194448	-188538	-188538	-357531	-348985	-361017	-347390	-347390	-338121	-309205	-352049	-391208	-367061	-471326	-371911	-292158
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-2543	-2422	-2296	-2296	-3975	-3818	-3784	-3572	-3855	-3692	-3235	-3103	-3366	-3667	-5811	-5577	-4483
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	111039	111957	112876	112876	124658	125734	126810	127887	127887	128963	131335	72955	278973	280228	240100	252066	248149
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	242787	243481	290463	304762	309194	280428	308869	326045	321707	512563	350749	418515	330047	431588	365115	233345	239711
Tài sản dài hạn khác###Other long term assets	253498	254239	243083	243083	247248	247750	251450	274896	276025	278189	261882	101303	211752	93753	195948	132855	309677
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	3239600	3360409	3390571	3397422	3868934	3766196	4061731	4183166	4294950	4411905	4227634	3986910	4541783	4852185	5033607	4083527	4915293
Nợ phải trả ###Liabilities	959712	1033014	1066696	1059052	1466253	1367635	1668618	1756734	1869764	2034225	1846041	2010101	2368736	2686261	2904904	3115911	4067778
