CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-115	-100	-100	-86	-72	-58	-43	-43	-29	-15	-1	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-99	-98	-98	-96	-95	-93	-92	-92	-90	-89	-101	-100	-100	-76	-68	-59	-51	0	0	0	0	-18	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	13	13	13	13	23	23	23	23	23	23	23	23	23
Tài sản dài hạn khác###Other long term assets	402	607	607	718	1125	295	0	0	0	0	0	0	128	0	0	0	62	145	0	0	101	56	0	10	0	116	82	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	145328	128554	128554	102568	167068	181235	119956	118399	96038	119610	130638	119597	119243	88329	103576	103612	105480	105467	94797	126196	130771	111263	111156	92407	99286	154637	104916	104924	87620	108749	123586	101642	100721	91018	95901	105166	112703	112767	83584	94602	107132	85849	85487	85008	83781	88914	78958	79281	72103	58318	67356	66770	66611	61810	63463	73794	79075	79068	80949	77790	71880	60569	60569	59331
Nợ phải trả ###Liabilities	77022	66039	66039	26589	104878	100630	43017	41724	20183	35924	54458	53751	55472	22565	43907	28663	36929	35874	36234	69585	51310	36608	37246	37561	49470	93839	47541	47727	40374	62401	65196	46384	46046	45164	50554	57162	66401	66384	44938	56001	76267	46393	46222	51832	51192	56784	56011	55886	52288	40140	51088	51711	51392	46105	47927	60901	65132	65102	63062	60794	55476	45228	44842	48105
Nợ ngắn hạn###Short term Liabilities	76995	66012	66012	26562	104851	100603	42990	41697	20006	35747	54266	53559	55280	22523	43865	28621	36887	35832	36192	67735	49465	34744	35382	35511	47472	91852	45621	47687	40334	62361	65156	46344	46006	37862	41519	48127	57366	57349	35711	46626	66952	37142	33521	38070	38629	46546	45876	45752	28236	22925	33832	34468	34149	18549	21432	32983	37229	37311	24612	22384	25330	28580	28194	15383
Nợ dài hạn###Long term Liabilities	27	27	27	27	27	27	27	27	177	177	192	192	192	42	42	42	42	42	42	1850	1845	1864	1864	2050	1999	1987	1921	40	40	40	40	40	40	7302	9035	9035	9035	9035	9226	9376	9314	9250	12700	13762	12563	10239	10134	10134	24051	17215	17257	17243	17243	27556	26495	27918	27903	27791	38450	38410	30146	16647	16647	32722
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	9
Vốn chủ sở hữu ###Owners equity	68306	62515	62515	75980	62190	80605	76939	76675	75855	83686	76181	65846	63771	65764	59669	74950	68551	69593	58563	56611	79460	74655	73910	54846	49816	60798	57375	57197	47246	46348	58390	55259	54675	45854	45348	48004	46303	46384	38646	38601	30866	39457	39265	33175	32589	32130	22947	23395	19815	18178	16268	15059	15219	15705	15535	12893	13943	13965	17887	16997	16405	15341	15727	11226
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	3	3	4	143	9	-109	-905	396	396	346	394	512	0	386	0
Vốn chủ sở hữu ###Owners equity	68306	62515	62515	75980	62190	80605	76939	76675	75855	83686	76181	65846	63771	65764	59669	74950	68551	69593	58563	56611	79460	74655	73910	54846	49816	60798	57375	57197	47246	46348	58390	55259	54675	45854	45348	48004	46303	46384	38646	38601	30866	39457	39265	33175	32589	32130	22947	23395	19592	18175	16264	15055	15076	15696	15645	13798	13547	13570	17541	16602	15893	15341	15341	11226
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108749	123586	101642	100721	91018	95901	105166	112703	112767	83584	94602	107132	85849	85487	85008	0	88914	78958	79281	72103	58318	67356	66770	66611	61810	63463	73794	79075	79068	80949	77790	71880	60569	60768	59331



KET QUA KINH DOANH	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	87017	473267	107401	166374	90170	109321	388637	77999	70872	137714	102052	272608	65885	65896	72686	68142	322820	95040	65289	87999	74492	306864	85273	49432	77044	95114	299853	99909	39963	93514	66466	281130	103380	35847	56513	85391	275753	93533	27210	95189	59821	236180	73962	39120	37962	85281	159900	65202	15548	33703	50488	135943	40874	18122	30973	45974	112473	26883	16612	31232	37756	103997	34090	95310
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	231	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	87017	473267	107401	166374	90170	109321	388637	77999	70872	137714	102052	272377	65653	65896	72686	68142	322820	95040	65289	87999	74492	306864	85273	49432	77044	95114	299853	99909	39963	93514	66466	281130	103380	35847	56513	85391	275753	93533	27210	95189	59821	236180	73962	39120	37817	85281	159900	65202	15548	33703	50488	135943	40874	18122	30973	45974	112473	26883	16612	31232	37756	103997	34090	95310
Giá vốn hàng bán###Cost of goods sold	71327	402639	90283	140602	75686	96068	319062	68005	62018	106074	83114	225419	53285	54447	63313	57016	271413	74856	56435	77302	62791	246109	60616	40221	74529	73853	245181	77914	34069	78290	54901	233545	84388	31065	47643	70901	228154	76906	24438	76633	50177	198061	68434	35202	31820	62542	131641	52853	11629	26910	44835	116384	33149	13659	24863	41122	100043	29498	13664	24836	32179	90850	28864	83402
Lợi nhuận gộp###Gross profit	15690	70628	17118	25772	14484	13253	69576	9994	8854	31640	18938	46958	12368	11448	9372	11127	51407	20184	8854	10697	11701	60754	24657	9211	2515	21261	54672	21996	5894	15224	11566	47585	18991	4782	8870	14490	47598	16627	2772	18556	9643	38119	5528	3918	5997	22738	28259	12349	3919	6792	5653	19559	7725	4463	6109	4852	12430	-2615	2948	6396	5577	13147	5226	11908
Doanh thu hoạt động tài chính###Financial activities Revenues	306	858	489	263	58	48	1217	337	596	174	66	1093	344	307	194	249	1437	1114	508	234	171	1497	447	383	449	243	953	268	403	163	120	1389	318	291	386	393	1556	708	419	268	149	709	189	142	145	84	317	72	72	16	107	116	57	29	20	10	146	27	57	17	25	95	23	48
Chi phí tài chính###Financial Expenses	193	2086	11	293	1340	442	1053	89	6	191	706	221	46	14	45	115	914	655	91	359	398	692	190	142	178	208	1328	178	296	558	296	2433	414	490	735	793	2643	582	658	736	553	2575	557	596	1155	320	3179	1331	269	486	1030	3048	412	700	432	1504	4006	2148	331	398	1115	2197	1307	2611
Chi phí bán hàng###Selling Expenses	2146	9499	2413	2462	2309	2315	8215	2256	1898	2165	1895	7966	1889	1800	2199	2078	12164	2487	2817	3877	2983	13020	4654	2351	2242	3773	13762	4926	2067	3479	3518	11428	4010	1768	3198	2452	9411	2673	1280	3850	1609	7635	2641	1535	1474	1983	6127	2199	650	1328	1951	5117	1807	717	1134	1460	4303	1449	672	1308	875	3609	1079	3940
Chi phí quản lý doanh nghiệp###Managing Expenses	6897	23287	7073	4462	6078	5702	20874	6785	5209	4695	4392	14054	5035	2531	2948	3341	16532	5131	4111	4088	3203	10554	-2504	2662	-4551	12754	19284	4483	3009	8020	3777	14716	3825	2164	1893	7084	14670	2308	1077	5210	6104	10569	-3602	1291	1630	11466	9637	4044	1497	2841	1288	6767	4958	1335	2021	1552	3589	-3095	771	3811	1932	4574	2176	3517
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	6760	36613	8111	18819	4814	4841	40649	1201	2336	24763	12011	25810	5741	7409	4374	5841	23233	13026	2343	2607	5288	37985	22765	4440	5095	4769	21251	12677	924	3329	4095	20397	11060	651	3430	4554	22430	11773	176	9029	1526	18050	6122	638	1884	9053	9633	4849	1576	2153	1491	4744	605	1742	2543	346	678	-3090	1231	896	1680	2861	688	1888
Thu nhập khác###Other incomes	0	76	48	27	0	0	15	7	0	8	0	0	0	0	-1857	1857	185	0	72	0	113	183	0	0	42	141	314	0	0	314	0	32	0	18	18	0	857	855	0	-355	356	390	190	1	0	0	241	232	0	9	0	70	5	8	51	6	150	29	18	6	85	26	11	377
Chi phí khác###Other Expenses	0	2999	26	2787	15	172	89	0	29	35	22	1458	1453	1	1	3	1184	57	0	0	8	752	-55	86	211	510	22	20	0	2	0	123	12	87	0	39	37	3	0	-50	84	339	-80	80	1	0	24	9	1	14	0	81	0	0	535	20	92	133	0	0	0	68	0	3
Lợi nhuận khác###Other profits	0	-2924	22	-2759	-15	-172	-73	7	-29	-27	-22	-1458	-1453	-1	-1858	1854	-999	-57	72	0	106	-569	55	-86	-169	-369	292	-20	0	311	0	-91	-11	-69	18	-39	819	853	0	-305	272	52	270	-79	-1	0	217	223	-1	-5	0	-11	5	8	-484	-14	59	-103	18	6	85	-42	11	374
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	6760	33689	8133	16060	4799	4670	40576	1208	2307	24736	11988	24352	4288	7409	2516	7695	22234	12969	2415	2607	5393	37415	22821	4354	4926	4400	21543	12657	924	3640	4095	20307	11049	583	3448	4515	23250	12625	176	8724	1798	18101	17888	559	1884	9053	9850	5072	1575	2148	1491	4732	610	1750	2059	332	736	-3194	1250	902	1765	2820	699	2262
Chi phí thuế TNDN###Corporate Income Tax Expenses	969	5566	1382	2270	926	1004	5937	389	626	3205	1654	9671	6281	1314	410	1296	3199	1939	463	224	680	5424	3757	-677	1198	977	4332	2707	26	738	813	4132	2228	76	0	0	3017	0	0	0	408	1593	151	38	246	1026	1082	559	147	236	153	520	76	158	212	35	121	-270	115	99	140	225	245	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	969	5566	1382	2270	926	1004	5937	389	626	3205	1654	9671	6281	1314	410	1296	3199	1939	463	224	680	5424	3757	-677	1198	977	4332	2707	26	738	813	4132	2228	76	653	1046	3017	1500	126	988	408	1593	151	38	246	1026	1082	559	147	229	153	520	76	158	212	35	121	-270	115	99	141	225	245	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	5791	28123	6751	13789	3873	3666	34640	819	1682	21532	10335	14681	-1993	6095	2105	6398	19036	11030	1952	2383	4713	31991	19064	5031	3728	3423	17211	9951	898	2902	3282	16175	8821	507	2795	3469	20232	11125	50	7735	1390	16508	6241	521	1638	8027	8768	4513	1429	1919	1338	4212	534	1591	1847	297	615	-2924	1135	802	1625	2595	454	2262
---Cac Chi So Tai Chinh---																																																																
EBITDA	-0.03	-0.01	-0.01	0.25	0.55	0.21	0.09	0.09	-0.02	-0.08	0.03	0.55	0.55	0.95	1.61	1.69	1.88	1.88	1.65	0.59	0.40	0.18	0.18	0.20	0.13	0.36	0.31	0.31	0.26	0.43	0.12	0.73	0.73	0.49	0.64	0.89	0.76	0.76	0.82	0.78	0.69	0.87	0.87	0.77	0.70	0.57	0.49	0.49	0.62	0.65	1.04	0.89	0.89	0.91	0.83	0.45	0.76	0.76	0.76	0.97	1.24	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	25.61	26.78	26.78	25.88	30.02	31.77	28.48	28.48	31.48	23.71	21.50	22.53	22.53	24.53	19.43	18.78	22.74	22.74	24.43	31.91	21.98	14.74	14.74	11.93	10.68	10.57	9.34	9.34	9.24	8.20	9.07	8.12	8.12	6.73	8.12	8.04	3.54	3.54	3.02	2.52	2.04	1.38	1.38	1.76	1.84	1.35	1.33	1.33	1.42	1.37	1.24	1.26	1.26	1.26	0.94	0.62	0.69	0.69	1.11	0.89	1.00	0.00	0.00	0.00
