CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	Q2 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	Q4 2011
Tài sản ngắn hạn###Current Assets	1611301	877322	835088	838316	750139	1050636	1109834	754751	761429	824991	630271	581919	578606	576284	591495	611570	459299	435818	434515	340052	314238	275589	279206	271815	251437	213040	209795	209795	141126	153289	153289	113503	113503	102723	102723
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	229534	32794	84416	84422	107832	483587	31990	66177	66355	129867	49695	15452	32167	32167	14451	98943	15192	59402	59402	2488	8262	23341	17799	17799	8106	14022	15825	15825	5239	18345	18345	12081	12081	10424	10424
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	59743	46490	100870	100870	250	250	250	250	250	100250	991	250	250	250	250	250	20250	20250	20250	20250	20250	18537	18537	18537	33916	250	0	0	0	0	0	0	0	875	875
Các khoản phải thu ngắn hạn###Short term Account Receivables	941486	501161	385174	387338	375169	200416	523971	370026	375906	220454	204798	243629	297189	297995	224947	245307	191216	172977	171670	166511	111650	88926	124992	120648	115123	129910	115162	111560	75915	83411	83411	45028	45028	44465	44465
Hàng tồn kho###Inventory	343421	272073	245054	246136	247677	350662	515347	301610	302220	353421	359654	312311	242140	239753	331054	255404	220631	175238	175238	146194	166856	140356	113979	111493	92416	68858	77807	77807	55859	46906	46906	53908	53908	45134	45134
Tài sản ngắn hạn khác###Other Current Assets	37117	24804	19574	19549	19212	15722	38276	16688	16699	20999	15133	10277	6861	6118	20793	11667	12010	7952	7956	4609	7219	4428	3899	3338	1876	0	1001	4603	4113	4627	4627	2486	2486	1826	1826
Tài sản dài hạn###Non-current Assets	504280	171391	185710	185621	213662	233571	214728	187287	189359	168579	173176	175019	168505	169012	143796	147148	126623	130784	131997	108685	88005	80091	83369	88388	91842	67842	64585	64585	48308	45016	45016	44843	44843	43595	43595
Các khoản phải thu dài hạn###Long term Account Receivable	2517	2665	2329	2329	1068	1068	148	148	148	148	148	148	148	151	144	440	396	396	396	396	307	8	8	4467	8342	230	196	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	173897	159981	161475	161475	153573	175262	189631	151658	151450	147263	151706	142638	146817	146817	120383	122529	120287	122937	122937	96430	81686	73673	76312	76264	61264	63597	60888	60888	46105	44109	43277	41815	41815	42661	42661
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-184972	-166306	-156862	-156862	-144117	-128075	-118210	-105521	-105511	-97986	-92111	-84834	-78152	-78152	-71923	-66426	-61167	-56036	-56036	-51389	-47807	-44571	-41542	-41542	-38824	-36491	-32026	-32026	-28763	-25728	-25728	-20691	-20691	-17040	-17040
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-11554	-7926	-4299	-4299	-2754	-1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-83	-73	-64	-64	-55	-46	-37	-28	-21	-14	-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2393	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	286420	4520	10520	10520	58520	56520	24047	22520	22520	20000	20000	20000	20000	20000	20000	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
