CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-15296	-14483	-13670	-17064	-16137	-15242	-14347	-13452	-12557	-12557	-11662	-11080	-10655	-10655	-10229	-9803	-9377	-8952	-8952	-8526	-8100	-7674	-7249	-7249	-6823	-6399	-5975	-5551	-5524	-5118	-4744	-4467	-4251	-4251	-4040	-3817	-3605	-3401	-3401	-3201	-3000	-2799	-2666	-2666	-2533	-2400	-2266	-2133	-2133	-2000	-1853	-1757	-1693	-1693	-1628	-1564	-1499	-1435	0	-1371	0	-1242	-1178	-1178	-1113	-1049	-984	-920	-920	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	10241	10241	10241	10241	10241	10241	10429	10429	10429	11986	11991	12123	12211	12211	12211	12211	12211	12167	12167	12167	12167	12167	13747	11381	11381	12274	12274	14258	11892	11892	11892	11892	12748	12748	12748	12748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	41497	24313	24523	1064	859	757	412	514	514	627	757	755	854	854	1285	1167	1350	868	345	0	394	189	973	968	1157	1346	1535	1134	1724	1823	2012	2201	2390	3214	3592	3610	2957	3146	2646	2835	3024	3213	3402	3402	3591	3780	3969	4158	4158	4347	4536	4914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	507402	513841	515312	514859	550442	543321	516915	569097	568392	569341	556438	558431	529389	529289	574298	551084	519989	529583	529508	530164	510833	463113	449381	449214	520753	522845	462968	428410	428316	497531	492430	541186	597791	597457	563234	531576	582938	606611	605691	479002	461310	523893	448555	449627	507763	453601	484630	464327	464327	426771	416684	458767	470582	470244	410826	431854	355259	330015	329658	351843	319417	355981	332380	332693	160654	135187	181492	146532	146532	132220	132813	127737	124932
Nợ phải trả ###Liabilities	66491	63004	70638	70182	72486	78450	63856	65760	65056	90953	89081	101651	62691	62671	99284	93701	74745	104246	104170	82995	84364	55881	53648	53481	89024	98578	73121	39732	39639	122710	113173	182094	237713	237379	209451	170879	226846	249386	248466	120358	103218	159091	90720	91791	150534	102565	130713	107101	107101	71254	72194	113798	127578	121170	90607	125212	58501	39378	39137	53739	30595	69196	48738	47652	69973	48063	98175	67907	67492	50591	54196	52074	50116
Nợ ngắn hạn###Short term Liabilities	51018	47531	55165	54709	57013	62977	45583	47487	46783	75008	73137	88507	49547	49527	91637	86054	67098	96599	96523	81643	83011	54529	52295	52128	87672	95735	68178	38380	38286	121273	111474	180133	235491	235157	206634	167800	223505	245784	244863	116134	98731	154343	85710	86781	145262	96527	124917	101427	101427	65318	65996	108641	122159	115751	84927	119270	52297	32912	33032	47372	23966	62305	41586	40499	62559	40387	90238	59708	59293	42129	45112	43089	40870
Nợ dài hạn###Long term Liabilities	15473	15473	15473	15473	15473	15473	18273	18273	18273	15944	15944	13144	13144	13144	7647	7647	7647	7647	7647	1352	1352	1352	1352	1352	1352	2843	4943	1352	1352	1437	1699	1960	2222	2222	2817	3079	3341	3602	3602	4225	4487	4748	5010	5010	5272	6038	5795	5674	5674	5936	6198	5157	5419	5419	5681	5942	6204	6466	6105	6367	6629	6891	7152	7152	7414	7676	7938	8199	8199	8461	9084	8984	9246
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	440910	450837	444674	444677	477956	464871	453058	503336	503336	478389	467357	456780	466698	466618	475014	457383	445244	425338	425338	447169	426469	407232	395733	395733	431729	424267	389847	388678	388678	374821	379258	359092	360078	360078	353782	360697	356092	357225	357225	358643	358092	364802	357836	357836	357229	351035	353917	357226	357226	355517	344490	344969	343004	349074	320219	306642	296758	290637	290522	298104	288822	286786	283642	285041	90680	87125	83317	78625	79040	81629	78617	75663	74816
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2481	0	3281	1423	1577	1716	1744	1744	2518	2631	1151	0	1285	1485	1544	344	0	415	490	615	668	699
Vốn chủ sở hữu ###Owners equity	440910	450837	444674	444677	477956	464871	453058	503336	503336	478389	467357	456780	466698	466618	475014	457383	445244	425338	425338	447169	426469	407232	395733	395733	431729	424267	389847	388678	388678	374821	379258	359092	360078	360078	353782	360697	356092	357225	357225	358643	358092	364802	357836	357836	357229	351035	353917	357226	357226	355517	344490	342488	343004	345793	318795	305064	295042	288894	288778	295586	286191	285634	283642	283757	89195	85581	82973	78625	78625	81139	78003	74995	74117
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492430	541186	597791	597457	563234	531576	582938	606611	605691	479002	461310	523893	448555	449627	507763	453601	484630	464327	464327	426771	416684	458767	470582	470244	410826	431854	355259	330015	329658	351843	319417	355981	332380	332693	160653	135187	181492	146532	146532	132219	0	127737	124932



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	552641	858928	4207043	1103650	1088841	1083223	931328	4242285	1072907	1096661	1085900	986817	3837816	1005923	961904	937936	932052	3471397	926923	869735	887688	787051	4208485	942528	1217404	1121510	927043	5457433	1316656	1381021	1493726	1266039	5230732	1400976	1332178	1300216	1197362	4956451	1333462	1147680	1166152	1309156	4732648	1245256	1209020	1209039	1069333	3616801	977111	893921	910786	834982	2821220	843559	773385	633265	571041	3071595	692080	882651	801856	695009	2087941	591683	520260	512426	463690	1705307	468884	454766	416372	365285	1283035
Các khoản giảm trừ doanh thu###Deduction revenues	163	196	3432	219	148	2936	129	266	122	117	28	0	520	200	0	0	320	0	0	0	0	0	0	0	0	0	0	2255	1720	211	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	552478	858731	4203611	1103432	1088693	1080288	931198	4242019	1072785	1096545	1085872	986817	3837296	1005723	961904	937936	931733	3471397	926923	869735	887688	787051	4208485	942528	1217404	1121510	927043	5455178	1314936	1380810	1493401	1266039	5230732	1400976	1332178	1300216	1197362	4956451	1333462	1147680	1166152	1309156	4732648	1245256	1209020	1209039	1069333	3616801	977111	893921	910786	834982	2821220	843559	773385	633265	571041	3071595	692080	882651	801856	695009	2087941	591683	520260	512426	463690	1705307	468884	454766	416372	365285	1283035
Giá vốn hàng bán###Cost of goods sold	527237	811055	3997205	1050773	1037391	1016587	892454	3976743	999854	1028597	1022273	926019	3560178	946800	892816	867765	852797	3186513	852980	795656	810889	726988	3913346	886944	1147756	1012572	865292	5272379	1264053	1339571	1450926	1217829	5077815	1361591	1290144	1255165	1169572	4808992	1293113	1106051	1136485	1272599	4600726	1218579	1175405	1179557	1027184	3469540	941358	853520	883148	791514	2658098	803394	725675	600021	529009	2958248	657902	848248	785251	666642	2015794	566776	506690	497623	444767	1650808	454549	439403	402839	354017	1233531
Lợi nhuận gộp###Gross profit	25241	47676	206406	52659	51302	63701	38744	265275	72931	67947	63599	60798	277119	58923	69088	70172	78936	284884	73944	74079	76798	60063	295139	55584	69648	108938	61751	182799	50883	41239	42476	48210	152918	39385	42034	45050	27790	147458	40350	41629	29667	36557	131923	26677	33615	29482	42148	147261	35753	40401	27638	43469	163122	40166	47710	33244	42032	113347	34178	34403	16605	28367	72148	24907	13569	14802	18923	54498	14334	15363	13532	11268	49503
Doanh thu hoạt động tài chính###Financial activities Revenues	560	92	1671	616	172	773	111	2016	469	626	762	158	2213	691	546	877	100	2196	660	384	966	186	7038	670	852	5298	218	10196	2746	2597	2539	2314	6745	4557	1783	878	435	3197	348	689	906	1254	4888	589	1925	1150	1225	7571	2841	1277	3036	417	9979	15124	1967	1822	2199	10977	5664	3140	1529	685	649	595	320	102	89	201	68	39	43	52	159
Chi phí tài chính###Financial Expenses	1	54	104	-1093	521	526	151	1259	460	749	359	-256	2669	835	946	1	936	-1607	-1615	-592	-369	970	446	-407	715	184	-35	5263	-687	1085	1349	3525	15380	2362	8554	12188	1820	9875	-613	19306	-1191	5393	13329	2674	-5207	13214	2647	3212	-1712	2733	1063	1128	-9659	435	1104	0	0	18178	12933	0	6091	6	3659	1647	447	999	567	2075	383	677	559	494	2722
Chi phí bán hàng###Selling Expenses	23720	35610	130463	39005	32209	31813	27436	137671	38347	32771	32630	33922	141719	31994	26662	35580	47484	135618	30959	27783	35449	41426	147909	29249	31397	55418	31949	113606	33340	27290	26970	26007	93149	30682	24808	21999	17001	85053	26396	20239	17758	21292	73229	12301	23148	10471	27309	90683	21019	23634	16762	29268	101270	27056	27992	16830	29392	73629	21270	28257	6190	17846	43993	16634	7579	7680	12023	31703	7500	9845	7986	6372	29017
Chi phí quản lý doanh nghiệp###Managing Expenses	1951	4865	13957	3970	2227	4319	3436	16771	3360	3700	4676	5115	16794	1913	2671	6412	5848	16441	2193	3659	7123	3467	26448	1568	1741	8347	15460	22885	3770	3506	3562	12047	20319	3546	3334	2972	1830	23894	3591	2391	2418	2585	9136	1821	4294	1147	1874	12317	6409	2562	1699	1647	12378	2215	2048	3742	4373	6439	929	873	430	4208	8040	2344	1979	2053	1685	6825	2203	1570	1685	1367	6255
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	130	7239	63553	11393	16516	27815	7832	111590	31233	31354	26697	22175	118151	24873	39355	29056	24767	136629	43067	43614	35562	14386	127374	25846	36648	50286	14594	51240	17205	11956	13134	8946	30815	7352	7120	8769	7574	31834	11323	382	11588	8542	41117	10469	13306	5799	11542	48620	12878	12749	11150	11844	69112	25583	18533	14495	10466	26077	4710	8414	5424	6991	17106	4876	3885	4172	4737	14097	4316	3311	3345	3087	11667
Thu nhập khác###Other incomes	600	718	106	3	0	3	111	940	56	14	41	1504	571	3	501	0	283	206	287	15	-133	137	465	3	1184	-173	196	16	4	7	2	3	2393	405	1894	53	41	398	-35	252	146	0	2279	730	0	1549	0	0	0	0	0	0	18040	18010	0	0	0	59	0	0	0	0	545	0	0	0	15	216	125	0	1	0	152
Chi phí khác###Other Expenses	3	74	55	1	0	50	15	5	5	1	0	675	131	20	68	216	42	16	3	6	85	21	24	0	705	64	0	38	5	0	0	33	508	174	849	0	76	286	0	93	159	0	522	0	0	522	0	0	0	0	0	0	2854	0	0	0	0	0	0	0	0	38	0	0	0	0	0	4	4	0	0	0	16
Lợi nhuận khác###Other profits	597	643	51	2	0	-47	96	935	52	13	41	829	440	-17	433	-216	241	189	285	10	-218	115	441	2	479	-237	196	-23	-1	6	2	-30	1885	231	1046	53	-36	111	-35	159	-13	0	1757	730	0	1027	0	0	0	0	0	0	15186	18010	0	0	0	59	0	0	0	-38	545	0	0	0	15	212	122	0	1	0	137
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	727	7882	63604	11395	16516	27768	7928	112525	31285	31367	26738	23004	118591	24855	39788	28840	25008	136819	43352	43624	35344	14501	127815	25848	37127	50049	14791	51218	17204	11962	13136	8916	32700	7583	8166	8822	7538	31946	11288	541	11575	8542	42874	42874	13306	6826	11542	48620	12878	12749	11150	11844	84298	43593	18533	14495	10466	26137	4710	8414	5424	6954	17652	4876	3885	4172	4752	14309	4438	3311	3346	3087	11804
Chi phí thuế TNDN###Corporate Income Tax Expenses	55	1591	12574	2247	3303	5501	1586	22255	6209	6192	5279	4601	23493	4908	7934	5622	5010	27092	8586	8701	6905	2900	27814	5599	8054	10926	3234	9200	3250	2098	2368	1484	7169	1422	1353	0	0	7421	0	0	0	1960	9602	2314	3157	1476	2655	11701	3098	3111	2531	2961	21074	10429	4534	3495	2616	6683	678	2356	1518	1946	2462	682	543	584	665	2015	645	469	468	432	1653
Chi phí thuế TNDN###Corporate Income Tax Expenses	148	1685	13168	2340	3397	5907	1586	22255	6209	6192	5279	4601	23493	4908	7934	5622	5010	27092	8586	8701	6905	2900	27814	5599	8054	10926	3234	9200	3250	2098	2368	1484	7169	1422	1353	-1885	1885	7421	2768	-18	2711	1960	0	2314	3157	1476	2655	11701	3098	3111	2531	2961	21074	10429	4534	3495	2616	6683	678	2356	1519	1947	2462	683	544	584	665	2015	621	463	468	432	1653
Chi phí thuế TNDN###Corporate Income Tax Expenses	-93	-93	-594	-94	-94	-407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3802	0	0	0	0	0	0	9602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	672	6291	51030	9149	13213	22268	6342	90270	25075	25175	21459	18403	95098	19948	31854	23219	19998	109726	34766	34923	28439	11601	100001	20249	29073	39123	11556	42018	13955	9864	10768	7431	25531	6161	6812	6904	5654	24525	8520	559	8864	6582	33272	8885	10149	5350	8887	36919	9780	9638	8618	8883	63224	33164	13999	11000	7849	19453	4031	6058	3905	5007	15190	4194	3341	3588	4087	12293	3816	2847	2878	2655	10151
---Cac Chi So Tai Chinh---																																																																									
EBITDA	-0.16	-0.09	0.31	0.31	-0.01	0.06	-0.14	-0.11	-0.11	-0.03	-0.01	0.40	0.46	0.46	0.66	0.46	-0.12	0.01	0.01	0.04	0.01	-0.05	0.18	0.18	0.30	0.56	0.63	0.36	0.36	0.09	0.08	0.19	0.28	0.28	0.20	0.16	0.17	0.13	0.13	0.12	0.15	0.19	0.20	0.20	0.25	0.14	0.20	0.38	0.38	0.35	0.32	0.56	0.52	0.52	0.54	0.52	0.47	0.58	0.58	0.65	0.80	0.73	0.47	0.47	0.29	0.32	0.22	0.42	0.42	1.42	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	45.90	46.30	47.70	47.70	52.51	50.53	53.46	51.47	51.47	49.30	47.70	49.26	49.21	49.21	44.10	55.63	54.84	40.53	40.53	35.47	31.62	33.14	38.35	38.35	25.69	23.69	26.06	19.04	19.04	22.59	20.11	21.93	16.59	16.59	17.21	15.26	17.74	16.51	16.51	16.40	15.89	13.91	14.68	14.68	17.21	16.20	17.30	19.73	19.73	19.93	19.17	18.67	18.34	18.34	16.22	14.31	11.02	10.93	10.93	10.36	8.33	10.63	15.89	15.89	15.24	13.22	13.80	8.05	8.05	8.76	0.00	0.00	0.00
