CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	 2007	 2006	 2005	 2004
Tài sản ngắn hạn###Current Assets	1309363	1400951	1490020	1504664	1443583	1350415	1270269	1349057	1346595	1345261	1300451	1458605	1420604	1418666	1121786	1020162	1014965	1079494	1079494	979242	865041	942752	903434	903434	771289	796647	778596	746164	747428	695845	655144	568359	613208	612488	552494	580934	598395	585740	576760	596860	594795	597079	584823	585254	481260	448775	477323	443842	440465	519704	561721	574987	622583	619358	513529	484812	453862	428070	428070	450232	454753	185362	146721	211740
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	37897	30294	51399	51399	46931	41089	56591	54944	54945	84162	173003	211584	140300	140300	136115	100420	127844	107605	107605	176890	121024	149209	167726	268726	87537	38273	96387	214212	219212	225958	223588	214653	246711	246711	225800	234552	176585	129861	129861	161286	171051	178167	168654	168654	177343	124473	192748	170747	170747	84588	88891	49869	57099	57099	56783	51017	58844	53421	53421	178730	228696	23595	11800	21385
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	120000	151703	151703	151703	151703	156703	177566	163601	163601	211601	113101	177001	177001	177001	144001	220001	218500	230500	230500	207561	136061	184000	186973	85973	156175	158465	118476	15489	10489	10716	777	1157	6157	6113	6161	6161	37161	32464	32146	32805	8024	1784	2585	2354	2380	6408	7423	8518	8518	109893	121044	171861	208261	212347	163258	151645	109455	109455	109455	9858	24031	10936	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	790120	816627	954832	987018	780646	697135	645754	840780	851207	545672	620492	676212	820543	819065	516556	450760	406937	542980	542980	309477	292826	310789	377197	377197	251447	301038	206428	304103	304103	186178	176289	158228	179496	179426	137057	149903	134685	162695	145001	131382	168015	161052	170224	170224	97183	77781	65244	97456	97290	158398	180625	226929	210183	212692	184437	178552	179821	175142	175142	170668	160383	81438	45479	42327
Hàng tồn kho###Inventory	332287	365515	316933	299523	433303	424330	357470	279273	266382	461839	357058	365223	260544	260544	287577	215931	238032	185564	185564	259443	288984	277091	165044	165044	263176	285494	314236	188947	190210	247689	232210	174709	174783	174177	173413	179411	239408	255756	264788	261328	235396	242966	233168	234309	192777	222085	192214	153408	149896	156522	161565	121354	143664	135748	104219	97862	101834	87099	87099	85420	39762	61356	88853	147624
Tài sản ngắn hạn khác###Other Current Assets	29059	36812	15153	15021	31000	31159	32889	10459	10459	41988	36798	28585	22216	21755	37536	33050	23652	12844	12844	25871	26146	21663	6494	6494	12953	13376	43068	23414	23414	25304	22281	19611	6060	6060	10064	10908	10557	4963	4963	10059	12309	13110	10192	9713	11577	18029	19693	13712	14013	10303	9597	4974	3375	1472	4833	5735	3908	2953	2953	5556	1881	8037	588	404
Tài sản dài hạn###Non-current Assets	450455	436368	419692	415995	377497	288507	289621	284757	283794	288368	395636	281560	280850	280711	269983	268356	252266	255653	255007	227430	260371	198547	197228	196060	190988	187819	181581	180612	177450	176946	183294	180994	115899	116473	115374	115387	115926	117762	117762	121503	125515	128088	133655	135554	138289	142920	146204	147198	147012	106523	108896	88161	57875	48774	49874	49431	47949	48168	48168	49389	28474	33289	32165	32042
Các khoản phải thu dài hạn###Long term Account Receivable	1737	1737	1776	1776	1596	1596	1617	1389	1389	1379	1379	1369	1446	1446	1703	1375	1375	1375	1375	1360	1360	1360	1360	1360	1360	1335	1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2304	0
Tài sản cố định ###Fixed assets	253917	98110	96602	96602	98627	100207	102976	104742	105532	89311	87456	89289	104322	104322	106010	108165	73877	75388	75388	56623	57228	57555	58579	58579	63043	64430	65996	67979	65793	67063	68880	69899	71842	72048	73502	73095	75606	77475	77495	80015	82174	84297	86424	86409	90997	92455	93997	86227	94765	92043	92529	17257	40737	40976	41755	37957	35762	35927	35927	28487	21035	22817	26362	28439
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-99494	-97544	-95263	-95263	-92938	-90607	-88271	-85912	-85122	-74513	-72384	-70248	-77252	-77252	-75143	-72813	-76930	-75520	-75520	-76800	-75750	-74691	-73633	-73633	-72270	-70769	-69228	-67662	-67412	-65880	-64078	-62672	-60861	-60862	-60744	-58930	-62211	-59974	-59974	-57989	-55742	-53432	-51131	-51215	-49211	-46906	-44732	-42416	-42416	-40366	-39586	-16480	-36874	-36874	-35732	-34619	-33672	-32731	-32731	-33201	-30561	-25879	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-2243	-2211	-2174	-2174	-2136	-2099	-2046	-1948	-1948	-1849	-1751	-1652	-1553	-1553	-1449	-1341	-1234	-1133	-1133	-1141	-1039	-958	-923	-923	-899	-875	-851	-827	-827	-808	-793	-778	-763	-763	-712	-655	-861	-779	-779	-698	-617	-536	-454	-454	-373	-293	-219	-160	-160	-147	-140	-132	-124	-124	-117	-109	-101	-94	-94	-86	-63	-56	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
