CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-522	-522	-522	-522	-522	-522	-522	-522	-522	-474	-425	-377	-328	-328	-280	-232	-183	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	-135	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2493	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	42	42	64	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	467	1084	2151	2641	2921	3118
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	157957	159262	167224	167302	164906	195141	175908	175649	175625	186477	187051	219713	177486	177486	209460	160664	163883	143726	143726	162726	149358	156627	143035	143569	157933	153097	153013	172135	179187	238080	234071	237366	206097	206097	225967	230235	209009	215734	215734	194363	193352	216044	223732	223500	229316	223882	196025	198610	198610	194280	186986	207380	185182	185799	166917	160349	155794	179670
Nợ phải trả ###Liabilities	63031	58394	67204	67233	67794	100630	66408	67641	67908	80519	84028	116985	82465	76830	113078	66462	63300	45333	45333	69443	57792	64415	52926	53487	70393	67599	65601	85498	91933	152461	149935	155039	124746	124752	146931	153071	126580	134628	134628	114201	115590	134186	144131	144572	153947	151152	119447	124293	124319	122872	118141	133812	113724	114082	98458	94717	90487	116953
Nợ ngắn hạn###Short term Liabilities	60652	56016	64916	64945	65345	98182	63955	65187	65455	77983	81406	114508	79810	74175	111294	64628	61566	43396	43396	67387	55809	62423	50881	51443	68348	65544	63444	83344	89779	150398	147916	153020	122817	122823	144967	151207	124671	132844	132844	112417	113725	132008	141965	142407	151743	148965	117391	122237	122263	119558	114944	130805	111806	112164	96777	93094	89013	114037
Nợ dài hạn###Long term Liabilities	2379	2379	2289	2289	2449	2449	2454	2454	2454	2536	2622	2477	2655	2655	1784	1834	1734	1937	1937	2055	1983	1993	2045	2045	2045	2055	2157	2154	2154	2063	2019	2019	1929	1929	1964	1864	1909	1784	1784	1784	1865	2177	2165	2165	2204	2187	2056	2056	2056	3314	3197	3007	1918	1918	1681	1623	1474	2915
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	94926	100868	100020	100069	97112	94510	109500	108008	107717	105958	103022	102728	95021	100656	96382	94202	100582	98392	98392	93283	91566	92211	90109	90081	87540	85498	87412	86637	87254	85619	84136	82327	81351	81345	79036	77164	82429	81106	81106	80162	77761	81859	79601	78928	75369	72730	76578	74317	74291	71408	68845	73568	71458	71717	68459	65632	65307	62717
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-101	-64	-19	-202	0
Vốn chủ sở hữu ###Owners equity	94926	100868	100020	100069	97112	94510	109500	108008	107717	105958	103022	102728	95021	100656	96382	94202	100582	98392	98392	93283	91566	92211	90109	90081	87540	85498	87412	86637	87254	85619	84136	82327	81351	81345	79036	77164	82429	81106	81106	80162	77761	81859	79601	78928	75369	72730	76578	74317	74291	71408	68845	73568	71458	71818	68523	65651	65510	62717
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234071	237366	206097	206097	225967	230235	209009	215734	215734	194363	193352	0	223732	223500	229316	223882	196025	198610	198610	194280	186986	207380	185182	185799	0	0	155794	179670



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	163078	118019	877891	229411	239157	244285	165037	1204145	284191	255805	357225	306925	1477326	395246	381440	397014	303626	1299121	397996	353766	338279	209081	1082729	325205	302536	303036	151952	1003391	285974	262093	291835	163490	1033771	280700	255653	316948	180470	1095838	312191	245021	277488	264941	1556484	413338	404421	468595	270131	315222	356111	337757	383216	238137	1196394	366641	308051	317492	204211	1056881
Các khoản giảm trừ doanh thu###Deduction revenues	5215	3778	34580	8120	9741	11257	5463	46105	17244	8102	13359	7400	37530	13143	6979	10940	6468	41684	15713	12548	8339	5084	20218	8654	4076	5170	2319	6617	3585	1836	783	413	2248	700	525	671	352	1093	939	149	5	0	920	240	0	680	0	73	73	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	157864	114241	843310	221292	229416	233028	159575	1158040	266947	247703	343866	299525	1439796	382103	374461	386073	297158	1257437	382283	341217	329941	203996	1062511	316551	298461	297866	149633	996774	282389	260256	291051	163077	1031523	280000	255128	316276	180118	1094745	311252	244872	277483	261139	1555564	413098	404421	467915	270131	315149	356039	337757	383216	238137	1196394	366641	308051	317492	204211	1056881
Giá vốn hàng bán###Cost of goods sold	149358	110284	809959	212039	221691	223315	152892	1107378	254987	235341	328345	288734	1391919	365063	363102	374005	289749	1218721	370811	333170	317620	197120	1016126	298275	285363	287877	144611	938808	264936	246679	276344	155796	988379	266716	245600	302948	173114	1044385	298560	230162	264356	251307	1492183	396187	391187	444908	260284	266396	342469	324291	369836	229799	1145512	350032	294351	305157	195971	1005577
Lợi nhuận gộp###Gross profit	8505	3957	33351	9253	7726	9713	6683	50662	11959	12362	15520	10791	47877	17040	11359	12068	7409	38716	11472	8047	12320	6876	46385	18276	13098	9988	5022	57966	17453	13578	14708	7281	43144	13284	9528	13328	7005	50360	12692	14710	13127	9831	63381	16911	13234	23007	9847	48753	13569	13465	13381	8338	50883	16609	13699	12335	8239	51304
Doanh thu hoạt động tài chính###Financial activities Revenues	2728	1714	5200	1838	808	1393	1162	5989	1410	1953	1232	1401	3691	1167	874	1091	559	3425	1120	800	870	635	3684	997	1009	1145	533	2626	693	629	682	622	2562	156	672	1182	552	2825	600	607	1040	578	4602	1089	1100	1471	1187	5290	1527	1203	1139	1420	2174	628	463	246	837	2122
Chi phí tài chính###Financial Expenses	0	0	0	0	0	0	0	1	0	0	0	1	21	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1215	0	1237	0	0	0	0	0	0	385	385	0	0	0	2335
Chi phí bán hàng###Selling Expenses	2913	2850	12511	3508	2537	2967	3520	18623	2977	7021	5622	3003	20282	6382	4527	6675	2697	19011	6927	3304	6355	2425	16583	6216	4241	4190	2506	25951	9219	5724	6943	4391	23853	6894	5769	7486	3703	28834	9064	6597	7890	5284	35083	9996	7963	11833	5290	28001	7764	8109	7643	4485	26599	8185	7096	6553	4764	32745
Chi phí quản lý doanh nghiệp###Managing Expenses	5060	2086	13915	4034	2803	4599	2479	16111	7991	3597	5048	-185	18394	6113	5006	4376	2899	18156	5802	4222	5595	2536	25571	10066	7609	4822	2541	31952	7132	8434	5815	2596	14433	3975	2552	5305	2609	17907	5015	6523	3892	2477	17282	5485	3039	5888	2772	14681	4108	3413	4303	2891	14027	5128	3961	2681	2257	12861
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	3260	735	12126	3549	3193	3539	1846	21917	2401	3696	6082	9373	12871	5657	2700	2108	2372	4974	-138	1321	1241	2550	7914	2991	2257	2122	508	2689	1795	49	2632	916	7420	2570	1879	1719	1244	6444	-786	2197	2385	2648	15617	3734	3331	5519	2971	11362	3225	3147	2573	2382	12045	3539	3105	3346	2055	5486
Thu nhập khác###Other incomes	757	355	720	278	40	434	28	1631	46	29	1287	270	812	363	34	38	378	11786	1656	4172	5239	370	4782	1015	3049	222	496	28066	3312	7082	6021	3313	25952	7690	5358	8505	4399	31840	8147	7620	12849	3225	33542	10070	5036	10162	7889	23874	8085	6891	8452	447	3096	723	1186	659	528	4179
Chi phí khác###Other Expenses	18	20	240	98	140	1	0	1571	160	45	1364	1	579	541	2	33	3	5139	-154	3340	1319	285	3461	740	2678	43	0	21704	2998	5214	4099	2965	24092	7153	4742	8318	3880	26921	6074	6615	11369	2863	32292	9044	4850	10146	7846	20823	7448	6620	6740	15	1758	242	809	475	231	2483
Lợi nhuận khác###Other profits	739	335	480	179	-100	432	28	61	-115	-17	-77	269	233	-179	32	5	374	6647	1810	832	3919	86	1321	276	370	179	496	6362	313	1867	1921	348	1860	537	616	187	520	4920	2073	1005	1480	362	1250	1026	186	16	43	3051	637	271	1712	431	1338	481	377	183	297	1697
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	4000	1070	12606	3728	3094	3972	1874	21977	2287	3680	6005	9641	13104	5479	2733	2112	2747	11622	1672	2154	5160	2636	9235	3267	2627	2301	1004	9051	2108	1916	4553	1264	9280	3107	2495	1906	1764	11363	1287	3201	3865	3010	16867	16828	3518	5535	3014	14413	3861	3418	4286	2813	13384	4019	3482	3530	2352	7182
Chi phí thuế TNDN###Corporate Income Tax Expenses	808	222	2570	771	627	802	383	4490	528	744	1211	1935	3219	1204	553	429	557	2371	362	437	1039	534	2063	726	585	514	230	2031	473	434	1011	287	2362	798	624	0	0	2894	0	0	0	753	4238	1200	879	1394	754	3620	978	854	1076	703	2723	725	0	0	0	1944
Chi phí thuế TNDN###Corporate Income Tax Expenses	808	222	2570	771	627	802	383	4490	528	744	1211	1935	3219	1204	553	429	557	2371	362	437	1039	534	2063	726	585	514	230	2031	473	434	1011	287	2362	798	624	498	441	2894	343	800	998	753	4238	1200	879	1394	754	3620	978	854	1076	703	1763	125	609	618	412	2331
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	960	960	0	0	0	-387
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3192	848	10036	2957	2467	3169	1492	17487	1758	2936	4795	7706	9885	4274	2180	1683	2190	9251	1311	1717	4121	2102	7172	2541	2042	1787	774	7020	1635	1483	3542	976	6918	2309	1871	1409	1323	8470	944	2401	2867	2258	12629	3559	2638	4141	2261	10792	2883	2563	3210	2110	10660	2934	2873	2912	1941	5238
---Cac Chi So Tai Chinh---																																																										
EBITDA	0.03	-0.21	-0.89	-0.89	-0.72	-0.04	0.20	0.42	0.42	0.48	0.13	0.02	-0.24	-0.24	-0.83	-0.21	0.27	0.67	0.67	0.05	-0.03	-0.06	-0.16	-0.16	-0.25	-0.28	-0.06	-0.02	-0.02	0.27	0.19	0.06	-0.39	-0.39	-0.23	0.30	0.43	0.35	0.35	0.16	0.18	0.44	0.75	0.75	1.06	1.28	1.26	1.26	1.26	1.09	0.77	0.61	0.09	0.09	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	12.70	14.80	11.70	11.70	14.00	10.49	7.23	7.49	7.49	8.20	6.62	6.95	6.70	6.70	7.77	7.47	8.56	8.72	8.72	8.80	6.04	2.98	3.06	3.06	4.25	6.34	7.60	9.50	9.50	6.34	5.14	5.45	5.70	5.70	4.24	4.24	3.44	3.44	3.44	3.06	4.81	4.11	5.48	5.48	3.67	4.45	4.69	7.76	7.76	8.95	11.85	11.38	5.57	5.57	0.00	0.00	0.00	0.00
