CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	 2009	Q4 2009	 2008	Q4 2008
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-679	-679	-676	-676	-674	-672	-672	-668	-668	-667	-665	-644	-614	-636	-614	-614	-612	-606	-606	-604	-604	-604	-584	-584	-556	-556	-549	-511	-511	-461	-461	-461	-435	-435	-335	-335	-353	-280	-280	-205	-205	-198	-119	-119	-11	-11	-11	-8	-8	-7	-6	-6	-4	-4
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	2253	2250	2556	2556	2925	2910	2910	3491	3491	3685	3132	3397	3565	3592	3240	3210	2925	7327	7327	629	422	670	3700	3700	938	918	2305	5564	5564	1612	1537	1751	7643	7643	2693	2644	843	406	406	834	784	793	732	4808	742	520	367	2012	2012	57	3257	3257	3907	3907
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	398917	403812	316959	316959	317982	377344	409130	342080	342080	453475	511200	405531	390057	389999	315425	325622	264169	167727	167727	144558	147073	191428	154171	153206	140208	164485	204888	139802	139800	136733	173674	203193	164323	164323	140014	169142	197498	182235	182277	142017	148280	214082	176467	176467	149225	143796	139217	109852	109852	86770	97407	97407	94961	94961
Nợ phải trả ###Liabilities	240134	245546	159221	159221	162356	219601	248221	187095	187095	299382	357024	253844	244793	244793	169541	172786	113067	50066	50066	4765	7161	37968	24589	24701	13212	34700	88911	24709	24709	21545	57454	75376	36641	36651	8560	40306	69282	56779	56700	22978	27879	88329	66106	66106	33379	39518	53474	41696	41696	27689	55946	55946	59863	60251
Nợ ngắn hạn###Short term Liabilities	176306	203718	111393	111393	114528	165773	188393	121267	97267	207554	272363	169950	174563	174563	162911	172786	113067	50066	50066	4765	7161	37968	24589	24701	13212	34700	88884	24709	24709	21545	57454	75376	36641	36651	8560	40306	69282	56779	56700	21503	26339	85364	63111	63111	27601	33026	46972	35195	35195	15380	36330	36330	18761	19149
Nợ dài hạn###Long term Liabilities	63828	41828	47828	47828	47828	53828	59828	65828	89828	91828	84661	83894	70230	70230	6630	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	1475	1540	2965	2995	2995	5778	6493	6502	6502	6502	12309	19616	19616	41103	41103
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	158783	158267	157738	157738	155626	157744	160908	154985	154985	154093	154175	151687	145264	145206	145885	152835	151103	117662	117662	139793	139912	153460	129583	128505	126996	129786	115978	115093	115091	115187	116220	127817	127681	127671	131454	128836	128216	125455	125578	119039	120401	125753	110361	110361	115846	104278	85743	68155	68155	59081	41461	41461	35098	34710
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0
Vốn chủ sở hữu ###Owners equity	158783	158267	157737	157737	155626	157743	160908	154984	154984	154093	154175	151687	145263	145205	145884	152835	151103	117661	117661	139793	139912	153460	129583	128505	126996	129786	115978	115093	115091	115187	116219	127817	127681	127671	131454	128836	128216	125455	125578	119039	120401	125753	110361	110361	115846	104278	85743	68155	68155	59081	41461	41461	34710	34710
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173674	203193	164323	164323	140014	169142	197498	182235	182277	142017	148280	214082	176467	176467	149225	143796	139217	109852	109852	86770	97407	97407	94961	94961



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	80545	53772	145903	17481	1398	75573	51451	537586	126792	79429	212456	118908	436813	18203	158088	74107	186416	235088	33639	410	64378	136661	293250	89902	138	135814	67396	190855	75252	27101	39439	49063	295480	86690	36953	59910	111927	313713	95751	29353	41945	146664	314495	42412	43782	152970	75331	154422	53432	42710	21701	36580	108548	48019
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	80545	53772	145903	17481	1398	75573	51451	537586	126792	79429	212456	118908	436813	18203	158088	74107	186416	235088	33639	410	64378	136661	292951	89902	138	135814	67396	190855	75252	27101	39439	49063	295480	86690	36953	59910	111927	313713	95751	29353	41945	146664	314495	42412	43782	152970	75331	154422	53432	42710	21701	36580	108548	48019
Giá vốn hàng bán###Cost of goods sold	69453	49847	130717	12946	1167	74692	41912	516439	123286	76916	207016	109221	389297	17920	154810	68429	148139	189984	25916	350	53881	109836	255050	79168	90	114913	62250	182838	72661	26392	37110	46675	261517	75711	30861	53462	101483	259890	82559	24129	36855	116347	220408	38625	29016	104023	48745	102654	37247	27356	14967	23084	84687	41632
Lợi nhuận gộp###Gross profit	11092	3925	15186	4535	231	881	9539	21146	3506	2513	5440	9687	47516	283	3278	5678	38277	45104	7722	60	10497	26825	37901	10734	48	20902	5146	8017	2591	708	2330	2388	33963	10978	6092	6448	10445	53823	13192	5224	5090	30317	94087	3787	14766	48948	26586	51768	16185	15353	6734	13497	23861	6387
Doanh thu hoạt động tài chính###Financial activities Revenues	753	195	2541	800	494	922	325	6501	1402	1979	3099	21	8933	3520	1789	3199	425	3826	1509	705	1032	580	2956	2890	21	1	22	265	109	12	42	97	1107	557	196	167	187	1058	197	-1	317	546	6323	3016	2242	744	322	3282	2054	328	503	397	1610	2401
Chi phí tài chính###Financial Expenses	8292	933	6608	1365	1633	2096	1514	9084	2447	2461	2723	1453	6872	2264	2045	1858	705	128	64	0	18	46	1926	37	463	844	581	2057	82	598	1206	171	2681	7	91	1075	1508	1843	186	308	369	980	1306	184	179	750	192	1758	343	177	650	588	2046	2379
Chi phí bán hàng###Selling Expenses	192	154	682	162	102	115	303	962	167	79	566	150	1107	111	72	388	536	924	34	113	315	462	2627	334	411	802	1079	2095	475	313	603	704	5282	2047	319	1034	1881	2629	1134	210	843	442	2108	429	452	885	342	871	251	151	195	273	448	113
Chi phí quản lý doanh nghiệp###Managing Expenses	1933	2019	5744	1182	423	2059	2080	6500	1248	1157	2027	2068	8915	1187	1352	3504	2871	5160	1394	416	870	2480	13038	2928	1344	5439	2538	7980	2042	1452	2918	1568	9580	626	2574	2883	3496	16173	5901	3125	3375	3624	15047	6494	2289	3083	3181	7666	2647	1812	1501	1707	8078	867
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1429	1013	4694	2627	-1433	-2467	5967	11101	1046	796	3223	6037	39555	241	1597	3126	34590	42718	7738	236	10327	24416	23266	10325	-2150	13817	969	-3851	101	-1643	-2355	42	17527	8855	3303	1622	3747	34235	6168	1580	820	25816	81949	-305	14087	44973	23193	44756	14997	13541	4891	11326	14899	5428
Thu nhập khác###Other incomes	0	0	164	0	91	0	73	1091	361	543	186	0	115	4	0	18	93	729	264	2	448	15	395	0	0	94	0	1250	65	763	8	413	856	8	525	292	55	104	20	0	84	0	470	459	11	0	0	145	127	1	14	3	34	33
Chi phí khác###Other Expenses	296	452	1316	286	298	363	369	1139	545	204	316	73	1515	280	393	444	399	3083	880	289	1427	487	553	1054	99	103	84	666	91	107	293	171	629	222	103	214	90	593	211	70	254	57	763	255	76	298	135	228	106	32	59	32	127	55
Lợi nhuận khác###Other profits	-296	-452	-1152	-286	-207	-363	-295	-47	-183	339	-130	-73	-1401	-276	-393	-426	-306	-2354	-616	-287	-979	-472	-158	-1054	-99	-9	-84	585	-26	657	-284	241	227	-214	422	78	-35	-489	-191	-70	-170	-57	-293	204	-65	-298	-135	-83	21	-30	-45	-28	-93	-22
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1133	561	3542	2341	-1640	-2830	5671	11054	862	1135	3093	5963	38154	-35	1205	2701	34284	40363	7122	-51	9348	23944	23108	9271	-2249	13808	885	-3266	75	-986	-2640	283	17753	8640	3725	1700	3712	33746	5977	1510	650	25759	81656	-100	14022	44675	23059	44673	15018	13511	4846	11298	14806	5406
Chi phí thuế TNDN###Corporate Income Tax Expenses	170	32	233	186	25	275	-253	376	-29	319	604	-518	2282	644	510	772	357	474	168	69	171	66	117	10	0	0	0	12	0	12	-78	78	4560	2212	957	0	0	5996	0	0	0	9557	14765	-4656	2379	11570	5471	11255	3810	3386	4059	0	2613	1301
Chi phí thuế TNDN###Corporate Income Tax Expenses	170	32	233	186	25	275	-253	376	-29	319	604	-518	2282	644	510	772	357	474	168	69	171	66	117	10	0	0	0	12	0	12	-78	78	4560	2212	957	474	951	5996	-571	1931	-4894	9557	14765	-4656	2379	11570	5471	11255	3810	3386	4059	0	2613	1301
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	963	529	3309	2155	-1665	-3105	5924	10678	892	816	2489	6481	35873	-679	695	1929	33927	39889	6954	-119	9177	23877	22992	9261	-2249	13808	885	-3278	75	-998	-2562	205	13194	6429	2768	1226	2761	27750	6548	-421	5543	16202	66891	4555	11643	33104	17588	33418	11208	10125	787	11298	12193	4106
---Cac Chi So Tai Chinh---																																																						
EBITDA	0.70	0.91	1.28	1.28	-0.64	-0.27	0.03	0.23	0.23	0.40	0.34	0.22	-0.55	-0.55	0.00	1.39	3.12	2.62	2.62	2.18	0.67	0.10	-0.15	-0.15	-0.02	-0.05	-0.13	-0.03	-0.03	-0.12	-0.33	-0.29	0.51	0.51	0.25	0.40	0.50	0.53	0.53	0.33	0.18	0.12	-0.09	-0.09	0.17	0.17	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	10.10	8.70	8.90	8.90	9.90	19.90	23.80	16.80	16.80	18.50	22.90	19.00	28.70	28.70	40.10	46.50	40.00	42.50	42.50	57.29	64.63	18.70	13.18	13.18	13.52	11.90	10.74	10.43	10.43	12.90	12.13	11.75	11.40	11.40	9.45	10.83	11.34	11.00	11.00	16.71	18.41	14.60	18.34	18.34	4.68	4.11	4.44	9.63	9.63	0.00	0.00	0.00	0.00	0.00
