CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	Q4 2014
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	89017	89017	89017	89017	89017	89017	75576	75576	75717	9517	9517	9517	9517	9517	9517	9517	9517	9517	9517	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	16	36	42	42	33	44	64	69	69	640	423	818	455	455	177	122	129	112	143	110	37	36	41	41	4	4
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	504047	541516	566540	567008	530962	459516	489716	477028	476952	525762	524130	527061	480038	480045	290083	275435	251771	256619	255251	247869	195954	181273	186436	186436	137477	137477
Nợ phải trả ###Liabilities	86097	120539	145443	145577	122543	66360	84429	77904	77920	100512	123363	137015	143196	143385	94552	73586	58640	64403	61472	58446	44235	32009	53275	53275	36710	36710
Nợ ngắn hạn###Short term Liabilities	70377	100894	128153	125147	101328	47500	84429	77904	77920	100512	123363	137015	143196	113385	94552	73586	58640	64403	61472	58446	44235	32009	53275	53275	36710	36710
Nợ dài hạn###Long term Liabilities	15720	19645	17290	20430	21215	18860	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0	0	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	417950	420978	421097	421431	408419	393157	405287	399124	399031	425250	400768	390046	336842	336660	195531	201849	193131	192216	193779	189423	151719	149265	133161	133161	100767	100767
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	417950	420978	421097	421431	408419	393157	405287	399124	399031	425250	400768	390046	336842	336660	195531	201849	193131	192216	193779	189423	151719	149265	133161	133161	100767	100767
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q3 2015	Q1 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	5463	67517	333106	191079	48102	40042	60379	252510	82796	64742	48141	54041	171791	41069	31466	40737	58519	158240	37738	61052	33449	26002	116121	18263	29472	16227
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	5463	67517	333106	191079	48102	40042	60379	252510	82796	64742	48141	54041	171791	41069	31466	40737	58519	158240	37738	61052	33449	26002	116121	18263	29472	16227
Giá vốn hàng bán###Cost of goods sold	5471	66036	280377	170885	29826	32673	52035	175622	53449	37015	35510	47573	138414	29377	22957	30223	56108	89685	32267	23297	28648	5636	76861	18409	10368	8599
Lợi nhuận gộp###Gross profit	-8	1481	52729	20194	18276	7368	8344	76888	29347	27727	12631	6467	33376	11691	8509	10513	2411	68555	5471	37755	4800	20366	39260	-146	19104	7628
Doanh thu hoạt động tài chính###Financial activities Revenues	1	2100	802	33	2	765	3	1155	125	1	1028	1	2312	1662	1	629	20	177	1	2	172	1	231	0	4	1
Chi phí tài chính###Financial Expenses	1631	1665	7328	1725	1485	3477	609	8156	4098	1181	1509	1015	1167	631	214	112	210	1245	-797	0	486	0	3938	226	0	5518
Chi phí bán hàng###Selling Expenses	294	311	1584	395	396	396	396	1466	356	362	386	362	1558	34	449	193	380	3569	404	297	3569	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1070	1682	4474	990	1132	1046	1179	6403	1009	1699	1525	1393	4323	1379	1165	1095	927	3581	259	995	-2644	4264	1233	252	262	1423
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-3002	-77	40145	17116	15265	3214	6163	62017	24009	24485	10239	3698	28641	11309	6682	9743	915	60336	5607	36464	3562	16103	34319	-623	18846	688
Thu nhập khác###Other incomes	1	0	0	0	0	0	0	53	0	0	0	0	137	31	0	0	0	0	-1251	1251	0	0	0	0	0	0
Chi phí khác###Other Expenses	26	42	2829	2825	4	0	0	293	0	2	-387	494	153	128	0	25	0	281	0	11	108	0	1874	0	1	43
Lợi nhuận khác###Other profits	-25	-42	-2829	-2825	-4	0	0	-240	0	-2	387	-494	-16	-97	0	-25	0	-281	-1251	1240	-108	0	-1874	0	-1	-43
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-3028	-119	37317	14291	15262	3214	6163	61777	24009	24483	10626	3205	28625	11212	6682	9718	915	60055	4356	37704	3454	16103	32444	-623	18845	645
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	-1	1	0	83	0	0	0	0	0	0	0	0	50	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	-1	1	0	83	0	0	0	0	0	0	0	0	50	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-3028	-119	37317	14291	15262	3214	6163	61777	24009	24483	10627	3204	28625	11130	6682	9718	915	60055	4356	37704	3454	16103	32395	-623	18845	645
---Cac Chi So Tai Chinh---																										
EBITDA	0.61	1.17	1.17	1.17	0.62	0.32	0.46	0.27	0.27	0.29	0.55	0.71	1.41	1.41	2.29	2.34	3.59	1.25	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	1.90	1.60	2.60	2.60	2.80	3.28	3.76	3.56	3.56	3.20	3.20	3.13	3.64	3.64	5.75	4.47	4.95	3.56	3.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00
