CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	Q4 2015	 2014	Q4 2014	 2013
Tài sản ngắn hạn###Current Assets	1079113	809708	929932	913868	1060407	1388406	1448993	1427712	1140730	1242575	1101062	1071639	1261075	1208651	1204340	1124768	1191471	1030065	1030623	1657894	1796645	1675956	1675956	2000857	2000857	1117842
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	466471	114527	130911	130911	106776	108509	168102	14982	14982	96969	121101	167812	153061	153061	251322	183398	287186	143580	143580	628670	443850	212672	212672	653385	653385	142066
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	100000	220000	220000	220000	150000	150000	223673	173673	173673	256111	256111	154171	290956	290956	289065	284442	282778	149006	149006	155689	255771	257827	257827	78623	78623	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	337003	316361	368319	368089	271325	465883	426402	791683	791683	582868	488088	464555	442561	442549	402505	297399	263894	339343	339953	234932	274501	261558	261558	333495	333495	690019
Hàng tồn kho###Inventory	117229	106394	154558	138724	182453	301213	274583	109709	109709	244341	183395	237961	328256	275835	214373	308644	307832	356747	356747	572168	757988	866189	866189	887010	887010	240782
Tài sản ngắn hạn khác###Other Current Assets	58410	52426	56145	56145	349853	362801	356233	337665	50682	62286	52368	47141	46241	46251	47075	50885	49781	41388	41337	66435	64535	77710	77710	48343	48343	44976
Tài sản dài hạn###Non-current Assets	1660296	1750826	1694466	1694466	1625078	1594349	1653655	1580387	1877137	1805978	1869702	1843107	1776295	1776813	1710754	1701876	1697482	1786348	1746387	1696408	1637313	1422995	1422995	1336847	1336847	1513545
Các khoản phải thu dài hạn###Long term Account Receivable	1430	1510	1510	1510	1510	1510	1510	1510	1510	1560	1560	265	265	265	265	265	265	265	265	185	135	135	135	135	135	135
Tài sản cố định ###Fixed assets	132156	137200	142808	142808	147969	152996	157962	163069	411637	435300	439608	448721	459393	459393	465795	474840	275549	283382	283382	450282	466063	397909	397909	430240	430240	260908
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-273924	-268906	-264394	-264394	-259260	-254109	-249228	-244147	-282784	-345605	-340342	-331401	-320799	-320799	-315414	-319105	-309510	-302750	-302750	-659607	-642857	-519753	-519753	-457640	-457640	-140525
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3652	-3626	-3600	-3600	-3574	-3548	-3522	-3496	-5951	-5925	-5899	-5829	-5758	-5758	-5702	-5676	-5606	-5535	-5535	-20588	-20211	-17386	-17386	-16043	-16043	-2166
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2187	2190	1858	2104	2106	0	0	0	0	0
