CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-250	-1016	-945	-874	-854	-781	-781	-708	-635	-564	-493	-493	-422	-346	-295	-294	-295	-292	-281	-265	-249	-240	-98
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	22738	22614	21094	21094	17131	16248	16112	15932	15932	18663	18515	18499	18444	18444	18680	18469	18357	18357	18777	23496	21619	18706	17864	17613	14555	13858	13952	13835	13818	14002	13944	13697	13489	2897	4080	4134	3760	3629	3629	5194	4505	4330	4219	4257	4794	4538	4260	4067	929	1124	1024	1051	802	833	1901
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	196339	173730	183825	183933	199762	190369	165920	172744	172889	181096	176176	169684	183742	183708	199658	198309	203683	220257	220504	220171	225285	204483	226454	226398	227931	224815	210154	199334	199315	214342	215396	208613	212016	212303	209820	216393	206324	223917	232365	220142	202309	209100	214544	215209	226910	223065	207978	203878	203339	207997	198576	185599	179705	171460	149698
Nợ phải trả ###Liabilities	156036	132220	142327	142438	158357	148984	124613	131450	131594	139891	134993	128582	142653	142620	140637	139308	144384	160982	161261	161239	166496	145816	167810	167748	169131	166046	151599	140802	140805	156354	157442	150890	154318	154551	152069	158493	146484	164163	172526	161981	144466	150680	156188	156545	169283	162772	147635	143574	143038	148976	140409	127360	121924	114428	92684
Nợ ngắn hạn###Short term Liabilities	156036	132220	142327	142438	158357	148984	124613	131450	131594	139891	134993	128582	142653	142620	140637	139308	144384	160982	161261	161239	166496	145816	167810	167748	169131	166046	151599	140802	140692	153672	150677	142364	145284	145629	139942	143000	129471	144829	152566	134162	115858	119202	125662	126338	147817	135852	118787	108205	107669	110368	100239	85155	77102	67357	57328
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	2682	6766	8526	9034	8922	12127	15493	17013	19334	19960	27819	28608	31477	30527	30207	21466	26920	28848	35369	35369	38608	40169	42205	44822	47071	35356
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	40303	41510	41498	41496	41405	41385	41307	41295	41295	41205	41183	41102	41089	41089	59021	59000	59299	59275	59243	58932	58789	58667	58645	58650	58801	58769	58555	58532	58510	57988	57953	57723	57698	57752	57750	57900	59840	59754	59839	58161	57842	58420	58356	58664	57627	60293	60343	60305	60301	59021	58167	58238	57781	57032	57014
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	143	-39	0	0	0
Vốn chủ sở hữu ###Owners equity	40303	41510	41498	41496	41405	41385	41307	41295	41295	41205	41183	41102	41089	41089	59021	59000	59299	59275	59243	58932	58789	58667	58645	58650	58801	58769	58555	58532	58510	57988	57953	57723	57698	57752	57750	57900	59840	59754	59839	58161	57842	58420	58356	58664	57627	60293	60343	60305	60301	58888	58025	58278	57781	57107	57014
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215396	208613	212016	212303	209820	216393	206324	223917	232365	220142	202309	0	214544	215209	226910	223065	207978	203878	203339	207997	198576	185599	179705	171460	149698



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	22349	6202	108174	67409	12991	21158	6616	93908	38256	27223	13485	14117	93113	27211	23236	20203	22462	170445	76322	50363	34135	9624	151107	80729	25096	36120	9162	132891	53357	32861	35250	11422	105314	43313	24149	37851	20818	182267	104059	20721	37991	19518	164495	77021	36856	35671	14380	137633	72010	24364	27125	13952	111465	123297	79610
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	22349	6202	108174	67409	12991	21158	6616	93908	38256	27223	13485	14117	93113	27211	23236	20203	22462	170445	76322	50363	34135	9624	151107	80729	25096	36120	9162	132891	53357	32861	35250	11422	105314	43313	24149	37851	20818	182267	104059	20721	37991	19496	164495	77021	36856	35671	14380	137633	72010	24364	27125	13952	111465	110583	79610
Giá vốn hàng bán###Cost of goods sold	20449	4923	94330	59415	11393	18307	5215	85771	38239	23699	11755	12078	95972	39555	19603	15832	20982	150847	68188	45815	29341	7443	130720	73528	19137	30902	7164	113366	46237	27788	30500	8859	85093	34064	20408	30616	17135	151516	92350	14699	30090	15982	135307	65325	28500	30867	10231	113098	63801	17758	21354	9591	88113	91544	66193
Lợi nhuận gộp###Gross profit	1900	1280	13844	7994	1598	2851	1401	8138	17	3525	1730	2039	-2859	-12345	3634	4372	1480	19597	8135	4548	4794	2181	20388	7201	5960	5218	1997	19525	7120	5073	4750	2564	20220	9249	3742	7235	3683	30751	11709	6021	7901	3514	29188	11696	8356	4803	4149	24535	8209	6606	5771	4361	23353	19038	13417
Doanh thu hoạt động tài chính###Financial activities Revenues	7	1	18	4	11	1	3	19	15	1	1	2	6	2	1	1	2	37	1	4	4	27	39	30	2	1	6	17	5	1	7	5	47	3	2	42	22	28	5	9	5	9	233	45	12	66	24	47	7	9	8	23	131	244	1055
Chi phí tài chính###Financial Expenses	2786	636	6679	3835	858	1316	670	6554	2896	1689	905	1064	7118	2521	1725	1803	1069	8264	2997	2102	2052	1113	8708	3257	2194	2257	1000	12326	3996	3605	3389	1345	12642	6092	1833	4718	1980	16478	6175	3806	4542	1955	17133	6433	5369	2835	2289	9098	3021	3065	2356	1465	8014	9740	5248
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	2536	674	7354	4267	925	1469	693	7818	3663	1727	1106	1321	8421	2801	2016	2303	1302	10732	4853	2203	2525	1203	9939	4328	2470	1933	1209	9071	3769	2134	1616	1555	9398	4775	1552	3070	1639	12064	3439	2161	2844	1327	10371	4253	2569	1678	1810	11286	3422	2665	2524	2300	11734	8089	5049
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-3415	-29	-171	-105	-174	67	41	-6214	-6526	110	-280	-345	-18391	-17664	-106	267	-888	638	286	248	221	-109	1779	-354	1298	1030	-206	-1855	-639	-664	-248	-331	-1773	-1616	358	-510	85	2237	2100	63	520	241	1917	1055	430	356	73	4198	1773	885	899	618	3736	1453	4176
Thu nhập khác###Other incomes	248	72	795	245	238	109	131	7181	6942	118	506	443	3120	886	506	445	1491	2036	1464	257	144	177	1514	539	326	317	332	3077	936	1033	654	453	3277	1547	202	927	98	1602	263	508	192	13	669	209	100	350	11	2678	871	1384	383	41	3322	12471	340
Chi phí khác###Other Expenses	40	31	421	49	44	98	160	761	326	206	148	82	2503	1194	373	572	572	1466	888	325	212	40	2465	-200	1573	995	80	683	227	298	85	72	995	-106	431	-64	68	448	65	218	17	149	961	323	75	529	34	1737	586	1117	37	-2	2033	11962	2219
Lợi nhuận khác###Other profits	208	41	374	196	194	11	-29	6420	6616	-88	358	361	617	-308	132	-126	919	571	576	-68	-69	137	-951	739	-1247	-678	252	2394	709	735	568	381	2282	1653	-229	991	30	1154	199	290	176	-136	-292	-114	25	-179	-23	941	285	266	346	44	1289	509	-1880
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-3206	12	203	91	20	78	12	206	90	22	78	16	-17775	-17972	27	140	30	1209	861	180	152	28	828	385	51	352	45	539	70	71	320	50	509	37	129	481	115	3391	2299	353	696	105	1626	940	455	177	50	5139	2058	1151	1245	662	5024	1962	2296
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	-3	3	0	-39	5	28	6	536	551	36	30	6	715	536	19	138	22	193	36	36	89	26	270	36	107	0	0	918	0	0	0	26	416	-11	114	39	13	1285	514	288	311	166	1283	554	707
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	-3	3	0	-39	5	28	6	536	551	36	30	6	715	536	19	138	22	193	36	36	89	26	270	36	107	211	29	918	621	35	213	26	416	-11	114	44	13	1285	514	288	311	166	1283	554	707
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-3206	12	203	91	20	78	12	206	90	22	81	13	-17775	-17933	21	112	24	673	310	144	121	23	113	-150	32	214	23	347	34	35	231	24	240	1	22	270	86	2472	1678	318	482	79	1210	951	342	133	38	3854	1543	863	934	497	3741	1409	1589
---Cac Chi So Tai Chinh---																																																							
EBITDA	-1.86	-2.01	-0.05	-0.05	0.14	-0.03	0.40	0.38	0.38	0.44	0.50	0.14	-0.16	-0.16	-0.05	0.00	-0.31	-0.16	-0.16	0.08	0.58	0.91	0.85	0.85	0.67	0.58	-0.19	0.40	0.40	0.50	0.56	1.45	1.97	1.97	1.17	0.58	0.48	-0.08	-0.08	-0.02	0.15	0.21	0.59	0.59	1.00	0.93	1.27	1.47	1.47	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	3.20	8.10	12.40	12.40	10.80	4.10	3.50	3.50	3.50	3.50	3.60	3.90	3.40	3.40	2.90	3.00	2.90	3.60	3.60	2.80	3.60	3.10	3.30	3.30	3.50	4.50	4.20	4.30	4.30	4.00	5.90	5.70	4.00	4.00	4.10	3.50	3.90	3.11	3.11	3.11	3.58	3.76	6.87	6.87	5.84	4.03	5.75	7.36	7.36	0.00	0.00	0.00	0.00	0.00	0.00
