CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-218	-164	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	1437	1833	2228	9545	1350	1495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	855	1283	1711	1711	22	86	3429	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	405181	475739	480441	480441	456604	541762	499549	603689	603689	560608	418598	456595	420796	420796	386669	436100	406040	388354	388354	308794	382205	300906	381302	381302	492486	464526	509603	424700	423579	586527	489347	505694	541534	541534	511972	543820	548612	489462	337556
Nợ phải trả ###Liabilities	143478	221721	207246	207246	189324	274536	211640	325868	325609	286433	149972	173154	154558	154558	146048	217937	173943	172428	172425	99681	178982	93617	179901	179901	302505	285765	334479	254354	253995	427870	330531	342393	376765	376766	349033	374543	353425	303087	178103
Nợ ngắn hạn###Short term Liabilities	92430	170673	156198	156198	137790	223488	160592	274820	274561	235385	98924	121962	103510	103510	95050	166939	122945	121430	121427	98683	177984	92619	178903	178903	301507	284767	334479	254354	253995	427870	330531	342393	376765	376766	349033	374543	352912	302786	177964
Nợ dài hạn###Long term Liabilities	51048	51048	51048	51048	51534	51048	51048	51048	51048	51048	51048	51192	51048	51048	50998	50998	50998	50998	50998	998	998	998	998	998	998	998	0	0	0	0	0	0	0	0	0	0	513	302	139
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	261703	254018	273195	273195	267280	267226	287908	277821	278080	274175	268626	283441	266238	266238	240621	218163	232097	215926	215928	209113	203223	207289	201401	201401	189981	178761	175123	170346	169584	158656	158816	163300	164769	164768	162939	169277	195187	186375	159452
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	261703	254018	273195	273195	267280	267226	287908	277821	278080	274175	268626	283441	266238	266238	240621	218163	232097	215926	215928	209113	203223	207289	201401	201401	189981	178761	175123	170346	169584	158656	158816	163300	164769	164768	162939	169277	195187	186375	159452
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	486830	494526	2118377	463516	419957	478869	756035	2488834	588869	623482	661575	614907	2040496	609143	570095	427678	433579	1711638	470510	422909	368307	449912	1585373	376835	375101	445874	387564	1864815	478008	467016	490545	429246	2076506	567443	496022	1976083	1912225	1622817	1290692
Các khoản giảm trừ doanh thu###Deduction revenues	4906	4376	14161	5209	3091	3580	2281	2896	2896	0	0	0	13299	8430	1613	3256	0	1335	1335	0	0	0	2158	916	1241	0	0	4502	1554	2949	0	0	6480	25	0	0	0	0	0
Doanh thu thuần###Net Sales	481924	490150	2104216	458307	416866	475289	753754	2485938	585973	623482	661575	614907	2027197	600713	568482	424422	433579	1710303	469175	422909	368307	449912	1583215	375919	373860	445874	387564	1860313	476454	464067	490545	429246	2070026	567418	496022	1976083	1912225	1622817	1290692
Giá vốn hàng bán###Cost of goods sold	466341	464030	2013552	433779	406308	447743	725722	2397380	574500	602368	641886	578626	1870642	545389	524659	404085	396509	1612501	443731	407893	337857	423020	1470822	346378	343857	428905	351682	1783573	455285	441533	470593	416162	1996323	551930	479412	1897015	1782539	1518760	1172394
Lợi nhuận gộp###Gross profit	15583	26120	90664	24528	10558	27546	28032	88558	11473	21114	19690	36281	156555	55324	43823	20338	37070	97802	25444	15016	30450	26892	112394	29541	30003	16969	35881	76740	21170	22534	19952	13084	73703	15488	16609	79068	129686	104056	118298
Doanh thu hoạt động tài chính###Financial activities Revenues	356	564	2027	583	496	457	491	1685	258	470	692	264	3230	652	734	957	888	1940	856	192	464	429	4669	566	1481	2252	370	2981	1832	230	246	675	1750	484	317	4942	1742	4321	250
Chi phí tài chính###Financial Expenses	464	483	3458	745	1365	722	626	3275	1184	394	696	1001	3500	696	271	1613	920	3506	703	753	-1500	3550	13647	2638	4271	-1600	8338	20166	41	9071	5183	5871	25880	4412	7092	39339	48772	26258	12884
Chi phí bán hàng###Selling Expenses	4533	3013	15472	3860	2909	4078	4624	17664	3469	5093	4398	4704	20255	4005	9343	3561	3346	13087	6897	-2577	3707	5060	16285	6704	4101	-77	5557	15805	588	6100	5554	3565	14653	5876	4530	8755	4238	2088	3802
Chi phí quản lý doanh nghiệp###Managing Expenses	1584	12226	37342	13110	6943	6670	10619	25963	5631	9166	3064	9398	45230	18639	6859	6254	13477	39152	10141	9286	8374	11351	31802	6185	8960	466	16191	29037	8969	7500	6609	5791	24672	2988	5003	23103	18813	20271	12765
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	9358	10962	36419	7397	-164	16532	12655	43340	1447	6931	12223	21442	90800	32635	28085	9866	20214	43997	8559	7745	20333	7360	55328	14579	14152	20432	6165	14713	13404	93	2852	-1469	10247	2696	302	12813	59605	59760	89097
Thu nhập khác###Other incomes	257	45	419	0	260	160	0	1264	0	0	1197	66	0	0	0	0	0	0	-1744	0	0	0	326	196	130	0	0	908	831	0	77	0	120	0	0	2706	95	1137	3
Chi phí khác###Other Expenses	0	0	69	0	29	0	40	1297	1	0	0	0	154	136	18	0	0	76	0	76	0	0	636	103	-102	594	40	345	270	75	0	0	227	32	0	0	135	304	0
Lợi nhuận khác###Other profits	257	45	351	0	231	160	-40	-33	-1	0	1197	66	-154	-136	-17	0	0	-76	-1744	-76	0	0	-310	92	233	-594	-40	563	561	-75	77	0	-107	-32	0	2706	-40	833	3
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	9614	11006	36770	7397	67	16691	12615	43306	1446	6931	13421	21508	90646	32499	28067	9866	20214	43921	6815	7669	20333	7360	55019	14672	14385	19837	6125	15276	13964	18	2929	-1469	10141	2663	301	15519	59565	60593	89100
Chi phí thuế TNDN###Corporate Income Tax Expenses	1929	2208	7399	1482	13	3377	2527	8970	339	1382	2684	4306	18511	6882	5608	1978	4043	9075	0	1778	4078	1472	12287	3252	3165	4523	1348	3524	3037	4	346	0	3073	834	75	3935	14967	15194	10258
Chi phí thuế TNDN###Corporate Income Tax Expenses	1929	2208	7399	1482	13	3377	2527	8970	339	1382	2684	4306	18511	6882	5608	1978	4043	9075	0	1778	4078	1472	12287	3252	3165	4523	1348	3524	3037	4	346	0	3073	834	75	3935	14967	15194	10258
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	7685	8798	29371	5915	54	13315	10087	34336	1108	5549	10737	17203	72135	25617	22459	7888	16171	34846	6815	5891	16254	5888	42732	11420	11220	15314	4778	11752	10927	14	2583	-1469	7068	1829	226	11584	44598	45399	78842
---Cac Chi So Tai Chinh---																																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	11.40	8.47	9.32	9.32	9.41	9.66	9.64	8.72	8.72	9.36	9.00	9.45	7.69	7.69	6.55	6.30	7.47	6.30	6.30	8.20	6.75	7.58	5.25	5.25	4.14	2.37	2.63	2.63	2.63	2.07	2.07	1.88	2.46	2.46	3.40	6.07	2.55	0.00	0.00
