CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Tài sản ngắn hạn###Current Assets	121874	114906	114545	114557	138851	131808	115660	115720	123128	124670	105721	101885	98941	98519	106921	103402	91717	96117	96104	82452	94863	94719	83582	83582	81641	74071	77527	73919	75346	76562	86019	79061	73054	73063	84860	67212	52355	56713	40396	47637	46421	50951	60042	60707	68522	78747	79310	87602	82665	77338	81607	82744	102031	82173	97786	104005	108471	124613	122709	139002	137859	140280	146570	134462
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	7684	7396	9494	9494	4674	3255	6350	14761	14764	10678	6516	2751	7994	7995	3665	16653	9218	13298	13298	14567	25663	17494	11831	11831	14738	25383	22824	17637	17637	19283	18959	8344	8535	8535	13841	4585	6355	3103	362	8459	1667	1674	2635	561	1041	636	636	651	1390	893	2111	2111	728	2355	12092	14495	14495	2648	8380	9284	8650	10959	6025	4595
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	27400	26582	15747	15759	42501	38800	29464	33048	33048	30509	31366	20139	11967	12005	24002	12178	13113	14540	14972	6817	7298	13866	6014	5842	19759	5089	9069	5466	6894	3548	10572	5885	7986	7995	10220	9915	7566	14447	10592	16252	11640	13254	15747	18397	17211	21828	23355	23156	25765	28116	27209	28874	37882	33278	38000	43693	48159	62724	63257	66933	65631	65503	65676	54191
Hàng tồn kho###Inventory	84967	78062	86507	86507	90389	88025	77091	65947	73352	81988	65775	77071	77146	77076	77525	72217	66743	65705	65705	59638	59588	61106	62270	62270	45616	41178	42241	46300	46300	47091	48561	57434	50595	50595	54702	49758	35641	36110	25945	19914	30249	31909	36850	36985	44828	50601	50759	58971	52286	46057	49636	50518	61347	45048	46699	45817	45817	58413	50465	62492	63502	63497	73502	72646
Tài sản ngắn hạn khác###Other Current Assets	1823	2866	2796	2796	1286	1727	2755	1963	1963	1494	2065	1924	1834	1444	1729	2355	2643	2574	2129	1430	2313	2253	3467	3639	1527	2421	3394	4516	4516	6639	7926	7398	5939	5939	6097	2954	2794	3053	3497	3012	2866	4115	4811	4764	5443	5682	4561	4825	3225	2271	2651	1242	2074	1491	995	0	0	828	607	293	77	322	1365	3029
Tài sản dài hạn###Non-current Assets	111311	115706	113180	113180	100376	101904	105214	103795	96659	80983	93034	87426	87596	87596	91502	85365	82460	83852	83852	83720	86246	82923	85072	85072	79702	81913	85461	87352	87352	90659	91261	94940	98144	99542	102891	168961	178837	182095	326889	190935	194533	194785	201323	204622	208654	210319	210593	208410	214532	207466	206564	210036	205154	201874	186095	181449	176967	173190	173050	174069	176287	176042	175626	180869
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	93959	99060	79725	79725	82080	85433	69724	71838	71838	73427	76031	77286	79393	79393	74125	78196	69646	72101	72101	74183	70153	71846	69304	69304	69985	73118	75792	79011	74025	78598	80115	84392	88773	90170	93931	146374	162481	166299	310870	174919	178221	179429	185649	189040	193044	193841	193997	195599	201779	194240	193146	201842	197139	193744	177755	172671	172265	169466	169837	170808	172842	172842	172426	176811
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-214570	-239623	-237136	-237136	-234660	-232516	-227921	-237857	-237857	-251812	-248544	-244364	-242256	-242256	-237900	-236927	-231777	-229322	-229322	-225712	-223253	-220534	-217242	-217242	-214465	-211561	-212845	-209626	-209626	-205148	-200685	-196409	-193535	-192138	-186878	-122436	-104063	-100278	-96229	-93365	-89902	-90061	-84265	-81030	-77134	-75344	-75344	-73862	-70903	-68162	-66724	-66724	-65513	-63264	-59121	-54729	-55631	-51009	-45010	-39031	-34182	-34182	0	0
