CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-999	-1064	-1061	-1061	-1057	-1054	-1051	-1048	-1048	-1044	-1041	-1038	-1035	-1035	-615	-612	-610	-605	-605	-599	-594	-577	-559	-559	-541	-518	-492	-466	-466	-434	-401	-399	-369	-369	-347	-254	-133	-39	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	34	39	43	43	47	51	55	60	60	64	68	72	76	76	81	85	89	93	93	98	102	106	110	110	114	119	123	127	127	131	135	140	144	144	148	161	177	194	211
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650	650	650	650	650	650	650	650	650	58192	58192	58192	58192	58192	58192	58192	58192	58192	58192	58192	58192	58667	57455
Tài sản dài hạn khác###Other long term assets	2106	1538	1787	1787	1872	2107	2369	2680	2680	2399	2394	2454	2781	2781	2628	2524	2185	1953	1628	1859	2340	2331	4782	5533	2292	3770	3801	3883	68186	68279	4193	4480	5208	5208	4879	5925	4273	3517	2183
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	321748	305809	340373	341174	331382	349156	356305	342888	342867	341145	317648	304075	332461	335008	324752	326543	337270	322009	321789	343257	355351	373205	374742	375152	335812	289179	277836	286499	286499	301410	223816	234298	247245	247245	237865	253896	316831	311732	232674
Nợ phải trả ###Liabilities	246153	229527	258007	258811	249170	264741	271557	260715	260715	268632	244852	227960	253622	254040	244464	239839	251588	236938	237069	251697	259046	286735	291418	291817	247751	201278	186341	198221	198221	218717	143544	144909	163850	163850	160465	174669	240512	238375	159434
Nợ ngắn hạn###Short term Liabilities	230033	213302	243239	244043	234044	249700	257637	246516	246516	253669	232898	215530	234756	235173	230166	228349	238128	223591	223722	240108	247904	273628	281912	282312	239628	189786	176925	198221	198198	208326	133142	134505	153469	153469	119580	133728	200217	223737	145787
Nợ dài hạn###Long term Liabilities	16121	16225	14768	14768	15127	15040	13920	14199	14199	14963	11954	12431	18866	18866	14299	11491	13460	13347	13347	11589	11142	13107	9505	9505	8123	11492	9416	0	23	10391	10402	10404	10381	10381	40884	40941	40295	14638	13647
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	75595	76282	82365	82363	82212	84416	84748	82174	82152	72513	72796	76115	78839	80969	80288	86704	85683	85071	84720	91560	96305	86470	83325	83335	88061	87902	91495	88278	88278	82693	80272	89390	83396	83396	77400	79227	76319	73357	73240
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	75595	76282	82365	82363	82212	84416	84748	82174	82152	72513	72796	76115	78839	80969	80288	86704	85683	85071	84720	91560	96305	86470	83325	83335	88061	87902	91495	88278	88278	82693	80272	89390	83396	83396	77400	79227	76319	73357	73240
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q3 2013	Q2 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	36326	25313	353472	133875	39148	83932	96517	361432	203038	52342	49325	56727	259604	105373	48690	76124	29418	237414	54307	42556	76749	63801	239491	51392	115188	16703	56208	190382	85459	24813	48683	31427	175302	39913	38587	383761	497132	218817	176682
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	36326	25313	353472	133875	39148	83932	96517	361432	203038	52342	49325	56727	259604	105373	48690	76124	29418	237414	54307	42556	76749	63801	239491	51392	115188	16703	56208	190382	85459	24813	48683	31427	175302	39913	38587	383761	497132	218817	176682
Giá vốn hàng bán###Cost of goods sold	30653	24173	322239	124808	34329	75278	88063	328595	182415	49621	43784	52773	246902	101347	45041	70895	26351	227462	53179	39128	74919	60236	203140	33587	109312	14204	46037	175729	81472	22346	43900	28012	145063	35570	31009	353203	451595	195126	156333
Lợi nhuận gộp###Gross profit	5673	1140	31232	9067	4819	8654	8453	32837	20623	2721	5541	3953	12703	4026	3649	5229	3067	9952	1128	3428	1831	3565	36351	17805	5875	2499	10172	14653	3987	2466	4783	3416	30240	4343	7578	30559	45536	23691	20348
Doanh thu hoạt động tài chính###Financial activities Revenues	66	118	382	30	112	89	152	640	208	132	89	187	1135	162	19	792	162	852	237	407	100	107	582	337	112	46	87	13583	2532	1295	21	9892	350	37	194	10086	2773	12087	6952
Chi phí tài chính###Financial Expenses	2193	2489	9636	2623	2255	2314	2444	8048	2062	2083	2077	1826	7161	1880	1933	1790	1557	5378	1501	1335	1267	1275	3761	1166	1102	713	779	5226	3606	-304	779	1303	2625	748	328	9982	23289	5078	2748
Chi phí bán hàng###Selling Expenses	72	56	514	129	102	185	98	913	396	209	87	221	-31	64	139	-190	-45	1316	396	55	395	470	1529	641	281	281	326	1650	595	246	339	469	1535	358	194	1009	1241	897	1071
Chi phí quản lý doanh nghiệp###Managing Expenses	3970	4797	15711	5325	2189	6085	2825	21361	10335	691	5748	4586	12629	793	4298	4749	3396	22170	15151	2234	4296	3709	30006	15309	4760	4933	5004	22112	7506	4023	6030	4554	18668	3880	4441	19099	13219	13074	11035
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-496	-6084	5753	1020	384	159	3238	3155	8038	-129	-2282	-2493	-5921	1451	-2702	-328	-1679	-18060	-15683	211	-4028	-1781	1637	1027	-157	-3383	4149	-752	-5187	-203	-2343	6982	7762	-606	2810	10556	10560	16730	12445
Thu nhập khác###Other incomes	169	0	251	1148	0	51	2	2705	2646	29	23	7	7439	316	2445	2212	2466	30073	7060	658	23591	11279	3127	1647	370	1106	4	14356	11361	2696	92	207	2806	73	310	5996	2304	602	159
Chi phí khác###Other Expenses	45	0	1844	1771	7	54	12	1663	194	183	1048	238	1215	804	365	41	6	2875	176	504	6692	5255	582	554	2	17	8	1317	589	72	96	560	270	91	117	303	114	210	58
Lợi nhuận khác###Other profits	123	0	-1593	-623	-7	-3	-10	1042	2452	-154	-1025	-231	6224	-487	2080	2172	2460	27198	6884	154	16899	6024	2545	1092	368	1089	-4	13038	10772	2624	-4	-354	2535	-18	193	5693	2190	391	101
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-373	-6084	4160	397	378	156	3227	4197	10490	-284	-3307	-2724	303	964	-622	1843	781	9138	-8799	365	12872	4243	4182	2120	211	-2294	4145	12286	5585	2421	-2348	6628	10297	-625	3003	16249	12750	17121	12546
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	1021	246	81	40	653	850	851	0	0	0	187	283	-206	474	169	1925	-1959	110	2588	1081	1336	846	52	-495	923	647	0	0	13	634	2639	0	0	2806	3248	2649	1513
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	1021	246	81	40	653	632	688	0	0	-55	406	501	-206	474	169	-449	-1959	110	2588	-1293	3627	3971	-30	-495	923	279	0	0	13	266	2118	0	0	2961	3759	2795	1327
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	218	163	0	0	55	-218	-218	0	0	0	2374	0	0	0	2374	-2291	-3125	83	0	0	368	0	0	0	368	521	0	0	-155	-510	-146	186
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-373	-6084	3139	151	296	115	2574	3346	9639	-284	-3307	-2724	116	681	-416	1369	612	7212	-6840	255	10284	3162	2846	1274	159	-1799	3222	11639	5585	2421	-2361	5994	7658	-625	3003	13443	9502	14472	11033
---Cac Chi So Tai Chinh---																																							
EBITDA	0.15	0.14	0.09	0.09	0.74	0.94	0.56	0.57	0.57	0.29	0.16	0.03	0.26	0.26	0.19	0.02	-0.16	-0.71	-0.71	-0.25	-0.12	0.45	0.89	0.89	0.58	0.94	0.43	-0.43	-0.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.00	5.10	6.20	6.20	6.70	7.35	6.70	6.14	6.14	7.54	6.14	9.31	11.07	11.07	18.98	8.88	8.18	6.95	6.95	8.62	6.42	7.58	5.80	5.80	6.26	6.82	7.85	5.51	5.51	9.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
