CAN DOI KE TOAN	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	 2009	Q4 2009	 2008	Q4 2008
Tài sản ngắn hạn###Current Assets	1216932	1226707	1191563	1184486	1208178	1251680	1418032	1533638	1511248	1796366	1823029	2030366	2163870	1125583	0	1831025	1831025	1162332	1162332
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	5584	5338	3290	3230	3677	4617	6891	8649	8623	7916	13399	27434	57094	3406	0	55223	55223	54539	54539
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	162	171	171	11	11	11	2171	2171	2011	13132	19115	32806	42702	29000	39545	32099	32099	12391	12391
Các khoản phải thu ngắn hạn###Short term Account Receivables	350494	366983	349130	325685	362228	368263	443127	484720	476595	570801	599246	535688	503585	406576	464541	669297	669297	484135	484135
Hàng tồn kho###Inventory	630455	625178	608694	613065	600902	638865	939594	1013134	999006	1155307	1149495	1407609	1524197	683002	1271533	1006507	1006507	518500	518500
Tài sản ngắn hạn khác###Other Current Assets	230236	229037	230278	242496	241359	239925	26249	24964	25012	49209	41774	26829	36292	3599	0	67898	67898	92767	92767
Tài sản dài hạn###Non-current Assets	827816	836546	839963	759187	746341	757336	794215	781233	773891	831215	889666	863703	861468	638975	0	627037	627037	468730	468730
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	6	0	9313	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	797197	805662	810269	736373	724398	730948	770380	753046	747812	804349	855079	824461	820816	73738	805478	592240	592240	437576	437576
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-187897	-183975	-181868	-207531	-205696	-198862	-183862	-173736	-177048	-151387	-150283	-133477	-125069	-12448	-111069	-73685	-73685	-37379	-37379
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-155	-146	-137	-155	-127	-115	-112	-103	-103	-866	-84	-353	-353	-31	-206	-163	-163	-97	-97
Lợi thế thương mại	0	0	0	0	0	0	19564	0	19668	20346	21162	22630	0	23058	0	0	25771	25771	27128
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	5	5	165	165	165	5	5	165	5	5	10005	10005	561317	0	5	5	0	0
