CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	 2011	 2010
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	1209	1209	1209	1209	1210	1210	1211	1211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	650	627	730	730	694	719	803	954	954	822	741	608	569	569	667	813	914	1128	906	949	1044	974	1031	1031	853	547	309	310	310	97	113	78	96	96	116	63	696	421	663	89
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	141106	131595	143523	131429	138193	153215	147599	170943	168228	174986	180868	168472	164128	157564	145124	152119	154546	165043	166472	152535	147776	133402	139610	139610	124391	152409	184005	181480	181487	179157	166925	182357	178844	178829	167688	171522	188942	204556	180272	155533
Nợ phải trả ###Liabilities	72260	56544	68974	56880	64162	81721	74465	98026	95458	98609	109270	94167	91703	85177	76308	87052	90398	104486	105597	91705	87759	75321	88233	88233	71608	103353	132370	130238	130222	130755	119684	135214	132177	132178	121663	126044	141357	157914	135399	117490
Nợ ngắn hạn###Short term Liabilities	72260	56544	68974	53325	59563	80253	71953	94471	91902	94010	103627	87480	83973	79682	67534	77234	80707	93840	91136	80860	81561	66697	81064	79124	71608	101493	129980	127323	127312	127315	115719	130724	127162	127168	116123	119979	134767	150799	128731	117006
Nợ dài hạn###Long term Liabilities	0	0	0	3555	4599	1468	2512	3555	3555	4599	5643	6687	7730	5495	8774	9818	9692	10645	14460	10845	6198	8623	7168	9108	0	1860	2390	2915	2910	3440	3965	4490	5015	5010	5540	6065	6590	7115	6668	484
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	68846	75052	74550	74550	74031	71494	73134	72917	72770	76376	71598	74305	72425	72386	68817	65067	64148	60557	60875	60830	60017	58081	51377	51377	52783	49056	51635	51242	51265	48402	47241	47143	46667	46651	46025	45478	47585	46642	44873	38042
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	68846	75052	74550	74550	74031	71494	73134	72917	72770	76376	71598	74305	72425	72386	68817	65067	64148	60557	60875	60830	60017	58081	51377	51377	52783	49056	51635	51242	51265	48402	47241	47143	46667	46651	46025	45478	47585	46642	44873	38042
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166925	182357	178844	178829	167688	171522	188942	204556	180272	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	13179	9282	107560	11171	21589	48624	26968	277613	71838	85205	84400	36170	137268	44462	26544	36998	29264	169786	35108	57657	50356	26665	121052	32717	30876	24091	33368	98305	42938	22956	17259	15152	108686	49549	20619	38517	24178	105446	133456	125969
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	13179	9282	107560	11171	21589	48624	26968	277613	71838	85205	84400	36170	137268	44462	26544	36998	29264	169786	35108	57657	50356	26665	121052	32717	30876	24091	33368	98305	42938	22956	17259	15152	108686	49549	20619	38517	24178	105446	133456	125969
Giá vốn hàng bán###Cost of goods sold	11833	8753	94973	10431	17890	42850	24595	253613	68430	77886	74571	32726	117669	42396	20716	30355	24201	148184	31460	51349	43779	21198	107388	27965	26508	21172	31744	89547	38838	20941	15833	13935	100714	46582	18874	35258	22366	97512	126691	118566
Lợi nhuận gộp###Gross profit	1346	529	12586	740	3699	5774	2374	24000	3408	7319	9829	3445	19599	2066	5828	6642	5063	21602	3648	6308	6577	5467	13664	4752	4368	2919	1624	8758	4100	2015	1426	1217	7972	2968	1745	3259	1811	7934	6765	7404
Doanh thu hoạt động tài chính###Financial activities Revenues	1132	1035	3161	1318	889	869	85	7666	477	1784	1244	4160	5501	3827	580	774	320	1236	288	271	146	532	2182	515	377	1040	250	1447	336	393	358	360	1102	204	368	1429	263	538	384	302
Chi phí tài chính###Financial Expenses	321	334	1907	435	530	508	434	7624	403	1720	3878	1624	1855	552	900	684	-281	7822	2930	1149	1709	2033	3850	1242	1355	1003	251	2046	370	525	557	593	3370	1791	876	1602	442	2585	1760	318
Chi phí bán hàng###Selling Expenses	334	267	1667	341	473	529	324	2053	365	508	688	491	2326	495	528	810	492	1964	448	493	613	410	1085	352	492	275	99	197	109	45	13	31	114	47	66	1	0	15	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	517	335	1864	504	414	504	442	2610	583	870	570	587	2196	562	443	510	681	2167	594	482	479	589	1807	540	538	350	379	1588	290	388	552	358	1582	468	410	704	392	1785	1812	2122
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1305	628	10309	778	3171	5101	1259	19380	2534	6005	5937	4903	18724	4283	4536	5412	4492	10886	-37	4455	3921	2967	9104	3133	2360	2331	1147	6374	3667	1449	662	596	4007	865	760	2382	1241	4088	3577	5265
Thu nhập khác###Other incomes	0	0	896	104	0	0	0	73	0	0	0	73	227	182	45	0	0	523	171	248	85	19	2450	62	4612	60	0	82	15	39	13	15	69	39	2	28	28	385	136	0
Chi phí khác###Other Expenses	0	0	1048	223	0	30	3	34	1	26	3	4	13	2	3	5	3	67	60	34	0	2	128	102	2151	26	0	19	11	0	0	1	225	52	33	141	11	15	368	263
Lợi nhuận khác###Other profits	0	0	-152	-119	0	-30	-3	38	-1	-26	-3	69	214	180	42	-5	-3	456	110	215	85	17	2322	-40	2462	33	0	63	5	39	13	14	-156	-13	-31	-113	17	370	-231	-263
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1305	628	10157	659	3171	5071	1256	19418	2533	5979	5934	4972	18938	4463	4579	5407	4489	11342	74	4670	4006	2984	11426	3093	4822	2364	1147	6438	3672	1488	675	610	3851	853	729	2269	1258	4458	3346	5003
Chi phí thuế TNDN###Corporate Income Tax Expenses	281	126	2050	140	634	1024	252	3685	451	1201	1214	965	3739	893	829	1157	898	2333	28	941	821	616	2592	709	1095	536	253	1435	808	328	148	134	996	226	182	0	0	882	660	1316
Chi phí thuế TNDN###Corporate Income Tax Expenses	281	126	2050	140	634	1024	252	3685	451	1201	1214	965	3739	893	829	1157	898	2333	28	941	821	616	2592	709	1095	536	253	1435	808	328	148	134	996	226	182	604	314	882	660	1316
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1025	502	8107	519	2537	4047	1004	15733	2082	4778	4719	4007	15199	3570	3750	4250	3591	9009	45	3728	3186	2368	8834	2384	3727	1829	894	5002	2864	1161	526	476	2855	626	547	1665	943	3575	2686	3687
---Cac Chi So Tai Chinh---																																								
EBITDA	0.06	0.07	1.45	1.45	0.97	0.78	0.33	0.19	0.19	0.17	-0.03	0.07	-0.41	-0.41	-0.32	0.11	0.40	0.57	0.57	0.79	0.76	0.61	0.47	0.47	0.63	0.69	0.61	0.48	0.48	0.56	0.80	1.24	3.66	3.66	3.24	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	11.88	9.80	11.06	11.06	11.61	11.97	11.34	10.92	10.92	10.95	11.41	11.05	9.54	9.54	7.55	7.07	7.12	6.82	6.82	6.40	5.87	4.80	5.25	5.25	5.54	4.30	4.04	4.60	4.60	3.48	2.99	3.47	3.90	3.90	2.65	0.00	0.00	0.00	0.00	0.00
