CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-19184	-18869	-18558	-18558	-17782	-17028	-16274	-15526	-15526	-14782	-14037	-13292	-12547	-12547	-11797	-11034	-10271	-9695	-9695	-9211	-8725	-7736	-5756	-3836
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	96158	92644	94372	94372	96099	97826	99553	100471	100471	102165	103860	105554	100497	100497	102147	103797	105447	107097	107097	108746	110396	113696	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	67104	67176	67579	67579	67404	66878	66348	66505	66505	66746	66950	67187	67439	67439	66925	67573	68231	68972	68972	69822	70257	72205	75443	79490
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1287815	1186170	1073273	1073682	1108058	968114	985093	970801	916579	982701	1014097	923606	989631	989633	904718	870606	1026589	967140	967140	925412	897161	922285	945601	993214
Nợ phải trả ###Liabilities	345600	60450	69027	69027	69847	75445	61459	85831	99357	84639	224336	68059	75240	75219	71294	161998	177242	197882	197882	203280	307165	313046	444776	564726
Nợ ngắn hạn###Short term Liabilities	340627	55754	64586	62994	65875	71626	48534	73786	87312	70933	209125	46022	54409	54388	43876	65855	60198	71980	71980	101467	144019	129397	116039	52574
Nợ dài hạn###Long term Liabilities	4973	4696	4441	6033	3971	3819	12925	12045	12045	13706	15211	22036	20831	20831	27418	96143	117044	125902	125902	101812	163146	183649	328737	512152
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	942215	1125721	1004246	1004655	1038211	892669	923635	884970	817222	898062	789761	855548	914392	914414	833424	708608	849347	769258	769258	722132	589996	609239	500825	428488
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	942215	1125721	1004246	1004655	1038211	892669	923635	884970	817222	898062	789761	855548	914392	914414	833424	708608	849347	769258	769258	722132	589996	609239	500825	428488
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	144225	183655	747976	199321	186871	189039	172746	675369	187940	173514	167036	147103	588317	167073	146602	143851	130792	495913	146108	130691	128362	341091	275465	208330
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	144225	183655	747976	199321	186871	189039	172746	675369	187940	173514	167036	147103	588317	167073	146602	143851	130792	495913	146108	130691	128362	341091	275465	208330
Giá vốn hàng bán###Cost of goods sold	33890	37442	153065	39363	37908	39316	36478	146989	45791	36845	33798	30555	135443	42813	32410	30719	29469	136903	50404	32485	30501	103345	93263	87560
Lợi nhuận gộp###Gross profit	110335	146214	594911	159957	148963	149723	136268	528380	142149	136669	133237	116548	452875	124260	114192	113133	101323	359010	95704	98206	97860	237746	182202	120770
Doanh thu hoạt động tài chính###Financial activities Revenues	12688	304	14435	5645	3839	4041	910	7950	3276	1398	2619	658	5020	1603	118	2204	658	1941	1204	30	624	280	190	954
Chi phí tài chính###Financial Expenses	317	0	1253	1143	0	111	0	340	153	0	93	94	5196	199	1155	2244	1599	13386	3678	2144	4190	27289	38692	61523
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	13788	16267	68122	18332	16073	16620	17097	67176	22175	16068	14825	14109	65572	22630	15636	13952	13238	70295	25862	18059	14345	50604	46088	40229
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	108919	130251	539971	146127	136730	137033	120081	468814	123096	121998	120939	103004	387127	103035	97520	99141	87144	277269	67369	78033	79950	160133	97612	19972
Thu nhập khác###Other incomes	4	6	76	16	9	44	7	324	31	23	39	8	886	256	-77	676	31	235	60	28	120	150	130	1450
Chi phí khác###Other Expenses	358	778	2369	568	576	431	793	2428	491	597	568	772	3575	1312	948	480	834	2149	185	1024	551	4886	1310	1150
Lợi nhuận khác###Other profits	-354	-772	-2292	-553	-567	-386	-786	-2104	-460	-574	-529	-764	-2689	-1056	-1025	196	-803	-1914	-125	-997	-430	-4736	-1180	300
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	108565	129479	537679	145575	136162	136647	119296	466710	122636	121424	120410	102240	384439	101978	96494	99337	86341	275356	67244	77036	79519	155397	96432	20272
Chi phí thuế TNDN###Corporate Income Tax Expenses	8847	8004	35499	10034	8860	3295	7426	29578	13527	7482	13240	11126	39978	10601	10856	7945	9540	30130	7118	8467	14436	20138	4095	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	8847	8004	35499	10034	8860	3295	7426	29578	13527	7482	13240	11126	39978	10601	10856	7945	9540	30130	7118	8467	14436	20138	4095	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	99718	121475	502180	135541	127302	133351	111870	437132	109110	113942	107170	91113	344461	91377	85639	91392	76800	245226	60126	68569	65083	135259	92337	20272
---Cac Chi So Tai Chinh---																								
EBITDA	0.63	0.56	0.45	0.45	0.33	0.25	0.58	0.64	0.64	0.68	0.65	0.27	-0.05	-0.05	-0.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	110.69	88.64	115.00	115.00	152.51	151.38	146.97	132.28	132.28	136.48	162.72	155.30	105.01	105.01	76.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
