CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1134	-1132	-1131	-1131	-1129	-1127	-1124	-1121	-1121	-1117	-1114	-1111	-1108	-1108	-1104	-1101	-1098	-1095	-1095	-1092	-1088	-1085	-1082	-1082	-1079	-1075	-1072	-1069	-1069	-1066	-1062	-1061	-1059	-1059	-1057	-1066	-1064	-1062	-1062	-1061	-11	-52215	-52215	-52215	-52215	-52206	-52157	-52108	-52108	-52017	-51926	-51834	-51716	-51716	-51126	-48951	-46775	-44599	-35896	-27192
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	168826	169289	168610	169910	171779	174620	178306	182368	182368	171802	174737	117555	119875	119875	120613	119730	121653	123875	123875	91340	91993	93238	95023	95023	91568	92852	89492	91598	91598	32709	33027	34400	30495	30495	30465	32302	34390	33952	33952	36156	38405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	52827	47359	330359	330359	575612	555405	595375	246250	47250	47152	47152	124805	123676	123676	122376	122272	132836	134336	132836	132863	132456	132233	134780	134780	167443	162181	154313	144993	144993	144991	144935	145092	145103	145388	147187	155969	156274	156274	156274	157041	158773	167154	176654	183486	183486	183486	183486	184026	185484	183233	186764	186764	186764	187265	99747	99632	99632	99632	63519	159952
Tài sản dài hạn khác###Other long term assets	124894	127771	129071	109165	111616	112562	114804	117069	117069	118268	120591	121605	123821	123821	128282	18112	19777	17428	17428	20620	15195	19554	15037	15037	15642	8838	9865	10958	7284	7616	8269	8187	8696	1609	1229	463	725	732	476	466	450	450	450	450	450	0	450	450	0	0	0	523	1402	0	0	0	0	0	0	750
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2067092	2036492	2098644	2131837	2405835	2233990	2196900	1590548	1590548	1142386	1167336	1230693	1244421	1244524	1365402	1347033	1316716	1375058	1375058	1113034	1083965	1097843	1105783	1105783	1111740	1112344	1244821	1114028	1114906	1146078	1166941	1118437	1112361	1115855	928014	922796	875033	834244	839853	789955	782377	823097	720090	726921	785291	754185	791244	822882	823749	823873	824173	791984	766186	765265	712616	666352	594690	567961	423297	453594
Nợ phải trả ###Liabilities	1165547	1208243	1301514	1375100	1693684	1676507	1683387	1116203	1116203	676030	707314	784009	819739	820284	936343	928523	901366	974681	974681	704564	673516	691338	722833	722833	705729	733110	841554	723914	724783	743596	770782	741061	747389	750034	554635	563885	524352	499002	501013	432812	436260	480377	391407	392233	438775	405979	456161	504228	503646	467117	508079	489121	493985	482529	429788	391358	316535	309135	279082	355789
Nợ ngắn hạn###Short term Liabilities	533648	570369	657060	730646	1043459	1019709	1039722	466756	463144	126713	153601	225439	256045	256590	375963	363475	331917	434274	423334	167613	144928	171916	232653	232653	161009	180190	207811	197566	292168	297563	321503	353698	418604	421123	288237	265406	273856	256901	259103	223765	225620	257051	180208	181034	211686	172560	219435	273695	273113	249867	461679	442721	447585	482529	368583	354357	279534	272133	279082	353219
Nợ dài hạn###Long term Liabilities	631899	637874	644454	644454	650225	656798	643666	649447	653059	549317	553713	558570	563694	563694	560379	565048	569449	540407	551347	536951	528588	519421	490180	490180	544720	552920	633743	526348	432615	446032	449279	387363	328786	328911	266398	298480	250496	242101	241910	209047	210640	223327	211199	211199	227089	233419	236726	230533	230533	217250	46400	46400	46400	0	61205	37002	37002	37002	0	2570
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Vốn chủ sở hữu ###Owners equity	901545	828248	797131	756737	712152	557483	513512	474344	474344	466356	460022	446684	424682	424240	429059	418511	415350	400377	400377	408470	410448	406505	382949	382949	406011	379234	403267	390115	390122	402482	396159	377376	333106	333574	340422	345267	337832	335242	325610	343187	332299	329953	328683	321947	332305	334472	322823	318655	307924	343276	303189	291263	260926	271461	271105	263271	267391	248084	134511	88097
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4577	0	9444	7902	9536	5816	10123	0	0
Vốn chủ sở hữu ###Owners equity	901545	828248	797131	756737	712152	557483	513512	474344	474344	466356	460022	446684	424682	424240	429059	418511	415350	400377	400377	408470	410448	406505	382949	382949	406011	379234	403267	390115	390122	402482	396159	377376	333106	333574	340422	345267	337832	335242	325610	343187	332299	329953	328683	321947	332305	334472	322823	318655	307924	343276	303189	286686	260926	262017	263203	253735	261575	237961	134511	88097
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30020	0	30274	30656	30964	31565	31865	32247	32957	13644	12849	12849	13229	13956	13818	12767	12741	12741	14210	13733	12261	12179	12179	13480	12906	11600	11275	11275	11722	11722	10763	10742	9704	9707
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1166941	1118437	1112361	1115855	928014	922796	875033	834244	839853	789955	782377	823097	720090	726921	785291	0	791244	822882	823749	823873	820642	791984	766186	765265	712616	667741	594690	567961	423297	453594



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	68219	80838	763774	362943	275186	60994	61386	282522	114802	39164	55870	72687	241430	118134	45640	56486	21170	412353	187810	62890	95285	66369	278456	94587	52931	64142	66797	295982	96478	63145	85980	50730	239512	92672	40298	65930	44074	296126	147853	31315	91033	33198	252741	106534	45586	66869	33751	220954	71171	24263	67996	57526	211792	92351	24655	55015	39771	265048	253031	139712
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	146	57	0	1417	0	0	22	1396	393	317	68	8	0	1447	420	554	473	0	1384	856	529	-35	35	3623	3623	0	0	0	173	0	173	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	68219	80838	763774	362943	275186	60994	61386	282522	114802	39164	55870	72687	241430	118134	45640	56486	21170	412151	187810	62744	95228	66369	277039	94587	52931	64120	65401	295588	96161	63077	85972	50730	238066	92252	39744	65457	44074	294741	146997	30786	91067	33164	249118	102911	45586	66869	33751	220781	71171	24089	67996	57526	211792	92351	24655	55015	39771	265048	253031	139712
Giá vốn hàng bán###Cost of goods sold	20444	23308	288945	121578	97351	21102	21863	194081	52541	29669	68908	42963	163894	72916	36997	44928	9053	320147	157437	46277	72743	41148	186792	60111	40231	45033	43959	195573	59578	49981	58568	27572	140222	62663	24702	39562	17785	221139	128513	11719	77376	9740	178017	77654	41640	46903	11917	150856	61600	18438	48611	22207	145505	73895	16238	44491	10858	170544	169023	74935
Lợi nhuận gộp###Gross profit	47775	57530	474829	241365	177835	39892	39523	88441	62261	9494	-13038	29723	77536	45218	8643	11558	12117	92004	30373	16467	22485	25221	90247	34476	12699	19088	21442	100016	36583	13096	27404	23159	97844	29589	15042	25895	26289	73602	18484	19068	13691	23424	71101	25257	3945	19966	21835	69925	9571	5652	19384	35319	66287	18456	8418	10524	28913	94504	84008	64777
Doanh thu hoạt động tài chính###Financial activities Revenues	87620	12729	50756	27007	26967	29361	19839	56983	9703	5966	36164	5150	49341	6413	6730	6362	29836	18476	4907	3371	6276	3922	24316	4454	4382	11970	3509	16504	3694	4830	3806	4173	9465	3112	2275	2217	1860	12597	5109	1314	4594	1579	23825	4936	4166	9427	5295	28602	8497	8667	7184	4254	16835	5936	6695	3172	1157	25126	2689	6285
Chi phí tài chính###Financial Expenses	-228	0	-109	253	-207	-30	-125	-7251	-98	0	-6024	-1129	-248	-1140	-104	849	148	-852	44	-404	-514	22	-37	-605	11	39	68	224	93	47	17	68	5523	6741	1965	8	6	4518	0	-75	4198	395	1189	262	411	516	0	1201	0	0	446	879	464	0	0	0	0	722	463	1362
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2660	0	0	2215	444	3090	995	893	612	623	2188	1232	955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	9139	9343	57169	75852	11367	14268	10461	32910	12192	7586	6666	6466	33038	11655	7889	6889	7124	42394	14072	10346	11399	6578	49153	17265	7834	17367	6686	39796	15091	7704	8079	8954	33655	11494	6807	7597	7645	26476	7786	6020	7050	5660	30388	13975	5850	6157	4379	20265	6512	4717	5055	3980	24796	12027	4848	3682	4239	18163	18275	14038
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	126484	60916	468526	192268	193641	55015	49026	119765	59870	7875	22484	29536	94086	41116	7587	10182	34681	68648	21164	9900	17583	22543	63179	22660	9237	11436	17753	73409	24101	9339	22345	17675	65944	13235	7590	20506	20499	52018	15807	14437	7037	18948	57559	15957	1851	22719	22752	74071	11555	9601	21067	34713	57862	12365	10264	10014	25831	100745	67958	55662
Thu nhập khác###Other incomes	335	28	493	107	204	182	0	529	73	0	456	0	410	316	94	0	0	2676	1506	333	554	300	10642	2790	7741	0	110	395	7	137	136	115	3189	2157	571	220	241	4806	675	-797	4712	200	628	-12969	13582	16	0	63359	188	63023	85	64	1781	2733	84	1291	438	675	1715	245
Chi phí khác###Other Expenses	12	0	21	0	21	0	0	1958	327	7	40	1584	306	306	0	0	0	1009	117	462	198	250	4236	263	75	3165	732	2595	498	1131	399	730	4357	114	601	2297	116	610	70	372	-189	387	616	-3956	4213	160	128	2414	1997	85	271	61	1056	570	473	1291	13	28534	111	1252
Lợi nhuận khác###Other profits	323	28	472	107	183	182	0	-1429	-254	-7	416	-1584	105	10	94	0	0	1667	1389	-129	356	50	6406	2527	7666	-3165	-622	-2200	-490	-994	-263	-614	-1168	2043	-30	-2077	125	4196	604	-1170	4900	-187	12	-9013	9369	-144	-128	60945	-1810	62939	-186	3	724	2162	-389	0	425	-27859	1603	-1007
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	126808	60944	468998	192375	193824	55197	49026	118336	59616	7868	22900	27952	94191	41127	7682	10182	34681	70315	22553	9771	17939	22594	69585	25187	16903	8271	17132	71099	23611	8344	22083	17061	61745	15278	7560	18124	20624	56214	15645	11535	11249	18760	57572	6944	11219	21195	22623	135016	8213	72540	20881	34716	62232	17952	9875	10013	26256	72322	70077	54656
Chi phí thuế TNDN###Corporate Income Tax Expenses	25319	12235	93806	38470	38755	11007	9858	23975	11920	1535	4570	5950	18852	8182	1492	2137	6936	13679	4566	1967	2601	4545	15547	5361	3425	2782	3979	14512	5140	1845	3575	3915	16417	3767	2523	4557	0	15162	0	0	0	4723	14668	964	3013	5037	5654	33584	2444	17693	4702	8632	8268	2093	1034	1546	2621	21290	840	1415
Chi phí thuế TNDN###Corporate Income Tax Expenses	24211	11562	113711	38470	38755	11007	9858	23975	11920	1535	4570	5950	18852	8182	1352	2278	6936	14542	5429	1967	2601	4545	15547	5361	3425	2782	3979	14512	5140	1845	3830	3659	15618	3767	2523	4302	5185	11709	2938	480	808	4723	14668	964	3013	5037	5654	33512	2444	17693	4179	8632	8791	2093	1034	1546	2621	21290	840	1415
Chi phí thuế TNDN###Corporate Income Tax Expenses	1108	674	-19905	0	0	0	0	0	0	0	0	0	0	0	140	-140	0	-863	-863	0	0	0	0	0	0	0	0	0	0	0	-256	256	799	0	0	256	0	3453	0	0	3084	0	0	0	0	0	0	72	0	0	523	0	-522	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	101488	48708	375192	153905	155069	44190	39168	94361	47696	6334	18330	22002	75340	32945	6189	8045	27745	57657	17988	7803	15338	18048	53376	19825	13478	5489	13152	55875	18470	6499	18508	13146	45328	11510	5037	13567	15439	41052	12707	11055	7357	14037	42903	5980	8206	16158	16969	101432	5769	54847	16179	26084	53963	15859	8841	8467	23635	51033	69237	53241
---Cac Chi So Tai Chinh---																																																												
EBITDA	1.06	1.03	0.95	0.95	0.45	0.39	0.12	0.05	0.05	0.25	0.41	0.56	0.78	0.78	1.18	0.50	0.99	0.86	0.86	0.55	0.55	0.42	0.30	0.30	0.31	-0.01	0.15	0.26	0.26	0.21	0.20	0.18	0.18	0.18	0.34	0.20	0.23	0.43	0.43	0.44	0.63	0.61	0.65	0.65	0.87	0.74	1.09	1.37	1.37	1.37	1.43	1.35	1.22	1.22	0.54	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	51.96	39.85	73.24	73.24	64.89	63.97	45.12	31.47	31.47	30.21	30.75	33.36	27.45	27.45	23.16	16.81	17.29	14.94	14.94	19.43	13.67	12.17	12.10	12.10	11.35	11.72	11.28	11.60	11.60	11.47	8.23	8.13	6.71	6.71	5.71	5.24	4.80	4.69	4.69	5.14	4.99	4.40	3.89	3.89	4.52	4.46	6.63	8.72	8.72	10.90	12.25	11.49	12.14	12.14	11.93	0.00	0.00	0.00	0.00	0.00
