CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	-2142	-2066	-2066	-2036	-2005	-1975	-1944	-1944	-1914	-1884	-1853	-1823	-1823	-1793	-1762	-1732	-1701	-1701	-1671	-1641	-1610	-1580	-1580	-1549	-1519	0	0	0	0	0	-11	-11	-11	-11	-11	-10	-10	-10	-10	-9	-9	-8	-8	-7	-7	-6
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	442	1030	1141	1141	1526	1526	1858	2077	1626	2185	2441	2620	2952	2637	3457	3457	4278	4278	4909	5620	5620	14427	14427	14660	14660	14660	14660	14660	14660	14660	14660	14660	14660	14644	9844	9860	9860	9860	9860	8660	8660	8660	8660	8697	8697	8697	8697	8731	8731	364	364	396
Tài sản dài hạn khác###Other long term assets	30770	29972	30384	30397	30235	29663	2569	2431	2431	2296	2717	3156	3739	3739	2053	2379	2873	3499	3499	3477	2202	2810	3230	3230	3615	4497	4595	4622	5161	5613	2416	5133	3255	2716	3273	3532	3704	4137	4156	3756	4170	4926	4817	4890	4616	2419	2419	2110	2110	2220	2220	1730
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	278599	263504	268985	269004	282200	288915	266489	266491	266822	250523	253365	251905	256824	256354	257332	272470	276810	272133	273633	275777	298528	280540	281740	282491	287259	286596	285468	293287	292227	301228	302812	299322	291572	290741	227104	206834	201827	225870	225970	181076	182332	192889	181825	183476	179461	173408	173408	141409	141409	121407	121407	70510
Nợ phải trả ###Liabilities	80387	67548	65141	65034	82483	93994	62671	67101	67515	55253	62765	51584	60960	60876	65579	84282	78232	78075	79039	85644	110533	84563	96102	91668	99409	102976	95531	105945	105429	117940	124120	118789	115309	114322	91879	73749	59626	86770	86794	47762	52897	66481	58056	57777	47029	47486	47486	22045	22045	16579	15641	32703
Nợ ngắn hạn###Short term Liabilities	80267	67548	65041	64934	82383	93994	62571	67001	67415	51853	56065	41584	47660	47576	48979	64482	55132	51651	52639	55944	77401	48263	56377	52068	56004	57409	50828	56773	56258	60147	67272	45970	43455	47211	51074	48540	29282	57251	57775	35852	41687	53187	44146	43867	33724	32286	32286	16840	16840	16261	15323	32385
Nợ dài hạn###Long term Liabilities	120	0	100	100	100	0	100	100	100	3400	6700	10000	13300	13300	16600	19800	23100	26424	26400	29700	33132	36300	39724	39600	43405	45567	44703	49171	49171	57793	56847	72818	71854	67111	40805	25209	30344	29519	29018	11910	11210	13293	13910	13910	13305	15201	15201	5205	5205	318	318	318
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	198213	195955	203844	203969	199717	194921	203817	199390	199307	195270	190600	200321	195865	195478	191753	188187	198578	194058	194594	190133	187995	195977	185638	190823	187850	183620	189937	187342	186798	183289	178693	180533	176263	176419	135225	133084	142202	139100	139176	133314	129435	126408	123769	125699	132431	125922	125922	119364	119364	104828	105766	37807
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-938	0	0
Vốn chủ sở hữu ###Owners equity	198213	195955	203844	203969	199717	194921	203817	199390	199307	195270	190600	200321	195865	195478	191753	188187	198578	194058	194594	190133	187995	195977	185638	190823	187850	183620	189937	187342	186798	183289	178693	180533	176263	176419	135225	133084	142202	139100	139176	133314	129435	126408	123769	125699	132431	125922	125922	119364	119364	105766	105766	37807
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302812	299322	291572	290741	227104	206834	201827	225870	225970	181076	182332	192889	181825	183476	179461	173408	0	141409	0	121407	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q1 2011	 2010	Q4 2010	Q3 2010	 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	77827	65988	269930	68462	77400	66156	57891	232987	73361	57624	51722	50106	219292	59017	48500	55683	55819	202969	66990	44017	46272	45690	179938	37280	53933	47457	41295	203736	52498	56603	46483	48152	203561	53246	40001	39118	70522	192324	46424	39198	56495	50207	166361	50326	56791	22940	112448	31141	38446	74926	50643	39773
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	22	0	0	0	0	13	13	0	0	0	3	3	0	0	0	84	84	0	0	0	3	0	3	0	0	23	23	0	0	0	0	0	0	0	0	440	414	3	23	0	0	0	0	0	362	0	0	303	150	63
Doanh thu thuần###Net Sales	77827	65988	269908	68462	77400	66156	57891	232974	73347	57624	51722	50106	219289	59013	48500	55683	55819	202885	66905	44017	46272	45690	179934	37280	53930	47457	41295	203713	52476	56603	46483	48152	203561	53246	40001	39118	70522	191885	46010	39196	56472	50207	166361	50326	56791	22940	112086	31141	38446	74622	50493	39710
Giá vốn hàng bán###Cost of goods sold	58049	50403	199070	48532	60387	47805	42338	170511	53370	43186	37347	36314	163757	42722	35714	42861	42092	145843	50225	33622	29654	31506	128596	25494	38778	30150	33619	150215	40254	40608	35258	33918	159388	39956	31244	28199	59330	153825	35211	30439	47324	40849	128521	40601	46804	15575	82378	22810	31185	54696	38600	32727
Lợi nhuận gộp###Gross profit	19778	15586	70838	19930	17013	18350	15552	62463	19977	14438	14376	13792	55532	16291	12787	12823	13727	57042	16680	10396	16618	14184	51339	11786	15152	17307	7676	53498	12221	15995	11225	14233	44173	13290	8757	10919	11193	38059	10799	8756	9148	9358	37840	9726	9987	7364	29708	8330	7261	19926	11893	6983
Doanh thu hoạt động tài chính###Financial activities Revenues	397	326	1212	300	202	541	169	1402	620	400	264	441	1408	472	371	524	314	9968	7241	515	2011	222	1794	281	318	398	806	2837	702	409	1145	607	2669	784	690	992	488	5125	1208	1940	1770	1243	7899	4497	1317	1432	7941	4586	1188	5655	7191	1576
Chi phí tài chính###Financial Expenses	1088	331	2569	1041	306	755	466	1833	1054	342	329	515	2877	1557	232	1213	189	3193	1240	236	817	268	2532	581	507	1088	108	1481	-843	1629	-27	748	3058	918	616	680	639	2582	614	561	550	691	4063	1917	633	721	2609	1194	761	676	564	658
Chi phí bán hàng###Selling Expenses	9217	7602	33883	10511	8195	7819	7354	29029	10026	5964	6658	6330	26025	8172	6303	5479	6072	29049	9172	6129	8087	5661	26052	6494	7898	8267	3352	23817	7595	6612	4036	6953	20593	6471	4179	4955	5524	15444	3313	3365	4272	4493	17154	6376	4129	2790	12918	4409	2948	9556	6000	2652
Chi phí quản lý doanh nghiệp###Managing Expenses	2162	2347	11115	3353	3018	2345	2399	11680	4464	2691	2905	1816	8756	2283	2171	2686	2111	8559	1997	1621	3110	1758	7082	1149	1816	2139	1810	9109	1351	1949	3659	1661	8115	2257	2434	2326	1652	8320	2687	1360	2369	1897	7953	2863	1364	1886	7284	2579	1660	5479	4778	1482
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	7708	5633	24483	5325	5695	7972	5502	21322	5053	5841	4747	5571	19282	4752	4451	3969	5668	26209	11512	2925	6616	6719	17466	3843	5249	6211	3212	21928	4820	6214	4703	5479	15077	4429	2217	3950	3866	16839	5392	5410	3727	3520	16569	3067	5178	3399	14839	4735	3080	9870	7743	3768
Thu nhập khác###Other incomes	96	1	311	25	253	0	33	6	0	6	0	0	96	-46	1	48	0	140	422	16	9	0	219	0	118	19	0	208	11	138	12	0	193	8	4	178	3	1803	1759	0	43	0	15	7	0	8	661	0	661	165	67	10
Chi phí khác###Other Expenses	30	26	178	35	6	136	1	69	8	6	13	40	173	83	2	87	1	216	505	0	2	0	141	1	4	56	1	606	323	479	3	2	366	5	10	351	0	13	1	4	8	1	18	0	1	0	664	0	664	3	14	0
Lợi nhuận khác###Other profits	66	-25	133	-10	247	-136	32	-62	-8	0	-13	-40	-78	-129	-1	-39	-1	-76	-83	15	7	0	78	-1	114	-37	-1	-398	-312	-342	9	-2	-173	3	-6	-173	3	1789	1758	-4	35	0	-3	7	-1	8	-3	0	-3	162	53	10
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	7774	5608	24615	5315	5942	7836	5534	21260	5045	5842	4734	5531	19204	4623	4450	3930	5667	26133	11429	2940	6622	6719	17544	3842	5363	6174	3211	21530	4508	5872	4712	5477	14903	4433	2212	3777	3869	18629	7151	5406	3762	3519	16566	17163	14611	3406	14836	4734	3077	10032	7796	3777
Chi phí thuế TNDN###Corporate Income Tax Expenses	1589	1122	5039	1063	1145	1610	1107	4279	1008	1173	968	1106	3849	948	885	813	1147	4440	1349	802	1332	1344	4314	870	1133	1456	616	5008	1049	1276	1058	1207	3935	1133	553	0	0	2317	0	0	0	880	2457	622	1294	852	2635	2635	769	1328	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1589	1122	5039	1063	1145	1610	1107	4279	1008	1173	968	1106	3849	948	885	813	1147	4440	1349	802	1332	1344	4314	870	1133	1456	616	4469	1049	1276	1058	1207	4474	1133	553	944	967	2317	789	673	256	880	2457	622	1294	852	2635	2635	769	1328	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	538	0	0	0	0	-538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	6185	4486	19576	4252	4796	6226	4428	16981	4036	4669	3766	4425	15355	3675	3566	3117	4520	21692	10080	2138	5291	5374	13230	2972	4230	4717	2595	16523	3459	4596	3653	4270	10968	3299	1659	2833	2902	16311	6362	4733	3507	2639	14108	2452	3883	2555	12201	2099	2307	8705	7796	3777
---Cac Chi So Tai Chinh---																																																				
EBITDA	0.17	0.07	-0.19	-0.19	-0.14	0.14	0.14	0.08	0.08	0.06	0.09	0.09	0.69	0.69	1.29	0.57	0.58	0.48	0.48	0.51	0.17	0.12	0.02	0.02	-0.10	-0.02	0.04	0.15	0.15	0.25	0.33	0.46	0.38	0.38	0.37	0.68	1.04	1.78	1.78	1.99	2.40	2.69	-0.47	-0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	10.75	10.50	10.30	10.30	9.29	9.60	8.03	7.50	7.50	8.11	7.17	7.48	7.26	7.26	8.31	8.00	7.72	7.23	7.23	8.28	6.61	5.83	6.47	6.47	5.77	5.90	5.84	6.31	6.31	5.90	6.31	6.43	5.97	5.97	6.26	6.20	6.25	5.88	5.88	5.88	5.83	5.36	3.64	3.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
