CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	 2014	 2013	 2012	 2011	Q2 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	 2004
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	9100	9100	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	4798	5173	5834	5816	6696	6448	6392	5694	5673	895	6851	6851	6910	6940	6999	6836	6590	6515	6451	6654	6642	6533	6158	6230	6266	6073	5959
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	99426	96124	100244	97118	84397	64297	68235	73816	76008	151199	103037	103037	103487	109328	108829	107172	122550	115085	116387	118619	115293	116531	115086	115209	114766	118937	120104
Nợ phải trả ###Liabilities	55906	69989	84262	94671	96700	88724	95160	92663	89974	105127	55078	55078	54236	55080	50687	46640	46558	41708	38604	40576	37129	36993	37311	37574	37774	42245	40845
Nợ ngắn hạn###Short term Liabilities	55290	69376	83643	94052	96035	87521	93764	90616	81327	58845	53977	53977	54237	53460	47514	42806	35358	30608	27445	29335	25860	18496	18797	19036	19535	24005	15233
Nợ dài hạn###Long term Liabilities	615	614	619	619	665	1203	1396	2047	8647	46282	1101	1101	-1	1620	3173	3833	11200	11099	11158	11241	11269	18497	18514	18538	18240	18240	25612
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	2147483647	0	8	0	0	0	0	0	0	9	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	43520	26135	15982	2447	-12303	-24427	-26925	-18847	-13966	46072	47959	47959	49251	54247	58142	60533	75992	73377	77784	78043	78165	79538	77774	77635	76992	76692	79259
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	455	-1512	-1512	-1505	-1504	-1460	0	-127	0	-695	-48	-48	-48	-48	-48	-46	0	0
Vốn chủ sở hữu ###Owners equity	43520	26135	15982	2447	-12303	-24427	-26925	-18847	-13966	45617	49470	49470	50756	55751	59602	60533	76119	73377	78479	78091	78213	79586	77823	77683	77038	76692	79259
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	103037	103037	103487	109328	108829	107172	122550	115084	116387	118619	115293	115293	115085	115208	114766	118937	120104



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015	 2014	 2013	 2010	 2009	Q2 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	 2004
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	116896	97588	98121	84797	79092	66817	63150	272301	208305	44908	310974	4002	1143	14555	12680	329694	20671	17192	17718	15002	65110	19309	16091	16042	13668	60108	60366
Các khoản giảm trừ doanh thu###Deduction revenues	8295	6085	5718	4350	3882	3018	2435	0	0	1	0	59	1470	1861	168	0	211	461	587	472	852	194	376	215	67	3201	341
Doanh thu thuần###Net Sales	108601	91503	92403	80447	75210	63799	60715	272301	208305	44907	310974	3944	-328	12695	12511	329694	20459	16732	17131	14529	64259	19116	15715	15827	13601	56907	60025
Giá vốn hàng bán###Cost of goods sold	70371	59143	59362	47634	43441	36473	35340	190257	143224	40194	255680	1770	660	9198	11341	282341	14959	11794	12463	10202	44323	10683	11291	11505	9795	42479	48198
Lợi nhuận gộp###Gross profit	38229	32360	33041	32813	31769	27326	25375	82044	65081	4713	55294	2174	-987	3497	1170	47354	5501	4938	4668	4327	19935	8433	4423	4322	3806	14428	11827
Doanh thu hoạt động tài chính###Financial activities Revenues	1313	1034	2924	1042	761	600	444	12054	18209	9	17024	4	4	13	5	12348	329	516	2	350	15	3	4	4	4	25	119
Chi phí tài chính###Financial Expenses	61	427	-95	534	4484	9534	9111	4089	7605	1291	20212	2486	1769	3346	787	2423	727	715	557	748	3016	749	770	732	742	2824	2881
Chi phí bán hàng###Selling Expenses	6561	6386	8362	8625	7022	6737	6372	29245	26057	2543	23873	-47	1066	2550	3031	25605	4186	3461	2723	2145	9968	4121	2084	2013	1728	7079	6905
Chi phí quản lý doanh nghiệp###Managing Expenses	14968	13331	12184	10674	9861	8063	8061	17697	13941	4545	13038	1034	1032	1423	1499	10929	2113	900	992	1119	4490	1629	1140	988	947	3699	4450
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	17952	13250	15514	14022	11163	3592	2274	43067	35687	-3656	15195	-1295	-4850	-3809	-4143	20744	-1197	378	398	665	2477	1937	433	593	393	851	-2290
Thu nhập khác###Other incomes	4392	154	89	1212	581	123	4682	1917	136	57	6361	9	34	48	3378	503	3461	70	44	138	24	5	6	11	2	429	169
Chi phí khác###Other Expenses	501	629	203	485	379	1218	15033	1894	132	38	242	0	1	0	12	0	307	0	103	108	72	0	0	11	49	298	0
Lợi nhuận khác###Other profits	3891	-475	-114	728	202	-1095	-10352	23	4	20	6119	9	33	48	3366	503	3154	70	-59	30	-48	5	6	0	-47	131	169
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	21844	12775	15400	14750	11365	2497	-8077	43494	36153	-3636	21314	-1286	-4817	-3761	-777	21247	1957	448	339	694	2429	1942	438	593	346	982	-2122
Chi phí thuế TNDN###Corporate Income Tax Expenses	4458	2663	1183	0	0	0	0	10281	7889	0	2782	0	0	0	0	2557	245	56	79	67	170	3341	0	339	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	4458	2663	1183	0	0	0	0	10281	7889	0	2782	0	0	0	0	2557	245	56	80	0	170	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	17385	10112	14217	14750	11365	2497	-8077	33213	28264	-3636	18532	-1286	-4817	-3761	-777	18691	1713	392	259	694	2258	1942	438	593	346	982	-2122
---Cac Chi So Tai Chinh---																											
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	25.40	20.20	0.00	0.00	0.00	0.00	0.00	5.40	5.40	5.70	4.00	4.00	5.70	7.60	13.80	22.30	22.30	23.30	25.80	25.30	14.00	14.00	14.80	16.30	14.20	11.00	10.50
