CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-2920	-2843	-2766	-2766	-2690	-2613	-2536	-2459	-2459	-2383	-2306	-2169	-2032	-1990	-1896	-1759	-1623	-1502	-1502	-1539	-1460	-1390	-1224	-1224	-1165	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	-1105	0	-1105	-1105	-1105	-1105	0	-1105	0	0	-1105	-1105	0	0	0	-838	-838	0	-657	0	-2479	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	1133	2689	2689	2689	2689	2689	2689	2523	2523	2523	2523	2523	2523	2523	2523	2523	2569	2707	2707	2707	2707	2829	2982	3212	3441	3441	3670	3900	4129	4359	4359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	1100	1100	15300	45300	45300	46400	46400	8158	8158	9542	9542	9542	9794	19794	20691	20691	20691	21520	21520	23620	23620	46908	56400	57252	51892	49447	49451	47708	47412	47466	62932	62932	64287	64325	53484	53484	115484	36289	35889	40847	27459	27459	25899	25899	25899	25899	25899	25899	28899	25440	13800	13800	8830	5660	8330	0	0	0
Tài sản dài hạn khác###Other long term assets	54288	65208	49865	49865	44098	48707	52597	49769	49769	49639	54476	56273	63469	63469	61204	51183	59430	70978	70978	79485	81182	85682	77258	77258	85554	82329	85670	87760	87760	75223	66007	65050	79869	80103	41011	27167	27799	23636	23636	22578	23022	20773	2975	5936	4281	4538	3277	1897	0	256	221	0	0	0	256	0	0	0	0	0	4598	4598	4842	4842	1330	1375	79	79	79	160
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1619691	1547748	1510195	1510195	1618207	1747579	1702065	1434755	1434755	1448687	1358961	1363548	1421148	1421015	1570254	1508198	1590538	1972390	1972044	1973423	2048300	2177326	2131642	2131642	2242881	2108498	2278188	1971805	1971805	1918940	2011172	2133744	2108474	2097266	2167537	1901887	1936673	1542944	1544655	1581921	1564331	1419927	1219502	1217577	1053905	1004251	874073	765781	716524	915962	960790	1037623	819924	819924	758162	827853	865040	746960	746960	842972	886548	801716	720077	720077	503850	459912	334642	301592	301592	270785
Nợ phải trả ###Liabilities	1152211	1066590	1033439	1033439	1146999	1281315	1217838	954645	954645	972689	887557	861159	922354	922153	1071466	1011969	1052220	1450357	1450012	1468944	1550170	1651682	1617202	1617202	1754609	1621969	1744143	1449527	1449527	1437828	1534390	1728027	1710618	1705633	1788701	1480426	1529837	1142013	1141466	1188141	1182285	1022409	827576	827576	677887	629410	493401	395734	352278	552465	613111	679700	644105	641984	603404	682415	725735	621708	621708	729346	791255	708479	622345	620673	467063	415897	299724	258956	258239	236143
Nợ ngắn hạn###Short term Liabilities	1082615	998001	956492	956492	1070051	1200154	1132994	868878	868878	884157	811940	789144	833320	829474	998732	958308	1000664	1209661	1209315	1220725	1278458	1363991	1356579	1339579	1489224	1391633	1485123	1196022	1196022	1152147	1170033	1368337	1365010	1356055	1397130	1136170	1161133	854565	829221	904542	904824	768124	593611	593611	508658	497075	375810	317046	313321	497533	531484	567518	498131	496010	417163	507496	546445	415431	415431	504835	532301	469375	395554	393882	246156	263339	231357	218252	217534	183142
Nợ dài hạn###Long term Liabilities	69596	68589	76947	76947	76949	81161	84843	85767	85767	88532	75617	72015	89034	92679	72734	53661	51556	240696	240696	248219	271712	287691	260623	277623	265384	230336	259021	253505	253505	285682	364357	359690	345608	349578	391571	344256	368704	287448	312244	283599	277461	254285	233965	233965	169229	132336	117591	78688	38957	54932	81627	112182	145974	145974	186241	174920	179289	206277	206277	224511	258954	239104	226790	226790	220907	152557	68367	40705	40705	53001
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2147483647	8	0	0	0	0	0	0	0	0	0	0	9	0	0
Vốn chủ sở hữu ###Owners equity	467480	481158	476756	476756	471207	466264	484228	480110	480110	475998	471404	502389	498794	498862	498788	496229	538318	522033	522033	504478	498130	525644	514440	514440	488273	486529	534045	507000	522278	481112	476782	405717	381817	374812	361812	404085	389602	400932	385957	377572	365446	381218	391927	375101	366118	364941	373572	370047	364247	358997	344678	356423	175820	177941	154758	145438	139306	125252	125252	113625	95293	93237	89262	90934	36787	37086	34918	35833	36551	29532
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2121	2401	4614	558	1016	1016	1356	1552	830	0	1672	1504	1962	241	0	717	310
Vốn chủ sở hữu ###Owners equity	467480	481158	476756	476756	471207	466264	484228	480110	480110	475998	471404	502389	498794	498862	498788	496229	538318	522033	522033	504478	498130	525644	514440	514440	488273	486529	534045	507000	522278	481112	476782	405717	381817	374812	361812	404085	389602	400932	385957	377572	365446	381218	391927	375101	366118	364941	373572	370047	364247	358997	344678	356423	175820	175820	152357	140824	138748	124236	124236	112269	93742	92407	89262	89262	35282	35124	34677	35833	0	29222
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15278	15278	15170	15215	15649	16039	16821	17024	17377	17233	17233	17233	16208	16600	16300	14900	14900	9900	9900	7100	5800	0	4500	3000	1500	0	0	0	0	0	0	0	0	0	0	8471	8471	0	6930	0	6802	6802	5111
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2011172	2133744	2108474	2097266	2167537	1901887	1936673	1544652	1544655	1581921	1564331	1419927	1219502	1217577	1053905	0	874073	765781	765781	915962	960790	1037623	819924	819924	758162	827853	865040	746960	746960	842972	886548	801716	720077	720077	503850	459912	334642	301592	301592	270785



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	557890	392177	1169494	332643	313394	314556	208900	1303926	407620	301303	320258	274745	1537197	327482	355505	478133	376077	1461835	493892	375821	267157	324966	2544901	456440	643763	893149	551548	2020331	519608	364365	724761	411597	2043535	811631	501420	463245	267239	1029449	304869	242029	329855	152469	939797	263265	245890	210584	220059	1291225	315555	292068	422685	285518	1174967	245413	326094	340748	262712	952707	310158	314150	176348	153120	389532	154118	78160	68362	51903	366079	47812	325588
Các khoản giảm trừ doanh thu###Deduction revenues	205	4119	8128	2402	143	656	4926	3378	1557	350	911	560	22243	878	19206	1841	319	6267	1911	219	1169	2968	18151	9525	8260	0	366	9589	1811	657	-2791	9911	4657	1596	3041	0	21	923	0	0	0	923	747	540	176	9	21	147	0	8	145	0	387	298	0	89	0	264	227	25	0	12	2668	682	0	1559	53	1438	1046	1351
Doanh thu thuần###Net Sales	557685	388058	1161366	330241	313251	313900	203974	1300548	406063	300953	319347	274186	1514954	326605	336299	476292	375758	1455569	491981	375602	265988	321998	2526749	446915	635503	893149	551182	2010742	517797	363707	727552	401685	2038878	810036	498379	463245	267218	1028526	304869	242029	329855	151546	939051	262725	245714	210575	220038	1291077	315555	292060	422540	285518	1174580	245115	326094	340659	262712	952443	309931	314125	176348	153108	386864	153436	78160	66803	51850	364641	46765	324237
Giá vốn hàng bán###Cost of goods sold	534460	375889	1090513	313657	296357	293718	186781	1172869	363494	275914	291545	241915	1421627	296087	306596	444048	375293	1281555	468405	328250	212722	272178	2285009	387021	573512	832720	491755	1761903	415790	323595	678685	343832	1754483	723406	447372	390588	228137	815431	226121	186847	285340	115628	796666	217314	218803	172785	184845	1101801	274060	249078	372042	231216	1012100	188380	293353	299274	231094	807051	261859	275673	138366	132272	314850	125727	65026	50610	42219	317627	31878	294156
Lợi nhuận gộp###Gross profit	23225	12169	70853	16584	16895	20182	17193	127679	42568	25038	27802	32271	93327	30518	29703	32244	465	174014	23577	47352	53266	49820	241741	59894	61991	60429	59427	248839	102007	40112	48867	57853	284394	86629	51007	72658	39081	213095	78748	55182	44515	35918	142384	45411	26911	37790	35192	189276	41495	42982	50498	54302	162479	56735	32741	41385	31618	145392	48072	38452	37982	20835	72013	27709	13134	16192	9631	47014	14888	30081
Doanh thu hoạt động tài chính###Financial activities Revenues	11048	7246	14396	3980	4082	2970	3231	5704	246	3657	1567	233	52069	123	162	129	51654	4480	1245	14	76	3145	6024	3016	2059	606	343	973	773	-64	148	116	2443	689	12815	87	68	2214	80	165	1785	185	4152	396	3530	131	94	3029	107	144	1898	881	3780	1625	255	1840	61	1957	505	1185	184	84	1031	470	16	926	308	1387	99	2453
Chi phí tài chính###Financial Expenses	17264	7740	30074	6313	8871	7874	6882	45389	9726	10965	11043	13655	57398	13511	13391	14206	16291	49968	-15313	22409	24211	18661	97267	24689	23914	26981	21684	113579	27202	23537	32357	30483	173216	44222	35755	31155	28420	116540	57818	22438	17919	17100	43503	13404	6701	15415	7983	45711	10092	13336	13584	8699	40972	19645	6937	8847	5542	56506	24570	12583	15696	3657	16639	6400	3126	4673	2080	13076	4026	12368
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	194	8407	2060	6347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	7549	6131	31613	9164	7387	8091	8347	66031	26436	12170	13412	14013	55567	16414	14095	11802	13256	71484	16499	17219	21612	16154	91287	21193	24094	23262	22738	68451	23264	13453	15431	16303	76616	22554	18978	21198	13826	77821	18168	20312	20690	18651	73596	23390	14540	18469	17197	74948	26213	15935	18572	14228	57409	15688	14568	15529	11624	41347	12234	9505	10737	8871	33889	10893	6486	8832	5572	22372	5827	17392
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	9460	5544	23562	5086	4718	7187	5195	21963	6653	5561	4914	4836	32431	716	2380	6366	22572	56848	23636	7737	7519	17956	50804	14967	9695	10792	15349	67783	52314	3057	1227	11184	37005	20542	9089	20391	-3096	25150	2842	12596	7691	353	35396	9013	9200	4037	10107	71644	5296	13855	20240	32253	67879	23027	11491	18849	14512	49495	11772	17549	11732	8392	22517	10886	3536	3614	2287	12953	5134	2773
Thu nhập khác###Other incomes	0	21	2699	2107	32	139	41	1529	336	70	825	299	3286	292	946	1610	438	6903	4969	465	1568	292	9347	17295	800	1024	184	8705	533	4935	1708	1529	10841	2435	2831	835	4741	10748	3742	2816	695	3494	826	35	15	3243	0	1146	150	481	0	515	2132	451	66	201	1414	1068	9	1059	0	0	311	93	0	123	66	1660	47	6754
Chi phí khác###Other Expenses	1233	102	589	127	191	196	75	528	39	-112	538	63	1999	749	128	589	533	11466	5146	824	902	4984	4628	12359	793	825	606	4852	130	2262	740	1719	4573	1452	1077	1360	262	1325	309	775	0	240	1290	120	0	217	291	61	42	17	0	2	1689	0	1	236	1414	131	0	80	0	0	70	17	0	53	0	1415	0	938
Lợi nhuận khác###Other profits	-1232	-81	2110	1980	-159	-56	-34	1001	297	182	287	235	1288	-457	818	1021	-95	-4563	-178	-358	666	-4693	4719	4936	7	199	-422	3853	403	2673	968	-190	6268	983	1754	-525	4478	9423	3432	2041	695	3254	-464	-85	15	3025	-291	1085	108	464	0	513	443	451	65	-35	0	937	9	979	0	0	241	76	0	69	66	245	47	5816
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	8228	5463	25672	7066	4559	7131	5161	22964	6949	5743	5201	5071	33718	259	3199	7386	22477	52285	23458	7378	8185	13264	55523	19904	9702	10991	14927	71636	52716	5730	2195	10994	46078	21525	10843	20225	3827	34573	8706	14934	8332	5138	34932	12161	9178	9574	9817	72728	5404	14319	20240	34021	68321	23478	11556	18814	14512	50432	11781	18527	11732	8392	22758	10962	3536	3683	2353	13198	5182	8589
Chi phí thuế TNDN###Corporate Income Tax Expenses	1936	1061	5703	1518	912	1771	1043	6504	3301	1149	1040	1014	7263	186	640	1477	4495	10773	5903	1030	1779	2060	12611	-4678	7958	6170	3160	17306	11550	1400	1222	3134	20939	6581	3445	0	0	5216	0	0	0	947	4072	3178	2564	353	491	5045	1738	0	1012	2295	0	15	0	0	0	0	0	0	0	0	438	0	176	626	329	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1936	1061	5703	1518	912	1771	1043	6504	3301	1149	1040	1014	7263	186	640	1477	4495	10064	5877	1004	1151	2033	12495	-4706	7929	6141	3131	17249	11524	1316	1304	3104	20641	6452	3427	6222	237	6209	713	3384	1475	917	6584	3178	2564	-202	491	5045	1738	0	1012	2295	0	0	0	0	0	0	0	0	0	0	438	130	177	626	329	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709	27	27	628	27	116	29	29	29	29	57	26	84	-82	29	298	129	18	145	7	-994	-984	16	-55	30	-2513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	6292	4402	19969	5549	3647	5360	4118	16460	3649	4594	4160	4057	26455	74	2559	5909	17982	42909	17555	6348	6406	11204	43486	24581	1743	4821	11767	53569	41166	4330	973	7860	25138	14944	7398	13859	3583	29357	8977	11534	6913	4192	30860	8983	6614	9777	9326	67683	3666	14319	19228	31726	68321	23463	11556	18814	14512	50432	11781	18527	11732	8392	22320	10832	3359	3057	2023	13198	5182	8589
---Cac Chi So Tai Chinh---																																																																						
EBITDA	0.50	0.41	-0.37	-0.37	0.19	0.18	-0.01	0.06	0.06	0.06	0.09	0.54	0.47	0.47	0.32	0.60	0.70	0.79	0.79	0.73	0.75	0.67	0.87	0.87	0.95	0.90	1.31	1.09	1.09	1.25	1.24	0.55	0.42	0.42	0.35	0.41	0.68	0.23	0.23	0.11	0.08	0.48	0.76	0.76	0.79	0.86	0.62	0.87	0.87	1.05	0.98	1.02	0.96	0.96	1.02	1.14	1.15	1.27	1.27	1.47	1.46	1.42	0.19	0.19	0.10	0.11	0.11	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	4.40	4.05	4.58	4.58	5.28	5.81	5.54	5.80	5.80	6.54	6.95	7.76	7.46	7.46	8.29	8.37	7.76	7.01	7.01	6.86	7.03	7.30	8.87	8.87	10.51	9.68	9.13	7.14	7.14	7.62	7.98	8.12	7.77	7.77	7.02	5.98	3.58	2.48	2.48	2.72	3.79	3.40	4.61	4.61	5.81	6.03	8.31	8.04	8.04	10.20	13.18	11.17	12.35	12.35	12.30	7.82	4.47	4.86	4.86	7.29	3.37	4.82	15.02	15.02	8.14	6.05	6.58	2.18	2.18	0.00
