CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-920	-900	-880	-859	-859	-839	-819	-798	-778	-778	-758	-699	-616	-512	-406
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	5507	5780	6052	6052	6324	6596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3473	3623
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	52420	53034	55486	55486	54214	52803	55965	54775	54775	55209	57107	58438	55873	55854	54995	53565	55561	52094	52094	47851	50674	54607	52736	52736	57986	57296	57110	55825	55825	55799	53362	52949	52369	47669	46469	45004	47197	30267	47638
Tài sản dài hạn khác###Other long term assets	16014	16677	15674	15674	21213	21031	21037	20250	20250	17227	17014	18158	19904	19904	23965	26617	27348	29369	29369	31531	32228	33100	38895	38895	33076	38771	36551	20447	20447	28718	27999	30393	30773	30719	30937	39287	33094	21010	24606
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	824387	944132	933298	933298	854390	831940	813659	832870	832870	823009	849708	830332	822531	822511	868717	873985	884640	921525	921525	1040786	1050876	1082459	1117817	1117817	1029662	1060404	1109589	1202633	1205245	1058930	872015	917291	869916	869094	719271	521501	423853	343466	414062
Nợ phải trả ###Liabilities	176366	318886	288748	288748	247949	237750	255133	303538	303538	278779	299364	257812	280423	280423	326002	356574	355813	427586	427586	552152	593880	646309	657915	657854	582258	632517	677164	785591	788183	666196	504725	537874	497313	501192	367137	177209	113495	67604	184698
Nợ ngắn hạn###Short term Liabilities	169544	312054	281882	281882	241079	230930	248145	296355	296355	274352	294788	253221	276445	276445	325790	346340	345579	367352	367352	371918	405646	400575	412120	412120	308494	358775	346540	432966	435558	301383	255387	274502	234043	237922	145531	149922	113227	61019	165718
Nợ dài hạn###Long term Liabilities	6822	6832	6866	6866	6870	6820	6988	7183	7183	4427	4576	4591	3978	3978	212	10234	10234	60234	60234	180234	188234	245734	245795	245734	273764	273742	330624	352624	352624	364814	249338	263372	263270	263270	221606	27286	268	6585	18980
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	648021	625246	644550	644550	606441	594189	558527	529332	529332	544230	550344	572520	542108	542088	542715	517411	528827	493939	493939	488634	456996	436150	459901	459963	447404	427887	432424	417043	417063	392734	367290	379418	372603	367902	352135	344293	310357	275863	229364
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	648021	625246	644550	644550	606441	594189	558527	529332	529332	544230	550344	572520	542108	542088	542715	517411	528827	493939	493939	488634	456996	436150	459901	459963	447404	427887	432424	417043	417063	392734	367290	379418	372603	367902	352135	344293	310357	275863	229364
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	169914	194041	1029640	249946	265073	265877	248745	907834	258721	176766	240978	231380	926807	282689	230046	169883	244189	903021	264455	209163	232225	197178	826049	256040	201641	167895	200810	1257059	382382	320908	277535	277768	562348	145763	144059	537306	545934	599656	582705
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497542	152130	125449	110466	109497	238543	62077	61919	213883	206956	186400	171050
Doanh thu thuần###Net Sales	169914	194041	1029640	249946	265073	265877	248745	907834	258721	176766	240978	231380	926807	282689	230046	169883	244189	903021	264455	209163	232225	197178	826049	256040	201641	167895	200810	759518	230252	195460	167068	168271	323805	83686	82140	323423	338978	413257	411654
Giá vốn hàng bán###Cost of goods sold	137683	162032	828124	202749	215801	213188	198453	749124	215256	143351	197093	193435	763805	239939	192839	135937	195092	738848	214233	172238	189895	162483	677770	214706	170830	135530	157046	622804	184557	161791	142264	135726	256467	67541	66802	248496	263653	323255	366364
Lợi nhuận gộp###Gross profit	32232	32009	201516	47197	49272	52689	50292	158711	43465	33415	43886	37945	163002	42750	37207	33946	49097	164173	50222	36925	42331	34695	148279	41334	30811	32365	43764	136713	45695	33669	24804	32545	67338	16145	15338	74927	75325	90002	45291
Doanh thu hoạt động tài chính###Financial activities Revenues	2443	4855	6939	2307	1375	3109	148	6356	1512	109	1896	2839	2029	1893	60	3	73	2667	6	80	1542	1040	3942	519	306	1099	2018	4406	150	662	769	2825	6721	2860	971	23741	22042	14959	4310
Chi phí tài chính###Financial Expenses	1431	1992	5738	1191	1224	1404	1918	8075	1901	1861	2496	1817	10878	2188	2864	3018	2808	23308	4384	5444	7644	5837	27042	6472	7746	6437	6386	20335	4392	4763	5232	5948	-1187	-1200	0	-2292	753	6029	1401
Chi phí bán hàng###Selling Expenses	0	0	103	24	24	22	32	411	95	99	-46	263	1799	-1141	96	10	2833	5591	-3342	2978	2625	3330	120	16	14	15	75	3435	552	1248	-1694	3329	3910	1261	891	50	45	114	145
Chi phí quản lý doanh nghiệp###Managing Expenses	3233	5620	25450	5625	7594	6580	6145	30649	12723	5018	5449	7459	31377	7063	8172	8625	7516	36078	13951	7194	8484	6450	31512	12543	5190	6054	7725	22080	4678	6391	6205	4805	14852	4411	3415	12008	10760	9584	7702
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	29397	29203	180949	43496	43216	48142	43535	132548	32314	26818	39606	33810	129628	40136	27566	23903	38002	106226	35474	18567	26192	21989	101863	26574	18856	23547	32881	95269	35621	24975	15594	24117	56483	14534	12003	93353	93992	89234	40353
Thu nhập khác###Other incomes	0	499	419	212	27	36	145	805	214	30	326	188	5167	3951	91	730	606	19182	51	35062	157	2443	2404	306	1961	86	109	4456	4275	572	969	812	1643	174	1366	1074	594	721	1204
Chi phí khác###Other Expenses	0	15	21	10	2	6	4	757	209	58	115	327	2240	989	268	541	654	5113	1164	21676	3359	571	313	334	30	0	2	697	2484	137	19	293	690	0	685	209	295	439	4
Lợi nhuận khác###Other profits	0	484	397	202	25	30	140	48	4	-28	211	-140	2927	2962	-177	189	-48	14069	-1113	13386	-3202	1872	2091	-27	1930	86	107	3759	1791	435	950	519	953	174	680	865	300	282	1200
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	29396	29687	181346	43697	43241	48172	43676	132596	32318	26790	39817	33671	132555	43098	27389	24092	37954	120295	34361	31953	22990	23861	103954	26546	20787	23633	32988	105286	37411	25410	16544	24637	67605	18200	12684	94218	94292	89517	41553
Chi phí thuế TNDN###Corporate Income Tax Expenses	3394	2224	20069	5589	4421	5248	4683	15095	3943	3904	3989	3259	11235	3917	2085	2167	3066	10847	3365	4160	1975	2066	8487	1435	1269	2677	3106	8287	3385	978	2972	932	9028	2943	1521	10062	10972	9580	3119
Chi phí thuế TNDN###Corporate Income Tax Expenses	3326	4175	20069	5589	4421	5248	4683	15095	3943	3904	3989	3259	11235	3917	2085	2167	3066	10847	3365	4160	1975	2066	8487	1435	1269	2677	3106	8287	3385	978	2972	932	9028	2943	1521	10062	0	0	3119
Chi phí thuế TNDN###Corporate Income Tax Expenses	69	-1951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10972	9580	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	26002	27463	161277	38109	38820	42925	38993	117501	28375	22886	35828	30412	121320	39182	25304	21925	34889	109447	30996	27793	21015	21795	95467	25112	19517	20957	29882	96999	34027	24433	13572	23704	58577	15258	11163	84156	83320	79937	38433
---Cac Chi So Tai Chinh---																																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	35.93	34.19	44.18	44.18	41.39	37.50	40.60	42.07	42.07	39.19	41.08	38.63	39.73	39.73	39.19	40.19	39.78	39.02	39.02	35.17	25.73	27.45	21.95	21.95	23.83	25.40	21.99	23.85	23.85	19.00	16.95	15.55	14.26	14.26	14.42	12.28	7.14	7.73	0.00
