CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q2 2006	 2005
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4341	4242	4242	4357	4226	4162	4189	4189	5370	5250	5115	5263	5263	5175	5097	6551	6386	4920	4643	4587	4617	4603	4602	4264	4667	4254	4154	4154	4657	4657	4657	4657	4657	4657	4500	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	18150	11909	11907	11907	13022	15371	8998	10197	10197	10210	11270	12766	11728	11728	10686	6434	6935	6610	6610	6796	8126	8612	7891	7712	8390	9718	8808	7461	7469	6520	7279	7194	8257	8257	8645	9359	10511	10064	10064	10333	9838	12637	10181	10181	12338	10571	11691	10644	10502	11450	8135	8902	8150	8275	5540	5178	4858	3641	3385	3743	3244	613	247	247	590	529	363	367	367	404	434
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	295604	305228	304895	305062	314236	330649	330985	339353	339353	349977	193581	179766	177592	177592	181552	176331	178792	180729	180729	188055	194814	190926	125577	125307	124871	131728	135817	147873	147873	143868	133138	131279	129416	129416	126597	124233	125591	128162	128162	133552	135437	146612	142719	142719	162325	174003	163833	155062	153453	149154	145652	156022	133687	132464	132956	120876	115149	105221	104965	108556	105419	103067	83470	83470	95971	89379	70427	56381	56381	61151	54593
Nợ phải trả ###Liabilities	202244	213758	214710	214237	226589	244049	239923	249724	249724	262764	106424	90030	88491	88491	93932	90041	89488	92758	92758	101679	109710	106843	41897	41897	41003	48041	52460	65082	65082	64196	55043	52249	50427	50427	52800	49645	48238	49414	49414	55288	55509	53891	51187	51187	70050	84775	73992	85359	85359	80183	79277	87047	67734	65102	66969	56091	46907	39286	39286	44737	43933	42151	47985	47793	68607	63272	44597	32028	32028	37441	32342
Nợ ngắn hạn###Short term Liabilities	89085	95242	91918	92018	100237	116446	110873	117271	55271	126814	50766	33099	29681	29681	33512	27211	25639	27076	27076	32944	38776	31797	30031	30031	40626	47867	42001	54632	64912	64031	54940	52147	50375	50375	52749	49645	48238	49414	49414	54831	53647	50954	48249	48249	65808	80531	69725	81116	81116	74678	73771	81632	62228	59596	64413	54984	46484	38653	38653	39498	38694	36912	42746	42554	61810	61676	43000	30431	30431	35168	30069
Nợ dài hạn###Long term Liabilities	113159	118516	122792	122219	126353	127603	129050	132453	194453	135950	55658	56931	58810	58810	60420	62829	63848	65682	65682	68735	70934	75046	11866	11866	377	174	10459	10450	170	165	104	103	53	53	51	0	0	0	0	457	1862	2938	2938	2938	4242	4243	4268	4243	4243	5505	5505	5415	5506	5506	2556	1107	423	633	633	5239	5239	5239	5239	5239	6797	1597	1597	1597	1597	2273	2273
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0	0	0	0	9	0	0	0
Vốn chủ sở hữu ###Owners equity	93360	91469	90185	90825	87647	86600	91062	89630	89630	87214	87157	89736	89102	89102	87620	86291	89304	87971	87971	86376	85104	84083	83679	83410	83868	83687	83357	82791	82791	79672	78095	79029	78989	78989	73797	74588	77353	78748	78748	78264	79928	92720	91532	91532	92275	89228	89841	69703	68094	68971	66375	68975	65952	67362	65987	64786	68241	65935	65679	63819	61486	60916	35485	35677	27364	26107	25831	24353	24353	23710	22251
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1398	1819	1950	693	771	771	898	1273	-127	0	192	293	418	97	0	0	239	-4
Vốn chủ sở hữu ###Owners equity	93360	91469	90185	90825	87647	86600	91062	89630	89630	87214	87157	89736	89102	89102	87620	86291	89304	87971	87971	86376	85104	84083	83679	83410	83868	83687	83357	82791	82791	79672	78095	79029	78989	78989	73797	74588	77353	78748	78748	78264	79928	92720	91532	91532	92275	89228	89841	69703	68094	68971	66375	68975	65952	65964	64169	62836	67548	65164	64908	62921	60212	61043	35485	35485	27072	25689	25734	24353	24353	23470	22254
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133138	131279	129416	129416	126597	124233	125591	128162	128162	133552	135437	146612	142719	142719	162325	0	163833	153453	153453	149154	145652	156022	133687	132464	132956	120876	115149	105221	104965	108556	105419	103067	83470	83470	95971	89379	70427	56381	56165	61151	54593



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q2 2006	Q1 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	78262	81248	346074	87063	92486	86398	80127	308643	98125	73581	73720	63217	249248	68900	67659	54152	58536	245412	74534	62872	59883	48123	248825	87461	53218	54379	53799	324635	83482	91166	79225	70762	313035	106435	74185	64373	68043	279844	71705	68006	72257	67876	318853	84870	65252	87731	81001	283459	61655	63096	87547	71162	243335	75587	66795	54507	46446	199015	65476	43437	48835	41267	160754	76941	33105	25210	25499	94729	27291	20685	74904
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	78262	81248	346074	87063	92486	86398	80127	308643	98125	73581	73720	63217	249248	68900	67659	54152	58536	245412	74534	62872	59883	48123	248825	87461	53218	54379	53799	324635	83482	91166	79225	70762	313035	106435	74185	64373	68043	279844	71705	68006	72257	67876	318853	84870	65252	87731	81001	283459	61655	63096	87547	71162	243335	75587	66795	54507	46446	199015	65476	43437	48835	41267	160754	76941	33105	25210	25499	94729	27291	20685	74904
Giá vốn hàng bán###Cost of goods sold	67268	70777	301478	74259	82789	76335	68095	272349	84986	66523	65395	55446	219521	60579	60502	47482	50958	216353	65012	55385	52814	43143	227576	79509	49167	49751	49161	306937	76967	86157	76516	67297	298416	96988	71700	64688	65040	267445	67357	66181	72189	61718	293754	82229	59938	78851	72735	255709	56098	56341	79324	63947	218304	66110	61824	49848	40523	172666	56028	37868	43292	35478	134176	60816	29626	22026	22311	84618	24593	18214	64726
Lợi nhuận gộp###Gross profit	10994	10471	44595	12804	9697	10063	12031	36293	13139	7057	8325	7771	29727	8321	7157	6670	7578	29059	9523	7487	7069	4980	21249	7952	4051	4628	4637	17698	6515	5009	2709	3466	14619	9447	2485	-315	3003	12399	4348	1825	68	6157	25099	2640	5314	8879	8266	27750	5556	6756	8223	7215	25031	9476	4972	4659	5923	26349	9449	5569	5543	5789	26578	16125	3479	3184	3188	10112	2698	2472	10178
Doanh thu hoạt động tài chính###Financial activities Revenues	4	7	46	23	15	4	4	289	4	126	66	93	360	217	104	27	12	93	8	3	4	78	65	13	13	14	25	134	60	45	13	15	33	10	4	8	10	48	7	6	23	12	454	143	157	121	33	106	22	25	37	23	482	22	158	539	10	393	513	-86	332	105	73	51	6	9	8	21	4	5	15
Chi phí tài chính###Financial Expenses	3763	3677	15566	4124	3721	3788	3933	8631	4248	1859	1255	1269	5216	1294	1333	1341	1247	4149	1284	1329	1497	40	32	0	82	-9	-41	491	9	0	428	53	461	88	112	94	168	1175	238	378	206	354	2091	457	183	1144	308	1162	395	318	279	171	655	84	180	153	238	4472	3861	211	208	192	1122	794	98	153	76	848	281	195	501
Chi phí bán hàng###Selling Expenses	934	842	4116	919	1094	1143	959	4258	1160	1077	1156	866	3726	920	983	845	977	4565	1341	1366	1036	822	3425	810	814	952	849	2983	835	711	716	721	2885	931	696	715	543	2798	930	586	665	616	3455	846	591	1076	942	2392	498	709	624	561	2863	886	745	462	770	1787	346	447	513	480	1321	408	300	292	322	1423	372	333	974
Chi phí quản lý doanh nghiệp###Managing Expenses	4855	4270	18840	5090	3773	4814	5163	17259	4749	4011	3579	4920	14733	4416	3301	3354	3662	16061	5511	3660	3222	3668	12261	3382	2951	2750	3178	11036	2684	2723	2807	2823	10688	2905	2457	2436	2891	11380	2710	2516	2974	3180	11873	2931	2552	3156	3235	11459	2998	2732	2819	2911	10410	3246	2158	2651	2355	8114	2726	1716	1729	1942	6284	1934	1572	1063	1112	4195	904	906	5238
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1444	1689	6120	2694	1124	322	1980	6434	2987	236	2401	809	6412	1907	1645	1156	1703	4376	1395	1136	1318	528	5596	3774	216	948	676	3322	3047	1620	-1328	-18	618	5534	-776	-3551	-588	-2568	477	-1648	-3755	2019	8472	-1450	2146	3624	3815	13198	1687	3022	4538	3595	11585	5284	2047	1931	2571	12370	3027	3108	3424	3280	17925	13040	1515	1684	1686	3667	1145	1043	3481
Thu nhập khác###Other incomes	87	73	1222	839	310	0	73	391	449	0	12	7	108	83	25	0	0	1805	696	1109	0	0	576	5436	1780	0	9	1266	276	1065	4	637	600	500	19	81	0	701	455	209	0	37	2937	499	2275	90	73	475	30	280	165	0	1349	5	0	1303	40	116	82	31	2	0	298	82	65	148	3	1274	9	32	750
Chi phí khác###Other Expenses	15	12	98	-363	93	174	194	376	297	155	0	0	116	113	0	0	3	78	73	0	5	0	1548	6572	1818	2	7	1108	138	1108	0	579	888	402	166	85	235	332	95	230	8	0	1223	620	442	42	118	131	0	129	2	0	272	32	7	187	46	106	2	104	0	0	33	30	0	0	3	538	12	46	548
Lợi nhuận khác###Other profits	73	61	1124	1202	217	-174	-121	15	152	-155	12	7	-8	-30	25	0	-3	1726	623	1108	-5	0	-972	-1136	-38	-2	2	158	138	-43	4	59	-287	98	-147	-4	-235	369	360	-21	-8	37	1715	-121	1833	49	-46	345	30	152	163	0	1077	-26	-7	1116	-6	9	80	-73	2	0	265	52	65	148	0	736	-3	-15	202
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1517	1750	7244	3896	1342	148	1859	6449	3139	81	2413	816	6404	1877	1670	1156	1701	6103	2018	2244	1313	528	4624	2638	178	947	678	3479	3186	1577	-1324	41	678	5734	-791	-3490	-773	-2199	873	-1549	-3649	2125	10187	-1465	4056	3761	3834	13542	1894	3174	4758	3659	13130	5497	2041	3028	2564	12849	3107	3035	3427	3280	18190	13092	1580	1832	1686	4403	1142	1029	3682
Chi phí thuế TNDN###Corporate Income Tax Expenses	-400	428	2092	693	295	83	382	1336	703	5	474	153	1262	379	324	212	346	1173	399	409	260	106	1059	623	267	82	64	63	63	0	0	0	541	541	0	0	0	43	0	0	0	412	2229	-576	989	928	888	2739	335	634	1108	736	817	222	162	234	186	880	147	326	321	341	3228	3208	197	229	210	547	142	128	460
Chi phí thuế TNDN###Corporate Income Tax Expenses	-376	470	2163	710	291	98	423	1416	699	68	472	177	1297	392	321	208	375	1198	387	410	271	131	1226	606	289	251	64	63	63	0	0	0	541	541	0	0	0	1	0	0	-468	468	2134	-773	974	1040	892	2892	400	692	1103	697	854	252	162	234	186	880	147	326	321	342	3228	3208	198	229	211	547	143	129	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-23	-42	-71	-18	4	-15	-42	-80	4	-63	2	-24	-35	-13	3	4	-29	-25	12	-1	-11	-24	-167	16	-22	-169	0	0	0	0	0	0	0	0	0	0	0	43	105	22	-27	-56	95	196	15	-112	-4	-154	-64	-58	4	38	-37	-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1917	1323	5152	3203	1047	65	1477	5113	2436	76	1939	663	5142	1497	1346	944	1354	4929	1619	1835	1053	422	3565	2016	-88	865	613	3417	3123	1577	-1324	41	137	5193	-791	-3490	-773	-2243	769	-1571	-3154	1713	7958	-889	3067	2833	2946	10803	1559	2540	3650	2923	12313	5261	1879	2794	2379	11969	2960	2709	3106	2938	14962	9884	1383	1603	1475	3856	999	900	3222
---Cac Chi So Tai Chinh---																																																																							
EBITDA	0.15	0.07	-0.05	-0.05	0.31	-0.24	-0.18	-0.03	-0.03	0.03	0.22	0.83	0.91	0.91	0.27	1.12	0.11	-0.33	-0.33	-0.09	0.00	-0.12	-0.17	-0.17	-0.24	-0.51	-0.52	0.07	0.07	0.09	0.30	0.91	0.38	0.38	0.40	0.37	0.66	0.69	0.69	0.56	0.42	0.34	0.16	0.16	0.57	0.97	1.24	1.35	1.35	1.46	1.15	0.94	0.92	0.92	0.86	1.01	1.18	1.41	1.41	1.62	1.69	1.56	0.00	0.00	-0.10	-0.11	-0.13	0.14	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	4.69	4.17	4.34	4.34	4.34	4.08	4.44	4.37	4.37	4.21	4.21	3.99	4.13	4.13	4.33	4.26	3.99	3.76	3.76	3.58	3.39	3.64	3.70	3.70	3.05	3.33	3.45	3.45	3.45	2.93	3.39	3.79	2.70	2.70	2.36	2.53	2.59	3.85	3.85	3.68	4.37	3.85	3.85	3.85	3.44	4.53	6.01	6.55	6.55	6.69	10.67	9.03	4.49	4.49	4.97	4.22	3.38	3.38	3.38	5.24	3.50	6.00	11.03	11.03	6.20	5.15	6.91	2.88	0.00	0.00	0.00
