CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3094	-2971	-2909	-2909	-2850	-2806	-2781	-2759	-2759	-2729	-2727	-2724	-2723	-2723	-2723	-2715	-2686	-2581	-2581	-2476	-2378	-2312	-2309	-2309	-2302	-2302	-2302	-2302	-3954
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	123	125	126	126	128	129	131	132	132	133	135	136	138	138	139	141	142	144	144	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	32739	32836	32836	32836	31912	31912	31912	31912	31912	32032	32032	32052	32052	32052	29053	29113	28773	28773	28773	29231	29051	5764	5764	5764	132005	131853	133641	133641	132751
Tài sản dài hạn khác###Other long term assets	10414	8653	9782	9666	222	195	161	186	186	163	188	238	287	287	336	338	509	738	298	1332	1495	3125	3348	3376	3813	4251	3841	3448	1017
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1687133	1696505	1662296	1662518	1670033	1611765	1566171	1626403	1604407	1657588	1695601	1763301	1286839	1286624	1144787	1179072	1037425	1045289	1045235	1009073	995743	1005691	993672	993561	972671	959791	930092	1011025	787831
Nợ phải trả ###Liabilities	377741	286532	308418	309345	319976	313168	300659	401877	379244	439160	475317	857417	416488	416123	271556	338841	184200	225690	225852	186465	200319	162355	177619	177619	186357	200211	173634	276086	262134
Nợ ngắn hạn###Short term Liabilities	197022	105158	120265	121192	128085	115072	103903	199175	176542	211674	211203	586754	230973	230608	153941	268426	111038	150786	158042	107937	115737	83168	98793	98793	106717	115102	82877	184366	145658
Nợ dài hạn###Long term Liabilities	180718	181374	188153	188153	191891	198096	196756	202701	202701	227486	264114	270664	185515	185515	117615	70415	73161	74904	67810	78528	84582	79188	78826	78826	79640	85109	90757	91720	116476
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1309392	1409974	1353878	1353173	1350057	1298597	1265512	1224527	1225164	1218428	1220284	905884	870351	870501	873231	840231	853225	819599	819383	822608	795423	843336	816053	815943	786314	759580	756458	699371	492956
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1309392	1409974	1353878	1353173	1350057	1298597	1265512	1224527	1225164	1218428	1220284	905884	870351	870501	873231	840231	853225	819599	819383	822608	795423	843336	816053	815943	786314	759580	756458	699371	492956
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35568	32741
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	215218	224451	823885	222866	226939	201789	172321	695674	178176	186894	168981	161623	601447	160981	153017	140121	146678	553512	147721	136211	115450	154130	573533	148388	145105	160711	120375	252014	471473
Các khoản giảm trừ doanh thu###Deduction revenues	1	31	127	0	92	35	0	933	879	54	0	0	331	107	224	0	0	221	173	0	-23	71	293	235	54	4	0	437	506
Doanh thu thuần###Net Sales	215217	224421	823758	222866	226847	201754	172321	694742	177297	186841	168981	161623	601116	160874	152793	140121	146678	553291	147549	136211	115473	154059	573239	148153	145051	160707	120375	251577	470967
Giá vốn hàng bán###Cost of goods sold	135147	144658	532568	149006	144621	130059	108800	460505	126213	119095	114344	100228	387222	106837	97688	90164	91883	360032	99760	89115	81731	88370	373575	108443	86409	100620	79349	191573	385844
Lợi nhuận gộp###Gross profit	80070	79762	291190	73860	82227	71695	63522	234237	51084	67746	54637	61395	213894	54038	55105	49957	54795	193259	47789	47096	33742	65689	199664	39710	58642	60086	41026	60004	85123
Doanh thu hoạt động tài chính###Financial activities Revenues	11676	7590	24529	6932	6322	8450	3372	21666	4014	7680	7230	2742	13150	1638	2332	4424	4757	39446	4850	6953	28190	-547	45187	36857	2362	2900	626	22945	47748
Chi phí tài chính###Financial Expenses	5835	2894	13105	4498	3522	5502	2608	17490	4968	3772	554	8196	7408	207	1371	154	5676	8454	-11938	2504	9492	8449	3833	2123	509	572	628	928	4755
Chi phí bán hàng###Selling Expenses	1602	684	5335	3037	982	643	673	3049	1532	357	279	882	2643	1105	574	503	460	2057	1567	301	-195	385	3487	1351	492	740	659	2485	6229
Chi phí quản lý doanh nghiệp###Managing Expenses	14702	13683	75651	24726	20772	15079	12551	53218	15218	13719	13190	10988	60080	17577	15027	15139	12337	62818	25264	14705	5679	18227	68456	5390	22897	23269	16961	27157	60230
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	69607	70092	221628	48530	63273	58922	51062	182146	33379	57577	47844	44070	156912	36785	40465	38585	41078	159374	37746	36538	46956	38081	166254	67704	36037	35811	24396	52759	61658
Thu nhập khác###Other incomes	378	50	6031	4422	876	538	32	1684	705	826	30	123	6363	945	841	4219	750	1032	391	100	261	281	2429	315	819	669	626	6743	12617
Chi phí khác###Other Expenses	0	0	201	460	113	38	1	445	166	69	161	50	1131	157	304	1033	29	288	106	20	130	32	697	177	22	392	106	3708	5845
Lợi nhuận khác###Other profits	378	50	5830	3961	762	500	32	1239	539	757	-130	73	5232	788	537	3186	721	745	285	80	131	249	1733	138	797	278	520	3035	6773
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	69985	70142	227458	52492	64035	59421	51093	183385	33919	58335	47714	44143	162144	37573	41002	41770	41799	160119	38031	36618	47087	38330	167987	67842	36835	36088	24916	55794	68917
Chi phí thuế TNDN###Corporate Income Tax Expenses	13038	14046	43297	8116	12575	11128	10108	35901	6778	10691	9910	8610	30578	6810	8002	7443	8173	32514	8256	9433	6868	8119	36793	14311	8675	8300	5493	12248	17204
Chi phí thuế TNDN###Corporate Income Tax Expenses	13038	14046	44616	9435	12575	11128	10108	35901	6778	10691	9910	8610	30578	6810	8002	7443	8173	32514	8256	9433	6878	8109	36765	14311	8675	8286	5493	12237	17180
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	-1319	-1319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10	10	28	0	0	14	0	10	24
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	56947	56096	184160	44376	51460	48293	40986	147484	27141	47644	37804	35533	131566	30764	33000	34327	33626	127605	29775	27185	40218	30211	137407	53530	28160	27788	19424	46342	51712
---Cac Chi So Tai Chinh---																													
EBITDA	0.16	-0.06	-0.75	-0.75	-0.31	0.03	0.04	0.26	0.26	0.37	0.37	0.74	0.10	0.10	0.20	-0.22	-0.32	-0.92	-0.92	-1.13	-3.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	17.50	17.22	18.43	18.43	18.92	17.28	16.65	14.37	14.37	14.28	13.48	16.38	17.55	17.55	16.56	14.55	15.56	16.01	16.01	17.26	14.69	16.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00
