CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	375990	365646	260278	256063	248862	239379	324341	274221	274221	336054	373041	94688	80802	80802	78649	89103	92976	87601	87601	95955	101015	100612	83991	83991	79646	101801	105884	95801	95479	106180	99040	101355	106717	106697	102996	113476	84728	98022	98022	99006	109846	124928	113592	113600	97317	107452	99819	120701	120701	121035	106459	106015	101736	68205	61742
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	16432	20234	28506	28506	31130	11356	23043	9112	9112	43932	6687	1235	1006	1006	877	2994	2512	4647	4647	2253	1166	3001	7832	7832	2638	9477	1438	15999	10999	1169	3130	4218	14340	14340	1729	6162	5801	1514	1514	4187	7355	507	6985	6985	14285	13163	16604	15491	2991	5564	3254	5104	2735	1493	1670
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	96006	72006	47000	44951	55000	61500	54500	59500	59500	121000	174000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12500	19000	12500	12500	12500	12500	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	123733	148720	73258	73958	73462	67637	129498	82095	82095	57452	76369	41171	35736	35736	33994	44421	51096	42704	42704	50184	52816	50965	41951	41951	35820	42487	61034	39879	39466	50485	43320	45839	44268	44248	45867	50227	28061	50943	50943	38475	51759	59326	59925	59933	35750	40336	36351	48372	48372	37179	33907	23066	37041	23025	26803
Hàng tồn kho###Inventory	138112	120714	107684	107644	88354	97465	115894	122723	122723	113254	115179	51697	43057	43057	43719	41568	39190	39695	39695	43460	46918	45723	33127	33127	41187	49698	42042	38383	38383	51917	51489	50217	46528	46528	53937	54495	49815	44243	44243	55331	49630	63904	45031	45031	45266	52789	45812	53914	53914	52603	52788	58748	43564	28884	31290
Tài sản ngắn hạn khác###Other Current Assets	1706	3972	3829	1003	916	1421	1407	792	792	417	806	585	1003	1003	59	119	178	555	555	58	116	922	1081	1081	1	139	1369	1541	1631	2609	1101	1081	1581	1581	1463	2592	1052	1321	1321	1013	1102	1191	1651	1651	2016	1164	1053	2924	2924	6688	4011	6597	5895	2302	1979
Tài sản dài hạn###Non-current Assets	407211	404524	368233	370523	376703	381877	384481	392558	380936	388897	397980	140379	143972	143972	148162	148438	148778	150786	150786	134618	133803	120607	105234	105234	107396	96419	98915	81445	81445	82065	84323	83324	85473	85473	87864	90592	92260	93827	93827	95680	93775	94333	95381	95381	96742	98824	101123	99702	99702	93294	99098	98670	100279	109110	113895
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	112	112	218	218	218	218	218	2418	5418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	90	90	93	100	105	107	171	1233
Tài sản cố định ###Fixed assets	363090	361378	311511	311511	318563	323540	330879	338157	338157	343617	351208	93190	96778	96778	100949	101215	100493	103526	103526	84536	58320	55803	58150	58150	47193	49537	33171	34906	34903	33473	35705	34597	36637	36637	38403	40507	43098	44726	44726	46494	45200	45722	46611	46727	48043	50079	52249	48865	50730	44224	46344	45797	47279	52955	54953
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-341653	-331917	-288428	-288428	-281288	-274075	-266736	-263452	-263452	-256541	-249368	-87084	-92698	-92698	-97419	-95107	-96734	-96479	-96479	-111532	-109234	-107820	-108698	-108698	-106876	-108303	-107319	-105485	-105485	-103472	-102220	-100662	-98627	-98627	-108839	-106747	-105809	-103618	-103618	-102073	-106104	-104151	-102143	-102143	-100074	-97870	-95668	-93817	-93817	-96399	-97058	-95490	-93628	-86861	-80390
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-321	-313	-245	-245	-245	-245	-245	-245	-245	-245	-245	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-87	-75	-62	-50	-50	-37	-25	-12	0	0	-49	-49	-49	-49	-49	-49	-49	-49	0	-49	-49	-48	-47	-46	-46	-45	-44	-43	-43	-39	-36
Lợi thế thương mại	3022	3117	3213	3213	3308	3404	3499	3595	3595	3690	3785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
