CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Tài sản ngắn hạn###Current Assets	192724	219672	235081	234624	233324	253998	365909	393824	402600	436347	493435	471120	628976	624599	494955	510349	461615	712802	636115	356985	354224	221836	273320	273532	255294	185230	189171	203864	203651	177949	189023	181219	199283	197663	183580	176959	166290	186382	186827	195957	185913	186098	193694	194024	173537	176590	187182	205700	205997	211164	205522	171714	195331	196169	195545	174356	151359	188991	188991	170339	187796	217451	278638	278638	288792	155665	137604	130935	130236	148760	207066
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	11862	21930	17829	18329	14711	15005	8936	2708	2708	3296	7343	4213	16778	16778	16540	12516	12035	12061	12061	4321	9005	5714	5982	5982	5579	4011	4356	6265	6325	5302	5875	2836	7515	7535	4092	9766	16966	20686	20686	37922	24907	92648	76480	30434	42802	36947	38594	37423	7423	9707	12669	16228	20303	50303	54612	47824	42220	45522	45522	12024	22799	7919	19019	19019	113379	17685	19491	16831	16831	19786	42261
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	5287	2287	25787	25287	38287	38287	38287	27287	27287	54487	54487	66487	69987	69987	55987	59487	53987	45987	45987	37987	36487	44487	37487	37487	58487	58487	55987	56237	56237	55950	68337	70253	68807	70479	73165	73131	68946	70518	70518	71624	78330	16287	15427	61427	46431	43297	42332	33574	64134	59606	46142	37020	42105	12105	11477	11667	13126	35645	35645	36834	50779	89939	91203	91203	26947	21017	13321	12746	12746	22443	19513
Các khoản phải thu ngắn hạn###Short term Account Receivables	39290	53924	49577	50862	54661	57076	191388	246634	246869	260421	313476	320977	428097	428305	355055	327824	316362	441420	441193	213920	188720	80863	120930	121126	120474	49846	57199	57528	58825	43154	38084	40929	42748	42936	40251	31556	38168	41793	42045	30601	30839	33673	48508	48703	30115	26103	38510	48405	48678	40110	58715	52248	66369	67206	59851	49961	64320	59013	59013	71935	66045	72606	125846	125846	100534	71432	64293	61493	61493	74178	122246
Hàng tồn kho###Inventory	131743	136908	135887	134327	120955	138686	122903	112392	120875	113452	110280	75495	108104	103480	65828	105810	77988	204986	127172	99126	117133	88725	107346	107346	69703	70127	69877	80260	78690	69872	73481	62943	74566	71066	59584	57085	36449	49389	49573	51691	47697	39875	51243	51601	50651	67779	64906	82396	82396	94014	81895	61211	60390	60390	58342	55959	26291	32327	32327	38990	39553	40662	38814	38814	42788	39805	34704	30355	29554	28266	20899
Tài sản ngắn hạn khác###Other Current Assets	4541	4622	6000	5819	4710	4944	4395	4803	4860	4689	7847	3947	6010	6048	1545	4711	1243	8347	9701	1630	2879	2047	1574	1590	1050	2758	1752	3574	3574	3671	3246	4259	5647	5647	6488	5420	5762	3996	4004	4119	4140	3614	2036	1860	3538	2462	2840	3902	3367	7727	6102	5007	6165	6165	11262	8946	5403	16484	16484	10557	8620	6325	3756	3756	5144	5726	5794	9510	9611	4085	2147
Tài sản dài hạn###Non-current Assets	110760	109073	97007	96953	74239	77782	71870	73272	73501	72959	74740	76902	78268	78283	78743	78979	79841	77914	76954	77353	77475	77552	78242	78196	75063	76369	68844	69321	63518	63193	69768	68477	69225	68889	70095	71432	78656	79202	79268	81361	82497	83860	84905	84902	84434	85519	86641	87914	87687	93394	111463	119704	121405	121409	124688	123094	92941	73978	73978	78990	75777	75745	55196	55196	131681	157268	154100	76558	76558	78398	39940
Các khoản phải thu dài hạn###Long term Account Receivable	18301	18301	15429	15344	8331	8467	8331	8388	8331	8331	8331	8331	8362	8331	8331	8331	8331	8331	8331	8331	8331	8331	8331	8331	8331	8597	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6549	6549	6549	6549	6549	6549	6549	6549	15495	15495	15495	15495	15495	15495	15495	15495	15495	15495	17590	6345
Tài sản cố định ###Fixed assets	41102	41848	39082	39126	39950	40767	41723	42951	43017	43662	44763	46086	47412	47427	48365	49686	51009	51149	51149	52342	53583	54078	54787	54725	55655	56954	57743	61987	57895	58060	58888	65762	66984	66984	66066	66509	64082	65224	65438	66415	67205	68493	69468	71384	72793	73896	75110	74427	76166	77329	78336	79971	81299	81299	81445	80745	53383	34118	34118	34074	4738	4662	4969	4969	10425	85974	83006	5172	5172	5113	3866
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-67794	-67065	-66640	-66461	-65788	-65258	-64134	-63192	-62991	-61997	-60795	-59625	-58450	-58435	-57266	-56097	-54926	-53779	-53779	-52945	-51862	-50898	-49848	-49938	-48901	-47809	-46770	-45732	-45767	-45217	-44200	-43510	-42321	-42364	-43311	-42112	-44927	-44189	-43813	-42687	-41921	-40425	-39609	-39609	-40900	-39723	-38466	-40819	-40819	-39783	-38513	-37513	-36194	-36194	-35266	-34815	-33899	-33830	-33830	-33528	-33248	-32970	-32645	-32645	-32370	-32023	-31673	-31307	-31307	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-7492	-7340	-7188	-7188	-7036	-6884	-6732	-6580	-6580	-6422	-6270	-6118	-5966	-5966	-5815	-5663	-5511	-5359	-5359	-5205	-5047	-4879	-4708	-4714	-4529	-4322	-4133	-3980	-3980	-3796	-3612	-3424	-3239	-3239	-3295	-3113	-2933	-2757	-2767	-2581	-2407	-2234	-2057	-2057	-1882	-1715	-1557	-1399	-1399	-1241	-1083	-924	-745	-745	-566	-386	-258	-230	-230	-203	-175	-148	-120	-120	-89	-58	-28	-25	-25	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76178	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5500	-5500	855	0	0	0	0	0	10481	10480	10481	10481	10481	10481	10480	10481	10481	10481	10481	10480	10481	15706	32352	32352	32352	32352	32352	32452	32227	32227	32227	29152	29152	29152	29152	29152	29152	55152	55152	55152	55152	55151	29152
Tài sản dài hạn khác###Other long term assets	10026	10689	10003	9990	10848	10765	10470	10910	18299	17190	17872	18712	18721	18752	18273	17189	16876	14810	13850	13056	11937	11518	11028	11044	7438	7233	7516	7085	7052	4590	4408	2715	2240	1905	4029	4923	4093	3497	3349	4466	4812	4886	3040	3038	1161	1142	1050	1268	1041	360	776	832	1205	1209	4343	3347	781	1083	1083	271	26392	26436	5581	5581	432	647	447	740	740	543	577
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	303483	328745	332088	331577	307564	331780	437780	467096	476101	509306	568175	548022	707244	702882	573697	589328	541456	790716	713069	434338	431700	299388	351562	351727	330357	261599	258015	273185	267169	241142	258791	249697	268507	266552	253675	248391	244946	265584	266095	277318	268410	269958	278599	278927	257972	262108	273823	293614	293685	304558	316985	291418	316737	317578	320233	297450	244301	262969	262969	249330	263573	293195	333834	333834	420473	312932	291704	207493	206794	227159	247006
Nợ phải trả ###Liabilities	97736	119025	126936	125915	102863	129789	224160	257729	266682	305330	370502	345460	505467	500905	373317	392558	324371	576199	498018	230093	218976	87369	139871	139399	123829	57808	43626	61292	59643	35694	56389	44486	61209	58773	45223	44228	36366	56870	56798	63171	57123	54501	60517	60567	44549	51757	58913	69707	71380	85278	106229	79088	104808	105158	109831	95411	46325	62062	62062	45221	61687	96854	118524	117774	328147	224282	206270	116219	114921	136343	169212
Nợ ngắn hạn###Short term Liabilities	74565	94378	102523	103705	95594	122450	207242	250704	259517	297770	362976	338527	498668	494062	366452	384189	317301	568713	491493	223255	212294	80765	133067	132595	116366	51415	37670	56062	54409	30627	51476	39829	56090	53854	40663	37189	32262	52167	51953	57886	54365	51975	58765	58815	41600	50161	57174	67771	57443	68798	86758	68652	103619	103970	108626	94253	45403	54471	54471	44666	61335	96388	117277	116527	316962	209972	192058	102080	100782	122270	154989
Nợ dài hạn###Long term Liabilities	23171	24647	24413	22211	7270	7339	16918	7025	7166	7560	7526	6932	6798	6843	6865	8369	7070	7486	6525	6838	6682	6604	6804	6804	7464	6393	5956	5229	5235	5067	4912	4657	5119	4918	4560	7039	4104	4703	4844	5285	2758	2526	1752	1752	2949	1596	1739	1937	13937	16481	19470	10435	1188	1188	1205	1159	922	7590	7590	555	352	466	1247	1247	11184	14310	14212	14139	14139	14073	14223
