CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	1147084	1133443	1145859	1207720	1129521	1164797	1250108	1502678	1511275	1286404	1249708	1290053	1330753	1324802	1277099	1186346	1241920	1254673	1281202	1290324	1210825	1234860	1192150	1328859	1410512	1446525	1440715	1692477	1711184	1769013	1641853	1561888	1541055	1659436	1556900	1494045	1415266	1602154	1603725	1443998	1607225	1534117	1706444	1718478	1641039	1881307	1495302	1587794	1557045	1487805	1534809	1337022	1428149	1470783	1383100	1336172	1346563	1367559	1366637	1389635	1472502	1531476	1528407	1528407	1301118	1081021	456832	120352
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	121286	128725	150436	150731	119790	146956	158075	165711	165711	172009	178615	199126	281093	280635	226562	322828	331627	322533	323711	209708	232637	153111	287797	288248	190939	189908	228661	172543	172539	421900	452897	296934	432689	431689	312590	289339	175975	201163	353242	246733	200856	196687	184927	186533	222875	263796	60444	53731	53481	103337	159967	16741	46446	45865	8008	8598	7014	10776	7293	10906	24851	20915	34722	34722	60897	128127	3248	4397
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	151789	65292	67930	67081	58997	67529	126277	284149	284240	311786	310225	344160	316421	318881	390874	272069	331640	328140	328935	474559	367316	358478	144834	144834	275312	352312	372571	581571	581571	382991	242601	185601	18601	19593	83915	103249	173633	166133	14133	13201	13201	11593	12472	11593	12308	12849	13007	12826	12826	13499	13475	15221	13722	14202	12922	13482	27242	27090	27090	37500	37500	37500	20660	20660	12600	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	407766	461160	466929	524237	514953	529144	546751	649486	659497	440909	390302	415546	411120	400519	335302	293164	279322	309432	333423	275662	276380	423369	489000	608237	604139	502348	482983	593083	611554	597868	505521	711190	723063	839941	821714	787433	745778	905334	905675	832656	1026033	963098	1120920	1125220	1000631	1206531	1067556	1174782	1147446	994226	1025482	961060	1019577	1060686	958780	959705	949957	937742	950582	950928	990995	1110493	1166404	1166404	1015926	787185	318839	34497
Hàng tồn kho###Inventory	417343	426867	422160	421409	392275	379961	376950	361982	360753	333660	347153	315675	309190	309222	309132	283904	286901	285388	285291	319954	323682	289825	259979	276401	329242	391045	346540	328593	328585	342869	416378	347415	350636	350564	319479	295781	304786	318251	318484	334673	347618	334757	370372	369827	375153	364231	318649	311160	309887	335527	297559	298703	313193	314119	361424	317310	321199	348589	340092	359012	383021	331031	298899	298899	210506	157712	130985	78988
Tài sản ngắn hạn khác###Other Current Assets	48900	51400	38405	44262	43505	41208	42055	41351	41074	28040	23413	15546	12929	15545	15228	14381	12429	9180	9842	10441	10809	10076	10539	11139	10879	10911	9961	16688	16935	23385	24456	20748	16066	17649	19203	18242	15094	11273	12190	16735	19518	27981	17753	25305	30071	33900	35646	35296	33404	41216	38326	45297	35210	35911	41966	37077	41150	43363	41580	31288	36135	31537	7721	7721	1189	7996	3759	2471
Tài sản dài hạn###Non-current Assets	357148	346933	356185	358564	378931	376187	375721	362338	369795	317530	307076	279508	280613	278028	301128	307621	321858	334704	333205	317127	323731	298187	322016	249287	207312	211982	215854	170568	170774	200911	113279	132444	127524	142582	129588	117165	120818	113892	112338	112038	118901	118218	125596	125737	130975	135501	140205	145430	146316	151824	161111	168947	175120	175240	192964	200351	200139	207197	204697	206568	211197	290893	152521	152521	121223	114436	113938	97983
Các khoản phải thu dài hạn###Long term Account Receivable	7265	7256	7181	7181	7198	7154	7057	7139	7139	7025	12811	21438	24903	24903	60478	64478	76978	86412	86412	74672	86460	74510	86310	12482	747	662	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	147075	151634	119465	119465	141482	143788	145824	144064	144064	147083	149733	151470	155213	155213	153654	157162	160914	165288	165288	169223	162792	150309	155452	163715	137905	142911	146917	155420	150272	89515	92642	95957	104354	105377	94964	94841	77594	78995	80552	79203	85614	88800	91048	91938	97317	102566	107181	110633	112315	119811	126028	132154	137583	137591	144959	147751	146178	152002	150336	158850	163793	132742	110940	110940	105001	107920	109826	90046
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-164306	-194300	-199313	-199313	-217612	-214442	-212575	-209913	-209913	-264735	-261861	-258404	-255611	-254977	-255938	-253381	-249449	-245391	-245398	-263350	-257930	-251535	-246578	-255098	-250044	-244365	-236545	-230680	-230633	-224071	-219321	-213470	-208873	-207228	-203488	-200215	-225694	-223092	-222496	-236160	-233884	-229862	-226967	-226332	-222064	-217568	-222269	-217472	-216837	-211136	-205277	-199402	-194239	-193662	-186521	-180045	-174280	-168351	-169383	-164866	-158465	-151818	-146799	-146799	-141239	-135748	-125337	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-12084	-11946	-11884	-11884	-11856	-11382	-11213	-10829	-10829	-10432	-10029	-9626	-9223	-9223	-8819	-8416	-8016	-7626	-7618	-7220	-7064	-6880	-6596	-6588	-6292	-6010	-5713	-5431	-5424	-5134	-4845	-4555	-4273	-4266	-3967	-3679	-3381	-3334	-3295	-3209	-3139	-3050	-2957	-2952	-2879	-2791	-2704	-2617	-2617	-2530	-2442	-2274	-2205	-2139	-2070	-2001	-1932	-1864	-1864	-1805	-1746	-1687	-1628	-1628	-1537	-1509	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	59823	50166	65051	66195	77524	75629	80145	80759	80860	81842	82386	87695	85703	83118	77559	76522	74472	73392	72209	69246	68381	66670	73966	66449	62465	62465	62465	13163	13163	13163	13163	12986	21467	20033	18565	20000	40504	30931	28889	28889	30203	28889	30203	30375	30994	30610	30994	30610	30994	31206	31206	31826	31230	31826	41031	44749	44749	44373	44749	31053	31007	29611	28872	28872	10812	5972	0	0
Tài sản dài hạn khác###Other long term assets	52	63	79	1314	1334	1356	1526	1362	1362	1362	1335	1356	1329	1329	1348	1375	1052	1396	1079	1096	1072	1388	1109	1461	1444	1164	2124	1984	2059	40879	1680	17836	1704	17172	16059	2324	2721	2525	2896	3945	3083	529	3398	3424	2664	2325	2030	2494	3007	807	3877	4967	6307	5823	6974	7851	9211	10822	9612	16665	16397	128540	12709	12709	5410	543	4112	7936
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1504232	1480376	1502044	1566284	1508451	1540984	1625829	1865016	1881069	1603934	1556784	1569561	1611366	1602830	1578227	1493967	1563779	1589377	1614407	1607450	1534556	1533047	1514166	1578146	1617824	1658507	1656569	1863045	1881958	1969924	1755132	1694332	1668580	1802017	1686489	1611210	1536084	1716046	1716063	1556036	1726126	1652335	1832039	1844216	1772015	2016808	1635507	1733224	1703361	1639628	1695920	1505969	1603269	1646024	1576064	1536523	1546702	1574756	1571334	1596203	1683699	1822369	1680928	1680928	1422341	1195456	570770	218335
Nợ phải trả ###Liabilities	590894	529681	529578	596218	541917	582323	631048	780176	791078	537546	466314	492518	472270	471332	449780	389497	380494	434971	455156	454892	414727	418326	425765	570465	665600	618910	715183	879544	894059	1130988	1035531	835582	835041	973729	897285	829013	882524	934025	932754	923960	935468	1027828	1034779	1041604	1114904	1182205	944061	950099	978889	1039672	1028598	830697	898170	920634	912124	873533	876824	893020	888198	883007	967283	1098369	990021	982705	826947	846188	496036	189332
Nợ ngắn hạn###Short term Liabilities	528905	446969	459300	509362	450916	487177	531758	676742	687644	464491	412552	472599	465619	464681	444896	384613	375588	430932	445333	416102	370104	345045	352435	495367	590452	543489	637944	797075	810973	1012305	962447	744898	760402	881490	804358	750069	800335	862726	862515	834651	863101	948971	964028	1032252	1105131	1096421	933306	939476	968027	1023394	1010414	814551	881874	749434	733107	691940	696145	708836	702005	850406	934118	1067404	971573	964258	784213	799743	439289	160398
Nợ dài hạn###Long term Liabilities	61989	82712	70278	86856	91001	95145	99290	103434	103434	73055	53762	19920	6651	6651	4884	4884	4906	4038	9822	38790	44623	73281	73330	75099	75148	75421	77239	82469	83086	118683	73084	90684	74639	92239	92927	78943	82190	71299	70239	89309	72367	78857	70751	9352	9773	85783	10754	10623	10862	16278	18184	16145	16296	171200	179017	181593	180680	184185	186193	32600	33164	30965	18447	18447	42734	46445	56747	28934
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7208181	8	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	913338	950695	972466	970066	966534	958661	994781	1084840	1089991	1066388	1090470	1077042	1139096	1131498	1128447	1104471	1183285	1154406	1159251	1152558	1119829	1114721	1088402	1007681	952224	1039596	941386	969682	987899	838936	719601	858750	825493	821728	782750	774813	647563	782021	773114	622655	783542	615219	797260	792617	645752	824061	680496	783125	713159	589710	656012	665379	694785	714143	654431	653215	661023	673233	673284	707516	712293	720542	687363	694679	595394	349203	74653	29003
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	5089	5089	5089	5089	5089	5089	5089	5089	5089	5089	5089	5089	5089	5089	5089	5089	5115	4973	4973	5263	5303	4903	4930	4930	5101	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	4907	12892	4907	17636	16400	17083	20310	21965	26437	29071	26671	6980	949	8264	8778	9860	1397	1523
Vốn chủ sở hữu ###Owners equity	908249	945607	967377	964977	961446	953573	989693	1079751	1084903	1061300	1085381	1071954	1134008	1126409	1123359	1099382	1178169	1149433	1154278	1147295	1114526	1109818	1083471	1002751	947123	1034690	936479	964775	982992	834030	714694	853844	820587	816822	777843	769907	642656	777114	768207	617749	778635	610312	792354	787710	640846	819154	675590	778218	708252	584803	651106	652486	689879	696507	638030	636132	640712	651269	646847	678445	685621	713562	686414	686414	586616	339343	73255	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7884	13819	8509	8690	9498	6650	8045	6560	6454	7384	5997	6747	10194	9421	7116	9288	9152	9995	11358	10543	10950	11975	11313	10246	11309	9894	10313	11247	9510	9775	8855	8503	9852	5680	4124	3459	3544	3544	0	65	82	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1755132	1694332	1668580	1802017	1686489	1611210	1536084	1716046	1716063	1556036	1726126	1652335	1832039	1844216	1772015	0	1635507	1733224	1703361	1639628	1695920	1505969	1603269	1646024	1576064	1536523	1546702	1574756	1571334	1596203	1683699	1822369	1680928	1680928	1422341	0	570770	218335



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	204350	191763	830515	228053	189893	186527	226041	1190421	433320	289568	243164	224071	1059004	379843	260673	223249	195603	1038665	344060	251893	204538	244347	1088667	507287	279918	188811	173687	1229506	237260	416407	370343	208994	800426	205346	188104	260583	169984	648783	165463	136726	131995	215352	624663	245932	145593	114556	103497	593815	245102	137994	114378	96148	479458	246966	90830	89572	68621	390006	79187	108111	96482	126208	1121624	299578	533622	259543	445960	161761
Các khoản giảm trừ doanh thu###Deduction revenues	1777	753	5605	2683	864	1301	757	3038	955	850	880	352	2541	1041	1008	272	221	3597	758	1527	713	194	5835	2701	610	363	2160	6387	2995	1455	828	1110	5376	3261	926	657	532	18504	470	7426	1978	3093	11835	3219	3288	2939	2203	10792	3209	1982	4389	1208	13969	3214	4591	5440	2126	9942	4654	1950	621	1565	1378	372	651	219	1412	1363
Doanh thu thuần###Net Sales	202573	191010	824910	225370	189029	185226	225284	1187383	432365	288718	242284	223718	1056463	378802	259665	222977	195382	1035067	343303	250366	203825	244153	1082832	504586	279307	188448	171526	1223120	234266	414952	369515	207885	795050	202085	187178	259927	169452	630279	164993	129300	130018	212259	612828	242713	142305	111617	101294	583023	241893	136012	109989	94940	465489	243752	86239	84132	66495	380064	74533	106161	95861	124643	1120246	299206	532971	259324	444548	160398
