CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	Q4 2007	Q3 2007	 2006
Tài sản ngắn hạn###Current Assets	229100	228798	228804	694370	835704	871095	822741	873292	920042	852764	875677	848225	848225	883533	831748	820088	784702	784775	731618	691122	686783	659893	659893	637474	603921	562192	542375	543497	541185	539160	523969	503148	503147	483093	454499	445769	425429	425429	402442	397287	372620	354673	361927	367967	348554	360882	264283	264283	241801	226469	207717	206572	207117	137050	109797	102917	109916	109916	127360	143009	96196	96196	60205	65547
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	452	456	453	508	454	3140	768	768	2289	1016	10543	721	721	1768	2759	410	1703	1703	1637	743	4492	2271	2271	901	2827	926	1749	1753	678	3415	1437	1314	1313	3735	1215	858	1348	1348	1669	1622	3394	2896	2895	8614	5138	46104	3791	3791	5969	1840	5741	4532	4532	1506	1531	2120	2204	2204	2125	2560	983	983	390	1857
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	3000	3000	3000	3000	3000	3000	3000	39953	39953	39953	39953	22221	22221	22221	22221	22221	22221	19221	19221	19221	6221	6221	11721	11721	11721	11721	11721	6221	6221	6221	6575	9651	13982	11982	11982	12417	13344	26999	56083	34583	37501	41785	40118	42268	42268	41118	52533	53111	56844	56844	3791	2591	2591	4191	4191	8500	12000	27000	27000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	130576	130505	130583	212122	354121	386358	340113	312229	363633	324094	301337	318355	318355	354889	287398	303083	290983	291055	254689	235922	235403	203742	203742	201202	180286	138964	150628	125790	115014	130089	139483	127339	127339	126548	103834	121805	114593	114593	102126	99927	83876	73334	73334	69489	67903	62774	42263	42263	44314	41959	26518	22925	22925	30365	21236	14773	13526	13526	21649	46571	14419	14419	10357	21893
Hàng tồn kho###Inventory	97777	97607	97607	478662	478045	478457	478696	471827	469891	466515	480803	445876	445876	445920	487139	461427	444172	444172	431829	413246	406485	413751	413751	404095	390604	359132	353310	353310	334124	314648	298742	294394	294394	255075	239322	206231	199171	199171	198165	199038	190686	200145	200145	156842	176478	158418	145178	145178	81816	55459	43867	49382	49880	30024	25494	34760	31366	31366	32876	23879	25219	25219	18033	15603
Tài sản ngắn hạn khác###Other Current Assets	296	231	161	77	84	140	164	85468	81229	58139	43042	43319	43319	41003	32231	32947	25623	25623	21243	18990	21183	20908	20908	25055	23983	51449	24968	50923	79647	79287	78087	73879	73879	91160	100477	102892	98334	98334	88064	83356	67666	22215	50970	95521	57249	53468	30784	30784	68583	74678	78479	72889	72937	71365	58944	48673	58629	58629	62209	57998	28575	28575	31425	26193
Tài sản dài hạn###Non-current Assets	190666	196668	196668	476569	338049	346067	353049	314576	323037	313425	296625	305088	305088	274100	244414	244576	250266	250266	160242	165251	173049	180081	180081	183069	185939	190574	197098	196959	204441	210620	213726	215374	215375	222762	228182	229965	233723	233797	236287	234469	230312	234508	234508	215163	191560	192249	189289	189289	157644	120491	115544	112973	113676	106578	106114	102175	102557	104057	84131	52016	41087	41087	39590	29021
Các khoản phải thu dài hạn###Long term Account Receivable	514	514	514	514	514	1997	2020	2020	2136	2136	2136	2136	2136	2073	2020	2301	2301	2301	2330	1952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	182251	188254	188254	201041	201446	207224	214152	214152	220954	229013	235992	243019	243019	201328	207151	211915	218275	218275	126539	132016	137922	143865	143865	149778	155319	161313	166901	166471	172806	178935	184031	190424	190424	195916	198340	202265	206636	206710	212094	210746	208079	206874	206874	195719	172213	171456	162041	162041	136052	101236	98025	97066	97066	93403	93690	90186	90869	90869	70865	38833	27187	27187	26746	27304
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-240334	-234351	-234351	-221588	-219533	-214065	-211937	-211937	-205446	-197697	-191026	-184192	-184192	-178778	-173264	-165831	-160452	-160452	-155078	-149690	-144261	-138794	-138794	-133299	-127875	-122020	-116149	-116101	-110242	-104379	-104409	-98033	-98033	-91896	-85674	-80091	-73796	-73728	-67808	-63763	-58226	-52763	-52763	-47595	-42824	-38325	-34274	-34274	-31350	-28683	-26149	-23682	0	0	0	0	-15526	0	0	0	0	-11761	-10740	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	-2526	-2234	-1943	-1943	-1652	-1360	-1069	-777	-777	-486	-194	-5358	-4899	-4899	-4440	-3981	-3521	-3062	-3062	-2603	-2143	-1684	-1225	-1225	-765	-306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-353	-328	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1324	-1305	-1305	-1280	-1179	-1161	-1224	-1224	-1205	-1187	-1170	-1153	-1153	-1137	-1120	-1691	-1087	-1087	-1070	-1053	-1037	-1020	-1020	-1003	-987	-970	-953	-953	-937	-920	-903	-887	-887	-866	-845	-825	-804	-798	-778	-764	-743	-722	-722	-702	-681	-660	-639	-639	-620	-601	-598	-579	0	0	0	0	-504	0	0	0	0	-429	-404	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	29458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	0	0	0	141089	2163	2920	2951	90504	92048	74377	50597	51918	51918	41240	35243	30360	29691	29691	31373	31283	35128	36216	36216	33290	30620	29260	30196	30488	31634	31685	29695	24950	24951	26845	29842	27699	27087	27087	24193	23722	22233	27634	27634	19444	19347	20793	27248	27248	21592	19255	17520	15907	16610	13175	12425	11989	11688	13188	13266	13183	13900	13900	12844	1717
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	419766	425466	425471	1170939	1173753	1217162	1175789	1187868	1243079	1166189	1172302	1153313	1153313	1157633	1076161	1064663	1034969	1035041	891860	856373	859833	839974	839974	820543	789860	752765	739473	740457	745625	749779	737695	718522	718522	705854	682681	675734	659152	659226	638729	631756	602932	589181	596435	583130	540113	553131	453572	453572	399445	346960	323261	319544	320793	243628	215911	205091	212473	213973	211491	195025	137283	137283	99795	94569
