CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q1 2009	 2008	Q3 2008	Q2 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	862173	832091	835989	859083	863059	801215	830720	667286	818850	801388	805295	803488	809539	809527	774014	773131	781289	784862	784133	715836	716399	719942	710230	714281	724692	699375	740836	706050	722877	707822	708097	675636	659655	661130	656440	637204	607279	599152	596962	581359	584150	549147	449292	553449	545710	530186	475182	455892	469200	398085	296457	357970	158232	116382	103040	141603	136955	99698	93673
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	396	2869	2144	2144	15135	1612	22256	766	766	14312	2365	14145	5351	5351	3991	2286	21447	36439	36439	13076	4838	4226	816	816	6905	4946	1152	1432	1432	2048	4578	1559	6125	6125	735	1469	364	10955	10955	1187	1136	2267	8767	7394	7696	6278	2402	7492	4247	5345	1685	7879	3184	2619	2037	6564	773	7241	746
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80781	80781	91881	92220	92710	92710	93266	93266	94000	95185	108986	126416	126416	133916	143796	179422	158398	158398	158398	141478	123556	124156	129186	186475	126000	142380	380	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	817235	795388	816415	839509	824012	775482	778671	638594	790157	761259	772885	750571	761079	761079	730313	722651	719802	707650	706921	654357	641995	653311	653300	657351	654608	646278	612286	568934	574661	557296	545093	538076	519225	520515	527297	497225	455069	418185	419235	409525	397357	322649	235149	340680	333299	330892	311841	296646	308170	168430	130046	177007	124411	77071	68001	100148	98158	64740	71718
Hàng tồn kho###Inventory	44195	33525	17109	17109	23653	23868	24761	27618	27618	24987	27863	38493	42027	42027	38982	47676	39509	40161	40161	48013	69046	62058	55457	55457	62954	47866	45551	53029	53029	54753	64064	42428	38156	38156	31374	39829	37049	41855	38615	35160	40323	43115	44379	44379	43993	49101	32598	26303	26303	30865	32614	29500	29395	30901	26729	27046	33385	27160	20838
Tài sản ngắn hạn khác###Other Current Assets	347	309	322	322	258	253	5031	308	308	830	2182	279	1082	1071	728	518	531	613	613	390	519	347	656	656	225	284	1067	1874	1874	1505	1651	864	2883	3068	3034	3497	5811	1741	1741	1571	1537	1695	2598	2598	2323	2437	4785	1295	1295	6971	6112	1204	863	5791	6274	7845	4639	556	372
Tài sản dài hạn###Non-current Assets	186335	184342	186375	163267	157933	204920	153912	305595	154031	148438	140373	140674	141856	141902	138421	136611	201173	423135	423864	452129	450331	447056	448797	448519	452585	454603	452235	452497	452509	456296	458632	454526	458135	458290	484005	486790	513070	516521	515332	518543	521074	525250	593849	528775	531003	534320	536207	528712	517062	500397	558773	461944	320159	325474	323999	209345	206324	119560	43088
Các khoản phải thu dài hạn###Long term Account Receivable	55699	56076	58093	35000	35000	84552	35000	186564	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	60107	59436	60675	60675	62147	63555	64798	66526	66526	65920	68141	70794	72510	72340	73770	75780	78427	81687	81687	84950	85113	89758	91246	91246	90591	96129	93657	379555	93961	97000	98908	381060	384417	386994	389406	392221	395072	114269	398528	401714	404284	408637	129148	412276	414682	418308	420367	143192	424129	426848	429557	430011	308482	311360	309896	192792	189914	105415	42796
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-172600	-171016	-169854	-169854	-168312	-166758	-165164	-163498	-163498	-160207	-156967	-153742	-150542	-150542	-147366	-144185	-140992	-137785	-137785	-134574	-131351	-128213	-124975	-124975	-121679	-118722	-115569	-112400	-112400	-109232	-105945	-102656	-99339	-99339	-95981	-93072	-89690	-86252	-86252	-82431	-78651	-74989	-71141	-71141	-67207	-63261	-59444	-55551	-55551	-51603	-47670	-43894	-39986	0	-25005	-22271	0	-19607	-14528
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3373	-3311	-3249	-3249	-3188	-3126	-3064	-3003	-3003	-2941	-2879	-2816	-2749	-2749	-2696	-2643	-2590	-2538	-2538	-2485	-2432	-2379	-2327	-2327	-2274	-2221	-2168	-2124	-2124	-2079	-2034	-1991	-1951	-2360	-2262	-2195	-2104	-2040	-2040	-1972	-1904	-1837	-1769	-1769	-1701	-1633	-1565	-1497	-1497	-1430	-1365	-1310	-1270	0	-1112	-1061	0	-944	-787
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	9504	9504	9504	9504	9504	9504	9504	9504	9504	9504	9504	9504	9504	9504	9504	9504	9504	8775	9504	35746	35746	35746	35746	35746	36296	36296	71296	71296	71296	71296	71296	71296	71296	71296	94546	94540	117859	117855	116805	116785	116747	116569	181529	116499	116321	116012	115840	104583	92933	73549	129217	25715	11525	13870	13870	13870	13870	13870	0
Tài sản dài hạn khác###Other long term assets	1922	2093	2367	2352	1338	1570	1703	1925	1925	1992	1436	984	1124	1124	884	916	1032	1149	1149	1241	1040	742	996	718	1095	1367	1734	1646	1658	2452	2853	2171	2422	0	53	30	138	138	0	44	44	44	44	0	0	0	0	0	0	0	0	6218	152	244	232	2684	2540	275	292
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1048508	1016433	1022365	1022350	1020992	1006135	984632	972881	972881	949826	945668	944162	951395	951430	912435	909741	982462	1207997	1207997	1167964	1166730	1166998	1159027	1162800	1177277	1153977	1193072	1158547	1175386	1164118	1166729	1130162	1117790	1119420	1140444	1123994	1120349	1115673	1112295	1099902	1105224	1074397	1043141	1082224	1076712	1064506	1011389	984604	986262	898482	855231	819913	478392	441855	427039	350948	343279	219257	136761
Nợ phải trả ###Liabilities	288213	256887	265133	264991	268067	254987	234183	224608	210838	192057	191182	190570	200070	200067	167199	166424	239373	486488	486488	435098	437773	445810	445405	445061	462352	442284	489796	464482	466503	463903	479549	458645	459095	444699	456597	450138	454209	460483	456876	450425	471393	465483	452690	458261	461021	441096	395509	382380	385060	337188	317972	305386	235848	232494	227770	169138	167970	68244	42800
