CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1297	1317	1317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	87326	120948	118251	111642	115750	118422	113673	111746	112799	110981	113524	111360	73712	75496	85224	108936	33404	33161	44791	37259	36608	36350	36118	36118	43181	35701	30772	31388	31388	30715	30330	30028	29822	29818	29514	29408	29268	29206	29217	29065	29055	28784	32443	32700	32977	28610	28580	28683	38921	29141	29110	30397	30291	20231	20231	20231	20231	20231	19891	19891	19891	19891	19891	19891	14461	250	19891	250	250	3750
Tài sản dài hạn khác###Other long term assets	97	96	104	104	55	67	56	89	89	171	294	509	614	521	539	676	3040	4773	851	5593	5237	4892	4184	5573	565	378	267	312	312	358	336	392	439	439	546	521	373	379	379	382	1293	1831	2756	2585	3355	4343	4072	4376	4264	1760	884	1506	1432	1207	472	363	454	650	1347	436	339	432	609	609	145	23	602	176	168	27
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	296935	292454	296235	290929	288471	547622	581929	481535	481430	500687	495870	529035	593110	590015	587974	661611	689029	612399	540040	530869	535767	605780	618763	638736	314898	272892	292140	325472	325861	290611	301921	303634	332281	332286	315875	312477	339240	360175	359505	375724	383811	405853	433678	438438	415630	410549	420535	438620	412273	379811	397533	391650	435378	416623	433561	411078	452411	489792	491081	417306	424056	506069	569653	569653	512905	461795	565422	369358	364595	211141
Nợ phải trả ###Liabilities	47655	49395	57744	59894	45198	348324	402896	310761	315710	285110	280307	302180	359298	354991	341584	413112	452845	381265	305577	272379	277449	349670	411585	411705	113194	80908	97251	126762	126762	113339	119465	115178	136899	136793	132972	127745	151176	169006	168960	155687	163377	159793	184069	184757	166594	169642	176375	190353	179508	137269	154577	143074	186997	171933	188707	167483	205264	242578	246968	173332	179635	255069	313064	306522	360711	342467	302247	261735	246009	167082
Nợ ngắn hạn###Short term Liabilities	47546	49277	57629	59777	45078	348202	401125	308990	109865	79463	74728	100777	157962	153655	139760	211355	250573	228887	150410	266712	271843	345850	408848	408820	110364	78582	94756	124158	124158	107874	116859	112671	134267	134161	130046	124885	148840	167206	166658	153609	161335	157240	181395	183309	165582	168464	175209	189114	178259	136973	154264	142778	186701	171913	188687	167218	204971	241757	245229	171603	177834	253139	311062	304519	357138	338393	298823	257014	239321	159902
Nợ dài hạn###Long term Liabilities	109	118	115	117	120	121	1771	1771	205845	205646	205580	201402	201336	201336	201824	201757	202272	152377	155167	5667	5606	3820	2737	2885	2830	2326	2494	2604	2604	5465	2606	2507	2632	2632	2926	2860	2336	1800	2302	2078	2043	2554	2674	1448	1012	1178	1165	1239	1249	296	313	296	296	20	20	265	292	821	1739	1729	1801	1930	2003	2003	3573	4073	3424	4721	6688	7180
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4673	8	0	0	0	0	0	0	0	0	0	0	9	0	0
Vốn chủ sở hữu ###Owners equity	249279	243059	238490	231035	243273	199298	179034	170774	165719	215577	215562	226855	233812	235024	246391	248499	236184	231135	234463	258490	258317	256110	207177	227032	201704	191984	194889	198710	199099	177271	182455	188456	191284	191394	178747	180545	183848	191168	186221	215057	215435	239738	249609	247346	242565	234359	237439	248267	232765	235325	235624	241056	240816	244691	244854	243595	247148	247214	244113	243974	244420	251000	256588	263131	152193	119328	263175	107623	118586	44059
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1149	0	1278	1491	1822	1260	1608	2621	1860	2348	2876	0	6543	1288	1032	6587	0	469	1559
Vốn chủ sở hữu ###Owners equity	249279	243059	238490	231035	243273	199298	179034	170774	165719	215577	215562	226855	233812	235024	246391	248499	236184	231135	234463	258490	258317	256110	207177	227032	201704	191984	194889	198710	199099	177271	182455	188456	191284	191394	178747	180545	183848	191168	186221	215057	215435	239738	249609	247346	242565	234359	237439	248267	232765	235325	235624	239907	240816	243413	243362	241772	245887	245606	241492	242113	242073	248124	256588	256588	150906	118296	256588	107623	118117	42500
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3656	0	3656	3453	3453	4098	4098	4098	4156	4187	4217	4311	4324	4980	4999	6322	6335	6335	6471	6548	6721	6925	0	7216	7332	7519	7565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301921	303634	332281	332286	315875	312477	339240	360175	359505	375724	383811	405853	433678	438438	415630	0	420535	438620	431635	379811	397530	391650	435378	416623	433561	411078	452411	489792	491081	417306	424056	506069	569653	565422	512905	461795	387579	369358	369358	211141



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1338	327	10499	8154	532	1011	802	29268	10282	180	11436	657	155421	96927	28484	23000	7862	323104	115952	58760	53388	95003	162921	93471	37269	24448	7622	117686	58659	18251	31262	5012	101054	61172	11325	17986	10572	163151	50382	55115	52294	6105	247292	110654	90282	49082	24816	245230	112345	56501	42140	35828	409926	120091	88077	52562	46165	441570	152143	72976	93043	121640	547391	182149	157389	118328	89719	329958	144948	222738
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	55	583	1	95	477	9	5	5	0	0	0	0	0	0	-997	997	0	0	0	0	0	0	0	0	0	0	5	0	3	2	0	76	76	0	0	0	0	0	0	1	0	465	449	16	0	162	166	22	124	14	28	24	24	8
Doanh thu thuần###Net Sales	1338	327	10499	8154	532	1011	802	29268	10282	180	11436	657	155421	96927	28484	22993	7807	322521	115951	58664	52911	94995	162916	93466	37269	24448	7622	117686	58659	18251	32259	4015	101054	61172	11325	17986	10572	163151	50382	55115	52294	6105	247287	110654	90278	49080	24816	245154	112270	56501	42140	35828	409926	120091	88077	52561	46164	441106	151694	72960	93043	121479	547225	182126	157266	118314	89691	329934	144924	222731
Giá vốn hàng bán###Cost of goods sold	5368	334	13998	8680	1591	3317	448	26690	40035	189	11879	564	141884	88567	25391	21201	7519	304580	105040	54879	52026	92353	152745	80970	30975	23370	8043	105854	48253	16478	32337	3926	89256	53365	10177	16162	9552	173237	61160	51849	54712	5489	204407	87153	77855	42381	21294	199803	87107	47580	36758	29956	380259	110603	79689	44900	39498	400701	132168	66248	84435	116309	474028	156803	140334	102756	74123	284938	124596	188353
Lợi nhuận gộp###Gross profit	-4030	-8	-3499	-526	-1059	-2305	354	2578	-29752	-10	-443	93	13537	8360	3093	1792	288	17941	10912	3785	885	2641	10171	12496	6294	1078	-421	11833	10406	1773	-79	89	11798	7807	1148	1824	1019	-10086	-10778	3266	-2418	616	42880	23501	12423	6700	3522	45351	25163	8921	5382	5873	29668	9488	8389	7661	6667	40405	19526	6712	8608	5170	73198	25324	16931	15558	15568	44996	20328	34377
Doanh thu hoạt động tài chính###Financial activities Revenues	22364	5938	87774	3083	49313	22120	13939	22290	1917	12511	2752	5087	50897	7985	7647	12687	15711	24383	5134	3526	11583	7357	12618	7539	3740	1011	347	783	-6	551	213	24	818	239	217	99	262	2248	-594	1385	-264	1719	3729	0	2200	2859	2331	5315	2012	831	1295	866	5558	4661	923	1171	880	7248	2825	2217	1918	509	3298	1020	81	1489	272	10085	369	557
Chi phí tài chính###Financial Expenses	795	3310	19006	55	5281	8015	6371	25570	5726	6930	6649	6068	17265	8791	7475	-10365	7618	38085	25855	2492	409	4076	6173	4147	519	1177	291	1782	622	155	849	124	2449	465	415	796	772	6291	639	2225	1983	1286	8197	3664	2396	2473	1339	5422	1703	1019	2178	938	9752	1595	1532	1416	2008	11749	3491	2309	4616	1648	16638	5992	4061	2814	3532	9136	2292	4425
Chi phí bán hàng###Selling Expenses	29	46	357	48	117	119	73	778	155	0	514	110	5048	2051	1001	1064	910	4371	1834	729	1119	629	3089	1373	1005	286	419	1135	383	270	269	212	1409	226	276	499	408	777	224	144	272	137	1238	227	297	417	231	3336	1371	763	899	350	5814	2520	437	1291	757	5533	3212	662	711	1268	9535	2696	1886	2206	2738	10936	4068	5685
Chi phí quản lý doanh nghiệp###Managing Expenses	5437	692	2642	928	1242	-28	1076	19667	16860	924	3803	1391	33198	6762	2900	19775	3791	28592	9796	4396	4481	5202	23277	3058	3699	2301	2568	16805	4302	3574	5102	3827	10538	693	3134	3288	3274	40597	17410	3822	19861	985	39196	10143	10678	10414	8464	38076	13889	8426	7887	6808	28890	6791	5850	5960	4492	23574	12304	4526	4144	2288	21628	7948	4597	4984	3978	11907	4643	11212
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	12172	4580	74119	3007	44061	16683	8700	-10110	-48507	7223	-2911	-694	5024	531	-1776	7155	3924	-26751	-20607	346	6715	324	-9129	11583	5074	-1682	-3111	-7106	5803	-1290	-5749	-3844	-1780	6661	-2459	-2660	-3172	-58670	-29647	-1539	-24799	-73	-2550	9467	1252	-3745	-4180	3796	10212	-455	-4286	-1357	-9230	3243	1492	165	289	6796	3343	1431	1055	475	28695	9707	6468	7042	5592	23102	9695	13613
Thu nhập khác###Other incomes	4916	331	925	101	350	87	388	955	736	325	271	277	3018	1272	114	423	1651	61904	2723	27	764	60869	1305	136	508	0	0	14808	63795	-9181	0	0	16600	9918	666	5934	81	2259	79	1043	1108	29	13338	-7174	19125	404	983	703	294	224	168	18	4233	-36	1537	354	52	4347	138	2486	930	728	3632	1744	1529	163	57	1467	873	496
Chi phí khác###Other Expenses	5614	338	3016	28	439	1814	817	44018	1038	7533	1605	431	5113	3815	163	625	526	1957	2862	55	418	1146	2576	447	1236	651	709	6011	47770	-5287	252	3082	14303	7304	141	6782	75	2133	77	-89	2084	1	8461	-4779	12362	78	807	208	146	11	48	3	3753	1820	1433	249	60	6029	347	3587	874	726	3577	1837	1545	176	6	1322	747	417
Lợi nhuận khác###Other profits	-699	-8	-2090	73	-89	-1727	-429	-43063	-302	-7208	-1335	-154	-2095	-2543	-48	-202	1125	59947	-140	-28	346	59723	-1271	-311	-728	-651	-709	8797	16025	-3894	-252	-3082	2297	2614	525	-848	6	126	2	1133	-976	28	4877	-2395	6763	326	176	495	148	212	121	14	480	-1856	104	106	-8	-1682	-209	-1101	56	2	55	-93	-17	-13	51	145	126	79
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	11473	4572	72029	3081	43972	14957	8271	-53173	-48809	15	-4246	-848	2930	-2012	-1825	6953	5049	33195	-20746	318	7062	60047	-10399	11272	4346	-2333	-3821	3328	21828	-5184	-6001	-6926	1203	9579	-1829	-3332	-3104	-58544	-29448	-403	-25507	-3667	2327	5939	1217	-3380	-3971	4291	10324	-213	-3996	-1196	311	1386	1596	271	281	5115	3134	330	1111	477	28749	9614	6451	7030	5643	23247	9821	13693
Chi phí thuế TNDN###Corporate Income Tax Expenses	5253	3	9614	10017	-3	-6	11	4	1048	0	3297	0	371	374	0	0	0	15730	244	145	4185	11114	481	-80	7	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	1573	437	0	0	3853	4064	180	0	-263	259	173	200	34	35	0	0	0	0	0	4357	4323	0	-790	790	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	5262	0	9626	10020	0	0	11	14	14	0	0	0	465	374	0	0	0	15730	244	145	4185	11114	889	-80	7	572	0	0	0	0	0	0	0	0	0	0	0	41	0	0	41	0	492	1573	437	0	0	3853	4064	180	0	-263	259	173	200	34	35	0	0	0	0	0	4357	4323	0	-790	790	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-9	3	-12	-3	-3	-6	0	-9	1035	0	3297	0	-93	0	0	0	0	0	0	0	0	0	-408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-41	0	0	-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	6152	4484	62444	-6868	43893	14971	8270	-54098	-49708	3	-7542	-924	108	-1318	-1632	4346	3903	12812	-20991	172	2877	48933	-16783	11352	4339	-2905	-3821	2885	21828	-5184	-6001	-6926	1204	9579	-1829	-3332	-3104	-58544	-29448	-403	-25507	-3667	1836	4366	8132	-3380	-3971	437	6260	-393	-3996	-933	51	1213	1397	237	246	5115	3134	330	1111	477	24392	5291	6451	7820	4853	23247	9821	13693
---Cac Chi So Tai Chinh---																																																																						
EBITDA	0.49	0.82	0.53	0.53	0.08	0.10	0.21	0.43	0.43	0.40	0.44	0.72	0.23	0.23	0.91	0.67	0.75	0.83	0.83	0.36	0.82	1.19	1.06	1.06	1.18	0.65	0.39	0.56	0.56	0.88	0.99	0.98	0.57	0.57	0.99	1.45	2.20	2.44	2.44	2.33	1.79	0.82	0.28	0.28	0.31	0.81	2.04	2.11	2.11	1.83	1.42	0.86	0.79	0.79	0.60	0.53	0.73	0.81	0.81	1.05	1.38	1.36	1.25	1.25	1.16	1.17	0.83	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	9.20	4.60	6.19	6.19	6.09	7.17	5.50	6.18	6.18	6.20	6.40	6.09	6.00	6.00	6.80	5.67	5.40	6.74	6.74	6.40	8.80	8.60	9.50	9.50	9.30	7.56	6.39	4.94	4.94	3.72	3.11	3.78	3.22	3.22	2.94	3.22	2.89	4.33	4.33	2.72	5.28	5.83	2.11	2.11	8.61	6.61	7.44	8.00	8.00	7.00	9.78	5.89	5.89	5.89	7.83	7.44	4.17	4.39	4.39	6.53	7.28	16.05	31.36	31.36	27.47	27.41	38.76	20.04	20.04	0.00
