CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	117615	117093	112985	109811	126289	142929	128576	137277	137277	143463	147611	154458	150724	150724	154862	158251	168614	151481	151481	175066	174931	177315	173239	173239	148189	157143	155223	219428	218944	157574	146575	125434	115627	115627	130432	120423	158966	120448	120448	135361	148425	173966	175757	175757	192873	180361	161657	133769	133769	156405	139525	131641	157700	157700	127093	129305	107669	162011	162011	173454	179775	151225	101278	62114
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	29129	25453	18013	18013	35762	26876	20568	27652	27652	24035	54698	26940	25001	25001	22096	15487	14800	13880	13880	14073	53293	61430	42375	42375	9045	15477	13485	13667	13667	21120	7646	5682	4537	4537	10511	6517	5085	8446	8446	2025	10092	21394	24001	24001	26819	16176	18463	20082	20082	71995	30068	26069	77549	77549	33186	17011	18297	61797	61797	89523	82169	66841	38857	16571
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	23000	10555	10555	10555	10272	20430	30601	30601	30254	0	0	15000	15000	15000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	686	686	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	50832	56189	47435	47435	44862	60080	56668	48868	48868	55147	37879	50840	52004	52004	64663	72483	73843	60138	60138	78386	80948	68313	65686	65686	68043	72502	64901	119916	112824	54632	65846	55472	52586	52586	55228	48484	48942	52333	52333	63593	62974	57752	61274	61274	72516	70943	42519	39988	39988	36659	41334	27975	25293	25293	30008	38058	39054	38372	38372	26233	30315	30225	26991	15110
Hàng tồn kho###Inventory	27564	22406	34706	31532	32768	39386	35981	42122	42122	45634	36603	38433	36872	36872	36909	41140	40698	32511	32511	35309	27767	32679	33223	33223	33940	34970	39861	53924	53924	49507	45743	40753	37450	37450	39404	44123	54038	46971	46971	51768	48584	69422	65170	65170	68743	51913	52459	34531	34531	31276	46521	49593	41033	41033	35255	37383	34235	44428	44428	47057	54414	35737	29641	23650
Tài sản ngắn hạn khác###Other Current Assets	10090	13044	12831	12831	12898	16587	15360	18635	18635	18647	18431	15245	26292	26292	20640	18870	18843	14351	14351	17044	12923	14893	16955	16955	22161	34194	36976	31921	38528	32315	27339	23526	21053	21053	25288	21298	50902	12697	12697	17974	26775	25398	25311	25311	24795	41329	48216	39169	39169	16475	21603	28004	13825	13825	28645	36853	16083	17415	17415	9956	12190	18422	5789	6782
Tài sản dài hạn###Non-current Assets	452656	477302	499319	499319	515884	537682	550489	573036	573036	600122	666193	692320	722566	722566	727852	745492	767805	796755	796755	811289	835028	858155	882698	882698	906410	931128	955735	981721	980584	1015025	1040419	1064486	1089199	1089199	1112468	1137232	1160958	1190559	1190559	1190899	1198680	1189463	1216257	1216257	1255083	1273757	1335400	1045644	1045644	1087241	1108213	1136622	915470	915470	686723	682532	699464	533980	533980	566539	574738	554070	319178	275647
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	103	103	103	103	103	103	143	571	1874
Tài sản cố định ###Fixed assets	429937	451285	472255	472255	493223	514637	536691	558537	558537	580969	635480	658696	682569	682569	706955	731340	756942	781362	781362	805636	830007	853367	877764	877764	902226	926738	951186	975741	975741	1000395	1022196	1049023	1073736	1073736	1098535	1123298	1146032	1172691	1172701	1181144	1188925	1179708	1206479	1206503	1226681	1257932	1288024	1031970	1032095	1059255	1093143	1121317	900022	900022	655086	642450	659288	493658	493658	510230	529128	511523	302330	259205
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-970564	-1023734	-1002404	-1002404	-981098	-959669	-938098	-976817	-976817	-953712	-1028958	-1005144	-981271	-981271	-956886	-932501	-910866	-886447	-886447	-864024	-839586	-815188	-790792	-790792	-766329	-762440	-737942	-713388	-713388	-751785	-727250	-707048	-682269	-682269	-657556	-632756	-610483	-583755	-583755	-599997	-590668	-600457	-573127	-573127	-553325	-574566	-543674	-533684	-533684	-506396	-539018	-511282	-482515	-482515	-516418	-504433	-483725	-463931	-463931	-445310	-422778	-382984	-334044	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-239	-233	-223	-212	-200	-200	-187	-175	-202	-188	-188	-174	-159	-145	-131	-131	-122	-124	-114	-113	-113	-106	-97	-88	-79	-79	-70	-61	-52	-42	-42	-33	-24	-6	-1	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	397	405	414	414	422	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	35	178	178	323	469	614	759	759	905	1050	1341	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	4284	4308	4308	4308	4293	4293	4307	4307	4307	4304	4304	4417	4417	4417	5357	5357	5287	4287	4287	4351	4351	4405	4405	4405	3509	3509	3509	4646	3509	4731	15463	15463	15463	15463	13934	13934	13934	13934	13934	9754	9754	9754	9754	9754	13008	12764	13657	13548	13548	15161	15065	15270	15270	15270	31210	39510	39459	39459	39459	41884	41884	34134	11116	7940
Tài sản dài hạn khác###Other long term assets	17218	20540	21579	21579	17077	17558	8686	9603	9603	14260	26285	29114	35488	35488	15448	8703	5479	11015	11015	1209	579	292	437	437	583	790	948	1242	1242	9806	2659	0	0	0	0	0	992	3924	3924	0	0	0	0	0	15395	3061	33719	0	0	12825	0	0	0	0	0	0	0	0	0	13417	2572	6929	5162	6627
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	570272	594395	612304	609130	642174	680611	679065	710314	710314	743585	813805	846777	873290	873290	882714	903743	936419	948236	948236	986355	1009959	1035470	1055937	1055937	1054599	1088271	1110958	1201149	1199528	1172599	1186994	1189920	1204826	1204826	1242900	1257654	1319924	1311008	1311008	1326259	1347105	1363429	1392014	1392014	1447956	1454118	1497057	1179413	1179413	1243646	1247738	1268263	1073170	1073170	813816	811837	807133	695991	695991	739992	754512	705295	420456	337762
