CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	32160	38680	39342	39760	37735	37102	37464	36653	37182	43924	42234	46852	58227	56575	27616	26334	23815	27807	26568	24637	27457	29007	35987	36069	38033	34613	33061	33375	33770	32660	29122	30023	31182	31182	37496	48799	40195	38841	41256	44090	42705	48228	50956	50826	39053	40895	47033	46635	42235	42805	45147	40018	46808	45880	44721	42609	45725	32345	32345	32969	44527	40155	40547	17769	17088
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	19790	2259	20331	1297	363	19641	124	20665	223	1840	16226	1156	35669	35669	14	1708	929	9283	483	55	8568	148	1164	1164	198	5437	348	8932	406	742	6862	561	5889	5889	4518	3440	1383	6490	6490	4551	5048	1429	2887	2887	536	4295	1857	2999	1999	4374	6375	4366	13823	13823	9300	3455	11972	1490	1490	2450	5574	1233	5343	481	1336
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	9223	33893	14018	35972	33290	12385	33616	11594	32036	31569	11383	34039	0	0	600	0	5600	0	8800	9930	0	3700	0	0	6200	2000	11866	2000	10526	8000	0	6020	0	0	0	0	0	0	0	0	0	3800	3800	3800	2500	500	3500	3500	4500	3500	5800	2800	2800	2800	2800	2800	2800	2800	0	0	9494	9494	8031	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1750	1738	4647	2146	3512	4884	3340	4163	4692	9509	11604	9895	19043	17390	16606	15302	10626	11746	10508	10309	15851	19776	30652	25458	25016	26864	17539	21432	19457	19028	16252	17687	17226	17226	23237	33294	28238	21603	22279	24780	21712	24191	29620	31282	22784	26405	30405	34550	26034	25379	20996	17481	18350	18350	13195	16621	15095	14740	17540	12425	13880	17599	12828	7118	5110
Hàng tồn kho###Inventory	1398	791	345	345	569	193	384	231	231	1006	3021	1762	3515	3515	9243	8690	6260	6360	6360	4343	3037	871	4172	4181	37	312	40	1001	966	674	1552	1647	4345	4345	5166	6940	5568	5932	8347	9775	11408	15105	11947	10240	10644	6747	7972	3032	7148	5509	8034	12093	9522	9522	14437	15672	11853	10874	10874	14429	13206	9968	12718	8675	8875
Tài sản ngắn hạn khác###Other Current Assets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1153	633	400	417	417	0	0	4512	0	5266	6581	0	3269	10	2415	4215	4456	4108	3723	3723	4575	5125	5007	4816	4140	4984	4536	3704	2702	2618	2589	2947	3299	2555	2555	4044	3941	3279	2313	1385	4989	4061	4005	2440	2441	3665	2373	1861	1628	1495	1767
Tài sản dài hạn###Non-current Assets	3826	3387	4095	3495	3584	3589	3734	3856	3851	4053	4150	4345	4459	4459	4660	4588	4375	4485	4485	4723	4817	4833	4959	4961	4727	3459	3539	3285	3285	3514	3558	4496	5706	5706	7861	7748	8806	9074	9074	9619	9751	9274	9304	9296	10296	10436	11208	11462	11455	12750	12524	14059	14393	14393	13037	13739	12574	12760	12760	18261	10451	8537	9307	12349	11305
Các khoản phải thu dài hạn###Long term Account Receivable	600	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	3110	3222	3330	3330	3346	3468	3590	3712	3712	3834	3956	4078	4200	4200	4336	4459	4131	4248	4248	4365	4482	4396	4536	4529	4523	3274	3340	3095	3095	3198	3292	4061	4210	4210	4475	4512	5030	5220	5220	5447	5721	6153	6292	6292	6520	6730	6514	6794	6788	7065	6666	6396	6645	6645	6924	7606	7852	8120	8120	8561	9206	7415	8183	10822	11019
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4748	-4637	-4530	-4530	-4415	-4294	-4174	-4053	-4053	-3933	-3812	-3692	-3571	-3571	-6409	-6287	-6172	-6056	-6056	-5940	-5824	-6991	-6853	-6862	-6728	-6615	-6704	-6605	-6605	-10684	-11074	-12480	-13469	-13469	-14211	-14036	-18586	-18396	-18396	-18148	-17874	-17820	-17533	-17533	-17987	-17699	-17459	-17161	-17167	-17345	-17627	-17363	-17709	0	0	0	0	-18090	0	-17649	0	0	-15955	-14596	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-30	-29	-27	-27	-26	-24	-23	-21	-21	-20	-18	-17	-15	-15	-14	-12	-11	-9	-9	-8	-6	-5	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1139	1139	1120	1120	1674	1674	1674	1863	1863	1184	1184	1215	1951	1951	2843	2843	2732	3530	3530	5175	5017	5017	5721	5393	4240	4240	4240	9280	783	783	783	1240	0
Tài sản dài hạn khác###Other long term assets	116	165	165	165	238	121	143	143	138	218	194	267	259	259	324	129	244	237	237	358	335	436	423	432	204	185	199	189	189	317	266	435	357	357	2266	2116	2102	2179	2179	2308	2167	1937	1828	1789	1825	1755	1852	1825	1934	2155	2328	2487	2731	2731	392	740	482	400	400	420	462	339	340	287	286
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	35986	42068	43437	43255	41319	40691	41198	40508	41033	47977	46384	51197	62687	61034	32277	30922	28189	32292	31054	29361	32274	33840	40946	41030	42759	38072	36600	36660	37055	36174	32680	34519	36887	36887	45356	56547	49001	47914	50330	53709	52456	57502	60260	60122	49349	51331	58241	58097	53690	55556	57670	54077	61201	60273	57758	56347	58299	45105	45105	51230	54978	48692	49854	30118	28394
Nợ phải trả ###Liabilities	1638	2099	3791	3609	4924	4425	4833	4191	4720	3503	2328	34	7293	5433	7596	7287	4584	6886	5647	571	2583	4122	11263	10414	14648	11031	10140	10720	11197	14093	10909	12830	15546	15546	22541	33889	28245	27317	27317	23966	22431	26333	29262	29114	21356	21988	26834	26827	22300	24020	26242	23612	31852	30514	31596	32930	36115	23988	23982	17959	21723	15676	18271	22907	22184
