CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	12937	12937	12937	12937	13075	13075	13685	13685	13685	15123	15092	14507	14507	12389	12389	12389	16378	35378	35378	35378	35378	35378	35378	35378	35378	35378	35378	35378	35378	35378	35378	35378	35378	35378	35378	35378	51378	50527	38527
Tài sản dài hạn khác###Other long term assets	12014	12284	12554	12554	12294	12581	12869	13146	12768	12329	12531	12356	12516	12516	12782	12998	12808	12963	12992	13147	13232	13413	13626	13624	13849	14080	14350	14633	14543	14183	14438	14688	14640	14640	14717	14483	15127	11466	6701
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	473270	605240	592775	592775	737449	594881	713921	665166	664450	672916	821426	830525	671260	669105	618264	518990	530814	612987	614215	587592	691817	675307	607239	608979	690095	633040	572167	614316	614620	658885	613078	586837	560388	560388	623187	534880	541371	489615	394363
Nợ phải trả ###Liabilities	304378	437786	414071	414071	524653	348364	467000	419056	417570	405764	558330	559951	421470	422458	377566	283390	300155	392356	393597	376982	510073	507888	441666	443527	513329	450985	390193	414696	415030	453835	411834	390462	361377	361377	397176	308809	385071	322826	322826
Nợ ngắn hạn###Short term Liabilities	294550	427346	403020	401837	508840	328973	450940	406205	404718	387176	545860	543986	404332	405319	359250	263901	279491	372385	373655	355871	487775	485590	417027	418888	487750	425615	363448	386615	386948	424165	380791	357931	326145	326145	360513	268679	367749	318853	318853
Nợ dài hạn###Long term Liabilities	9828	10439	11050	12234	15813	19391	16060	12852	12852	18589	12470	15966	17139	17139	18315	19488	20664	19971	19941	21111	22298	22298	24639	24639	25579	25370	26745	28081	28081	29669	31042	32531	35233	35233	36663	40129	17322	3973	3973
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	168893	167454	178704	178704	212795	246516	246921	246109	246880	267152	263096	270574	249790	246647	240698	235601	230659	220631	220619	210610	181744	167419	165574	165452	176766	182055	181974	199619	199590	205050	201244	196375	199011	199011	226011	226072	156300	71537	71537
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	168893	167454	178704	178704	212795	246516	246921	246109	246880	267152	263096	270574	249790	246647	240698	235601	230659	220631	220619	210610	181744	167419	165574	165452	176766	182055	181974	199619	199590	205050	201244	196375	199011	199011	226011	226072	156300	71537	71537
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	319820	285570	991007	276785	221119	370636	122467	1466712	250098	432666	415848	368099	1356212	328090	358199	302066	367856	1156952	289811	323552	287300	256290	913222	265475	139554	285959	222233	1158137	244761	334293	358622	220461	1027845	288927	169506	935676	1100828	820798	1444416
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	112	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17174	17174	0	0	0	28165	0	27141	0	0	0	0
Doanh thu thuần###Net Sales	319820	285570	990895	276785	221119	370524	122467	1466712	250098	432666	415848	368099	1356212	328090	358199	302066	367856	1156952	289811	323552	287300	256290	913222	265475	139554	285959	222233	1140963	227587	334293	358622	220461	999680	288927	142365	935676	1100828	820798	1444416
Giá vốn hàng bán###Cost of goods sold	311540	286898	985419	298281	219748	355050	112340	1375273	264931	404925	381241	328509	1243203	304986	335636	264286	338463	1056545	268671	282485	261016	244383	903588	262914	135719	276113	229898	1092063	222186	317451	340770	211652	972890	298642	132835	877863	1029721	755267	1393260
Lợi nhuận gộp###Gross profit	8280	-1328	5475	-21496	1370	15474	10127	91439	-14832	27742	34607	39591	113009	23104	22563	37780	29393	100407	21140	41067	26284	11907	9633	2561	3835	9846	-7665	48900	5401	16843	17852	8809	26790	-9714	9530	57813	71107	65530	51156
Doanh thu hoạt động tài chính###Financial activities Revenues	3600	1417	4905	630	202	2335	1594	4814	506	237	3803	113	5491	398	306	3472	1278	7467	1554	3798	1384	730	3286	814	882	821	769	8351	945	3107	2275	2019	2805	834	616	8948	5671	2479	564
Chi phí tài chính###Financial Expenses	4992	5253	22344	5034	5149	6537	5659	19838	5453	5446	5100	3884	35676	4632	3548	26540	3170	21735	4063	6010	6543	5037	21775	7530	5203	4813	4208	23726	5416	6541	5649	6120	17740	9781	3032	24233	34282	28127	19178
Chi phí bán hàng###Selling Expenses	540	215	14981	3892	4501	5085	1503	21535	3994	9649	4963	2930	22149	3242	6011	2977	9907	9207	2641	3745	1417	1404	6072	1855	661	827	2782	14780	4095	3897	3784	3005	19905	4508	2518	23048	22427	6868	11008
Chi phí quản lý doanh nghiệp###Managing Expenses	5296	5871	21839	5441	5648	5570	5180	31290	7794	7761	8034	7466	26157	8228	6968	6403	5767	21869	5983	6237	5382	4350	20334	5954	5202	4724	3738	20768	5058	5629	5836	4274	21363	4723	4894	20839	21868	22787	16204
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1052	-11250	-48783	-35233	-13725	617	-621	23590	-31567	5123	20312	25424	34517	7400	6342	5333	11827	55062	10006	28872	14326	1846	-35261	-11964	-6349	304	-17624	-2023	-8224	3882	4858	-2569	-29413	-27893	-297	-1360	-1799	10229	5330
Thu nhập khác###Other incomes	386	0	2785	1142	0	0	1643	5721	9533	484	1225	581	183	142	29	11	0	332	327	0	5	0	1810	666	1218	148	0	3167	2926	71	170	0	2802	1011	396	5615	3082	9681	1295
Chi phí khác###Other Expenses	0	0	0	0	0	0	0	1824	3636	177	94	0	108	106	0	2	0	336	324	6	5	1	595	16	187	370	21	536	163	148	159	67	358	118	86	2429	1227	1365	0
Lợi nhuận khác###Other profits	386	0	2785	1142	0	0	1643	3897	5897	307	1131	581	75	36	29	9	0	-4	3	-6	0	-1	1215	650	1031	-223	-21	2632	2764	-77	11	-67	2443	893	310	3186	1855	8317	1295
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1438	-11250	-45998	-34091	-13725	617	1022	27487	-25669	5430	21443	26005	34592	7437	6372	5342	11828	55058	10009	28867	14325	1845	-34046	-11314	-5318	81	-17645	608	-5460	3806	4869	-2636	-26970	-27000	12	1827	56	18545	6625
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	134	211	5907	-5122	1098	3661	5221	5433	1487	1274	400	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3770	1245
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	134	211	5907	-5122	1098	3661	5221	5433	1487	1274	400	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3770	1245
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1438	-11250	-45998	-34091	-13725	483	811	21579	-20547	4331	17782	0	29159	0	0	0	0	55058	10009	28867	14325	1845	-34046	-11314	-5318	81	-17645	608	-5460	3806	4869	-2636	-26970	-27000	12	1827	56	14775	5380
---Cac Chi So Tai Chinh---																																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	9.40	11.10	11.10	11.10	11.10	11.10	11.05	11.05	11.05	11.05	11.05	10.06	10.06	10.06	10.06	7.55	6.71	9.22	9.22	5.79	5.79	15.43	19.03	19.03	13.42	15.85	14.76	9.81	9.81	6.71	8.72	3.69	3.77	3.77	3.77	3.10	6.46	7.77	0.00
