CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	 2013	Q4 2013
Tài sản ngắn hạn###Current Assets	8809609	6184565	7581596	7581596	7205033	5583389	4700419	4333718	4333718	3925685	4038680	3244450	3456003	3456003	2813590	2703641	2593229	2496131	2496131	2192829	2270876	2362219	2490178	2490178	2992537	2670377	2040557	2040557	861206	861206
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	647072	250697	1723205	1723205	2255844	368887	121183	467220	467220	500167	1019776	461454	780414	780414	450576	537022	324225	603345	603345	483814	309807	168476	372014	372014	388570	89002	136443	136443	150739	150739
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	5900	5900	0	0	0	0	0	0	0	0	32500	32500	0	0	0	0	0	0	0	0	2100	2100	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	2034573	1531752	1735575	1735575	1032240	1467082	1067901	1612853	1612853	1001061	829360	797348	860461	860461	833291	695434	763415	583834	583834	549535	821137	842140	747081	747081	1163876	1124883	982814	969536	221132	221132
Hàng tồn kho###Inventory	4769781	3320159	3139025	3139025	2960215	2865706	2696068	1646014	1646014	1805674	1643357	1522740	1409063	1409063	1192196	1153826	1263810	1112385	1112385	967822	962350	968290	1084398	1084398	1164709	1207241	653672	653672	432029	432029
Tài sản ngắn hạn khác###Other Current Assets	1358183	1081957	977892	977892	956734	881715	815267	607631	607631	618784	546187	462909	373565	373565	337526	317360	241779	196567	196567	191658	177582	383313	284584	284584	275382	249250	267628	280907	57306	57306
Tài sản dài hạn###Non-current Assets	27421858	22006518	22193124	22193124	22189187	23435435	23516401	23615407	23615407	23635796	23618152	23654154	23688207	23688207	23834677	23931928	23864424	24039367	24039367	24170470	24280479	24260333	24117529	24117529	23746970	23347583	23065737	23065737	20336763	20336763
Các khoản phải thu dài hạn###Long term Account Receivable	1300093	1300093	1303869	1303869	1303869	1320939	1335392	1335308	1335308	1335323	1335323	1338333	1346794	1346794	1336580	1345949	1383983	1379458	1379458	1379458	1379542	1405645	1401308	1401308	1403414	1403444	1421347	1383086	0	0
Tài sản cố định ###Fixed assets	18216061	16294900	16568909	16568909	16351887	17789071	17973943	18267297	18267297	18323228	18517065	18603686	18898064	18898064	17849473	18129438	18386556	18629319	18629319	18496379	16462577	16691232	16902122	16902122	16043702	16238602	17347633	17347633	20255733	97139
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-9669189	-6095522	-5802767	-5802767	-5522425	-5228608	-4924175	-4643095	-4643095	-4334491	-4047677	-3741710	-3458741	-3458741	-3154561	-2871517	-2611659	-2336690	-2336690	-2061704	-1793546	-1565409	-1361355	-1361355	-1173388	-981352	-639106	-639106	-24499	-24499
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-67300	-67300	-67300	-67300	-67300	-67300	-67300	-67300	-67300	-67300	-67300	-66178	-62813	-62813	-59448	-56083	-52718	-49353	-49353	-45988	-42623	-39258	-35893	-35893	-32528	-29163	-22433	-22433	-8973	-8973
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-579489	-242340	-231544	-231544	-220749	-210005	-199467	-188925	-188925	-178329	-167733	-157079	-146425	-146425	-135771	-125251	-114731	-104211	-104211	-93930	-83649	-73381	-63043	-63043	-52643	-42297	-21303	-21303	-6231	-6231
Lợi thế thương mại	2862174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	20759	7400	0	0	5900	5900	5900	5900	5900	5900	5900	5900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	6454074	2613897	2625859	2625859	2627699	2606421	2587233	2577724	2577724	2528301	2511989	2466767	2455547	2455547	2413886	2397787	2340081	2348972	2348972	2269679	2279720	1829872	1819181	1819181	1684839	1701113	1111163	1149424	81030	81030
