CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	3002	2973	3641	3662	3664	3579	3386	3443	3955	4089	4192	1517	1570	593	593	593	593	593	593	593	593	593	593	593	593	593	593	593	593	593	593	1453	1453	1453	1453	1453	1103	103	103	103	103	130	130	130	279	249	249	249	249	246
Tài sản dài hạn khác###Other long term assets	9983	10038	10609	10609	10821	11062	11359	11926	11926	12315	12440	10554	11139	11139	11119	9952	8566	8699	8699	9072	9068	9020	9445	9815	10052	10558	11282	10437	11632	12688	13494	13469	13687	5541	5118	5664	15616	17098	17098	16819	15351	15058	15915	15915	16275	14743	13504	13824	13824	14340	2880	2702	1975	1975	3728	3437	3019	3126	4128	2267	2836	3273	3217	3217	12554	9735	3158	3317	3317	4929
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	221764	138125	159312	159337	191441	208582	145376	155302	155410	187685	186556	167477	148385	148450	180960	192131	137162	144203	144250	161675	187615	138785	142007	143016	175884	163790	136832	143574	142101	146775	151025	140955	142661	144990	143295	140803	157305	140126	140014	138467	128629	121543	117708	117322	122575	127391	115137	118036	118285	117223	118610	96571	117140	117140	115225	110679	98415	122760	121478	148387	127591	103877	95330	95330	88689	87521	74646	91936	89046	69600
Nợ phải trả ###Liabilities	108369	27564	41060	41090	71236	95226	37364	41265	41395	72358	77510	63601	39230	46660	68007	86481	36995	37999	38405	52841	84424	39973	37362	38047	67906	62644	40180	47341	46890	46329	58649	51299	54747	57716	45341	49116	68631	48621	48509	44241	40172	36736	26890	33773	33666	43334	33399	36953	37049	30588	38588	17764	38820	38030	33626	33304	21306	44636	43996	66701	51395	69088	61237	59960	51938	54104	42291	60084	52688	37857
Nợ ngắn hạn###Short term Liabilities	108347	27542	41038	41068	71214	95226	37364	41265	41395	72358	77510	63601	39230	46660	68007	86481	36995	37999	38405	52841	83885	39351	36657	37342	67118	62359	40180	46663	46212	45307	57367	50940	54060	57030	44133	48099	68241	47769	47657	42733	39903	36193	25955	32838	32368	43200	33184	36499	36595	30081	38560	17734	38815	38025	33626	32985	20927	44196	43556	60629	44861	61592	53039	51761	43158	47887	38850	58684	6386	35737
Nợ dài hạn###Long term Liabilities	22	22	22	22	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	622	705	705	788	286	0	678	678	1021	1282	358	686	686	1208	1017	389	852	852	1508	269	543	934	934	1298	134	216	454	454	507	27	30	5	5	0	319	380	440	440	6072	6534	7496	8198	8198	8781	6217	3441	1400	46302	2120
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	113394	110561	118252	118247	120205	113356	108013	114037	114014	115327	109046	103875	109155	101790	112954	105650	100166	106204	105845	108834	103191	98811	104645	104969	107978	101145	96652	96234	95211	100447	92377	89656	85110	84469	95146	89049	85508	91505	88521	91612	85907	83162	90818	82079	87429	82581	80215	81083	81236	86601	80022	78807	78320	79109	81599	77375	77108	78124	77482	81687	76197	34789	34093	35370	36751	33417	32354	31852	36358	31743
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1185	379	415	557	1013	1578	497	642	695	0	1278	336	392	491	0	-246	1207
Vốn chủ sở hữu ###Owners equity	113394	110561	118252	118247	120205	113356	108013	114037	114014	115327	109046	103875	109155	101790	112954	105650	100166	106204	105845	108834	103191	98811	104645	104969	107978	101145	96652	96234	95211	100447	92377	89656	85110	84469	95146	89049	85508	91505	88521	91612	85907	83162	90818	82079	87429	82581	80215	81083	81236	86601	80022	78807	78320	77924	81219	76960	76551	77111	75904	81190	75555	34094	34093	34093	36415	33025	31864	31852	36604	30535
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2613	0	2800	2190	2086	2632	2804	2804	2807	2638	3167	2955	2984	2614	2549	1644	1570	1470	1480	1476	1522	1470	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151025	140955	142661	144990	143295	140803	157305	140126	140014	138467	128629	121543	117708	117322	122575	127391	115137	118036	118285	117223	118610	96571	117140	117140	115225	110679	98415	122760	121478	148387	127591	103877	95330	95330	88689	87521	74646	91936	92405	69600



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	100599	27315	412610	78013	135628	160377	38591	388723	76965	141659	131816	38283	376086	64568	139360	138031	34127	340159	58613	125940	124405	31150	296347	64489	101488	97498	32587	270120	54549	99827	87075	28669	278512	60310	99615	86760	31830	263668	80945	87346	70986	24391	221048	56542	78229	63549	22733	196212	49641	68051	60590	17929	200629	66880	54836	57632	21281	220100	71937	76200	54801	17163	177434	50812	61661	40797	24164	65365	65365	157963
Các khoản giảm trừ doanh thu###Deduction revenues	18	0	2777	1087	1369	266	54	3817	1183	1994	605	34	3611	1969	1085	440	117	4446	1206	2854	301	89	2502	637	1197	458	208	2791	901	1475	235	180	2839	997	1277	388	742	2563	806	1475	124	158	2448	1267	672	161	348	1298	445	642	106	105	1700	477	748	194	281	1791	632	931	138	90	338	97	156	22	64	258	258	450
Doanh thu thuần###Net Sales	100581	27315	409833	76926	134259	160111	38537	384907	75782	139665	131211	38249	372475	62599	138275	137591	34011	335713	57407	123087	124104	31060	293845	63852	100291	97040	32379	267329	53648	98352	86840	28489	275673	59313	98338	86372	31088	261105	80139	85870	70862	24234	218600	55275	77556	63388	22385	194913	49196	67409	60484	17824	198929	66402	54089	57438	21000	218309	71305	75270	54662	17073	177095	50714	61505	40775	24100	65107	65107	157513
Giá vốn hàng bán###Cost of goods sold	83159	20226	319582	53075	102691	136089	27736	298947	52921	109883	108872	27271	286416	44195	104667	112452	23547	262007	40308	95634	102782	22815	230098	46724	77681	78254	23634	203622	36236	74801	72398	20880	206008	40159	74214	69726	21342	192563	53401	64601	57531	17029	166976	37329	59639	53123	16928	158066	37901	54059	51845	14200	162381	51897	43775	49128	17581	178003	57236	59522	46551	14695	153131	42274	53073	35952	21831	53491	53491	140085
Lợi nhuận gộp###Gross profit	17422	7089	90251	23851	31568	24022	10801	85960	22860	29782	22339	10978	86059	18404	33608	25139	10464	73706	17098	27452	21322	8246	63747	17128	22610	18786	8745	63707	17412	23551	14442	7608	69666	19154	24124	16646	9745	68542	26738	21269	13331	7204	51625	17946	17918	10265	5457	36848	11295	13350	8639	3624	36548	14506	10314	8310	3419	40306	14069	15748	8111	2378	23965	8440	8432	4824	2269	11616	11616	17428
Doanh thu hoạt động tài chính###Financial activities Revenues	246	249	838	512	44	119	163	775	355	44	280	96	664	228	17	333	112	665	170	78	245	138	1732	288	702	421	262	1653	536	153	535	429	2395	689	787	700	218	1684	758	45	691	191	611	140	75	259	137	1179	717	232	108	263	1617	867	539	33	179	2414	201	426	501	81	1845	1677	53	38	76	216	216	759
Chi phí tài chính###Financial Expenses	0	0	562	484	0	78	0	1051	532	15	473	33	2090	282	1196	499	108	3392	675	1158	1234	319	3443	897	773	1339	425	4658	1532	1146	1569	424	5806	998	1743	2383	682	4527	1518	1331	1378	300	2516	1332	359	592	272	1358	746	184	186	256	1467	784	205	205	272	2914	1182	647	577	538	2489	1312	455	439	284	1110	1110	2411
Chi phí bán hàng###Selling Expenses	6849	2797	32329	10638	11322	7442	2918	29429	9218	10423	6785	2772	34805	9177	13788	9436	3233	28273	8202	9845	7645	2394	25865	6953	8716	7797	2771	24852	7803	7689	4961	4467	24483	7290	8763	5676	2754	20477	8107	6581	3903	1885	18317	6530	6385	3436	1965	12959	4071	4080	3482	1196	11823	4819	2963	2905	1136	13148	4103	4169	3213	725	7729	3054	2227	1723	725	4694	4694	6646
Chi phí quản lý doanh nghiệp###Managing Expenses	7659	4432	41164	11431	12772	10787	6188	38231	10679	12416	9224	6180	34094	9113	10631	9609	5444	27716	7463	9413	7540	3881	21937	6284	7324	7223	3899	24275	6259	7014	6073	5081	26765	8287	7220	5801	5461	29091	12583	6772	5823	3914	18245	6331	5138	3944	2669	12118	3541	3413	3388	1721	11764	4222	2871	3500	1172	13765	4141	4749	3315	1245	8636	3335	2352	1571	1378	3179	3179	4875
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	3159	109	17034	1810	7518	5835	1857	18024	2786	6972	6138	2089	15734	60	8011	5927	1791	14034	929	6417	5011	1669	14344	3281	6583	2952	1856	12333	2356	7856	2374	-1935	15006	3269	7185	3485	1067	16132	5288	6630	2917	1297	13157	3893	6111	2553	688	11591	3654	5905	1692	714	13112	5547	4813	1733	1018	12893	4843	6609	1507	-49	6955	2416	3452	1129	-42	2849	2849	4253
Thu nhập khác###Other incomes	43	58	721	378	118	175	57	1046	401	239	168	235	660	252	111	199	99	450	105	92	-2	255	1932	170	334	1373	87	6620	1720	103	413	10007	1837	710	21	676	430	615	490	12	15	98	262	80	72	28	66	388	106	181	88	13	167	112	21	21	13	238	57	31	20	83	191	45	37	39	71	110	110	127
Chi phí khác###Other Expenses	0	0	5	5	0	0	0	7	7	0	0	0	426	438	0	2	0	141	136	6	-7	8	248	139	34	40	58	712	917	154	405	5048	927	438	52	260	177	1082	632	179	3	268	605	89	355	1	2	224	27	193	4	0	255	154	0	79	22	241	52	88	38	33	161	39	100	6	16	25	25	0
Lợi nhuận khác###Other profits	43	58	716	373	118	175	57	1039	394	239	168	235	234	-186	111	197	99	309	-30	87	6	247	1684	32	299	1333	29	5909	803	-51	8	4959	909	272	-31	416	253	-467	-142	-167	12	-170	-343	-8	-283	27	64	164	79	-11	84	13	-88	-42	21	-57	-9	-3	5	-57	-18	50	30	6	-63	32	54	85	85	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	3203	167	17750	2183	7637	6009	1914	19063	3180	7211	6306	2324	15968	-126	8121	6124	1890	14343	899	6504	5017	1916	16028	3312	6882	4285	1884	18242	3159	7805	2382	3024	15916	3540	7155	3901	1320	15664	5145	6464	2929	1127	12814	3885	5828	2579	752	11755	3733	5893	1776	727	13024	5505	4834	1676	1009	12890	4848	6552	1489	1	6985	2421	3389	1161	12	2934	2934	4381
Chi phí thuế TNDN###Corporate Income Tax Expenses	369	123	1864	207	787	666	203	1973	35	930	740	238	1655	6	818	640	170	1605	-73	862	631	218	2052	233	975	604	259	2918	231	1259	190	1094	2477	559	1104	0	0	1261	0	0	0	141	1553	445	701	315	91	1645	579	748	235	98	1345	529	426	147	88	1616	700	917	208	0	0	0	0	0	0	0	0	1271
Chi phí thuế TNDN###Corporate Income Tax Expenses	367	120	1852	204	784	663	200	1961	32	927	737	235	1643	3	815	637	167	1592	-76	859	628	215	2040	230	972	601	256	2939	297	1281	126	1097	2479	468	1162	706	143	1311	101	681	387	141	1553	445	701	296	91	1645	579	748	235	98	1345	687	426	147	88	1616	700	917	208	0	0	0	0	0	0	0	0	1271
Chi phí thuế TNDN###Corporate Income Tax Expenses	2	3	12	3	3	3	3	12	3	3	3	3	12	3	3	3	3	12	3	3	3	3	12	3	3	3	3	-21	-67	-22	64	-3	-2	91	-57	34	-69	-50	45	12	-107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	2657	-454	16299	2162	6885	5535	1712	17632	3482	6229	5565	2241	14821	-12	7410	5557	1954	13106	972	5643	4386	1698	14123	3079	5907	3681	1625	15602	2928	6546	2192	1930	13439	2982	6050	3161	1247	14403	4999	5771	2649	986	11261	3440	5127	2283	661	10110	3154	5145	1540	628	11680	4818	4408	1529	921	11275	4148	5635	1280	1	6985	2421	3389	1161	12	2934	2934	3109
---Cac Chi So Tai Chinh---																																																																						
EBITDA	0.60	0.22	0.45	0.45	-0.32	-0.57	-0.16	-0.18	-0.18	-0.08	0.15	-0.04	0.83	0.83	-0.03	0.39	0.63	0.33	0.33	0.68	0.29	0.00	0.10	0.10	0.07	0.20	0.37	0.11	0.11	0.22	0.16	0.05	0.56	0.56	0.30	0.18	0.37	0.47	0.47	0.51	0.66	0.47	0.39	0.39	0.53	0.69	1.00	0.88	0.88	0.96	0.85	0.70	0.76	0.76	0.68	0.84	0.97	0.97	0.97	1.19	0.91	0.83	0.08	0.08	0.01	0.01	0.01	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	13.20	14.70	11.12	11.12	10.57	15.36	15.36	14.51	14.51	20.16	18.81	25.98	24.97	24.97	26.42	28.84	24.17	29.19	29.19	17.38	18.67	15.78	16.58	16.58	19.29	14.58	13.22	12.72	12.72	10.94	10.08	9.81	10.14	10.14	7.07	6.46	5.38	4.69	4.69	4.34	4.44	3.57	2.86	2.86	3.20	3.42	3.85	4.27	4.27	4.42	5.37	4.91	4.60	4.60	5.09	4.33	3.98	3.56	3.56	4.77	3.79	6.57	13.75	13.75	8.54	10.55	14.80	15.98	15.98	0.00
