CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	336183	186257	184394	184394	188615	156092	176480	206796	203393	171415	167278	227532	197018	204245	161312	177213	210525	324143	324143	297421	229330	280928	285574	169237	223549	140291
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	32882	25079	13615	13615	51172	39560	16345	55620	55620	27667	33766	68641	62051	62051	20199	68326	115549	215677	215677	30529	2140	44707	24305	47847	90001	49125
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	125200	14000	14000	14000	0	0	15000	15000	15000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	109367	52470	48300	48300	36920	38321	58255	47063	47063	44243	40689	46867	63488	70715	51718	30855	35556	47695	47695	193349	174125	191352	202312	51265	52960	44444
Hàng tồn kho###Inventory	66969	93268	107955	107955	99354	76440	85350	88464	85062	98115	90185	108397	69561	69561	88713	76554	57357	59650	59650	70654	48110	41844	57713	69492	78955	45614
Tài sản ngắn hạn khác###Other Current Assets	1764	1439	524	524	1169	1771	1531	649	649	1391	2639	3627	1918	1918	682	1478	2063	1121	1121	2889	4955	3025	1244	633	1632	1108
Tài sản dài hạn###Non-current Assets	772301	783744	710555	710555	707530	695890	711523	736189	736189	753914	745509	756344	780865	774284	784669	807960	820987	825216	825216	824385	847331	869478	886812	959188	1059353	992061
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	415	415	0	0	0
Tài sản cố định ###Fixed assets	730215	620976	642645	642645	658041	678426	699471	720404	720404	741911	703514	721434	740780	740780	758307	761539	780591	794803	794803	814666	834835	844179	864085	937920	991345	947283
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-760225	-737704	-716035	-716035	-694199	-673151	-652106	-631035	-631035	-610264	-589140	-568443	-547874	-547874	-529672	-508972	-488280	-467692	-467692	-447201	-426697	-406003	-386002	-306032	-226634	-155906
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-423	-423	-423	-423	-423	-423	-423	-412	-412	-376	-341	-306	-270	-270	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	30000	30000	30000	30000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	9484	11571	13369	13369	19421	17466	12053	15786	15786	12004	14175	7089	12401	12390	5350	10347	4321	5566	5566	5881	8699	14319	17936	17249	46076	42898
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1108484	970000	894950	894950	896146	851982	888002	942984	939582	925329	912787	983876	977883	978529	945981	985173	1031512	1149359	1149359	1121806	1076661	1150405	1172386	1128425	1282901	1132352
Nợ phải trả ###Liabilities	422964	319739	251729	251729	286224	274719	248731	341190	335452	349652	317424	413455	378088	366496	375057	437557	442369	579554	579580	582730	556992	595130	626493	617524	842227	760999
Nợ ngắn hạn###Short term Liabilities	334270	231045	251729	251729	286188	274683	248695	341154	335416	349652	317424	413455	378088	366496	375057	437557	442369	486057	486084	499177	438935	381701	479160	404510	461707	187626
Nợ dài hạn###Long term Liabilities	88694	88694	0	0	36	36	36	36	36	0	0	0	0	0	0	0	0	93496	93496	83553	118058	213430	147333	213014	380520	573373
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	685520	650261	643220	643220	609921	577263	639271	601794	604129	575677	595364	570421	599795	612033	570924	547615	589143	569805	569779	539269	519668	555275	545893	510901	440675	371353
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	685520	650261	643220	643220	609921	577263	639271	601794	604129	575677	595364	570421	599795	612033	570924	547615	589143	569805	569779	539269	519668	555275	545893	510901	440675	371353
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	291483	184448	1122037	280936	261578	283037	296486	1056773	310959	278742	253644	213428	998381	281310	226731	254751	235589	955588	283950	225272	231445	214921	762707	1279452	986008	669488
Các khoản giảm trừ doanh thu###Deduction revenues	41	346	1926	1076	121	46	683	700	551	70	42	37	241	75	73	70	23	238	44	115	66	13	468	517930	413841	261889
Doanh thu thuần###Net Sales	291442	184102	1120111	279860	261456	282992	295804	1056073	310408	278672	253601	213391	998140	281235	226658	254681	235565	955351	283906	225157	231380	214908	762240	761521	572167	407599
Giá vốn hàng bán###Cost of goods sold	245149	170704	931695	234617	217391	234303	245383	915417	262212	244298	219231	189675	852964	230395	194405	220235	207757	823043	227796	196255	202550	196443	639902	638092	442674	343206
Lợi nhuận gộp###Gross profit	46294	13398	188416	45243	44065	48688	50420	140656	48196	34374	34371	23716	145176	50840	32253	34446	27808	132308	56110	28903	28830	18465	122337	123429	129493	64393
Doanh thu hoạt động tài chính###Financial activities Revenues	1655	971	3078	832	303	847	1096	1063	123	260	44	635	2268	373	296	636	963	257	46	43	72	95	150	909	2756	5225
Chi phí tài chính###Financial Expenses	1305	1217	4433	1313	557	1142	1422	9869	1817	2888	2263	2901	11644	2611	2737	2968	3328	23479	11328	3365	4010	4775	26241	39159	57945	78868
Chi phí bán hàng###Selling Expenses	3286	1944	9945	2918	2444	2228	2354	8858	3548	1960	1836	1514	7940	3034	2105	1336	1466	3267	866	929	644	829	2750	3385	5529	3
Chi phí quản lý doanh nghiệp###Managing Expenses	2885	3237	15386	3813	3640	3793	4140	15890	5207	2544	3535	3168	12126	3266	2844	3051	2965	15123	3702	3638	4635	3148	11888	10583	10304	8099
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	40472	7970	161731	38031	37726	42373	43600	107102	37746	27243	26781	16768	115734	42302	24863	27728	21012	90696	40260	21013	19613	9809	81607	71210	58470	-17353
Thu nhập khác###Other incomes	430	382	2740	525	486	986	743	2338	756	481	563	539	2743	1207	515	582	440	1976	566	429	482	499	2259	9812	11903	6958
Chi phí khác###Other Expenses	182	165	1931	452	272	731	476	1534	635	303	350	246	1891	976	166	215	534	819	321	160	173	165	959	3308	1052	810
Lợi nhuận khác###Other profits	247	217	808	73	213	255	267	804	121	178	212	293	852	231	348	367	-94	1157	245	269	309	334	1300	6503	10852	6148
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	40719	8187	162539	38105	37940	42627	43867	107906	37866	27421	26993	17061	116586	42533	25211	28095	20917	91853	40506	21283	19922	10143	82908	77713	69322	-11205
Chi phí thuế TNDN###Corporate Income Tax Expenses	3082	1147	11834	2395	2869	3223	3348	8288	2768	2107	2051	1436	8828	3235	1903	2123	1580	6960	3016	1682	1529	761	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	3101	1145	12325	2885	2869	3223	3348	8288	2768	2107	2051	1436	8828	3235	1903	2123	1580	6960	3016	1682	1529	761	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-19	2	-490	-490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	37638	7041	150705	35710	35071	39404	40519	99618	35098	25314	24942	15626	107758	39298	23309	25973	19337	84893	37490	19601	18393	9382	82908	77713	69322	-11205
---Cac Chi So Tai Chinh---																										
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	19.50	20.43	25.26	25.26	23.77	21.82	19.92	18.54	18.54	17.68	17.80	18.29	18.89	18.89	19.45	17.95	18.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
