CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40395	0	47167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27690	24690	24690	21312	21312	21312	21312	21312	20275	17875	3500
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	11000	11000	11000	11000	11000	11000	11000	11000	11000	11000	11000	6000	2000	2000	2000	1000	1000	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6400	6400	6400	6400	7900	18000	20000	20000	22400	22400	22400	22400	22400	14500	14500	14500	10500	0
Tài sản dài hạn khác###Other long term assets	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	61	121	121	121	184	184	232	232	232	280	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	268126	260491	269121	269121	211373	204380	187453	187642	187642	187687	165333	167689	158222	158222	152217	154936	149660	143706	143706	161666	168857	184752	183186	183186	150218	162048	143546	122118	122118	116860	115664	114917	118710	118710	116716	110793	122508	118324	118324	111325	107231	113891	118458	118477	126843	117299	105817	111703	111703	94336	91939	83626	74023	34669
Nợ phải trả ###Liabilities	8136	8897	22566	22500	11504	14992	6107	9403	9403	19013	6260	13651	7194	7194	6790	9427	12568	10545	10545	37048	36672	56798	59351	59351	16976	33072	18213	24802	24802	24833	23686	23038	26898	26898	24999	19177	31014	26914	26914	19342	15283	22364	27499	27501	33922	24480	14024	21986	21986	17754	18525	12773	26532	12091
Nợ ngắn hạn###Short term Liabilities	8136	8897	22566	22500	11504	14992	6107	9403	9403	19013	6260	13651	7194	7194	6790	9427	12568	10545	10545	37048	36672	56798	59351	59351	16976	33072	18213	24802	24802	24833	23686	23038	26898	26898	24999	19177	31014	26914	26914	19342	15283	22364	27499	27501	33922	24480	14024	21986	21986	17754	18525	12773	24532	5527
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	6564
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	259990	251593	246555	246621	199869	189389	181346	178239	178239	168675	159073	154038	151028	151028	145427	145509	137092	133161	133161	124617	132185	127955	123836	123836	133243	128977	125333	97316	97316	92027	91978	91879	91812	91812	91718	91616	91494	91410	91410	91982	91949	91528	90958	90976	92921	92820	91793	89717	89717	76582	73415	70853	47491	22578
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	259990	251593	246555	246621	199869	189389	181346	178239	178239	168675	159073	154038	151028	151028	145427	145509	137092	133161	133161	124617	132185	127955	123836	123836	133243	128977	125333	97316	97316	92027	91978	91879	91812	91812	91718	91616	91494	91410	91410	91982	91949	91528	90958	90976	92921	92820	91793	89717	89717	76582	73415	70853	47491	22578
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115664	114917	118710	118710	116716	110793	122508	118324	118324	111325	107231	113891	118458	118477	126843	117299	105817	111703	111703	94336	91939	83626	74023	34669



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	27545	17756	170012	80228	38671	24642	26471	104675	42023	26046	18419	18187	92391	27663	16442	30700	17586	149687	37841	30890	40800	40157	148660	41398	43427	32822	31013	57556	31264	6063	12418	7810	40681	11087	10238	11109	8247	34075	4228	5828	15479	8540	33622	6446	3587	10200	13388	68550	30721	13329	12715	11785	20165	17632
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	27545	17756	170012	80228	38671	24642	26471	104675	42023	26046	18419	18187	92391	27663	16442	30700	17586	149687	37841	30890	40800	40157	148660	41398	43427	32822	31013	57556	31264	6063	12418	7810	40681	11087	10238	11109	8247	34075	4228	5828	15479	8540	33622	6446	3587	10200	13388	68550	30721	13329	12715	11785	20165	17632
Giá vốn hàng bán###Cost of goods sold	15624	8122	76083	18723	23772	12770	20818	63181	27552	12518	10403	12708	56163	19049	8799	18055	10260	120373	30619	23514	32500	33740	126238	36689	36936	26444	26169	47144	23793	5230	11352	6769	36723	10057	9287	10057	7322	30366	4085	4958	14185	7138	29719	8719	2921	7853	10226	39650	17118	8200	8219	6114	13675	12253
Lợi nhuận gộp###Gross profit	11921	9634	93929	61505	14899	11873	5653	41494	14471	13527	8016	5480	36228	8614	7643	12645	7326	29315	7222	7376	8300	6417	22422	4709	6491	6379	4844	10412	7471	833	1066	1041	3959	1030	952	1052	925	3709	143	870	1294	1403	3902	-2273	666	2347	3162	28900	13603	5129	4496	5671	6490	5380
Doanh thu hoạt động tài chính###Financial activities Revenues	774	22	920	863	1	55	1	9	4	2	1	2	4	1	1	1	2	4	1	0	1	1	14	4	3	4	3	4	1	1	1	2	12	1	0	3	8	15	3	1	3	8	9	2	0	1	6	9	2	1	4	2	12	15
Chi phí tài chính###Financial Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	-97	0	570	0	986	600	0	186	200	230	13	49	24	144	519	137	125	151	106	463	169	110	48	136	97	97	0	0	0	14	0	0	0	14	0	0
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1917	3123	9115	3923	1799	1622	1771	7116	2228	1528	1641	1719	6626	1078	1191	1942	2415	8149	2139	2336	2405	1269	4183	1361	1005	1121	780	3324	849	723	907	845	2915	769	691	740	714	2664	671	720	687	585	2083	385	451	822	0	3707	806	907	1085	910	1275	2071
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	10778	6533	85734	58444	13100	10306	3883	34387	12246	12002	6377	3763	29606	7537	6453	10704	4913	20697	5181	5040	5327	5149	17266	2751	5489	5075	3868	6862	6610	62	136	54	536	125	136	163	112	597	-694	41	561	690	1732	-2753	216	1525	2765	25187	12798	4224	3416	4749	5228	3324
Thu nhập khác###Other incomes	-30	30	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	236	0	327	0	0	-9	336	0	0	0	0	0	182	0	0	182	0	273	0	0	273	0	4714	4714	0	0	0	0	1064
Chi phí khác###Other Expenses	25	55	73	18	0	69	0	0	0	0	0	0	49	0	31	19	0	0	0	0	0	0	253	0	84	469	0	303	0	0	0	303	0	0	0	0	0	232	0	0	232	0	427	0	0	427	0	0	0	0	0	0	0	1033
Lợi nhuận khác###Other profits	-55	-25	-73	-4	0	-69	0	0	0	0	0	0	-49	0	-31	-19	0	0	0	0	0	0	-253	0	-20	-233	0	24	0	0	-9	33	0	0	0	0	0	-50	0	0	-50	0	-154	0	0	-154	0	4714	4714	0	0	0	0	30
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	10724	6508	85661	58440	13100	10236	3883	34387	12246	12002	6377	3763	29557	7537	6422	10685	4913	20697	5181	5040	5327	5149	17014	2751	5469	4842	3868	6886	6610	62	127	87	536	125	136	163	112	547	-694	41	510	690	1578	-2753	216	1371	2765	29902	17513	4224	3416	4749	5228	3354
Chi phí thuế TNDN###Corporate Income Tax Expenses	2327	1302	17345	11688	2620	2193	777	7011	2516	2400	1342	753	6302	1767	1284	2268	983	4347	1213	1008	1096	1030	3761	605	1203	1065	851	1382	1331	14	28	19	134	31	34	0	0	96	0	0	0	121	276	0	54	344	690	7475	4378	1056	854	1187	915	869
Chi phí thuế TNDN###Corporate Income Tax Expenses	2327	1302	17345	11688	2620	2193	777	7011	2516	2400	1342	753	6302	1767	1284	2268	983	4347	1213	1008	1096	1030	3761	605	1203	1065	851	1382	1331	14	28	19	134	31	34	41	28	96	0	7	89	121	276	0	54	343	690	7475	4378	1056	854	1187	915	869
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	8397	5206	68316	46752	10480	8043	3107	27377	9730	9602	5035	0	23255	0	0	0	0	16349	3967	4032	4231	4119	13253	2146	4266	3777	3017	5504	5279	49	99	68	402	94	102	122	84	451	-694	34	421	569	1302	-2753	162	1029	2076	22426	13135	3168	2562	3562	4313	2486
---Cac Chi So Tai Chinh---																																																						
EBITDA	1.44	1.77	0.52	0.52	0.38	0.46	0.20	0.23	0.23	0.28	0.15	0.44	0.30	0.30	0.34	1.18	1.35	2.23	2.23	2.48	1.11	0.88	0.46	0.46	0.19	0.66	0.93	1.02	1.02	1.36	0.87	0.70	0.78	0.78	0.77	0.97	0.97	1.23	1.23	1.47	1.42	1.27	0.89	0.89	0.87	1.08	1.19	1.21	1.21	1.53	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	7.65	6.25	5.00	5.00	4.94	5.13	4.94	4.31	4.31	4.82	5.83	6.56	6.28	6.28	7.54	6.89	5.57	5.86	5.86	6.24	7.26	3.88	3.70	3.70	5.43	3.91	4.12	2.84	2.84	2.39	1.65	3.17	1.56	1.56	1.61	1.24	1.69	1.61	1.61	1.98	2.68	1.85	1.19	1.19	4.12	4.41	12.06	7.60	7.60	7.93	0.00	0.00	0.00	0.00
