CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-859	-837	-812	-812	-787	-763	-741	-719	-725	-703	-680	-658	-636	-636	-614	-592	-570	-548	-548	-526	-504	-482	-460	-460	-460	-460	-404	-349	-349	-309	-302	-295	-287	-287	-280	-273	-266	-258	-258	-251	-244	-236	-229	-229	-222	-716	-709	-702	-702	-698	-660	-660	-660	-660	0	-635	-621	-609	-527	-379
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	3784	3855	4279	4568	3845	2850	3014	3025	4232	3890	3677	3418	3726	3726	3826	3822	3815	4101	4046	4215	3324	3442	3582	2548	2638	2670	3265	3261	3261	3280	3299	3337	3315	3315	3315	3315	3163	3143	3143	3143	3143	3143	3101	3101	3101	2762	2762	4392	4392	6342	6342	8434	8014	8434	8434	8326	8218	8218	8218	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	132070	125762	127046	127191	123328	147511	133791	160172	160279	156098	146879	138432	147909	148002	147891	137825	118863	128299	128435	122068	117741	98877	120531	119881	102103	127601	107258	116098	116098	120116	140613	123988	132671	131708	125837	103543	104521	111910	111538	104498	131675	100539	105117	105151	127007	133113	101336	84522	84758	92487	104958	104778	83038	83102	81824	86023	103571	98839	117879	66631
Nợ phải trả ###Liabilities	55500	47297	46433	46662	41361	67123	49177	73702	73799	73335	66704	55781	64413	64413	66334	58482	38678	46586	46613	42704	41118	22198	40215	39561	27722	54457	30827	35835	35835	43729	65720	47554	53291	54121	53234	31729	27702	34366	33805	31787	60050	27784	30111	30251	56535	63697	30121	13992	13992	21488	35900	27754	11264	10811	13156	17137	28926	27621	51593	29726
Nợ ngắn hạn###Short term Liabilities	55455	46772	45908	46154	40853	66615	48654	73078	73175	72712	66080	55157	63789	63789	65710	57858	38054	45962	46033	42124	40488	21568	39535	38881	27042	53777	30147	35116	35116	43049	65040	46874	52611	53441	52554	31049	27022	33686	33125	30571	58778	26519	28861	29001	55267	62421	28812	12697	12697	19988	34377	26274	9817	9364	11876	15300	27105	25804	49308	28138
Nợ dài hạn###Long term Liabilities	45	525	525	508	508	508	524	624	624	624	624	624	624	624	624	624	624	624	580	580	630	630	680	680	680	680	680	720	720	680	680	680	680	680	680	680	680	680	680	1216	1271	1265	1249	1249	1268	1275	1309	1295	1295	1500	1522	1480	1447	1447	1280	1836	1822	1817	2285	1589
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	76571	78465	80613	80528	81967	80388	84614	86470	86480	82763	80175	82651	83496	83589	81557	79343	80185	81713	81822	79364	76623	76678	80316	80320	74382	73144	76431	80263	80263	76387	74893	76434	79380	77588	72604	71814	76819	77544	77733	72711	71625	72754	75007	74900	70472	69417	71215	70530	70766	70999	69058	77024	71774	72291	68668	68887	74645	71218	66287	36905
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	520	543	1113	0	360	0	0
Vốn chủ sở hữu ###Owners equity	76571	78465	80613	80528	81967	80388	84614	86470	86480	82763	80175	82651	83496	83589	81557	79343	80185	81713	81822	79364	76623	76678	80316	80320	74382	73144	76431	80263	80263	76387	74893	76434	79380	77588	72604	71814	76819	77544	77733	72711	71625	72754	75007	74900	70472	69417	71215	70530	70766	70999	69058	76926	71774	71771	68125	67773	74645	70857	66287	36905
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140613	123988	132671	131708	125837	103543	104521	111910	111538	104498	131675	100539	105117	105151	127007	133113	101336	84522	84758	92487	103149	104778	83038	90574	81824	0	0	98839	117879	66631



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	67619	42139	267735	71338	42497	79615	74285	322218	69508	78676	102598	71436	275415	69272	67123	86942	52077	210731	61902	52019	66812	29998	195714	69433	33868	62065	31067	211214	62584	39467	72960	36164	205992	71016	46441	48659	46925	226114	52722	47527	70486	55379	196183	38338	64167	58388	40458	137455	39475	33823	24999	38997	115009	34183	17659	25287	39937	149550	185059	161385
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1799	699	0	1100	0	2639	2350	440	0	0	1984	409	335	420	420	2300	0	700	700	900	2510	0	1110	700	700	2591	18	84	0	3000	3006	3000	10311
Doanh thu thuần###Net Sales	67619	42139	267735	71338	42497	79615	74285	322218	69508	78676	102598	71436	275415	69272	67123	86942	52077	210731	61902	52019	66812	29998	195714	69433	33868	62065	31067	209415	61885	39467	71860	36164	203353	68666	46001	48659	46925	224130	52314	47192	70066	54959	193883	38338	63467	57688	39558	134945	39475	32713	24299	38297	112418	34165	17575	25287	36937	146544	182059	151074
Giá vốn hàng bán###Cost of goods sold	55549	34192	225008	59114	34602	66673	64602	274897	57691	68667	88889	59490	217664	53399	53292	69795	41177	165298	47377	41574	53592	22755	159597	55353	26906	50578	27141	173907	50600	33300	60497	29502	164147	54155	38548	40275	38551	189782	42796	40714	59689	46584	162386	29125	56616	49298	32514	107542	31594	27512	18852	29700	92715	27794	15403	19796	30692	122872	160706	138959
Lợi nhuận gộp###Gross profit	12070	7947	42726	12224	7895	12942	9683	47321	11816	10009	13709	11946	57751	15873	13831	17147	10900	45432	14525	10444	13220	7243	36117	14079	6962	11487	3926	35508	11285	6167	11363	6662	39206	14512	7453	8384	8374	34348	9518	6477	10377	8376	31498	9213	6851	8390	7044	27403	7881	5201	5447	8597	19703	6371	2172	5491	6245	23672	21352	12115
Doanh thu hoạt động tài chính###Financial activities Revenues	498	184	3723	279	285	2870	290	1972	537	592	491	352	1957	371	496	535	555	4686	733	477	1016	2460	2554	1098	722	334	400	4398	1221	597	1952	189	3093	1162	176	916	839	8793	1935	2430	3404	1024	6877	1342	1665	3114	681	1030	411	571	241	115	361	79	102	88	91	320	662	336
Chi phí tài chính###Financial Expenses	480	689	5777	652	782	3503	971	3427	1122	923	654	728	2290	553	759	499	479	4941	228	1307	898	2508	3602	538	1310	740	1014	6199	272	1873	1721	1729	4071	1329	851	739	1097	9061	1078	3464	2802	1716	8117	642	2372	3871	1231	3223	342	1606	2118	267	2200	192	307	967	508	3804	507	1367
Chi phí bán hàng###Selling Expenses	5172	2945	17115	5764	3439	4675	2979	18559	5883	3712	5541	3423	17499	5582	4573	4485	2858	11105	4646	2394	2461	1604	8549	2505	1651	2418	2028	9209	2858	2165	2435	1750	10799	3132	2534	2358	2775	10106	3013	2494	2599	2001	8111	2619	2387	1856	1579	7122	2138	1744	1681	1406	4927	1380	1159	1209	802	5425	5259	5725
Chi phí quản lý doanh nghiệp###Managing Expenses	3119	2061	9121	2635	2022	3025	1827	10849	2875	2410	1983	3632	23765	7605	6188	5429	4528	19223	7355	3826	2933	4973	13843	4372	2876	4231	2580	12495	4276	2209	3550	2429	11855	4563	2996	2465	1831	7944	2776	1776	2270	1493	8449	2435	1558	1880	1086	5674	1666	1302	1583	1106	4898	1225	985	1068	849	5054	4498	3771
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	3797	2436	14437	3451	1936	4608	4196	16458	2474	3556	6022	4515	16154	2505	2806	7269	3589	14849	3029	3394	7944	618	12676	7763	1847	4432	-1297	12003	5099	517	5610	941	15573	6649	1248	3738	3510	16030	4586	1174	6110	4189	13699	4858	2199	3897	3829	12415	4146	1120	305	5934	8038	3653	-176	2335	4177	9710	11751	1588
Thu nhập khác###Other incomes	667	0	220	0	38	91	91	373	60	216	0	0	70	46	0	16	8	276	76	66	104	30	2378	76	446	247	1610	2479	175	1557	247	500	1645	122	874	0	18	1004	873	41	1	89	803	285	69	6	180	730	252	0	0	180	3572	0	938	0	0	2743	24	6454
Chi phí khác###Other Expenses	0	20	760	0	0	649	0	172	0	0	0	0	438	11	0	407	0	333	32	6	239	56	365	226	54	85	0	196	109	86	0	0	32	32	0	0	0	1149	43	0	1106	0	33	30	0	2	1	20	20	0	0	0	445	0	0	0	0	0	0	0
Lợi nhuận khác###Other profits	667	-20	-539	0	38	-558	91	201	59	216	0	0	-368	35	0	-391	8	-56	44	61	-134	-26	2013	-150	392	162	1610	2283	65	1471	247	500	1612	90	874	0	18	-146	830	41	-1105	88	770	255	69	4	179	709	232	0	0	180	3127	0	938	0	0	2743	24	6454
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	4464	2416	13897	3451	1975	4050	4287	16660	2533	3772	6022	4515	15786	2540	2806	6877	3598	14793	3072	3454	7810	592	14690	7613	2239	4594	313	14286	5164	1988	5857	1441	17185	6739	2122	3738	3527	15885	5416	1215	5005	4278	14468	5113	2267	3901	4008	13124	4378	1120	305	6114	11166	3653	762	2335	4177	12452	11775	8043
Chi phí thuế TNDN###Corporate Income Tax Expenses	1018	483	2976	690	395	984	857	3366	507	754	1204	903	3324	508	561	1457	720	3013	614	691	1616	118	3308	1675	493	1137	69	3143	1100	437	1289	317	3298	1685	530	0	0	1288	0	0	0	321	1432	383	170	318	371	1342	499	178	215	459	675	140	129	0	0	1078	883	603
Chi phí thuế TNDN###Corporate Income Tax Expenses	1018	483	2974	690	395	1000	857	3366	507	754	1204	903	3324	508	561	1457	720	2969	614	691	1616	118	3308	1675	493	1137	69	3143	1100	437	1289	317	3298	1685	530	1552	265	1288	284	64	458	321	1432	383	170	410	371	1342	490	178	76	459	675	140	129	467	835	1078	883	603
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	1	0	0	-16	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3446	1933	10922	2761	1580	3066	3430	13293	2026	3018	4818	3612	12462	2032	2245	5420	2878	11780	2458	2764	6193	474	11382	5938	1746	3458	244	11143	4064	1551	4569	1124	13887	5054	1591	2186	3263	14597	5131	1151	4547	3957	13036	4729	2097	3491	3637	11782	3888	942	229	5655	10491	3513	633	1868	3342	11374	10892	7439
---Cac Chi So Tai Chinh---																																																												
EBITDA	-0.32	-0.26	-0.30	-0.30	-0.45	0.00	0.12	0.10	0.10	0.09	0.07	0.03	0.32	0.32	0.64	-0.07	-0.56	0.10	0.10	0.22	0.39	0.28	0.07	0.07	0.11	0.03	-0.13	-0.10	-0.10	-0.20	-0.14	0.22	0.89	0.89	0.70	0.56	0.69	0.40	0.40	0.44	0.57	0.68	1.04	1.04	0.81	0.78	0.84	0.79	0.79	1.14	1.41	1.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	14.74	18.07	20.19	20.19	21.92	25.64	25.90	29.75	29.75	30.98	33.03	29.87	31.74	31.74	31.17	28.03	20.24	21.56	21.56	16.09	15.42	15.29	14.29	14.29	13.89	14.10	14.59	14.56	14.56	13.14	11.84	11.34	9.93	9.93	8.06	8.06	7.74	6.33	6.33	6.33	5.93	5.29	4.45	4.45	4.45	4.57	5.71	6.73	6.73	7.17	8.38	6.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
