CAN DOI KE TOAN	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	776003	875846	856978	856978	920198	865813	922609	943700	960197	911887	900026	866213	795462	747864	173335	170453	159076	198898	222203	263475	268272	267929	267397	267397	127851	108560	140528	138297	138297	175525	163554	154092	149509	160586	141751	159339	196914	166502	166502	131730	116628	76614	53335	53335	12613	5437
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	558	292	1240	1240	1094	558	267	41677	40402	1206	121152	374	155374	1271	11271	11035	12671	12805	12805	8671	7089	8038	31792	31792	5076	3659	5313	11167	11167	8736	8742	12306	12234	12234	13001	14426	27768	20411	20411	40737	8250	7450	9063	9063	2285	2160
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	66000	66000	66000	66000	0	71000	141000	137000	137000	119125	119125	0	0	0	0	0	0	0	0	0	0	0	0	23555	11850	11850	0	0	0	0	0	0	3146
Các khoản phải thu ngắn hạn###Short term Account Receivables	739550	839715	819901	819901	884970	846941	901953	885105	914052	893454	761928	849741	623870	676401	57779	52332	34366	149860	98307	82923	93010	87239	78973	78973	109416	87635	120079	109043	109043	147900	130368	110978	116248	127324	112098	122600	111860	126077	126077	79844	101589	42782	35140	35140	9257	0
Hàng tồn kho###Inventory	20146	20145	20143	20143	18439	2629	3212	2933	3233	3233	2933	1998	1998	0	25881	25881	25881	25881	25881	24981	25581	28761	29361	29361	4054	8050	6560	10866	10866	5421	10093	16721	8586	8586	7303	14803	26331	3635	3635	9133	4664	21507	7547	7547	721	0
Tài sản ngắn hạn khác###Other Current Assets	15750	15695	15695	15695	15695	15685	17177	13984	2510	13994	14013	14100	14220	4192	12403	15205	20157	10351	14210	5900	5592	6891	8147	8147	9305	9216	8576	7222	7222	13467	14352	14087	12441	12441	9349	7510	7399	4530	4530	2016	2124	4874	1585	1585	349	131
Tài sản dài hạn###Non-current Assets	417372	417372	417372	417372	325422	325422	623348	300215	300431	300431	300588	301266	301266	269550	268850	268604	286334	288058	275758	201239	181722	175774	170338	170338	267370	264799	205034	213384	213384	165655	171259	210103	210405	215406	199015	183369	182580	152892	152892	96555	89254	83704	22542	22542	4258	860
Các khoản phải thu dài hạn###Long term Account Receivable	146	146	146	146	16146	16146	165	16146	16146	16146	16146	16146	16146	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	113588	113588	113588	113588	113588	113588	114238	114082	114267	114267	114423	115101	115101	10366	10366	10119	10231	10612	10612	11030	11951	12519	77376	77376	262786	263624	194041	92271	202450	165113	170351	158060	26567	158864	135716	133751	133918	29973	128364	96193	88955	83532	22476	22476	4206	813
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-8222	-8222	-8222	-8222	-8222	-8222	-7572	-7729	-7544	-7544	-7387	-6709	-6709	-6093	-6093	-6339	-6228	-5846	-5846	-5429	-5357	-4789	-4372	-4372	-4957	-4880	-4588	-4373	-4373	-3861	-3350	-3197	-3079	-3079	-2106	-1880	-1592	-936	-936	-1422	-1145	-877	-699	-699	-257	-55
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-9	-8	-7	-7	-7	-6	-5	-4	-4	-1	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	99900	99900	99900	99900	0	0	338926	0	0	0	0	0	0	45885	45885	45885	62803	107290	91770	91770	100750	91770	91771	91771	166	149	10146	10114	10114	48	19	50107	50103	50103	51055	48903	47903	23700	23700	0	0	0	0	0	0	0
