CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	109798	97692	111275	111275	96451	79385	93584	119681	119681	113935	129642	135847	158845	158845	161250	150063	136749	33908	33908	87366	112180	82163	77102	77102	55328	40353	62350	57882	57882	62822	30588	43282	41716	41716	34680	26676	33508	38293	38293	71815	53160	18614	18522	20444	39360	30172	26071	43173	43173	64147	62957	55905	50413	50413	50458	120540
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	93948	86981	101441	14858	9707	11347	13547	16008	16008	11618	15154	13219	7675	7675	15665	7072	48468	9231	9231	17694	9835	19086	8337	8337	19830	11972	10218	8717	8717	18855	5583	16457	7669	7669	10740	7201	4666	2114	2114	4693	7929	4314	2596	2596	2787	5087	2793	3872	3872	7852	3857	3570	3569	3569	14281	43784
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	86584	68604	47801	65262	85041	85041	79629	89019	89475	128653	128653	122564	92000	50000	0	0	22106	56402	20135	38000	38000	27000	20000	42000	18000	18000	12000	8000	10000	8000	8000	3000	0	380	380	380	10150	4000	0	0	0	0	0	0	8000	8000	13000	16000	14000	12000	12000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	15309	10164	9581	9581	17524	19616	14131	17967	17967	21950	22610	32331	19991	19991	15084	43092	31748	17960	17960	42215	40349	29233	15443	15443	7800	7542	8131	17249	17249	23719	14323	10898	16505	16505	14365	10493	20973	22598	22598	49949	33232	7884	11670	11670	30982	14820	13573	23352	23352	27643	35877	31683	30609	30609	35082	76147
Hàng tồn kho###Inventory	540	547	253	253	616	621	644	665	665	678	509	762	2466	2466	2611	2545	2575	2358	2358	5291	5535	13649	14866	14866	638	781	488	704	704	430	609	3801	2175	2175	995	2131	608	1213	1213	1864	1202	556	160	2083	751	7137	6738	4530	4530	12205	3352	3213	2712	2712	159	68
Tài sản ngắn hạn khác###Other Current Assets	0	0	0	0	0	0	0	0	0	59	2350	59	59	59	5327	5354	3958	4359	4359	59	59	59	456	456	59	59	1514	13212	13212	7818	2072	2126	7367	7367	5579	6850	6881	11989	11989	5159	6796	5860	4095	4095	4840	3127	2967	3420	3420	3448	3872	3439	1523	1523	935	541
Tài sản dài hạn###Non-current Assets	1615044	1633144	1643884	1643884	1640332	1640266	1640157	1629067	1629067	1581973	1585228	1524332	1519615	1519615	1516595	1438663	1359592	1314605	1314605	1204475	1184672	1189700	1190029	1190029	1171351	1181231	1166786	1162775	1162775	1039892	972256	982016	951260	951260	897825	807936	709432	647553	647553	539782	481592	478481	488053	486130	488061	570985	579996	588811	588811	596698	610754	625185	637269	637269	715608	804326
Các khoản phải thu dài hạn###Long term Account Receivable	13	13	13	13	15	15	15	15	15	17	17	17	17	17	19	19	19	7950	7950	17950	17931	17931	17931	17931	17931	17931	17931	17931	17931	17931	17931	17931	17931	17931	17931	17931	17931	17931	17931	17931	17931	17931	17931	0	0	0	0	0	0	0	0	4282	5108	5108	8682	22269
Tài sản cố định ###Fixed assets	1447761	1467165	1486742	1486742	1365644	1384974	1396165	1412788	1412788	1431596	1438215	1087826	1102355	1102355	919164	936076	952059	969175	969175	995295	1025531	1056346	1085654	1085654	1109452	159192	181163	1117918	204197	227634	248487	273177	899729	899729	844181	753180	653932	365455	596934	488505	429658	425888	419851	432880	434622	447731	467769	463986	476583	487471	501527	511675	522933	522933	617886	696782
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1082459	-1063185	-1043608	-1043608	-1023580	-1004252	-984946	-967071	-967071	-948201	-926736	-909633	-892833	-892833	-874856	-857512	-841158	-821125	-821125	-794458	-763634	-732826	-703526	-703526	-678013	-639745	-615010	-591615	-591615	-567811	-546872	-521999	-499288	-499288	-474052	-454183	-439995	-425957	-425957	-411444	-397804	-384625	-371381	-371381	-357175	-343352	-329480	-315710	-315710	-301342	-287169	-272974	-259406	-259406	-162204	-1622
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-258	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-916	-916	-916	-916	-883	-882	-881	-879	-879	-878	-875	-867	-860	-860	-853	-846	-839	-831	-831	-824	-817	-810	-803	-803	-795	-788	-781	-774	-774	-767	-753	-721	-689	-689	-657	-625	-593	-566	-566	-535	-510	-485	-460	-460	-435	-408	-383	-358	-358	-333	-308	-283	-258	0	-158	-58
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23483	23483	23483	23483	23483	23483	23483	23483	23483	23483	23483	23483	23483	23483	23483	23483	41414	41414	112228	112228	112228	112228	109228	109228	109228	109228	109228	89041	85275
