CAN DOI KE TOAN	 2018	 2017	Q2 2017	 2016	 2015	Q4 2015	 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	 2009	Q4 2009	 2008	Q4 2008
Tài sản ngắn hạn###Current Assets	341061	334060	457353	468403	488297	488297	495836	498579	497583	497666	601225	639662	678125	678613	678611	747445	879466	884827	1042040	1137230	994657	855271	853347	853657	853657	0	516112	516112	0	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1334	917	670	1074	16322	16322	1239	1954	1954	1954	1834	3291	16435	1584	1584	2301	2731	3307	15230	15230	49903	50720	100388	139672	139672	0	8887	8887	0	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	15000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	129742	133901	144881	151179	174014	174014	189953	196639	193149	160757	220956	231531	239926	265013	265011	351852	389092	399251	598547	610000	437662	407472	406021	432119	432119	487782	322005	322005	36722	36722
Hàng tồn kho###Inventory	202641	193692	306252	310540	292432	292432	296769	291663	294178	292905	334970	358479	371934	362011	362011	348132	442462	431748	386218	469005	463774	364411	320324	265170	265170	0	162208	162208	0	0
Tài sản ngắn hạn khác###Other Current Assets	5344	5550	5549	5610	5530	5530	7875	8322	8302	42051	43465	46360	49829	50005	50005	45160	45180	50521	42044	42995	43318	32669	26615	16696	16696	0	8013	8013	0	0
Tài sản dài hạn###Non-current Assets	59434	94156	96290	99135	128811	128811	372188	387685	396018	391904	399110	405184	416125	429541	429541	441313	451851	466716	476642	480125	465489	440344	215522	198773	198773	0	26182	26182	0	0
Các khoản phải thu dài hạn###Long term Account Receivable	4584	4584	4584	4584	4584	4584	4589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	7987	8297	8528	8762	9346	9346	217973	225026	243752	227793	230372	233041	238560	260439	260439	268198	272400	276454	263830	280439	257097	243709	30600	31028	31923	14745	14196	14196	1562	1562
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-8101	-11481	-11551	-11317	-28479	-28479	-23646	-20319	-19423	-19672	-18400	-19572	-22973	-23760	-23889	-25520	-23474	-21308	-18396	-18129	-15453	-12240	-10438	-8704	-8704	-2582	-4713	-4713	-113	-113
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-18354	-18354	-18354	-18354	-18354	-18354	-14036	-10797	-9717	-9717	-8637	-7558	-6591	-5508	-5508	-4425	-3344	-2260	-1175	-693	-89	-81	-72	-63	-63	-54	-32	-32	-2	-2
Lợi thế thương mại	0	0	0	0	11769	11769	0	15601	0	16148	16696	17243	17791	0	17791	18338	18885	19433	20528	19980	20528	21622	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	11635	15460	17372	19284	23108	23108	26973	29765	30729	30729	31694	32659	33624	34803	34803	35544	36499	37453	38267	38267	39220	40173	41126	42079	42079	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	34303	64653	63533	63533	71653	71653	71653	71653	71653	71653	71653	71653	71653	71653	71653	71653	71653	71653	71653	71653	71653	71653	98197	88197	88197	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	455	694	1804	2503	19651	7882	20996	29667	31545	29691	32806	34699	38607	44309	44309	47032	51866	61176	66504	69238	76443	62913	45598	36573	36573	0	11987	11987	0	0
