CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	6750	6750	6750	6750	6750	6750	6750	6750	6750	6750	6750	6750	6750	6750	6750	6750	6750	6750	6750	6750	6750	6596	6596	6596	6596	6678	6678	6678	6399	6399	6829	10599	10599	10738	10738	10738	10704	10704	10704	13105	13105	10222	10222	10222	10882	11189	11526	11526	11526	12750	11750	11750	10250	10250	6500	6500	2700	0	0	0	0	0	0	0	0	0	0	357	258	835
Tài sản dài hạn khác###Other long term assets	26481	27484	28722	28722	27821	24788	24586	25617	26815	25403	24122	23626	23931	23931	22244	22992	21696	22170	22170	21869	20929	20376	20648	20648	19827	20471	20266	20751	20751	21072	20061	20496	21027	21198	21660	21442	20809	21050	19677	19863	18885	19097	18771	18771	18799	16487	16903	17213	17213	14276	14131	14462	14416	14416	18705	18842	18828	19077	19776	16323	14936	15040	15206	15206	13906	13881	14001	14274	14847	15591
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	472434	486362	535471	535471	561636	529234	519149	406219	406186	548891	438828	402632	456725	458983	566597	432691	399629	499956	499956	537185	533097	565847	608084	546156	626876	553352	545344	560295	559011	721334	670173	723874	705260	703522	718767	585272	493774	494686	493089	576626	423318	434437	392119	393521	439253	301667	328218	451680	451680	559002	496197	427375	341933	341933	441831	339085	180037	211306	212441	230363	215811	185199	168528	170185	210728	174054	197782	193827	193906	190843
Nợ phải trả ###Liabilities	320712	316192	355006	354927	390852	366734	343505	227325	227241	380948	277167	234491	285080	287889	407495	277527	243869	343096	343096	395374	393928	427374	466270	403390	462100	393263	373101	381242	382281	572997	522666	566419	548976	547103	602834	467191	369832	360440	358986	459814	304175	302579	263890	263632	315371	182435	201472	328468	328468	445658	420894	346388	261997	261311	366756	266859	103594	136466	137601	161234	149542	136490	121461	122771	169066	135164	161857	152909	153031	159946
Nợ ngắn hạn###Short term Liabilities	293171	290770	328944	328864	369550	344978	321485	204940	204857	345167	242110	202895	256655	259464	388243	273279	237548	334702	334702	385111	381627	404929	441637	378757	434592	364316	340779	346975	348013	523078	472074	520396	501022	499148	530683	393047	294312	283026	281572	345227	181432	179977	177675	177417	293947	160961	179895	306883	306883	423950	399177	324791	240395	239709	334126	234282	71052	103967	103879	127559	115888	102867	87993	89135	133522	99644	126280	117363	117485	116408
Nợ dài hạn###Long term Liabilities	27542	25422	26063	26063	21301	21756	22020	22385	22385	35781	35057	31596	28425	28425	19253	4248	6321	8394	8394	10262	12300	22445	24633	24633	27508	28947	32322	34267	34267	49919	50592	46022	47955	47955	72151	74143	75520	77414	77414	114587	122743	122601	86215	86215	21424	21474	21577	21585	21585	21708	21717	21597	21601	21601	32630	32577	32542	32499	33722	33674	33654	33623	33468	33636	35543	35519	35577	35546	35546	43538
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4429457	8	0	0	0	0	0	0	0	0	0	0	9	0	0
Vốn chủ sở hữu ###Owners equity	151722	170170	180465	180544	170784	162500	175644	178894	178944	167944	161661	168141	171646	171094	159102	155164	155760	156860	156860	141811	139170	138473	141815	142766	164777	160089	172243	179053	176731	148338	147507	157455	156284	156418	115933	118082	123942	134245	134103	116812	119143	131858	128229	129889	123882	119233	126745	123212	123212	113343	75302	80987	79937	80622	75075	72226	76443	74840	74840	69130	66269	48709	47068	47414	41663	38891	35926	40918	40874	30897
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	826	817	375	593	593	593	627	288	0	272	254	285	354	0	-40	190
Vốn chủ sở hữu ###Owners equity	151722	170170	180465	180544	170784	162500	175644	178894	178944	167944	161661	168141	171646	171094	159102	155164	155760	156860	156860	141811	139170	138473	141815	142766	164777	160089	172243	179053	176731	148338	147507	157455	156284	156418	115933	118082	123942	134245	134103	116812	119143	131858	128229	129889	123882	119233	126745	123212	123212	113343	75302	80987	79937	80034	74249	71408	76068	74247	74247	68536	65642	48421	47068	47143	41409	38606	35572	40918	40915	30764
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670173	723874	705260	703522	718767	585272	493774	494686	493089	576626	423318	434437	392119	393521	439253	301667	328218	451680	451680	559002	496197	427375	341933	341933	441831	339957	180037	211306	212441	230363	215811	185199	168528	170185	210728	174054	197782	193827	193827	190843



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	55678	177512	1015623	391448	372061	198728	53386	611708	210373	234616	68577	98142	564164	251169	126620	54116	132259	802035	334578	210550	112792	144115	819790	462521	175995	134872	49040	726303	266889	153594	102280	197912	879451	434167	230360	133614	81309	722280	331427	101891	127699	161264	622308	163371	112961	163849	182126	526143	179794	91902	139889	114558	592834	268117	139553	113333	71832	425286	144775	166594	65652	48265	285686	111506	90312	50027	33841	233025	83111	136835
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	4750	4750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	33	0	0	0	0	0
Doanh thu thuần###Net Sales	55678	177512	1015623	391448	372061	198728	53386	611708	210373	234616	68577	98142	559414	246419	126620	54116	132259	802035	334578	210550	112792	144115	819790	462521	175995	134872	49040	726303	266889	153594	102280	197912	879451	434167	230360	133614	81309	722280	331427	101891	127699	161264	622308	163371	112961	163849	182126	526143	179794	91902	139889	114558	592834	268117	139553	113333	71832	425286	144775	166594	65652	48265	285653	111506	90279	50027	33841	233025	83111	136835
Giá vốn hàng bán###Cost of goods sold	46933	172742	874223	329859	326374	176187	41804	507412	159863	200519	53667	93363	464114	207566	101368	40338	114841	723554	295346	193390	99159	135659	707289	413055	138902	116886	40247	611946	227689	129293	79445	169386	764032	375881	204417	111446	72288	636706	295260	89139	113110	139197	518810	132956	88811	141800	154132	438874	143663	72851	120108	102253	555011	258125	128972	103775	64139	382117	127764	155053	57513	41788	243814	93764	77938	44149	27964	198345	68261	124991
Lợi nhuận gộp###Gross profit	8745	4770	141400	61589	45688	22541	11582	104295	50510	34096	14910	4779	95301	38852	25252	13778	17418	78481	39232	17160	13633	8456	112502	49466	37093	17986	8793	114356	39200	24301	22836	28526	115419	58287	25943	22168	9020	85575	36167	12752	14589	22067	103498	30415	24150	22050	27994	87268	36132	19051	19781	12305	37823	9992	10580	9558	7693	43169	17011	11541	8140	6477	41839	17742	12341	5878	5877	34680	14850	11844
Doanh thu hoạt động tài chính###Financial activities Revenues	79	346	2070	154	1107	540	269	4612	1109	5	2668	831	1830	1238	42	56	495	1015	2	362	236	415	1688	-1368	1600	3287	234	3164	448	68	330	235	1101	95	469	239	299	997	545	123	256	35	2020	337	578	193	911	3319	1082	269	792	1176	12595	8604	1775	1537	679	4395	2632	836	905	21	879	205	87	563	23	2437	450	125
Chi phí tài chính###Financial Expenses	2675	4725	19272	5729	5965	4427	3152	14087	4858	5134	2617	1478	10065	2279	3074	1653	1584	10465	3162	3068	2160	2075	22184	3461	6533	6525	5402	34280	9094	8574	8273	8618	35442	9234	9851	8224	7995	22106	7461	6201	3311	5134	30784	7630	6462	4937	11448	31346	10536	8807	6638	5365	9941	2363	3554	1330	2694	11191	5438	4485	397	872	9874	2545	2708	2269	2427	9736	3356	1774
Chi phí bán hàng###Selling Expenses	3461	4057	33009	10695	11076	7936	3302	21508	6607	9053	3873	1975	24455	7887	7739	3039	5790	11004	4279	3350	1916	1459	12046	2299	3056	5087	1603	22084	6530	5011	4329	6214	22435	7015	7111	5795	2514	13350	5123	3386	2146	2694	11793	3359	3540	2337	2556	11001	3014	2242	3119	2626	7397	2691	1608	1841	1161	3456	670	937	1209	641	8851	4214	2430	1266	941	4028	1532	1882
Chi phí quản lý doanh nghiệp###Managing Expenses	8644	6629	72886	33278	20291	10673	8644	56576	26224	12940	11779	5667	47776	17311	10546	9742	11652	42884	16753	8356	9097	8679	43586	2063	25250	9654	6619	40854	9651	9721	10045	12421	41371	14977	11702	5618	9122	37647	13058	6577	8579	9385	38182	13905	8419	7145	10201	27766	10352	5506	7816	4091	20020	6970	4780	4451	3819	19668	7863	4080	4001	3725	13690	5622	4404	2287	1378	12213	4024	5269
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-5956	-10295	18303	12042	9463	45	-3247	16737	13930	6974	-690	-3510	14834	12614	3935	-601	-1114	15143	15040	2747	697	-3342	36373	40275	3854	7	-4597	20302	14374	1063	518	1508	17272	27156	-2251	2770	-10312	13469	11070	-3289	810	4889	24758	5858	6306	7823	4701	20476	13312	2765	3001	1397	13060	6572	2414	3473	697	13249	5673	2876	3439	1260	10302	5566	2887	620	1154	11140	6387	3045
Thu nhập khác###Other incomes	24	0	355	158	197	0	0	423	51	34	333	6	103078	43057	2	5	60014	90349	24	40020	0	50306	50947	50004	3517	11	2	113	35	2	79	0	4616	4331	102	169	14	2167	622	482	1048	15	298	66	4	218	11	132	46	82	0	3	2691	71	2	1218	1400	882	316	18	529	18	490	93	121	212	66	561	417	81
Chi phí khác###Other Expenses	0	0	108	0	105	0	3	400	206	135	59	0	101867	41867	0	0	60000	90446	15	40126	0	50306	112391	112320	2653	4	0	14	9	0	0	7	3846	3776	0	65	5	461	0	296	152	13	229	0	60	169	0	43	9	23	11	0	146	25	48	57	15	417	279	0	137	0	245	0	204	29	12	106	15	0
Lợi nhuận khác###Other profits	24	0	247	158	91	0	-3	23	-156	-101	274	5	1211	1190	2	5	14	-97	9	-106	0	0	-61444	-62316	864	7	2	99	26	2	79	-7	770	555	102	104	9	1706	622	186	896	2	69	66	-57	49	11	88	37	59	-11	3	2545	47	-47	1161	1384	465	37	18	392	18	245	93	-83	183	53	455	403	81
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-5932	-10295	18550	12200	9555	45	-3250	16760	13774	6873	-416	-3504	16045	13804	3937	-596	-1100	15046	15049	2641	697	-3341	-25070	-22041	4718	14	-4595	20402	14400	1065	596	1501	18042	27711	-2149	2875	-10303	15174	11692	-3103	1706	4891	24827	5923	6250	7872	4711	20564	13348	2825	2990	1401	15605	6618	2367	4634	2081	13714	5711	2894	3830	1279	10547	5658	2804	803	1208	11595	6790	3126
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	3790	2440	1270	0	0	3448	2774	590	0	0	1260	1811	0	220	-220	0	1	528	668	-668	0	-30	1038	1011	-1011	4380	3168	234	131	330	4540	4496	0	0	0	3883	0	0	0	1273	6245	-231	1562	1956	1178	5082	3278	706	748	350	1964	834	296	573	260	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	3790	2440	1270	0	0	3448	2774	590	0	0	1260	1811	0	220	-220	0	1	528	668	-668	0	-30	1038	1011	-1011	4380	3168	234	131	330	4540	4496	0	0	0	3883	2923	-773	426	1273	6245	-231	1562	1968	1178	5082	3278	706	748	350	1964	834	296	573	260	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-5932	-10295	14760	9760	8285	45	-3250	13312	11001	6283	-416	-3504	14786	11992	3937	-816	-880	15046	15048	2113	28	-2673	-25070	-22011	3680	-997	-3584	16021	11232	831	465	1171	13502	23215	-2149	2875	-10303	11291	8769	-2331	1279	3618	18582	6155	4687	5904	3533	15482	10071	2118	2243	1051	13641	5785	2071	4061	1821	13714	5711	2894	3830	1279	10547	5658	2804	803	1208	11595	6790	3126
---Cac Chi So Tai Chinh---																																																																						
EBITDA	-0.01	0.12	-1.74	-1.74	-1.30	-0.52	-0.35	-0.07	-0.07	0.13	-0.01	0.45	0.89	0.89	1.01	0.35	0.16	-0.36	-0.36	-0.58	0.11	0.15	-0.09	-0.09	-0.07	-0.25	-0.25	0.24	0.24	0.46	0.55	1.11	0.79	0.79	0.22	0.25	0.48	0.70	0.70	0.67	0.64	0.56	0.31	0.31	0.32	0.29	0.52	0.67	0.67	0.98	1.16	0.76	0.68	0.68	0.51	0.50	0.62	0.74	0.74	0.90	0.95	0.77	0.07	0.07	0.02	0.01	0.03	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	16.34	19.26	24.19	24.19	17.25	12.14	12.05	18.64	18.64	11.36	9.56	13.42	8.64	8.64	9.06	10.15	9.73	7.21	7.21	7.47	8.64	11.32	9.40	9.40	9.13	8.68	9.90	9.59	9.59	10.96	8.53	7.94	4.84	4.84	3.80	5.53	5.54	5.91	5.91	5.36	6.16	6.29	5.16	5.16	5.00	4.35	5.04	5.41	5.41	6.71	7.52	6.62	6.13	6.13	8.10	4.91	3.78	3.39	3.39	3.99	3.30	6.29	9.96	9.96	7.97	8.47	13.20	6.85	6.85	0.00
