CAN DOI KE TOAN	 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	 2016	 2015	 2014	 2013	 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1367	-1067	-967	-967	-867	-767	-667	-567	-567	-467	-367	-269	-169	-167	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1317	-1263	-1235	-1208	-1208	-1189	-1151	-1123	-1095	-1095	-1067	-1039	-983	-870	-757	-645	-532	-643	-604	-491	-459	-426	-393	-366	-366	-332	-299	-793	-705	-664	0	-352	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	54007	53538	49251	45641	45641	36783	29701	28346	29548	29548	28528	28494	27465	27772	34881	44608	51671	56803	58616	58616	59477	60555	62497	63693	63679	63866	64500	66953	68068	68106	69536	66369	45192
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	128592	125411	131085	124830	125346	171051	118456	130449	103986	103986	105241	93417	92390	91164	94727	128730	127380	139985	144313	145163	150933	175037	181313	212274	235013	204195	200008	243075	234348	233948	230398	306696	224560
Nợ phải trả ###Liabilities	89121	84275	87221	81664	81025	120843	69925	85556	61162	61162	66494	54882	53225	46283	38902	55682	51493	58107	61743	61556	68058	83308	87092	116294	116132	85460	76683	111534	98181	95657	89889	168144	86941
Nợ ngắn hạn###Short term Liabilities	50133	45011	70143	65389	65162	104446	58975	77103	50622	50622	57962	46063	45338	37375	27908	41880	33709	37569	41058	38026	44033	59472	64321	92684	89293	58560	49570	84372	70627	70488	59850	143201	71001
Nợ dài hạn###Long term Liabilities	38988	39265	17079	16276	15863	16397	10950	8453	10540	10540	8532	8820	7887	8908	10993	13802	17784	20538	20685	23530	24024	23835	22770	23610	26839	26900	27112	27162	27554	25169	30039	24943	15940
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	39471	41136	43864	43165	44320	50208	48531	44894	42824	42824	38746	38535	39165	44881	55826	73048	75886	81878	82570	83606	82876	91730	94222	95980	118881	118734	123325	131541	136166	138291	140509	138552	137619
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	39	93	26	0
Vốn chủ sở hữu ###Owners equity	39471	41136	43864	43165	44320	50208	48531	44894	42824	42824	38746	38535	39165	44881	55826	73048	75886	81878	82570	83606	82876	91730	94222	95980	118881	118734	123325	131541	136127	138252	140416	138526	137619
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139985	144313	145163	150933	0	181313	212274	235013	204195	200008	243075	234348	233948	230398	306696	224560



KET QUA KINH DOANH	 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015	 2014	 2013	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	365125	101267	96474	394386	112032	113536	80061	88801	261010	84088	57024	60493	59405	174388	158790	236215	241388	60975	277332	49558	50157	70491	107126	288360	62340	62869	73691	89460	375036	106345	79926	919754	393771
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	3739	0	783	811	2146	4784	1494	918	808	1564	16501	13397	2	7	25	2185	9	0	2176	0	11	1	0	0	11	488	360	58	24	0
Doanh thu thuần###Net Sales	365125	101267	96474	390646	112032	112753	79250	86655	256226	82594	56106	59684	57841	157887	145393	236213	241381	60950	275147	49549	50157	68315	107126	288349	62339	62869	73691	89449	374548	105985	79868	919730	393771
Giá vốn hàng bán###Cost of goods sold	331438	94764	88056	354880	109770	101828	66670	75286	216390	69382	45448	53451	48110	132975	125111	219022	220685	55844	254014	41957	44979	62745	104333	271623	55833	58534	70878	86378	341205	97087	74338	893382	373172
Lợi nhuận gộp###Gross profit	33687	6503	8418	35766	2262	10925	12580	11370	39835	13213	10658	6234	9731	24912	20282	17191	20696	5106	21133	7592	5177	5570	2794	16726	6505	4335	2813	3072	33343	8898	5530	26348	20599
Doanh thu hoạt động tài chính###Financial activities Revenues	68	15	18	100	5	7	14	23	28	14	6	5	3	21	14	19	48	20	784	15	22	51	693	194	60	32	3	68	178	70	26	1098	2766
Chi phí tài chính###Financial Expenses	2240	772	126	2858	449	714	652	957	1429	-206	793	842	0	1809	658	1153	90	547	1575	686	194	311	385	3147	317	747	1029	920	4401	290	446	4255	972
Chi phí bán hàng###Selling Expenses	29978	7646	6668	32891	8536	7827	7885	8613	33564	8609	9476	7777	7705	29852	28782	29229	26450	5160	22386	5824	4885	5808	5435	25113	6030	6101	7443	5272	18770	6307	4705	18749	10081
Chi phí quản lý doanh nghiệp###Managing Expenses	6489	2308	1383	6101	2032	1108	1408	1532	6237	1517	1413	1540	1787	6327	5052	7136	1247	1094	15234	1381	1868	2469	1107	31906	1901	2648	2676	1984	11605	3590	2901	8358	3485
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-4951	-4208	259	-5983	-8750	1283	2648	291	-1367	3306	-1018	-3920	242	-13055	-14196	-20308	-7042	-1675	-17280	-284	-1749	-2967	-3441	-43246	-1683	-5128	-8332	-5036	-1254	-1220	-2497	-3916	8827
Thu nhập khác###Other incomes	6177	1718	494	7720	3709	1098	1028	1834	5562	893	1336	1559	1772	8283	3296	4659	6720	983	5067	1015	1001	479	2567	5965	4163	538	429	451	3073	347	1752	6801	148
Chi phí khác###Other Expenses	656	217	55	391	255	42	39	55	537	122	132	100	183	945	44	1574	2458	0	1196	0	6	4	885	2351	2335	0	1	2	107	164	32	1579	59
Lợi nhuận khác###Other profits	5521	1501	440	7328	3454	1056	989	1779	5026	771	1204	1459	1589	7338	3252	3085	4262	983	3870	1015	995	475	1682	3614	1829	538	428	450	2966	183	1720	5222	89
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	570	-2707	699	1346	-5296	2338	3637	2070	3659	4077	187	-2461	1831	-5717	-10944	-17223	-2781	-692	-13409	731	-754	-2492	-1758	-39632	146	-4591	-7904	-4586	1712	-1037	-777	1306	8916
Chi phí thuế TNDN###Corporate Income Tax Expenses	-95	-47	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	190	350	0	32	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	190	350	0	32	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-95	-47	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	665	-2659	699	933	-5296	2338	3637	2070	3659	4077	187	-2461	1831	-5717	-10944	-17223	-2781	-692	-13409	731	-754	-2492	-1758	-39835	146	-4591	-7904	-4586	1522	-1387	-777	1274	8916
---Cac Chi So Tai Chinh---																																	
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.70	2.40	2.70	2.40	2.40	2.00	3.00	2.40	2.20	2.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.30	4.30	4.30	4.30	4.40	7.70	9.10	9.10	12.90	16.80	10.90	11.40	11.40	21.00	0.00	0.00
