CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	 2010	 2009
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3012	-2855	-2714	-2714	-2573	-2425	-2285	-1941	-1941	-942	-267	-239	-212	-212	-185	-167	-154	-141	-141	-127	-114	-101	-88	-88	-75	-62	-49	-36	-36	-23	-85	-80	-80	-814	-878	-852	-826	-801	-801	-1083	-1064	-1039	-1013	-915	-780
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	46730	48905	48905	48905	48640	48640	14717	14451	14451	14561	14561	14561	14561	14561	10561	10561	10561	10561	10561	10561	10561	10561	10561	10561	160892	160892	160892	162043	162043	162043	162043	162152	162152	162339	162339	162339	162712	162712	162712	162712	162712	159243	159243	159243	7962
Tài sản dài hạn khác###Other long term assets	7869	8750	9318	9318	9497	10044	10504	9201	9310	8358	8199	8945	9009	9009	11189	11274	8299	8961	8960	9781	10110	10934	10288	10301	9679	9599	10420	9065	9066	9163	9386	6941	7012	3191	2162	2513	1041	1030	1030	1816	1845	950	1044	792	1428
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	884216	989985	772062	772062	804583	730171	727858	551853	551962	604185	730809	774509	719049	719093	667775	674886	736832	741348	741438	749398	777912	1061461	791635	791764	953606	950601	878460	733823	733833	946518	1116028	1261329	1018593	1019816	837848	1139736	1261674	1172574	1171716	965571	922388	848227	919754	1236393	987322
Nợ phải trả ###Liabilities	457631	545535	330699	330699	372645	308055	341623	174599	174599	235221	369783	411194	358971	359011	310447	320571	383710	391434	392081	403944	433136	673164	408393	408438	612486	609487	528948	388038	388049	598265	768845	895756	653382	653688	489406	794859	899220	810514	810189	594119	567602	496383	567818	872194	660915
Nợ ngắn hạn###Short term Liabilities	453433	541225	325512	325512	367387	302797	335529	169161	169161	229708	364017	404421	352927	352968	304098	313854	374510	382023	385018	396881	426129	665879	401065	401109	608070	605036	523961	381313	381323	591539	761845	895456	653382	653667	489146	794599	899220	810514	810189	593793	567260	494667	566075	863402	653984
Nợ dài hạn###Long term Liabilities	4198	4310	5187	5187	5259	5259	6094	5438	5438	5513	5766	6773	6043	6043	6350	6717	9200	9411	7063	7063	7007	7285	7328	7328	4416	4451	4987	6726	6726	6726	7000	300	0	21	260	260	0	0	0	326	342	1716	1744	8793	6931
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	426585	444450	441364	441364	431938	422115	386235	377255	377364	368964	361025	363316	360079	360082	357328	354315	353122	349914	349356	345454	344776	388298	383242	383327	341120	341114	349511	345784	345784	348253	347183	365573	365211	366128	348442	344877	362455	362060	361527	371452	354785	351844	351935	364198	326407
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3231
Vốn chủ sở hữu ###Owners equity	426585	444450	441364	441364	431938	422115	386235	377255	377364	368964	361025	363316	360079	360082	357328	354315	353122	349914	349356	345454	344776	388298	383242	383327	341120	341114	349511	345784	345784	348253	347183	365573	365211	366128	348442	344877	362455	362060	361527	371452	354785	351844	351935	364198	323175
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1116028	1261329	1018593	1019816	837848	1139736	1261674	1172574	1171716	965571	922388	848227	919754	1236393	987322



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	517545	472167	2120479	553641	605615	559617	401607	2075178	421131	535570	521730	596747	2255748	482403	558754	607712	606878	1903254	430937	559573	416901	495841	2114044	675362	453427	583553	401702	1761030	371602	531650	536626	321152	1770161	352979	517278	488431	411473	2226056	501552	703793	643653	377057	2637780	1979252	2037085
Các khoản giảm trừ doanh thu###Deduction revenues	492	58	833	474	135	173	51	1873	510	724	346	294	1769	153	339	1166	112	1331	263	987	37	43	22417	172	3	22080	162	506	463	0	43	0	167	61	14	14	78	108	0	72	15	21	169	7751	10713
Doanh thu thuần###Net Sales	517052	472109	2119646	553167	605480	559444	401555	2073305	420622	534846	521384	596454	2253979	482251	558415	606546	606767	1901923	430674	558586	416864	495798	2091627	675190	453424	561472	401540	1760525	371140	531650	536583	321152	1769994	352918	517265	488417	411395	2225948	501552	703721	643638	377036	2637611	1971501	2026372
Giá vốn hàng bán###Cost of goods sold	476594	433668	1939796	510763	555985	510944	362104	1917013	383835	492351	480026	560801	2119946	455327	526926	567866	569828	1781139	400297	526139	391961	462743	1960995	637853	418723	527864	375932	1655489	353940	493930	500430	307188	1673844	337042	487898	455285	392582	2064600	471486	644325	600492	348296	2498666	1823314	1956606
Lợi nhuận gộp###Gross profit	40459	38441	179850	42404	49495	48500	39451	156292	36787	42495	41358	35652	134033	26924	31489	38681	36939	120783	30378	32448	24903	33055	130632	37337	34701	33609	25608	105036	17199	37720	36153	13964	96150	15876	29367	33131	18812	161348	30066	59396	43146	28740	138945	148187	69767
Doanh thu hoạt động tài chính###Financial activities Revenues	5735	1861	10043	5059	1426	3118	440	12988	4575	2160	3482	2770	15663	5841	4436	2691	2694	12395	7608	1031	1582	2157	76349	65763	2135	5501	2989	31324	4412	5616	14935	6081	44193	9302	7899	14691	12074	48721	14277	9354	14482	9751	135608	114991	137881
Chi phí tài chính###Financial Expenses	6085	3902	12707	4258	2747	4652	1049	10546	1612	2900	4594	1440	10988	2117	1770	4042	3059	19807	5461	3062	6185	5081	28422	7570	7541	9312	4039	35200	6917	8035	12608	7359	39460	6920	8159	14520	9448	40772	7863	11132	11595	10182	86311	51625	37197
Chi phí bán hàng###Selling Expenses	28984	28519	123922	31463	32303	32893	27262	113292	26238	29147	27338	30569	116642	25983	29214	32159	29287	99866	28178	27303	22840	21545	112991	36373	27117	25275	24851	84512	16646	29936	25999	11931	70427	14763	23826	16059	15780	89952	23394	28193	24306	14059	80997	78886	73484
Chi phí quản lý doanh nghiệp###Managing Expenses	4735	4820	20007	5071	4613	5113	5209	15598	4557	3087	4044	3909	13299	3405	2746	3436	3711	12958	3066	3402	3674	3424	19404	7577	2853	4738	4237	16755	2081	4833	5682	4159	22085	3769	5782	6213	6321	27840	9184	6806	2570	9220	28147	29556	22159
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	7909	3060	39516	9640	11257	12248	6371	29844	8955	9521	8863	2504	8766	1259	2196	1734	3576	547	1280	-289	-6215	5163	46162	51580	-674	-215	-4529	-107	-4033	532	6799	-3405	8371	-275	-500	11031	-663	51505	3902	22618	19157	5031	79098	103110	74807
Thu nhập khác###Other incomes	813	2688	8880	2281	763	2030	3805	4895	1003	802	1415	1674	4113	1299	911	1443	460	6364	2515	1162	1793	894	15343	3923	891	-210	10739	6301	936	897	555	3914	42432	34050	5292	-154	3244	9613	7587	1033	779	215	7418	844	15236
Chi phí khác###Other Expenses	-1707	1754	1050	416	423	102	110	1570	532	290	668	80	651	45	41	565	0	251	0	0	251	0	1418	1226	173	-1682	1702	83	0	0	83	0	10104	10101	3	0	1	48	6	29	8	5	381	48	257
Lợi nhuận khác###Other profits	2520	933	7830	1866	341	1928	3695	3325	471	513	747	1595	3462	1254	871	877	460	6113	2515	1162	1542	894	13925	2697	719	1473	9037	6218	936	897	472	3914	32328	23950	5289	-154	3243	9565	7582	1004	770	209	7037	796	14979
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	10428	3993	47346	11506	11598	14176	10066	33169	9426	10034	9610	4099	12228	2513	3067	2612	4037	6661	3796	872	-4673	6057	60087	54277	45	1258	4507	6111	-3097	1429	7271	508	40699	23675	4789	10877	2580	61071	11484	23622	19927	5240	86135	103906	89786
Chi phí thuế TNDN###Corporate Income Tax Expenses	1813	907	7025	2080	1776	1759	1410	5772	1027	2095	1680	862	963	-241	54	319	828	241	-107	194	-899	1002	12729	12070	39	-245	780	925	-628	359	1048	146	8708	5989	1224	0	0	9745	0	0	0	0	15732	25372	15297
Chi phí thuế TNDN###Corporate Income Tax Expenses	1619	907	6967	2063	1776	1730	1398	5839	1060	2095	1414	1269	742	-298	-20	271	786	149	-123	181	-954	993	12665	12608	39	-309	328	947	-657	359	1100	146	8708	6229	1224	895	645	9745	2873	5828	3530	1310	15732	25372	15297
Chi phí thuế TNDN###Corporate Income Tax Expenses	194	0	58	17	0	30	12	-66	-33	0	266	-407	221	57	74	48	42	92	17	13	54	9	65	-537	0	65	453	-23	29	0	-52	0	0	-240	0	260	0	0	-862	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	8651	3068	40357	9413	9857	12435	8651	27396	8400	7939	7930	3237	11265	2754	3013	2293	3209	6420	3902	678	-3774	5056	47358	42206	7	1502	3727	5186	-2469	1070	6223	362	31991	17686	3565	9722	1935	51325	9472	17794	16398	3930	70403	78534	74488
---Cac Chi So Tai Chinh---																																													
EBITDA	0.62	0.20	0.39	0.39	-0.11	-0.22	-0.06	-0.09	-0.09	0.12	0.20	0.17	0.27	0.27	0.13	0.27	0.56	0.35	0.35	-0.27	0.03	0.29	0.29	0.29	0.63	0.71	0.31	0.39	0.39	0.45	0.38	0.50	0.16	0.16	0.22	0.22	0.30	-1.26	-1.26	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	11.58	9.04	9.22	9.22	9.45	7.78	9.12	9.34	9.34	8.10	7.37	7.14	7.21	7.21	7.30	7.66	7.94	7.83	7.83	8.80	9.16	9.45	7.14	7.14	7.07	7.00	6.83	7.63	7.63	7.90	7.63	9.14	8.15	8.15	7.78	8.65	10.78	12.49	12.49	0.00	0.00	0.00	0.00	0.00	0.00
