CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q1 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008	 2007	Q4 2007	 2006
Tài sản ngắn hạn###Current Assets	413182	409905	418455	418455	423190	428961	384897	399750	395500	392856	368064	282037	283107	283107	331161	370121	390335	419788	419788	437492	439118	443798	460832	459745	455061	448039	457141	485212	504158	466118	456015	453749	444029	444040	387815	390399	385447	392527	392573	360667	351199	328524	346704	347069	290083	254117	247243	247243	189477	189477	146553	146553	80316	80316	84367
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	36912	9034	20386	20386	3582	9872	9471	15858	15858	23912	45649	25319	12008	12008	3369	7438	4472	2570	2570	8540	9343	6471	18783	18783	12165	5870	3761	19046	19046	3691	5018	5444	9961	9961	4029	6953	11754	15801	15801	9281	13733	11395	48066	48066	32739	6637	18185	18185	15802	15802	6642	6642	3898	3898	3325
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	247055	264738	259438	259438	255483	254283	191282	187282	182282	151000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	19986	26340	20388	20388	23385	12948	12901	18988	19865	20791	23509	26200	38548	38548	32322	33188	41774	44926	44926	34560	24454	22053	20850	19652	25876	24163	25833	20737	39684	21715	13822	14895	23783	23783	24156	31088	24246	33584	33584	31684	36231	41576	37182	37391	26529	33105	26840	26840	17697	17697	21709	21709	25138	25138	21988
Hàng tồn kho###Inventory	108483	109595	117787	117787	140490	151669	170544	177456	177456	197112	218681	230477	232511	232511	295282	329455	344048	372253	372253	394352	405281	415234	421131	421132	416249	415285	424836	435548	435548	433795	429124	424628	402879	402879	358006	350191	344405	332646	332646	316097	295737	269271	252828	253094	225397	205040	196734	196734	149274	149274	109995	109995	45880	45880	53585
Tài sản ngắn hạn khác###Other Current Assets	746	197	455	455	249	189	700	166	40	40	224	40	40	40	188	40	40	40	40	40	40	40	68	178	771	2720	2711	9880	9880	6918	8051	8782	7405	7416	1625	2168	5042	10496	10542	3605	5498	6282	8627	8517	5418	9335	5483	5483	6705	6705	8206	8206	5401	5401	5468
Tài sản dài hạn###Non-current Assets	51411	47291	45569	45569	35685	34337	56167	56952	62047	30951	60153	18343	16277	16277	17977	18152	24903	25454	25454	24180	25242	26408	29498	29360	30224	40271	40522	41990	41990	42217	43557	44968	46257	46271	47464	48640	44564	46350	46350	45961	46802	45059	43761	43757	38507	36436	37591	37591	34728	34728	34685	34685	38268	38268	29451
Các khoản phải thu dài hạn###Long term Account Receivable	1115	1115	1115	1115	1115	209	209	209	209	209	209	209	209	209	209	209	209	209	209	209	209	209	177	177	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	13235	13692	14301	14301	14950	15547	16200	16687	16687	17416	18185	9504	9790	9790	10226	10841	11494	12189	12189	12960	13737	14364	15205	15205	16207	17264	19458	24906	20696	20952	22365	26740	28093	28093	29458	30670	31731	27818	33516	33128	33969	32226	23874	30924	29407	30086	28187	31091	29192	29192	29149	29149	32716	32716	29399
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-79580	-82176	-81588	-81588	-80959	-80330	-79701	-79055	-79055	-80259	-82043	-81508	-81001	-81001	-80489	-79909	-79290	-78629	-78629	-77892	-77505	-76747	-75940	-75940	-74973	-73949	-72789	-72340	-72340	-71118	-69739	-68359	-67004	-67428	-65927	-64387	-62722	-62768	-62768	-61051	-59329	-57654	-56236	-56234	-54868	-51726	-50120	-50120	-48793	-48793	-39219	-39219	-34326	-34326	-28927
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4632	-4632	-3776	-3776	-3228
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1051	-1031	-1010	-1010	-990	-1022	-998	-969	-969	-935	-901	-867	-833	-833	-799	-764	-730	-696	-696	-662	-628	-594	-560	-560	-526	-492	-458	-424	-424	-390	-355	-192	-175	-193	-175	-158	-140	-123	-123	-105	-101	-97	-94	-99	-93	-82	-78	-78	-63	-63	-42	-42	-21	-21	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	27345	25254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	25000	25000	30000	0	30000	0	0	0	0	0	-375	0	0	0	0	0	0	0	0	12833	0	12833	12833	12833	12833	12833	12833	12833	12833	12833	12833	12833	12833	12833	12833	12833	12833	12833	9000	6000	6000	6000	5036	5036	5036	5036	5052	5052	52
Tài sản dài hạn khác###Other long term assets	7782	5178	5361	5361	7013	9597	10558	13921	14047	12727	11628	6699	4919	4919	7093	7042	8963	8443	8443	6398	6683	7222	9504	9366	9228	5570	16855	4251	4251	5008	5132	5395	5331	5345	5173	5136	0	0	0	0	0	0	0	0	100	350	500	500	500	500	500	500	500	500	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	464593	457197	464024	464024	458874	463298	441064	456701	457547	423806	428217	300380	299384	299384	349138	388273	415238	445242	445242	461672	464360	470206	490330	489105	485285	488310	497663	527202	546148	508335	499572	498717	490286	490311	435280	439039	430012	438877	438923	406628	398001	373583	390466	390826	328590	290553	284834	284834	224205	224205	181237	181237	118584	118584	113818
