CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	 2016	 2015	 2014
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-977532	-956243	-905519	-1281031	-1206246	-1158244	-1118680	-1090156	-1090062	-1053520	-974515	-902635	-821812	-821812	-750411	-521840	-434544	-346237
Lợi thế thương mại	225901	239190	252478	252478	265766	279054	292343	305631	305631	318919	332208	345496	358784	358784	372073	411937	465091	518244
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	3034315	2726663	2121883	2123302	2489934	2159255	2382538	1442869	1442099	1694896	2758066	3638354	3508697	3508697	2981808	3806551	1270121	1381101
Tài sản dài hạn khác###Other long term assets	1836161	1903589	1902925	2033436	2152415	2156170	1957380	2246177	1905087	1844246	1850421	2080018	2014319	2014319	1944267	1745402	1914365	1772656
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	59271671	61170323	60868570	61821854	61309586	59027411	59443887	57863684	58014502	59028768	50995154	51687734	51966554	51966554	50027440	46865280	42726794	33479634
Nợ phải trả ###Liabilities	29767097	31565212	32000894	36707094	35406649	33955215	34472629	33197668	32970042	34490872	33264933	33352726	33508090	33508090	31604611	28482444	27225715	17289377
Nợ ngắn hạn###Short term Liabilities	14294735	15229685	16462942	18913518	17852862	18820326	17653500	17760633	17235972	21325487	19913736	20444136	21959384	21959384	23091558	17971196	16481273	13809737
Nợ dài hạn###Long term Liabilities	15472362	16335528	15537952	17793577	17553786	15134889	16819129	15437036	15734070	13165386	13351197	12908590	11548706	11548706	8513053	10511248	10744442	3479639
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	29504574	29605110	28867675	25114760	25902937	25072195	24971258	24666016	25044460	24537896	17730221	18335008	18458464	18458464	18422829	18382836	15501079	16190257
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	29504574	29605110	28867675	25114760	25902937	25072195	24971258	24666016	25044460	24537896	17730221	18335008	18458464	18458464	18422829	18382836	15501079	16190257
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	4318320	4307737	17104078	4666212	4534391	4063012	3801372	16887842	4433919	4432031	4070980	3945683	19033614	6077708	4227288	15335823	14875190	14207446
Các khoản giảm trừ doanh thu###Deduction revenues	9325	3259	0	3384	3477	4444	6297	20883	3715	3606	10875	2686	10447	10447	0	0	316	41285
Doanh thu thuần###Net Sales	4308995	4304478	17104078	4662828	4530914	4058568	3795075	16866959	4430204	4428424	4060105	3942997	19023167	6067261	4227288	15335823	14874873	14166161
Giá vốn hàng bán###Cost of goods sold	2651090	2669954	11001317	3373502	2775524	2612234	2472851	11565556	2898199	3086508	2845992	3038582	14540082	4517062	2988119	12875702	10756864	9550255
Lợi nhuận gộp###Gross profit	1657905	1634524	6102761	1289326	1755390	1446334	1322224	5301404	1532005	1341916	1214113	904414	4483084	1550199	1239170	2460121	4118009	4615906
Doanh thu hoạt động tài chính###Financial activities Revenues	-310547	1078365	1688672	373428	216498	617505	279541	1579773	507566	618306	53322	550337	2978237	514071	400802	481864	1316993	489305
Chi phí tài chính###Financial Expenses	435265	1005795	2041911	469213	509300	227576	777787	1920007	944135	314000	155535	581827	3479822	1292498	680159	3629218	2007751	585841
Chi phí bán hàng###Selling Expenses	401474	412683	1559872	411610	420773	404328	322633	1587835	346730	420109	383672	369529	1767742	540437	435098	1232029	751652	570333
Chi phí quản lý doanh nghiệp###Managing Expenses	634482	889116	4468530	616772	528960	432643	460929	2121489	578411	529399	255078	584337	2590888	941256	600326	1576627	2061408	1610510
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	34086	1084066	44113	533513	400193	979095	158371	-167319	7585	-147910	-51909	32287	61977	-647498	56164	-2966023	1176159	3032346
Thu nhập khác###Other incomes	20692	99610	135599	115866	52943	29829	34107	100883	27788	10682	45922	17382	213825	150010	25390	87927	120913	32176
Chi phí khác###Other Expenses	39449	26237	167651	42958	75350	4740	26561	83158	18911	9066	23688	35768	249030	147758	61176	158613	31472	92661
Lợi nhuận khác###Other profits	-18757	73373	-32052	72908	-22407	25089	7546	17726	8877	1616	22234	-18386	-35205	2252	-35787	-70686	89441	-60486
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	15329	1157438	12061	606421	377785	1004185	165916	-149593	16462	-146294	-29675	13902	26772	-645246	20377	-3036709	1265601	2971860
Chi phí thuế TNDN###Corporate Income Tax Expenses	138600	255140	547468	203083	226980	322174	101300	899138	1564	299383	228813	121475	507830	108832	99269	390508	765272	654232
Chi phí thuế TNDN###Corporate Income Tax Expenses	228074	121104	731348	259731	214746	172117	78528	411311	132218	92432	119331	54717	670137	354379	152986	448864	764407	928138
Chi phí thuế TNDN###Corporate Income Tax Expenses	-89474	134036	-183880	-56649	12234	150057	22772	487827	-130654	206951	109482	66757	-162307	-245547	-53717	-58356	865	-273907
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-46330	841864	-430139	373278	242797	714504	56851	-1038857	-49595	-430876	-258488	-68168	-630733	-1051970	-104740	-4320409	108882	2272839
---Cac Chi So Tai Chinh---																		
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	27.00	19.40	24.70	24.70	33.10	27.20	23.50	13.40	13.40	28.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
