CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q1 2010	 2009	Q4 2009	Q1 2009	 2008	Q4 2008	 2007	Q4 2007	 2006
Tài sản ngắn hạn###Current Assets	218523	378890	464526	473631	451727	451077	498591	572055	569456	550361	439166	348032	321800	325888	443733	492740	385199	263537	263830	230427	219663	239687	244231	243614	251686	250955	235728	467866	468186	474597	472267	430826	424114	424864	422261	415796	430503	400188	401095	429215	422904	433198	421921	421921	436735	399041	392849	394555	394555	222826	287029	287029	222826	212394	212394	246131	246131	153378
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	79211	135292	220011	220411	176002	209018	273729	375229	375229	418187	295379	272255	223257	223257	330954	373079	264299	178070	178061	172013	163586	189602	182744	190515	207776	90802	77200	126818	124839	212379	158375	125273	126038	122484	126096	128859	145585	114500	117441	131229	127179	147723	137714	137714	146792	71489	137183	139683	139683	77822	25910	25910	77822	15102	15102	69629	69629	36612
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	45986	148004	146873	146521	188868	182766	165548	138485	140085	82719	95837	28075	54369	54369	47648	54085	64343	31343	41843	14295	35912	35407	48691	41052	31052	22672	106028	97728	99728	23650	62000	8379	4000	7500	5000	4000	4000	4000	1000	0	0	0	0	0	0	0	415	415	415	0	0	0	0	0	0	0	0	5000
Các khoản phải thu ngắn hạn###Short term Account Receivables	67481	67393	72781	92893	81081	53063	52695	51602	47432	42595	40944	40350	35795	39947	57937	57649	50593	43105	32613	33371	12392	11247	8852	8705	10792	133642	50258	11014	10994	10013	17817	11164	9467	10061	6706	6876	5858	6867	7940	8805	8571	8807	9556	9556	10204	65601	5576	6452	6452	84576	14791	14791	84576	15417	15417	81102	81102	30271
Hàng tồn kho###Inventory	20348	21781	20004	8346	1393	1651	1470	1629	1580	1263	1263	2011	2039	2039	1892	1613	2040	2183	3241	2246	1788	1667	1635	1637	1558	1625	1740	230272	230272	226470	228893	282262	282741	282950	282157	273570	272741	272725	272692	285121	284247	275165	273235	273235	267534	249628	247715	246396	246396	48690	244503	244503	48690	179494	179494	93276	93276	72603
Tài sản ngắn hạn khác###Other Current Assets	5497	6420	4857	5461	4383	4579	5150	5111	5130	5597	5743	5341	6340	6276	5301	6313	3924	8837	8072	8502	5986	1764	2308	1705	508	2213	503	2035	2355	2085	5182	3748	1869	1869	2301	2491	2318	2096	2021	4060	2907	1504	1417	1417	12205	12322	1960	1610	1610	11738	1824	1824	11738	2380	2380	2124	2124	8892
Tài sản dài hạn###Non-current Assets	595695	515976	437750	441799	428762	438480	440976	452273	453835	416588	404911	454630	465596	462381	388451	413799	448985	496506	496158	440558	386221	351895	346163	349255	338933	405370	393971	160392	160199	153953	150149	179684	181113	181231	182588	184377	185529	229161	231749	182562	182670	181016	183195	181148	182151	203967	184684	182624	182624	214025	156510	156510	214025	122681	122681	105835	105835	72519
Các khoản phải thu dài hạn###Long term Account Receivable	136853	136506	135921	135921	129904	128364	127837	125009	125009	122058	117012	141523	122982	217	0	200	200	186	0	186	186	0	178	193	193	170	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	600	0
Tài sản cố định ###Fixed assets	135252	138997	122286	125946	123624	124849	124394	127419	127422	122444	125552	127902	128549	126791	125866	126320	90645	91922	98486	101639	80674	81523	82839	65643	59449	50646	48857	90338	44402	45779	46574	48095	65511	65652	66790	68062	69579	54655	69341	68712	68881	65543	58657	66808	67309	163	69522	63703	67594	210279	70823	70823	210279	75173	75173	73488	73488	53161
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-113853	-110275	-106678	-106887	-102869	-99502	-96225	-92980	-92978	-90073	-87203	-84522	-81153	-81062	-77880	-75752	-72880	-70904	-71633	-67734	-65624	-63662	-61942	-61942	-60251	-58525	-57031	-55704	-55704	-54420	-54197	-52903	-51558	-51571	-50212	-48827	-48919	-47482	-47482	-46051	-44713	-43167	-42025	-42025	-40429	-4024	-37419	-35894	-35894	-21955	-29480	-29480	-21955	-22441	-22441	-15980	-15980	-11068
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
