CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	20000	20000	20000	20000	20000	20000	20000	20000	19533	19533	19538	19826	19826	20005	19185	19185	18861	18861	19479	19479	19479	25218	25218	27774	26005	26005	20005	26005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	17005	14005	14005	14005	14005	14005	14093	10133	10132	10133	10133	4133	183	183	183	1183	3343	3343	3342	3343	3343	3343	3342	3342	0
Tài sản dài hạn khác###Other long term assets	0	0	400	0	0	733	0	475	0	0	744	0	1172	0	0	1600	0	603	0	0	0	0	0	0	0	0	6000	0	0	0	0	0	23	55	55	27	5013	5600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	46	46	87	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1694519	1735859	1679937	1678619	1722320	1631674	1492048	1318981	1325679	1295009	1268683	1127691	982364	997561	953188	681519	591240	572116	572406	518779	516464	519949	516931	519840	533402	544559	555284	560195	561613	560248	562815	583092	566267	568226	573623	575963	591224	579320	572311	576720	620020	617915	593077	598531	577779	557331	538856	543769	542876	513219	487463	433650	378690	422147	246345	219328	207556	183256	183537	155868	140030	141245	150244	150244	119308	113989	113989	93301	62419
Nợ phải trả ###Liabilities	1226271	1267386	1213609	1211804	1261018	1175877	1029597	858208	867290	1018246	992845	861646	708188	726339	726165	443028	339818	305031	303616	246268	238671	254091	245916	237434	252724	250866	260676	267712	267831	274338	283997	301857	285925	287814	300350	302734	318185	306305	298378	300901	335194	335107	298347	309186	288996	277378	254641	263598	262163	240178	209864	165496	174684	218276	61274	45428	38297	19800	19927	25992	28157	24872	41353	40393	18561	18623	18623	29100	13972
Nợ ngắn hạn###Short term Liabilities	473807	547360	490555	491958	580041	607625	403919	339589	339541	335306	312477	338323	203375	214089	559963	369558	237335	207018	216136	159975	152378	148592	140417	97197	112101	114538	124063	131098	98668	105064	114323	137812	129851	113005	139580	178943	194180	188006	139738	154481	155987	162805	126046	105838	88543	87893	77599	94145	59550	73318	51982	74704	55563	117155	24140	28133	38087	19549	19676	25831	27995	24704	41180	40221	18463	18524	18524	28996	13971
Nợ dài hạn###Long term Liabilities	752465	720026	723054	719846	680977	568252	625678	518619	527749	682940	680367	523323	504813	512250	166202	73471	102483	98013	87480	86294	86294	105499	105499	140237	140623	136328	136613	136613	169163	169275	169675	164045	156074	174809	160770	123790	124005	118299	158640	146420	179206	172302	172302	203348	200453	189485	177042	169454	202614	166860	157882	90792	119121	101121	37134	17295	210	251	251	161	162	168	172	172	98	98	98	104	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0	0	0	0	9	0
Vốn chủ sở hữu ###Owners equity	468247	468473	466327	466816	461302	455797	462452	460774	458389	276763	275838	266045	274176	271222	227022	238491	251422	267085	268790	272511	277793	265859	271015	282407	280678	293693	294608	292483	293783	285910	278818	281234	280342	280412	273273	273229	273039	273014	273933	275819	284826	282809	294730	289345	288783	279953	284215	280171	280713	273040	277598	268155	204006	203871	185071	173900	169259	163456	163610	129876	111872	116372	108892	109851	100747	95366	95366	64201	0
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11	10	233	-2589	1137	1651	1334	1352	-1660	50	1010	871	902	902	-164	0
Vốn chủ sở hữu ###Owners equity	468247	468473	466327	466816	461302	455797	462452	460774	458389	276763	275838	266045	274176	271222	227022	238491	251422	267085	268790	272511	277793	265859	271015	282407	280678	293693	294608	292483	293783	285910	278818	281234	280342	280412	273273	273229	273039	273014	273933	275819	284826	282809	294730	289345	288783	279953	284215	280171	280713	273040	277598	268155	204006	203882	185061	173667	171848	162319	161959	128542	110520	118033	108842	108842	99875	94464	0	64365	45428
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562815	583092	566267	568226	573623	575963	591224	579320	572311	576720	620020	617915	593077	598531	577779	0	538856	543769	542876	513219	487463	433650	378690	422147	246345	219328	207556	183256	183537	155868	140030	141245	150244	150550	119308	113989	113989	93301	62419



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	187312	155574	567146	155917	149791	144188	117249	522859	131601	126013	118024	147222	452112	304040	22289	71916	53867	225073	59418	52188	58987	54480	321293	87790	71654	86492	75383	342282	98079	76751	90995	76457	320212	103947	72591	80116	63557	251336	71916	57736	60413	61272	278175	72503	71222	79135	55314	285366	73452	71483	75388	65043	280187	77250	67812	71944	63180	253308	67538	65426	66700	53643	185063	51799	44910	49084	39269	134263	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-681	681	1117	1117	0	0	0	0	-238	-1005	-524	1767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0	0	0	2	0	0	1	0	6	0
Doanh thu thuần###Net Sales	187312	155574	567146	155917	149791	144188	117249	522859	131601	126013	118024	147222	452112	304040	22289	71916	53867	225073	59418	52188	59667	53800	320176	86673	71654	86492	75383	342282	98317	77756	91519	74690	320212	103947	72591	80116	63557	251336	71916	57736	60413	61272	278175	72503	71222	79135	55314	285366	73452	71483	75388	65043	280170	77234	67812	71944	63180	253308	67538	65426	66700	53643	185061	51799	44910	49083	39269	134257	107162
Giá vốn hàng bán###Cost of goods sold	166456	133292	487778	131947	123188	128810	103067	467920	113296	112422	91247	150880	420084	252765	29437	74518	63230	225468	57723	53281	60619	54022	301175	88629	65087	79923	67462	292451	85239	61960	76623	66993	289025	93430	66427	72853	56868	226348	67511	57961	47621	52247	235298	63108	56263	65078	47564	227530	59653	57231	57307	52603	213690	58648	51466	54695	49167	201372	53639	52803	52238	42849	146910	39828	36515	39092	31277	104836	0
Lợi nhuận gộp###Gross profit	20856	22282	79367	23970	26603	15378	14182	54939	18305	13590	26777	-3658	32027	51274	-7148	-2601	-9364	-395	1695	-1093	-951	-222	19001	-1956	6566	6569	7921	49831	13078	15796	14896	7697	31187	10518	6164	7263	6689	24989	4405	-225	12791	9025	42877	9396	14959	14057	7750	57835	13798	14252	18081	12440	66480	18586	16346	17248	14013	51936	13899	12622	14462	10794	38151	11971	8395	9991	7992	29421	0
Doanh thu hoạt động tài chính###Financial activities Revenues	13	2	969	1407	3	1	1	29	1	4	1	1	583	110	1	291	290	1270	324	323	299	324	7048	423	474	472	481	5032	2810	718	748	746	5329	1194	1201	1461	1475	4685	2023	612	1079	936	1181	40	131	449	562	4766	916	1402	1333	1125	993	345	365	218	348	3514	233	1711	837	733	4965	1436	1360	1080	1087	3089	0
Chi phí tài chính###Financial Expenses	19489	17599	64529	16194	18660	20423	9992	38657	16158	9699	13004	2969	11102	4246	3101	6068	3204	11894	3478	3525	1324	2889	14514	3242	2633	2963	2908	16499	3454	4139	4585	4072	20895	5011	4802	5252	5753	28324	6191	6640	7861	7993	3065	292	167	89	35	100	17	26	30	27	494	133	101	152	108	160	94	104	89	61	241	86	55	51	49	2868	0
Chi phí bán hàng###Selling Expenses	0	0	15	0	15	40	0	0	0	0	0	0	20	0	0	20	0	216	0	0	215	0	3528	834	1150	784	759	3628	938	882	366	1442	3306	1134	715	448	856	3337	623	700	925	1090	4242	1221	1190	961	860	3218	1190	834	522	665	2789	927	811	530	520	4238	754	1303	1168	1013	4629	1134	1104	1466	908	3018	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1661	2003	8406	2212	2251	1811	2093	9413	2600	2740	2705	1354	11983	2937	1221	2478	3045	12726	2643	3047	4533	2333	14944	5885	2422	2670	2047	9282	2384	2254	2714	2145	8662	2465	1699	2290	2051	9700	2928	1933	2452	2738	11054	3663	2433	3352	2344	6994	3278	1384	1284	1014	4678	1320	1001	1192	1028	5190	1563	1216	1237	1063	4505	1302	927	1096	1109	4954	0
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-280	2682	7386	6971	5679	-6894	2099	6898	-453	1156	11068	-7981	9505	44201	-11468	-10877	-15323	-23961	-4102	-7343	-6723	-5121	-6937	-11495	835	623	2688	25454	9112	9239	7978	784	3653	3101	149	734	-497	-11687	-3314	-8885	2632	-1860	25698	4260	11299	10104	5072	52290	10229	13410	17578	11859	59512	16552	14798	15592	12705	45862	11720	11710	12806	9391	33741	10885	7668	8458	7012	21670	26289
Thu nhập khác###Other incomes	-1	0	20	0	0	20	0	50	50	0	0	0	12	0	0	348	-336	20813	1	1629	18980	950	3083	13985	262	2260	282	3706	414	273	2675	342	5593	4370	387	269	804	2130	1875	23	157	0	5150	229	84	4399	427	345	0	60	220	0	249	0	405	0	0	72	29	0	0	0	176	8	0	0	168	159	0
Chi phí khác###Other Expenses	2	0	148	79	0	35	2	167	11	0	6	150	363	1	0	339	4	395	0	147	-915	986	1179	274	268	339	246	1522	-4	274	1155	234	1691	332	491	585	282	2294	514	222	367	253	1364	34	14	1126	0	10	0	1	1	9	28	18	10	0	0	161	121	7	0	0	184	0	0	0	0	0	0
Lợi nhuận khác###Other profits	-2	0	-128	-79	0	-15	-2	-117	39	0	-6	-150	-351	-1	0	9	-340	20419	1	1482	19894	-36	1903	13711	-6	1920	36	2184	418	-1	1520	108	3903	4038	-104	-316	522	-165	1361	-199	-210	-253	3787	195	70	3272	427	335	0	59	219	-9	220	-18	394	0	0	-90	-91	-7	0	0	-8	8	0	0	0	159	191
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-282	2682	7258	6892	5679	-6909	2097	6781	-415	1156	11062	-8131	9154	44200	-11468	-10868	-15663	-3542	-4101	-5860	13171	-5157	-5034	2217	829	2543	2724	27638	9529	9238	9498	892	7556	7139	44	418	25	-11852	-1953	-9084	2422	-2113	29484	4455	11369	13376	5499	52625	10229	13469	17798	11850	59733	16534	15192	15592	12705	45772	11628	11703	12806	9391	33733	10892	7668	8458	7180	21828	26480
Chi phí thuế TNDN###Corporate Income Tax Expenses	-56	536	1539	1378	173	-419	419	1458	-45	231	555	0	0	0	0	0	0	160	-380	-578	1009	0	0	488	182	686	599	5512	1656	2032	2156	0	0	0	0	0	0	0	0	0	0	0	7419	1114	2842	3545	1375	13156	2558	3367	4449	2963	14933	4133	3798	3898	3176	6458	1628	1638	1792	1314	4723	1524	1073	1184	1005	3056	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-56	536	1539	1378	173	-419	419	1458	-45	231	555	0	0	0	0	0	0	160	-380	-578	1009	0	0	488	182	686	599	5512	1656	2032	2156	0	0	0	0	0	0	0	0	0	299	0	7419	1114	2842	3344	1375	13156	256	3367	4449	2963	14933	4133	3798	3898	3176	6458	1628	1638	1793	1315	4723	1525	1074	1184	1005	3056	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-226	2146	5719	5513	5506	-6490	1678	5322	-370	925	10507	44200	9154	0	0	0	0	-3702	-3720	-5282	12162	-5157	-5034	1729	647	1857	2125	22127	7873	7205	7342	892	7556	7139	44	418	25	-11852	-1953	-9084	2123	-2113	22066	3341	8527	10032	4124	39469	9974	10102	13348	8888	44799	12400	11394	11694	9529	39315	10000	10064	11013	8076	29010	9368	6595	7274	6175	18772	26480
---Cac Chi So Tai Chinh---																																																																					
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.00	3.80	2.10	2.10	3.70	4.50	3.60	5.60	5.60	2.70	2.80	3.70	2.90	2.90	2.20	2.20	2.10	2.20	2.20	6.80	6.50	7.30	8.30	8.30	8.00	8.31	8.86	9.23	9.23	7.57	6.46	6.70	3.59	3.59	3.11	3.07	2.12	2.21	2.21	2.68	3.89	4.20	2.97	2.97	4.34	4.30	5.66	7.97	7.97	8.83	11.06	11.87	12.93	12.93	16.05	10.39	7.50	7.68	7.68	13.73	5.95	9.63	26.84	26.84	21.05	0.00	0.00	0.00	0.00
