CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	 2010
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-260	-229	-198	-198	-167	-135	-104	-73	-73	-42	-10	0	0	0	0	0	0	0	0	0	0	0	0	-8	0	0	0	0	0	0	-15	-15	-11	-10
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	16267	16600	16600	16677	16825	16825	16825	16825	16825	17661	17661	17661	17661	17661	17995	17995	17995	17995	17995	16130	16130	35340	35340	35340	35824	36324	36324	36324	36588	36588	36533	36533	36858	33056
Tài sản dài hạn khác###Other long term assets	5242	5484	4936	4936	5072	5079	5264	5093	5093	4799	4980	5257	5390	5381	5272	5511	5850	6223	6101	7462	7713	5942	6340	1771	2269	3026	2421	2421	1724	1724	3672	3672	435	620
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	257391	259880	257051	256578	252511	248777	247393	247822	247899	246686	249507	250710	248194	247512	227340	236965	233247	242198	241428	238413	234723	246347	252800	252670	256030	244299	249145	249297	246498	246498	236397	236397	226214	227981
Nợ phải trả ###Liabilities	104532	109565	109260	108945	106739	104878	98710	100276	100353	101320	105071	103757	102455	98856	79430	89566	78797	88253	87984	89234	89047	82820	87051	86938	109131	103853	103945	88682	107264	107264	100029	100029	106827	101673
Nợ ngắn hạn###Short term Liabilities	50474	56086	55870	55555	53273	51549	45614	47372	47448	48741	52625	51388	50113	45919	27164	36917	26260	35809	35540	36900	36765	30381	34464	34350	56800	51199	51336	36072	55729	55729	52046	52046	62319	100911
Nợ dài hạn###Long term Liabilities	54059	53480	53390	53390	53466	53328	53096	52905	52905	52578	52447	52369	52342	52937	52265	52649	52536	52444	52444	52334	52281	52439	52587	52587	52331	52654	52609	52609	51534	51534	47983	47983	44507	762
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	152859	150315	147791	147633	145772	143900	148683	147546	147546	145367	144436	146953	145739	148656	147910	147399	154450	153945	153444	149179	145676	163527	165749	165733	146899	140446	145200	160616	139234	139234	136368	136368	119387	126308
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	152859	150315	147791	147633	145772	143900	148683	147546	147546	145367	144436	146953	145739	148656	147910	147399	154450	153945	153444	149179	145676	163527	165749	165733	146899	140446	145200	160616	139234	139234	136368	136368	119387	126308
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q2 2014	Q1 2014	 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	46798	59566	237859	67517	61166	57979	53658	230840	63333	58817	56570	54574	211293	50674	50737	57468	54727	234754	64833	57924	59096	55409	234311	59162	62695	61575	55405	242391	65934	48618	206494	176546	152073	122871
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	46798	59566	237859	67517	61166	57979	53658	230840	63333	58817	56570	54574	211293	50674	50737	57468	54727	234754	64833	57924	59096	55409	234311	59162	62695	61575	55405	242391	65934	48618	206494	176546	152073	122871
Giá vốn hàng bán###Cost of goods sold	41429	52003	215512	61533	55133	53077	48239	211653	58699	53384	51497	51098	197445	47853	47874	53849	50991	206392	57546	52091	50958	48647	210191	54235	55050	55193	50643	218094	59654	41997	183970	159795	138071	108193
Lợi nhuận gộp###Gross profit	5368	7562	22347	5985	6033	4902	5419	19187	4634	5433	5073	3475	13849	2821	2863	3620	3736	28362	7287	5833	8138	6762	24120	4927	7645	6382	4762	24297	6280	6622	22524	16751	14001	14677
Doanh thu hoạt động tài chính###Financial activities Revenues	1517	214	3204	1049	577	655	383	3760	2757	430	340	233	3370	1823	221	422	906	2906	1170	365	1151	226	5232	2089	1459	421	1155	3500	643	697	4015	5052	7481	6370
Chi phí tài chính###Financial Expenses	427	13	237	138	15	5	2	949	913	34	1	1	391	438	2	-88	41	19457	46	53	19324	35	1116	498	268	26	11	214	45	19	-526	267	892	1270
Chi phí bán hàng###Selling Expenses	236	246	894	337	207	131	219	780	315	108	112	245	604	48	0	80	151	198	88	23	73	14	422	280	0	0	0	0	0	0	0	0	87	58
Chi phí quản lý doanh nghiệp###Managing Expenses	3673	4339	17051	4336	4023	3864	4420	14383	4417	4398	3577	1982	12260	4195	2564	2478	2595	11739	2324	3105	4063	2247	5587	1654	1086	1375	1472	5043	1325	854	4052	4528	3161	2473
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2550	3178	7369	2223	2365	1557	1161	6835	1747	1323	1722	1481	3965	-37	518	1572	1856	-127	5999	3017	-14171	4692	22228	4584	7750	5402	4434	22540	5553	6445	23013	17007	16533	17246
Thu nhập khác###Other incomes	2871	14	996	258	238	148	353	597	199	234	117	47	1899	1404	550	394	355	1448	593	291	120	488	1068	148	136	499	251	2930	605	217	2613	18262	1168	4577
Chi phí khác###Other Expenses	12	47	547	153	261	32	101	539	119	393	16	11	889	776	429	152	147	904	269	129	87	464	528	236	90	92	87	726	155	58	2555	1816	407	3299
Lợi nhuận khác###Other profits	2859	-32	449	105	-23	116	252	58	80	-159	102	36	1010	627	121	242	208	544	324	162	33	24	540	-88	46	407	164	2204	450	158	57	16446	761	1278
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	5409	3146	7818	2328	2342	1673	1413	6893	1827	1164	1824	1517	4975	590	639	1814	2064	417	6323	3179	-14137	4717	22768	4497	7796	5810	4598	24744	6002	6603	23071	33453	17294	18524
Chi phí thuế TNDN###Corporate Income Tax Expenses	1028	622	1452	467	469	336	276	1087	210	233	358	303	622	-151	128	363	283	-122	0	0	-3107	1038	4705	833	1692	2457	400	5480	550	550	5688	8221	4266	4716
Chi phí thuế TNDN###Corporate Income Tax Expenses	1028	622	1452	467	469	336	276	1096	210	233	358	295	63	-151	128	-119	283	1	0	0	-1037	1038	4705	833	1692	2457	400	5480	550	550	5688	8221	4266	4716
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	-8	0	0	0	8	559	0	0	482	0	-123	0	0	-2070	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	4381	2524	6366	1861	1873	1337	1137	5806	1617	930	1466	1213	4353	741	511	1451	1781	539	6323	3179	-11031	3679	18062	3664	6104	3353	4198	19264	5452	6053	17383	25232	13028	13808
---Cac Chi So Tai Chinh---																																		
EBITDA	0.00	-0.06	0.99	0.99	0.40	-0.11	-0.04	0.16	0.16	-0.05	-0.01	-0.33	-1.01	-1.01	-0.35	0.53	0.39	0.03	0.03	-0.02	-0.36	-0.36	-2.79	-2.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	6.00	5.00	9.00	9.00	7.22	10.31	5.16	4.50	4.50	5.72	9.57	11.27	6.53	6.53	8.14	11.98	10.91	10.64	10.64	10.37	10.19	11.38	10.97	10.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
