CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-2910	-3297	-3287	-3287	-3278	-3268	-3259	-3250	-3250	-3260	-3231	-3241	-3232	-3232	-3222	-3213	-3188	-3133	-3133	-3078	-3011	-2928	-2844	-2844	-2759	-2674	-2588	-2503	-2503	-2417	-2331	-2246	-2160
Lợi thế thương mại	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	14911	14911	14911	14934	4408	2608	6072	5000	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	175	175	175	175	1025	1025	1025	1025	1025	1025	1025	1025	1025	1025	1181	1181	1181	1181	1181	1377	1377	1377	1377	1377	1525	1525	1525	1525
Tài sản dài hạn khác###Other long term assets	2470	2474	2514	2017	2269	2687	2232	2325	1515	1570	1625	1579	1622	1622	1615	1381	1398	1414	1414	1431	1447	1513	1538	1538	1528	1564	0	251	251	81	119	76	114	114	151	251	77	106	60	209	291	409	549	939	387	547	689	895	895	150	128	150	28	28	16	18	12	21
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	92327	97088	103113	103157	131653	135248	85840	76285	72934	74448	78061	80852	81563	81656	81709	88106	77663	64828	64811	68983	73717	60126	61001	60800	71533	88298	74385	85635	85602	106992	79646	81257	78779	78784	82707	71376	80624	72316	71414	81619	100765	117466	92845	93526	74962	84151	80471	81303	81303	78778	71370	77750	66903	66903	67419	55022	60042	58441
Nợ phải trả ###Liabilities	44682	48976	54903	54617	81046	82263	38223	27919	25233	27865	30355	31258	32312	32364	32404	38856	23654	11887	11862	17206	22791	6917	9518	9423	19834	38110	18353	31236	31222	53054	28047	0	24345	24409	30416	20504	25679	19993	20423	32700	53014	60782	38778	38738	22424	35476	28446	32062	32036	34560	29894	35500	29883	29794	35221	28111	36564	34562
Nợ ngắn hạn###Short term Liabilities	44682	48976	54903	54617	79100	80317	38223	27919	25233	27865	30355	31258	32312	32364	32404	38856	23654	11887	11862	17206	22791	6917	9518	9423	19834	38110	18276	31236	31222	53054	28047	16462	24345	24409	30416	20504	25679	19993	20423	32412	52751	60550	38563	38523	22228	35304	28298	31954	31928	34413	29768	35394	29334	29245	34628	27448	34864	32186
Nợ dài hạn###Long term Liabilities	0	0	0	0	1946	1946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	288	263	232	215	215	197	171	147	108	108	146	126	106	549	549	593	662	1700	2376
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	47644	48112	48211	48540	50608	52986	47616	48366	47701	46583	47707	49594	49251	49292	49305	49250	54009	52942	52949	51778	50926	53209	51482	51377	51699	50188	56032	54398	54380	53937	51599	0	54434	54375	52291	50872	54945	52323	50990	48920	47751	56684	54067	54787	52538	48676	52025	49241	49267	44218	41476	42250	37020	37110	32198	26912	23477	23879
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	636	636	653	653	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	731	820	964	1026	970	671
Vốn chủ sở hữu ###Owners equity	47008	47476	47558	47887	49877	52255	46885	47635	46970	45852	46976	48863	48520	48561	48574	48519	53278	52211	52218	51047	50195	52478	50751	50646	50968	49457	55301	53667	53649	53206	50868	44974	53703	53644	51560	50141	54214	51592	50259	48189	47020	55953	53336	54056	51807	47945	51294	48510	48536	43487	40745	41519	36289	36289	31234	25885	22507	23208
Lợi ích của cổ đông thiểu số	665	665	665	665	665	665	665	665	665	665	665	0	665	0	0	0	0	665	0	0	0	0	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79646	731	78779	78784	82707	71376	80624	72316	71414	81619	100765	117466	93526	93526	74962	84151	80471	81303	81303	78778	71370	77750	65844	66903	67419	55022	60042	58441



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	44081	55518	258539	67416	64073	85014	42036	121494	40477	31019	24966	25032	82818	21296	19023	21911	20611	97985	25343	21878	26065	24700	104059	27351	24464	26806	25438	138609	32765	33395	37425	35024	144663	42405	34891	32925	34442	138543	37985	33162	34028	33369	146292	41087	36986	34467	33752	121158	35583	27897	32859	24819	116838	27998	29596	30654	28590	119854
Các khoản giảm trừ doanh thu###Deduction revenues	98	129	1225	46	76	769	334	435	127	46	19	244	337	109	49	46	133	1021	579	298	11	134	306	124	45	117	20	387	252	0	102	33	208	7	86	75	41	178	75	0	102	0	471	414	0	56	0	21	0	18	3	0	31	0	0	26	5	731
Doanh thu thuần###Net Sales	43982	55390	257314	67369	63996	84245	41703	121058	40350	30973	24947	24788	82481	21186	18974	21865	20478	96965	24764	21580	26054	24566	103753	27227	24419	26689	25418	138222	32513	33395	37324	34990	144455	42399	34805	32850	34401	138366	37909	33162	33926	33369	145821	40673	36986	34410	33752	121137	35583	27879	32856	24819	116807	27998	29596	30628	28585	119123
Giá vốn hàng bán###Cost of goods sold	39171	49758	231174	60073	57795	76326	36995	95894	33134	25398	19344	18184	55742	14494	12222	15208	13785	64629	16280	14139	17444	16809	71191	18908	16359	18861	17063	95967	22618	23234	26019	24103	98419	29290	23409	22054	23661	96512	26301	22898	24262	23051	100374	28737	25014	23433	23548	79386	24232	18491	21360	15302	76992	17035	17536	20066	22355	92405
Lợi nhuận gộp###Gross profit	4811	5632	26140	7296	6202	7919	4708	25164	7216	5576	5602	6604	26739	6693	6752	6657	6693	32335	8483	7442	8610	7757	32562	8319	8060	7829	8355	42255	9895	10161	11304	10887	46036	13109	11396	10796	10740	41853	11608	10263	9664	10318	45447	11935	11971	10977	10204	41752	11351	9388	11496	9517	39815	10963	12060	10562	6230	26719
Doanh thu hoạt động tài chính###Financial activities Revenues	126	29	274	88	96	87	4	15	12	1	1	1	33	2	4	15	13	52	1	0	32	19	64	6	20	11	27	241	139	45	27	31	293	176	25	62	30	245	17	33	149	44	1359	51	336	357	263	1230	175	293	410	72	111	95	6	5	5	196
Chi phí tài chính###Financial Expenses	796	813	3380	935	912	797	417	1548	383	395	477	292	1409	423	400	418	160	709	248	287	116	46	1346	200	412	403	331	1788	697	371	425	295	1694	340	531	471	352	4432	635	1169	1692	935	2739	1023	439	444	833	3286	552	1040	1045	649	2427	549	388	454	1035	6644
Chi phí bán hàng###Selling Expenses	2473	2293	10245	2963	2576	2880	2046	9558	2517	2504	2049	2488	10056	3007	2360	2382	2310	10974	2493	2589	3181	2726	14586	3967	3406	3213	4001	19725	5963	3989	5679	4095	21617	7070	5435	4273	4862	18986	5636	5369	4053	3927	14547	4053	3685	4532	1879	12021	4288	2897	3254	1581	11334	3307	3775	2504	1747	8950
Chi phí quản lý doanh nghiệp###Managing Expenses	2134	2629	13249	2689	3507	3636	3297	13304	2897	3729	3635	3369	13221	3416	3208	3729	2874	13644	4317	3491	3000	2846	11769	4458	2371	3021	1930	11800	3135	2838	3292	2538	11548	3244	2795	3224	2272	10044	2928	2400	2520	2231	14417	4421	3352	3161	3517	9481	2712	2578	2740	1466	8327	1965	2073	2722	1568	6613
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-467	-75	-460	796	-697	682	-1047	769	1430	-1051	-558	456	2085	-151	789	144	1362	7060	1427	1075	2345	2158	4924	-301	1892	1203	2120	9183	239	3009	1935	3990	11470	2631	2660	2891	3285	8636	2425	1358	1548	3268	15103	2489	4831	3197	4237	18194	3974	3166	4867	5893	17838	5237	5829	4888	1884	4708
Thu nhập khác###Other incomes	2	0	996	682	12	5	297	343	150	73	111	8	251	242	3	6	0	28	0	7	14	0	99	0	61	1	0	412	365	9	4	12	154	154	1	0	0	1535	316	0	0	3	87	58	6	24	0	193	193	0	0	0	86	10	0	76	0	514
Chi phí khác###Other Expenses	3	7	5	5	0	0	0	202	76	111	0	15	262	5	185	63	8	0	0	0	0	0	16	4	2	0	10	35	15	20	0	0	888	0	888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	29
Lợi nhuận khác###Other profits	-1	-7	991	677	12	5	297	141	74	-38	111	-7	-10	237	-182	-57	-8	28	0	7	14	0	83	-4	59	1	-10	378	350	-11	4	12	-733	154	-887	0	0	1535	316	0	0	3	87	58	6	24	0	193	193	0	0	0	85	10	0	76	-2	484
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-468	-82	531	1473	-686	687	-750	910	1505	-1090	-447	449	2075	85	607	86	1354	7088	1427	1082	2359	2158	5008	-306	1951	1203	2110	9561	589	2998	1939	4002	10737	2785	1773	2891	3285	10172	2741	1358	1548	3271	15190	2547	4837	3221	4237	18387	4167	3166	4867	5893	17923	5247	5829	4964	1882	5193
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	508	88	0	0	0	272	323	34	-83	106	953	99	134	44	287	1473	303	230	496	432	1152	16	440	275	477	2149	147	659	447	880	2234	700	355	0	0	1525	0	0	0	654	2174	410	975	333	424	1850	417	317	487	589	1255	367	0	0	0	519
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	508	88	0	0	0	272	323	34	-83	106	953	99	134	44	287	1473	303	230	496	432	1152	16	440	275	477	2149	147	659	447	880	2234	700	355	578	657	1525	420	190	340	654	2174	410	975	333	424	1850	417	317	487	589	1255	367	408	348	132	519
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-468	-82	23	1385	-686	687	-750	638	1182	-1124	-364	343	1121	-13	472	43	1067	5615	1124	852	1863	1726	3856	-322	1511	928	1633	7412	442	2338	1492	3121	8503	2084	1418	2313	2628	8647	2321	1168	1208	2617	13016	2137	3862	2888	3813	16537	3751	2849	4380	5304	16668	4880	5421	4617	1750	4673
---Cac Chi So Tai Chinh---																																																										
EBITDA	-0.32	-0.35	0.10	0.10	0.27	0.70	0.39	0.36	0.36	0.23	0.09	0.13	0.02	0.02	0.11	0.29	0.21	0.49	0.49	0.85	-0.06	0.01	0.05	0.05	0.02	0.38	0.38	0.32	0.32	0.41	0.42	0.48	0.67	0.67	0.76	0.72	0.62	0.46	0.46	0.30	0.47	0.77	1.09	1.09	1.35	1.23	1.14	1.21	1.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	3.70	5.60	7.00	7.00	7.00	5.29	4.51	5.88	5.88	10.20	7.57	8.24	6.81	6.81	9.25	7.87	6.88	7.84	7.84	7.19	7.95	7.27	7.67	7.67	8.43	9.00	7.55	7.90	7.90	8.24	7.15	7.19	5.86	5.86	4.94	5.14	4.55	4.01	4.01	4.55	4.74	4.00	4.18	4.18	4.15	4.47	4.62	5.17	5.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
