CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006	 2005
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-344	-344	-344	-337	-925	-915	-907	-898	-888	-879	-869	-842	-832	-814	-805	-795	-768	-759	-779	-752	-720	-712	-685	-699	-673	-649	-643	-614	-621	-598	-576	-545	-513	-513	-485	-466	-464	-447	-447	-429	0	-383	-368	-368	-353	-338	-323	-308	-308	-294	-279	-265	-257	0	0	0	-234	-226	-195	-163	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9690	70	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	230	361	617	278	542	978	1130	1413	1458	1757	2019	2322	2616	4479	4804	4893	5230	5602	5590	5910	6292	6487	6759	6756	6974	6649	6886	7111	6978	7314	7678	7793	8216	8216	8811	9000	8036	8286	8391	8698	0	8056	9159	9251	9424	9123	3	6632	10537	7596	5669	3694	1210	68	81	95	46	1	4	82	192
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	190324	215576	174964	177258	159687	174216	159072	141695	160098	158094	160722	184637	192220	203331	213986	258136	270226	266512	273712	256693	256820	202509	192441	196802	171824	165704	166652	192074	201633	189290	175025	176946	177703	177703	178447	188700	202412	223829	236778	232479	224059	239223	248132	251379	208348	213126	183844	193789	224140	244779	174328	165342	183621	182077	148818	108622	89509	97730	66486	33388	25795
Nợ phải trả ###Liabilities	141562	155786	120135	121245	109787	123793	105535	87987	104719	98571	98496	119780	124173	134297	134817	157976	175952	161282	166086	155118	157686	115327	103723	105131	91881	81385	80702	103736	107823	104300	89846	89889	91059	91059	97350	101077	112223	132365	141049	139214	133531	138575	154148	153913	122415	122668	99499	110143	138136	164891	98772	103176	121466	114301	84522	50430	39526	45047	28743	12114	4425
Nợ ngắn hạn###Short term Liabilities	141562	155786	120135	120992	109409	123415	104907	87609	103966	97693	97618	118652	123295	132919	133314	156473	174324	159404	154235	143426	156058	105392	91980	95146	81962	71022	71153	94281	94953	94196	79062	76374	72655	72655	91676	85330	101289	120594	131339	130376	128002	117210	137780	138252	118836	120126	96750	107478	137490	164199	98108	102566	121040	113877	84169	50140	39281	44802	28692	12114	4425
Nợ dài hạn###Long term Liabilities	0	0	0	253	378	378	628	378	753	878	878	1128	878	1378	1503	1503	1628	1878	11850	11692	1628	9935	11743	9986	9919	10363	9549	9454	12870	10105	10784	13515	18404	18404	5674	15747	10935	11771	9710	8838	5530	21365	16368	15661	3579	2541	2749	2665	646	692	663	610	426	424	353	290	245	245	51	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0
Vốn chủ sở hữu ###Owners equity	48762	59790	54828	56013	49900	50423	53537	53708	55379	59523	62226	64857	68047	69034	79169	100160	94274	105230	107626	101576	99134	87182	88718	91671	79942	84319	85950	88338	93810	84990	85178	87058	86644	86644	81096	87623	90188	91464	95729	93265	90528	100648	93984	97465	85933	90458	84345	83646	86004	79888	75556	62167	62155	67776	64296	58192	49983	52683	37743	21274	21369
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1708	1272	969	758	1063	0	0	222
Vốn chủ sở hữu ###Owners equity	48762	59790	54828	56013	49900	50423	53537	53708	55379	59523	62226	64857	68047	69034	79169	100160	94274	105230	107626	101576	99134	87182	88718	91671	79942	84319	85950	88338	93810	84990	85178	87058	86644	86644	81096	87623	90188	91464	95729	93265	90528	100648	93984	97465	85933	90458	84345	83646	86004	79888	75556	62167	62155	66068	63024	57222	49225	51620	37743	21274	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175025	176946	177703	177703	178447	188700	202412	223829	236778	232479	224059	239223	251379	251379	208348	0	183844	193789	224140	244779	174328	165342	183621	183621	148818	108622	89509	97730	66486	33388	25795



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	13913	119867	96693	33832	18900	32354	16889	71507	16156	16263	19398	20132	208479	49505	31927	67599	59448	270240	87785	53309	100062	29084	126594	67494	14794	28968	19112	198133	97394	31967	26486	42286	159629	55292	28246	45347	30744	226169	55850	71344	47675	51705	339396	144643	89811	68271	37343	199496	89699	69899	36172	10000	181150	89991	54762	48904	11244	177167	78879	25691	38853
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	2003	2003	0	0	0	5250	5250	0	0	0	0	0	0	0	0	1066	0	0	1066	0	387	0	387	0	0	1652	800	826	0	37	66	0	0	21	35	0	421	0	1164
Doanh thu thuần###Net Sales	13913	119867	96693	33832	18900	32354	16889	71507	16156	16263	19292	20132	208479	49505	31927	67599	59448	270240	87785	53309	100062	29084	124591	65491	14794	28968	19112	192883	92144	31967	26486	42286	159629	55292	28246	45347	30744	225104	55850	71344	46609	51705	339009	144643	89424	68271	37343	197844	88898	69073	36172	9963	181084	89991	54762	48883	11210	177167	78458	25691	37689
Giá vốn hàng bán###Cost of goods sold	19303	111151	83509	29921	15354	30689	12307	64307	15125	14688	16870	17309	178151	44909	31374	54604	47215	194274	61459	40248	72560	20785	83079	43051	11896	18442	13046	137078	68774	20482	18337	29059	113904	39121	20466	33473	21184	158462	40373	50118	32870	36480	234492	94007	64900	50449	24434	124207	59557	45817	20944	6603	109282	56826	35984	32903	7971	114460	55016	20304	32515
Lợi nhuận gộp###Gross profit	-5390	8716	13183	3911	3546	1665	4582	7200	1031	1574	2422	2823	30328	4596	552	12995	12233	75967	26326	13062	27502	8299	41512	22439	2898	10527	6066	55805	23371	11485	8149	13227	45725	16171	7780	11874	9560	66641	15477	21226	13739	15225	104517	50635	24524	17823	12910	73637	29341	23256	15227	3360	71801	33165	18778	15980	3239	62707	23442	5387	5173
Doanh thu hoạt động tài chính###Financial activities Revenues	42	61	380	98	58	138	60	704	101	164	86	335	1584	831	199	69	478	1506	574	357	295	279	965	284	309	180	193	1437	272	125	79	73	787	7438	61	319	125	1973	1052	48	98	66	2715	302	273	766	27	2355	178	54	300	119	144	19	10	11	58	509	119	96	67
Chi phí tài chính###Financial Expenses	2033	942	3670	887	821	677	1289	4339	949	950	1125	1301	9013	1619	2759	2189	2447	8419	2628	1899	2672	1186	5406	1236	1407	1185	1383	4766	1329	1021	1136	1148	6938	1875	1462	1875	1987	8360	1916	1961	2390	1826	7982	1621	2239	2182	1492	10258	2436	2801	2764	1809	9480	3738	773	540	279	4418	1276	347	170
Chi phí bán hàng###Selling Expenses	1399	985	11596	7169	1113	2190	1138	7342	1862	1271	1832	2486	34420	7456	8005	10360	8600	35409	11506	8116	8758	5649	26248	9102	4408	7866	4903	30854	9063	7990	5967	7849	26731	7931	7039	9429	6052	51825	10075	17049	12224	12222	70138	32543	17580	11713	7725	49222	17831	17091	9123	3356	36080	18474	7953	4137	4002	33994	12737	2080	589
Chi phí quản lý doanh nghiệp###Managing Expenses	1993	2233	9726	2215	2114	1986	2530	10859	2291	2438	2367	2655	13153	3563	2898	2941	2851	16047	5879	2900	3178	2958	12200	4269	2670	3683	2761	15829	2531	2823	3467	3713	14151	4853	4068	5520	2867	15929	4140	3200	3881	2683	15529	3472	3887	3766	1843	10559	2568	2353	2159	2009	7121	2030	1471	1423	1242	4392	2521	1652	1486
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-10775	4617	-11429	-6261	-446	-3049	-314	-14636	-3971	-2922	-2816	-3284	-24676	-7211	-12909	-2426	-1186	17596	6887	503	13189	-1215	-1377	8115	-5278	-2027	-2789	5792	10719	-224	-2343	588	-1307	8951	-4728	-4631	-1222	-7499	399	-936	-4659	-1440	13583	13302	1091	928	1875	5953	6684	1065	1481	-3695	19264	8941	8592	9890	-2227	20412	7026	1404	2995
Thu nhập khác###Other incomes	47	23	16907	18085	52	45	0	279	32	14	221	5	221	110	2	93	15	485	85	185	449	2	457	38	198	187	34	518	151	255	39	18	2201	5175	600	1942	38	2618	1272	26	302	494	3199	1123	114	1536	173	4534	4566	266	196	98	241	-72	99	58	55	462	886	420	462
Chi phí khác###Other Expenses	-40	48	1386	2744	0	23	5	535	80	222	190	43	385	17	21	92	255	1549	31	10	1159	70	726	0	552	116	10	2204	1915	159	43	49	3346	1638	1203	340	131	2714	549	27	1076	232	2129	1862	40	107	28	4441	4011	192	174	2	371	57	1904	1119	897	113	438	261	154
Lợi nhuận khác###Other profits	87	-25	15521	15341	52	22	-5	-256	-48	-208	31	-38	-165	93	-19	1	-240	-1064	54	175	-710	-68	-269	38	-354	71	23	-1686	-1765	96	-3	-31	-1146	3537	-603	1603	-93	-96	723	0	-774	262	1069	-738	74	1430	145	93	555	73	22	95	-130	-129	-1805	-1060	-842	349	448	158	306
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-10688	4592	4092	9080	-394	-3027	-319	-14892	-4019	-3130	-2784	-3323	-24840	-7118	-12928	-2425	-1426	16532	6941	678	12479	-1282	-1646	8153	-5631	-1956	-2765	4106	8954	-128	-2346	558	-2453	12487	-5332	-3029	-1315	-7595	1122	-937	-5433	-1178	14653	15102	6221	2357	2020	6046	7239	1138	1503	-3600	19134	8813	6787	8830	-3068	20761	7474	1563	3303
Chi phí thuế TNDN###Corporate Income Tax Expenses	9	0	2945	2945	0	0	0	12	2	0	9	0	19	-92	0	14	94	498	166	0	446	50	190	90	21	66	14	307	134	61	-35	144	0	0	0	0	0	0	0	0	0	0	3392	1884	175	960	303	968	1086	0	0	0	1111	661	509	0	0	1651	607	396	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	9	0	2945	2945	0	0	0	12	2	0	9	0	19	-92	0	14	94	498	166	0	446	50	190	90	21	66	14	307	134	61	-35	144	0	0	0	0	0	0	630	226	61	0	3342	1884	175	998	303	900	1086	0	0	0	1228	661	509	0	0	1565	607	396	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	-38	0	67	0	0	0	0	-117	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-10698	4592	1146	6135	-394	-3027	-319	-14904	-4020	-3130	-2794	-3323	-24859	-7026	-12928	-2439	-1520	16034	6774	678	12033	-1333	-1837	8063	-5653	-2022	-2779	3799	8820	-188	-2312	414	-2453	12487	-5332	-3029	-1315	-7595	492	-1162	-5494	-1178	11260	10679	991	1397	1717	5078	6153	1138	1503	-3600	18023	8152	6278	8830	-3068	19196	6867	1166	2500
---Cac Chi So Tai Chinh---																																																													
EBITDA	0.20	0.56	-0.31	-0.31	-0.67	-0.46	-0.26	-0.45	-0.45	-0.16	-0.18	-0.08	0.58	0.58	0.00	-2.54	-2.42	-1.00	-1.00	-0.56	0.97	1.19	0.78	0.78	0.59	0.72	0.51	0.75	0.75	0.78	0.86	0.81	0.49	0.49	0.95	0.91	0.92	1.07	1.07	0.97	0.71	0.65	0.49	0.49	0.69	1.22	1.19	1.13	1.13	1.00	0.65	0.92	0.98	0.98	0.98	0.54	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	3.90	2.30	2.70	2.70	3.10	4.60	3.10	2.50	2.50	1.90	2.80	2.90	3.70	3.70	6.00	7.00	9.75	9.42	9.42	10.83	4.92	5.17	3.17	3.17	3.42	4.75	5.75	3.92	3.92	3.67	3.92	5.83	3.00	3.00	2.92	3.27	3.70	4.07	4.07	3.56	6.83	8.35	5.81	5.81	9.87	18.56	16.45	10.61	10.61	13.34	23.49	20.29	13.57	13.57	20.73	13.34	0.00	0.00	0.00	0.00	0.00
