CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tài sản ngắn hạn###Current Assets	144378	173728	114116	116328	142865	321902	289494	144446	147688	81997	73365	64575	71751	71751	14519	14904	10881	13943	13943	28431	11333	10664	10695	10535	10579	10807	15810	11270	12004	12951	14055	19036	14863	15636	20459	16559	15747	16149	17729	21068	20029	20735	21294	19795	20318	20301	22713	13179	13184	13336	14296	14552	14869	14835	14583	13984	6179	5940	4901	7341	6558	9415	10078	10078	29267
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2092	1704	4217	5283	39658	53007	47283	6004	6005	16544	5255	2024	1083	1083	4149	3308	9572	4110	4110	4797	3	57	23	23	67	61	30	125	124	481	1201	516	627	868	198	2055	194	85	85	2309	162	119	11	226	102	731	939	825	825	754	2061	803	1044	1057	849	151	252	116	116	422	427	318	1608	1608	677
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	17996	16516	16516	16150	22462	22954	31938	31938	31938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2500	2500	2500	2500	2500	2500	2500	2500	2500	6600	6600	8600	8600	8600	8600	8600	0	0	0	0	5159	3649	4649	4649	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	139627	151328	73519	73980	66824	226005	208864	97440	100640	891	637	19939	28026	28026	8727	11581	1299	9728	9728	23623	11323	10607	10672	10513	10513	10746	15762	11133	6495	3495	1412	6232	1438	2060	8275	2245	3405	3316	4895	4665	4773	4725	4900	4900	4500	2657	2627	3154	3158	4591	4267	3941	3987	3939	3888	3783	4468	4435	3907	5980	0	4460	3152	3152	19941
Hàng tồn kho###Inventory	220	102	16386	16386	17421	17528	8365	7401	7401	30204	63957	40760	40760	40760	1520	15	0	68	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	8265
Tài sản ngắn hạn khác###Other Current Assets	2438	2597	3479	4164	2812	2901	2028	1663	1704	2419	3516	1852	1882	1882	123	0	11	37	37	12	8	0	0	0	0	0	17	12	5385	8975	11442	12288	12798	12708	11986	12259	12149	12749	12749	14094	12594	13391	13884	12169	13216	14414	16647	6700	6700	1391	1368	1209	1237	1239	1246	1450	1458	1389	878	939	972	857	669	669	384
Tài sản dài hạn###Non-current Assets	323274	281964	263343	261279	205902	36948	36643	30273	30232	8297	6536	6623	6710	6710	6797	6885	7240	7339	7339	3224	10184	13181	13181	13223	13223	13223	9032	13247	13207	10963	10701	10339	10515	10712	10737	10728	10654	10535	11371	14269	14249	14208	14085	14085	14790	10575	14406	24195	24195	24153	23603	21290	20924	20924	20906	21209	20541	20649	21438	20350	20594	20770	19264	19264	1348
Các khoản phải thu dài hạn###Long term Account Receivable	89635	3922	3922	3922	3922	3922	3922	3922	3922	3922	3922	3922	3922	3922	3922	3922	3922	3922	0	0	0	0	0	0	0	0	-4095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	27364	28737	30110	30110	31528	32995	32685	11510	11510	4375	2614	2701	2788	2788	2875	2962	3318	3417	3417	3224	3311	0	0	0	0	0	1943	24	2024	41	59	86	7342	7342	7363	7319	7217	319	6995	9791	9660	9506	3532	8834	8702	5433	10079	3509	21485	21322	20950	20304	19924	19924	19858	20169	19450	19499	20289	19223	19306	19359	17703	17703	1299
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-7442	-6069	-4696	-4696	-5539	-4072	-2605	-1225	-1225	-960	-871	-1819	-1732	-1732	-1644	-1557	-1482	-1383	-1383	-1296	-1209	-1035	-1035	-1035	-1035	-1035	-1091	-1011	-1011	-993	-976	-949	-919	-919	-888	-856	-1337	-1290	-1290	-1530	-1389	-1248	-1108	-1108	-1231	-1186	-1046	-909	-909	-882	-814	-772	-745	-745	-720	-851	-826	-783	0	0	0	-554	-477	-477	-312
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-131	-129	-122	-116	-109	0	0	0	-89	-83	-83	-57
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	206184	249291	229291	184227	170427	0	0	0	0	0	0	0	0	0	0	0	0	0	3922	0	2145	2915	2915	2957	2957	2957	2965	2957	2965	2965	2965	2965	2965	2464	2464	2464	2464	2464	3300	3300	3300	3300	3300	3300	3300	2300	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	20	14	20	43020	25	30	36	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	6	208	906	910	946	973	1076	1076	1178	1288	1402	1517	1951	2789	2842	2527	2709	2709	2831	2653	986	1001	1001	1048	1040	1092	1150	1150	1127	1287	1411	1560	1560	49
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	467652	455692	377459	377607	348767	358850	326137	174719	177920	90294	79901	71198	78461	78461	21317	21789	18121	21281	21281	31655	21517	23846	23876	23759	23803	24030	24841	24517	25211	23914	24757	29375	25378	26348	31196	27287	26401	26684	29099	35337	34278	34943	35379	33879	35109	30876	37119	37374	37378	37490	37899	35842	35793	35759	35489	35193	26720	26589	26339	27692	27152	30185	29342	29342	30615
Nợ phải trả ###Liabilities	88306	80322	14859	12095	13044	25493	7469	42594	45836	2513	23319	43979	51252	51243	4406	5494	2321	5871	5871	16576	11560	11254	11236	11169	11169	11150	12587	11356	12687	11172	11765	16046	12059	11031	15462	11624	8516	8604	8637	13999	12153	12146	12119	10628	11450	6926	11698	14127	14124	15753	16262	15348	15300	15186	14684	14732	14873	14728	14489	15548	14635	17669	17303	17303	16552
